Epoch,Modified period,Transit peak
0.000000000000000000e+00,1.511157902054037550e+00,7.259063564563639375e+03
1.000000000000000000e+00,1.510832098014816438e+00,7.260574722465693412e+03
2.000000000000000000e+00,1.510760793309145811e+00,7.262085554563707774e+03
3.000000000000000000e+00,1.510873850494590442e+00,7.263596315357017374e+03
4.000000000000000000e+00,1.510872458297853882e+00,7.265107189207512420e+03
5.000000000000000000e+00,1.510862441336939810e+00,7.266618061665809364e+03
6.000000000000000000e+00,1.510745309792582702e+00,7.268128924107146304e+03
7.000000000000000000e+00,1.510825990821103915e+00,7.269639669416939796e+03
8.000000000000000000e+00,1.511162633378717146e+00,7.271150495407760900e+03
9.000000000000000000e+00,1.510837429416824307e+00,7.272661658041139162e+03
1.000000000000000000e+01,1.510755415649782663e+00,7.274172495470555987e+03
1.100000000000000000e+01,1.510846000135188660e+00,7.275683250886206224e+03
1.200000000000000000e+01,1.510872013970129046e+00,7.277194096886340958e+03
1.300000000000000000e+01,1.510892029230490152e+00,7.278704968900310632e+03
1.400000000000000000e+01,1.510750698515039403e+00,7.280215860929542032e+03
1.500000000000000000e+01,1.510818701345669979e+00,7.281726611628057071e+03
1.600000000000000000e+01,1.511161263073518057e+00,7.283237430329401832e+03
1.700000000000000000e+01,1.510844324933714233e+00,7.284748591592475350e+03
1.800000000000000000e+01,1.510750757145160605e+00,7.286259435917409064e+03
1.900000000000000000e+01,1.510821469456459454e+00,7.287770186674554679e+03
2.000000000000000000e+01,1.510872667165131134e+00,7.289281008144011139e+03
2.100000000000000000e+01,1.510920466022980690e+00,7.290791880811176270e+03
2.200000000000000000e+01,1.510754742158042063e+00,7.292302801277199251e+03
2.300000000000000000e+01,1.510813314094775706e+00,7.293813556019356838e+03
2.400000000000000000e+01,1.511155574215536035e+00,7.295324369333451614e+03
2.500000000000000000e+01,1.510851252348857088e+00,7.296835524907667605e+03
2.600000000000000000e+01,1.510748750662060047e+00,7.298346376160016007e+03
2.700000000000000000e+01,1.510797998922953411e+00,7.299857124910678976e+03
2.800000000000000000e+01,1.510870505905586469e+00,7.301367922909601475e+03
2.900000000000000000e+01,1.510951501979889144e+00,7.302878793415507062e+03
3.000000000000000000e+01,1.510759885515653878e+00,7.304389744917487405e+03
3.100000000000000000e+01,1.510808129977704084e+00,7.305900504803003059e+03
3.200000000000000000e+01,1.511147268832701229e+00,7.307411312932979854e+03
3.300000000000000000e+01,1.510855780810743454e+00,7.308922460201813010e+03
