Epoch,Modified period,Transit peak
0.000000000000000000e+00,2.421460679769097624e+00,7.258585924696299116e+03
1.000000000000000000e+00,2.421858691787292628e+00,7.261007385376067759e+03
2.000000000000000000e+00,2.421881719413704559e+00,7.263429244067855507e+03
3.000000000000000000e+00,2.422052094240825681e+00,7.265851125787268757e+03
4.000000000000000000e+00,2.421923419959966850e+00,7.268273177881510492e+03
5.000000000000000000e+00,2.421464955165447464e+00,7.270695101301469549e+03
6.000000000000000000e+00,2.421860150649536081e+00,7.273116566256635451e+03
7.000000000000000000e+00,2.421917437306547072e+00,7.275538426407285442e+03
8.000000000000000000e+00,2.422017603827043786e+00,7.277960343844591989e+03
9.000000000000000000e+00,2.421911119916785537e+00,7.280382361448419033e+03
1.000000000000000000e+01,2.421466237859931425e+00,7.282804272568335364e+03
1.100000000000000000e+01,2.421872238204286987e+00,7.285225738806195295e+03
1.200000000000000000e+01,2.421956041177054431e+00,7.287647611044400037e+03
1.300000000000000000e+01,2.421963743282958603e+00,7.290069567085576637e+03
1.400000000000000000e+01,2.421899857070002327e+00,7.292491530828860050e+03
1.500000000000000000e+01,2.421476950953092455e+00,7.294913430685929598e+03
1.600000000000000000e+01,2.421902956817575614e+00,7.297334907636883145e+03
1.700000000000000000e+01,2.421965228927092539e+00,7.299756810593700720e+03
1.800000000000000000e+01,2.421917592774661898e+00,7.302178775822627358e+03
1.900000000000000000e+01,2.421884710469839774e+00,7.304600693415402020e+03
2.000000000000000000e+01,2.421512757834534568e+00,7.307022578125872315e+03
2.100000000000000000e+01,2.421906303172363550e+00,7.309444090883705940e+03
2.200000000000000000e+01,2.421984188411443029e+00,7.311865997186878303e+03
2.300000000000000000e+01,2.421864226013894950e+00,7.314287981375289746e+03
2.400000000000000000e+01,2.421883594332030043e+00,7.316709845601304551e+03
2.500000000000000000e+01,2.421533431440366257e+00,7.319131729195636581e+03
2.600000000000000000e+01,2.421926465647629811e+00,7.321553262627076037e+03
2.700000000000000000e+01,2.421995757017612050e+00,7.323975189092723667e+03
2.800000000000000000e+01,2.421808992973637942e+00,7.326397184849742189e+03
2.900000000000000000e+01,2.421870087193383370e+00,7.328818993842714917e+03
3.000000000000000000e+01,2.421570409664127510e+00,7.331240863929908301e+03
3.100000000000000000e+01,2.421956414429587312e+00,7.333662434339572428e+03
