Epoch,Modified period,Transit peak
0.000000000000000000e+00,4.049644742774034967e+00,7.261132767063172651e+03
1.000000000000000000e+00,4.049685990857142315e+00,7.265182411805946685e+03
2.000000000000000000e+00,4.049732581778243912e+00,7.269232097796803828e+03
3.000000000000000000e+00,4.049639375376500539e+00,7.273281830378582526e+03
4.000000000000000000e+00,4.049838777739751094e+00,7.277331469753959027e+03
5.000000000000000000e+00,4.049608162412368983e+00,7.281381308531697869e+03
6.000000000000000000e+00,4.049560814467440650e+00,7.285430916694111147e+03
7.000000000000000000e+00,4.049790750296779152e+00,7.289480477508577678e+03
8.000000000000000000e+00,4.049589223624934675e+00,7.293530268258875367e+03
9.000000000000000000e+00,4.049612065673954930e+00,7.297579857482500302e+03
1.000000000000000000e+01,4.049922026441890921e+00,7.301629469548173802e+03
1.100000000000000000e+01,4.049723050363354560e+00,7.305679391574615693e+03
1.200000000000000000e+01,4.049554756017187174e+00,7.309729114624979047e+03
1.300000000000000000e+01,4.050011621328849287e+00,7.313778669380995780e+03
1.400000000000000000e+01,4.049544480208624009e+00,7.317828681002325538e+03
1.500000000000000000e+01,4.049473370036139386e+00,7.321878225482533708e+03
1.600000000000000000e+01,4.050010319371722289e+00,7.325927698852569847e+03
1.700000000000000000e+01,4.049540065047040116e+00,7.329977709171941569e+03
1.800000000000000000e+01,4.049593395636748028e+00,7.334027249236988609e+03
1.900000000000000000e+01,4.050111591765016783e+00,7.338076842632624903e+03
2.000000000000000000e+01,4.049621544133970019e+00,7.342126954224389920e+03
2.100000000000000000e+01,4.049488597927393130e+00,7.346176575768524344e+03
2.200000000000000000e+01,4.050128827980643109e+00,7.350226064366452192e+03
2.300000000000000000e+01,4.049425722089381452e+00,7.354276193194432381e+03
2.400000000000000000e+01,4.049436929048624734e+00,7.358325618916522217e+03
2.500000000000000000e+01,4.050178958803826390e+00,7.362375055845570387e+03
2.600000000000000000e+01,4.049439207190062007e+00,7.366425234804373758e+03
2.700000000000000000e+01,4.049598565736687306e+00,7.370474674011564275e+03
2.800000000000000000e+01,4.050211015207878518e+00,7.374524272577300508e+03
2.900000000000000000e+01,4.049464868098311854e+00,7.378574483592508841e+03
3.000000000000000000e+01,4.049459933461093897e+00,7.382623948460606698e+03
3.100000000000000000e+01,4.050160636249984236e+00,7.386673408394068247e+03
