Epoch,Modified period,Transit peak
0.000000000000000000e+00,6.098973144193678309e+00,7.263909828522327189e+03
1.000000000000000000e+00,6.098807779530034168e+00,7.270008801666521322e+03
2.000000000000000000e+00,6.099100561496925366e+00,7.276107609446051356e+03
3.000000000000000000e+00,6.099266065532447101e+00,7.282206710007547372e+03
4.000000000000000000e+00,6.098440937773830228e+00,7.288305976073080274e+03
5.000000000000000000e+00,6.099214529350319935e+00,7.294404417010853649e+03
6.000000000000000000e+00,6.098904628681339091e+00,7.300503631540204879e+03
7.000000000000000000e+00,6.098749894642878644e+00,7.306602536168886218e+03
8.000000000000000000e+00,6.098711415502293676e+00,7.312701286063528642e+03
9.000000000000000000e+00,6.099275692251467262e+00,7.318799997479030935e+03
1.000000000000000000e+01,6.098399105689622957e+00,7.324899273171282402e+03
1.100000000000000000e+01,6.098938607548916480e+00,7.330997672276971571e+03
1.200000000000000000e+01,6.098935219366921956e+00,7.337096610884520487e+03
1.300000000000000000e+01,6.098759407374473085e+00,7.343195546103887864e+03
1.400000000000000000e+01,6.098551922348633525e+00,7.349294305511262792e+03
1.500000000000000000e+01,6.099300224828766659e+00,7.355392857433611425e+03
1.600000000000000000e+01,6.098524782791173493e+00,7.361492157658440192e+03
1.700000000000000000e+01,6.098811324814050749e+00,7.367590682441230456e+03
1.800000000000000000e+01,6.099069816442806768e+00,7.373689493766045416e+03
1.900000000000000000e+01,6.098859323782562569e+00,7.379788563582487768e+03
2.000000000000000000e+01,6.098620556865171238e+00,7.385887422906270331e+03
2.100000000000000000e+01,6.099338204357991344e+00,7.391986043463135502e+03
2.200000000000000000e+01,6.098839187813609897e+00,7.398085381667493493e+03
2.300000000000000000e+01,6.098813249152499338e+00,7.404184220855307103e+03
2.400000000000000000e+01,6.099273668948171689e+00,7.410283034104459148e+03
2.500000000000000000e+01,6.099102574980861391e+00,7.416382307773407774e+03
2.600000000000000000e+01,6.098831696599063434e+00,7.422481410348388636e+03
2.700000000000000000e+01,6.099393138756568078e+00,7.428580242044987244e+03
2.800000000000000000e+01,6.099329012902671820e+00,7.434679635183743812e+03
2.900000000000000000e+01,6.098893612462688907e+00,7.440778964196646484e+03
3.000000000000000000e+01,6.099501007539402053e+00,7.446877857809109628e+03
3.100000000000000000e+01,6.099485973905302671e+00,7.452977358816649030e+03
3.200000000000000000e+01,6.099099068364012055e+00,7.459076844790553878e+03
3.300000000000000000e+01,6.099450333467757446e+00,7.465175943858917890e+03
3.400000000000000000e+01,6.099918547412926273e+00,7.471275394192385647e+03
3.500000000000000000e+01,6.099010008819732320e+00,7.477375312739799483e+03
3.600000000000000000e+01,6.099695272613189445e+00,7.483474322748618761e+03
3.700000000000000000e+01,6.099945264145389956e+00,7.489574018021232405e+03
3.800000000000000000e+01,6.099346450059783820e+00,7.495673963285376885e+03
3.900000000000000000e+01,6.099494902112382988e+00,7.501773309735437579e+03
4.000000000000000000e+01,6.100480194868850958e+00,7.507872804637549052e+03
4.100000000000000000e+01,6.099141356006839487e+00,7.513973284832418358e+03
4.200000000000000000e+01,6.099796611239071353e+00,7.520072426188425197e+03
4.300000000000000000e+01,6.100396580115557299e+00,7.526172222799664269e+03
4.400000000000000000e+01,6.099512329475601291e+00,7.532272619379779826e+03
4.500000000000000000e+01,6.099520595410467649e+00,7.538372131709254973e+03
4.600000000000000000e+01,6.100888057898828265e+00,7.544471652304666350e+03
4.700000000000000000e+01,6.099272857631149236e+00,7.550572540362564723e+03
4.800000000000000000e+01,6.099774969992267870e+00,7.556671813220195872e+03
