Epoch,Modified period,Transit peak
0.000000000000000000e+00,9.207061797631922673e+00,7.266278050528884705e+03
1.000000000000000000e+00,9.206214793430717691e+00,7.275485112326516173e+03
2.000000000000000000e+00,9.210265226228784741e+00,7.284691327119946436e+03
3.000000000000000000e+00,9.205588130373598688e+00,7.293901592346175676e+03
4.000000000000000000e+00,9.207239060207484727e+00,7.303107180476548820e+03
5.000000000000000000e+00,9.206403915043210873e+00,7.312314419536756759e+03
6.000000000000000000e+00,9.211873751899020135e+00,7.321520823451799515e+03
7.000000000000000000e+00,9.205904942639335786e+00,7.330732697203698990e+03
8.000000000000000000e+00,9.207384617812294891e+00,7.339938602146337871e+03
9.000000000000000000e+00,9.206413129558768560e+00,7.349145986764150621e+03
1.000000000000000000e+01,9.213021610068608425e+00,7.358352399893708935e+03
1.100000000000000000e+01,9.206059064265446068e+00,7.367565421503777543e+03
1.200000000000000000e+01,9.207449061371789867e+00,7.376771480568043444e+03
1.300000000000000000e+01,9.206235635809662199e+00,7.385978929629414779e+03
1.400000000000000000e+01,9.213436132495189668e+00,7.395185165265224896e+03
1.500000000000000000e+01,9.206084525305413990e+00,7.404398601397720086e+03
1.600000000000000000e+01,9.207364093927935755e+00,7.413604685923025500e+03
1.700000000000000000e+01,9.205994565902983595e+00,7.422812050016953435e+03
1.800000000000000000e+01,9.212991275050626427e+00,7.432018044582856419e+03
1.900000000000000000e+01,9.206040787449637719e+00,7.441231035857907045e+03
2.000000000000000000e+01,9.207062478345051204e+00,7.450437076645356683e+03
2.100000000000000000e+01,9.205699662721144705e+00,7.459644139123702189e+03
2.200000000000000000e+01,9.211746698028491664e+00,7.468849838786422879e+03
2.300000000000000000e+01,9.205975484316240909e+00,7.478061585484450916e+03
2.400000000000000000e+01,9.206605383166788670e+00,7.487267560968767611e+03
2.500000000000000000e+01,9.205411565854319633e+00,7.496474166351934400e+03
2.600000000000000000e+01,9.209977594573501847e+00,7.505679577917788265e+03
2.700000000000000000e+01,9.205962801119312644e+00,7.514889555512361767e+03
2.800000000000000000e+01,9.206120366798131727e+00,7.524095518313481080e+03
2.900000000000000000e+01,9.205174373840236512e+00,7.533301638680279211e+03
3.000000000000000000e+01,9.208009547885467327e+00,7.542506813054120357e+03
3.100000000000000000e+01,9.205961486065007193e+00,7.551714822602005370e+03
3.200000000000000000e+01,9.205679159152168722e+00,7.560920784088069922e+03
3.300000000000000000e+01,9.205028742032936862e+00,7.570126463247223001e+03
3.400000000000000000e+01,9.206226913287082425e+00,7.579331491989255483e+03
3.500000000000000000e+01,9.205977522554803727e+00,7.588537718902542110e+03
3.600000000000000000e+01,9.205371038488920021e+00,7.597743696425097369e+03
3.700000000000000000e+01,9.205070312524185283e+00,7.606949067463586289e+03
3.800000000000000000e+01,9.204995910632078449e+00,7.616154137776110474e+03
3.900000000000000000e+01,9.206028371668253385e+00,7.625359133686743007e+03
4.000000000000000000e+01,9.205218362475989125e+00,7.634565162058410351e+03
4.100000000000000000e+01,9.205345221138486522e+00,7.643770380420886795e+03
4.200000000000000000e+01,9.204423835459692782e+00,7.652975725642025282e+03
4.300000000000000000e+01,9.206107920932936395e+00,7.662180149477484520e+03
4.400000000000000000e+01,9.205205036139432195e+00,7.671386257398417911e+03
4.500000000000000000e+01,9.206022189114264620e+00,7.680591462434556888e+03
4.600000000000000000e+01,9.204364310078290146e+00,7.689797484623672062e+03
4.700000000000000000e+01,9.206258351915039384e+00,7.699001848933749898e+03
4.800000000000000000e+01,9.205352329810466472e+00,7.708208107285665392e+03
4.900000000000000000e+01,9.207228706129171769e+00,7.717413459615475404e+03
5.000000000000000000e+01,9.204574295841666753e+00,7.726620688321604575e+03
5.100000000000000000e+01,9.206432402338577958e+00,7.735825262617446242e+03
5.200000000000000000e+01,9.205572483740070311e+00,7.745031695019784820e+03
5.300000000000000000e+01,9.208818248411716922e+00,7.754237267503524890e+03
5.400000000000000000e+01,9.204859031396608771e+00,7.763446085751937062e+03
5.500000000000000000e+01,9.206579555697317119e+00,7.772650944783333216e+03
5.600000000000000000e+01,9.205754071964747709e+00,7.781857524339030533e+03
5.700000000000000000e+01,9.210519202807518013e+00,7.791063278410994826e+03
5.800000000000000000e+01,9.205165528663656005e+00,7.800273797613803254e+03
5.900000000000000000e+01,9.206717721684526623e+00,7.809478963142466455e+03
6.000000000000000000e+01,9.205828925885725766e+00,7.818685680864151436e+03
6.100000000000000000e+01,9.211957123369757028e+00,7.827891509790037162e+03
6.200000000000000000e+01,9.205398619246807357e+00,7.837103466913406010e+03
6.300000000000000000e+01,9.206816308381348790e+00,7.846308865532653726e+03
6.400000000000000000e+01,9.205717442689547170e+00,7.855515681841034166e+03
6.500000000000000000e+01,9.212754099229186977e+00,7.864721399283724168e+03
6.600000000000000000e+01,9.205487532780807669e+00,7.873934153382953809e+03
6.700000000000000000e+01,9.206824563977534126e+00,7.883139640915734162e+03
6.800000000000000000e+01,9.205504185610607237e+00,7.892346465479711696e+03
6.900000000000000000e+01,9.212709241881839262e+00,7.901551969665322758e+03
7.000000000000000000e+01,9.205513756784966972e+00,7.910764678907204143e+03
7.100000000000000000e+01,9.206674228827068873e+00,7.919970192663989110e+03
7.200000000000000000e+01,9.205272428873286117e+00,7.929176866892816179e+03
7.300000000000000000e+01,9.211797990569266403e+00,7.938382139321689465e+03
7.400000000000000000e+01,9.205499838638388610e+00,7.947593937312258277e+03
7.500000000000000000e+01,9.206341537410480669e+00,7.956799437150897575e+03
7.600000000000000000e+01,9.205022532942621183e+00,7.966005778688308055e+03
7.700000000000000000e+01,9.210216805235177162e+00,7.975210801221250222e+03
7.800000000000000000e+01,9.205518054671301797e+00,7.984421018026485399e+03
7.900000000000000000e+01,9.205926301152430824e+00,7.993626536081156701e+03
8.000000000000000000e+01,9.204832173218164826e+00,8.002832462382309131e+03
8.100000000000000000e+01,9.208317003546198976e+00,8.012037294555527296e+03
8.200000000000000000e+01,9.205597265674441587e+00,8.021245611559073950e+03
8.300000000000000000e+01,9.205526951277533954e+00,8.030451208824748392e+03
8.400000000000000000e+01,9.204723134593677969e+00,8.039656735776025016e+03
8.500000000000000000e+01,9.206463408760555467e+00,8.048861458910619149e+03
8.600000000000000000e+01,9.205688490024385828e+00,8.058067922319380159e+03
8.700000000000000000e+01,9.205207662152133707e+00,8.067273610809404090e+03
8.800000000000000000e+01,9.204768618134949065e+00,8.076478818471556224e+03
8.900000000000000000e+01,9.205052526111558109e+00,8.085683587089691173e+03
9.000000000000000000e+01,9.205818065784569626e+00,8.094888639615803186e+03
9.100000000000000000e+01,9.205043927052884101e+00,8.104094457681587301e+03
9.200000000000000000e+01,9.205065299002399115e+00,8.113299501608640639e+03
9.300000000000000000e+01,9.204328334013098356e+00,8.122504566907642584e+03
9.400000000000000000e+01,9.205979922011465533e+00,8.131708895241656137e+03
9.500000000000000000e+01,9.205032180757370952e+00,8.140914875163667602e+03
