Epoch,Modified period,Transit peak
0.000000000000000000e+00,1.235367494201318550e+01,7.270061090526756743e+03
1.000000000000000000e+00,1.235072313076716455e+01,7.282414765468769474e+03
2.000000000000000000e+00,1.235437237363703389e+01,7.294765488599536184e+03
3.000000000000000000e+00,1.235358277160594298e+01,7.307119860973173672e+03
4.000000000000000000e+00,1.234923889354058701e+01,7.319473443744779615e+03
5.000000000000000000e+00,1.235418678880932930e+01,7.331822682638319748e+03
6.000000000000000000e+00,1.235362154769973131e+01,7.344176869427129532e+03
7.000000000000000000e+00,1.234818992463578979e+01,7.356530490974829263e+03
8.000000000000000000e+00,1.235400151881731290e+01,7.368878680899464598e+03
9.000000000000000000e+00,1.235369861741082786e+01,7.381232682418281911e+03
1.000000000000000000e+01,1.234769389042639887e+01,7.393586381035693194e+03
1.100000000000000000e+01,1.235384769394659088e+01,7.405934074926119138e+03
1.200000000000000000e+01,1.235390020717704829e+01,7.418287922620065729e+03
1.300000000000000000e+01,1.234795103774013114e+01,7.430641822827243232e+03
1.400000000000000000e+01,1.235378666293763672e+01,7.442989773864983363e+03
1.500000000000000000e+01,1.235412827007212400e+01,7.455343560527920999e+03
1.600000000000000000e+01,1.234887426437353497e+01,7.467697688797992669e+03
1.700000000000000000e+01,1.235385160198575250e+01,7.480046563062366658e+03
1.800000000000000000e+01,1.235441264142991713e+01,7.492400414664352866e+03
1.900000000000000000e+01,1.235029987058442202e+01,7.504754827305781873e+03
2.000000000000000000e+01,1.235393980877734066e+01,7.517105127176366295e+03
2.100000000000000000e+01,1.235462482629782244e+01,7.529459066985144091e+03
2.200000000000000000e+01,1.235192089212887367e+01,7.541813691811441458e+03
2.300000000000000000e+01,1.235409840847114538e+01,7.554165612703571242e+03
2.400000000000000000e+01,1.235487129651664873e+01,7.566519711112041477e+03
2.500000000000000000e+01,1.235345770535195697e+01,7.578874582408558126e+03
2.600000000000000000e+01,1.235422459847359278e+01,7.591228040113910538e+03
2.700000000000000000e+01,1.235502108017271894e+01,7.603582264712384131e+03
2.800000000000000000e+01,1.235456934888952674e+01,7.615937285792557304e+03
2.900000000000000000e+01,1.235432489608729156e+01,7.628291855141445922e+03
3.000000000000000000e+01,1.235502481490448190e+01,7.640646180037533668e+03
3.100000000000000000e+01,1.235507403024575979e+01,7.653001204852438605e+03
3.200000000000000000e+01,1.235431169361618231e+01,7.665356278882683910e+03
3.300000000000000000e+01,1.235458325828858506e+01,7.677710590576300092e+03
3.400000000000000000e+01,1.235521661406346539e+01,7.690065173834588677e+03
3.500000000000000000e+01,1.235431819442328560e+01,7.702420390448652142e+03
3.600000000000000000e+01,1.235358851706541827e+01,7.714774708643075428e+03
3.700000000000000000e+01,1.235517972934076170e+01,7.727128297160141301e+03
3.800000000000000000e+01,1.235424190262483535e+01,7.739483476889481608e+03
3.900000000000000000e+01,1.235212505235131175e+01,7.751837718792106898e+03
4.000000000000000000e+01,1.235506590620161660e+01,7.764189843844457755e+03
4.100000000000000000e+01,1.235419042683724911e+01,7.776544909750658917e+03
4.200000000000000000e+01,1.235053656623767893e+01,7.788899100177496621e+03
4.300000000000000000e+01,1.235486224189526183e+01,7.801249636743734300e+03
4.400000000000000000e+01,1.235416531483997460e+01,7.813604498985629107e+03
4.500000000000000000e+01,1.234921496679180564e+01,7.825958664300469536e+03
4.600000000000000000e+01,1.235469377173285466e+01,7.838307879267261342e+03
4.700000000000000000e+01,1.235425492212561949e+01,7.850662573038994196e+03
4.800000000000000000e+01,1.234840865683236188e+01,7.863016827961119816e+03
4.900000000000000000e+01,1.235446573557828742e+01,7.875365236617952178e+03
5.000000000000000000e+01,1.235437315799163116e+01,7.887719702353530010e+03
5.100000000000000000e+01,1.234832281096760198e+01,7.900074075511522096e+03
5.200000000000000000e+01,1.235433667884171882e+01,7.912422398322489244e+03
5.300000000000000000e+01,1.235457465867557403e+01,7.924776735001330962e+03
5.400000000000000000e+01,1.234896841702038728e+01,7.937131309660006991e+03
5.500000000000000000e+01,1.235427068552235141e+01,7.949480278077027833e+03
5.600000000000000000e+01,1.235479246514978513e+01,7.961834548762550185e+03
5.700000000000000000e+01,1.235024701008069314e+01,7.974189341227699515e+03
5.800000000000000000e+01,1.235431776449104291e+01,7.986539588237779753e+03
5.900000000000000000e+01,1.235498542870118399e+01,7.998893906002271251e+03
6.000000000000000000e+01,1.235179192278883420e+01,8.011248891430972435e+03
6.100000000000000000e+01,1.235435787506094130e+01,8.023600683353761269e+03
6.200000000000000000e+01,1.235514960537057050e+01,8.035955041228822665e+03
6.300000000000000000e+01,1.235337035633619962e+01,8.048310190834192326e+03
6.400000000000000000e+01,1.235446518554181239e+01,8.060663561190529435e+03
6.500000000000000000e+01,1.235527021821280869e+01,8.073018026376070338e+03
6.600000000000000000e+01,1.235455893963444396e+01,8.085373296594283602e+03
6.700000000000000000e+01,1.235451420484014307e+01,8.097727855533918046e+03
6.800000000000000000e+01,1.235527339210375430e+01,8.110082369738758644e+03
6.900000000000000000e+01,1.235519032191996303e+01,8.122437643130861943e+03
7.000000000000000000e+01,1.235450612313570673e+01,8.134792833452782361e+03
7.100000000000000000e+01,1.235488474657813640e+01,8.147147339575917613e+03
7.200000000000000000e+01,1.235528761872365067e+01,8.159502224322495749e+03
7.300000000000000000e+01,1.235444291298153985e+01,8.171857511941219855e+03
7.400000000000000000e+01,1.235396850409097169e+01,8.184211954854201394e+03
7.500000000000000000e+01,1.235524880385764845e+01,8.196565923358291911e+03
7.600000000000000000e+01,1.235435337284343404e+01,8.208921172162150469e+03
7.700000000000000000e+01,1.235252392112215603e+01,8.221275525534992994e+03
7.800000000000000000e+01,1.235506039611209417e+01,8.233628049456114240e+03
7.900000000000000000e+01,1.235422572616153047e+01,8.245983109852226335e+03
8.000000000000000000e+01,1.235089874667482945e+01,8.258337335578387865e+03
8.100000000000000000e+01,1.235482198790396069e+01,8.270688234325063604e+03
8.200000000000000000e+01,1.235409741932562611e+01,8.283043056312966655e+03
8.300000000000000000e+01,1.234938754324866750e+01,8.295397153732294100e+03
8.400000000000000000e+01,1.235454236000441597e+01,8.307746541275540949e+03
8.500000000000000000e+01,1.235407084582857351e+01,8.320101083635545365e+03
8.600000000000000000e+01,1.234838571060481627e+01,8.332455154481374848e+03
8.700000000000000000e+01,1.235427511831585434e+01,8.344803540191980574e+03
8.800000000000000000e+01,1.235407782610673166e+01,8.357157815310296428e+03
8.900000000000000000e+01,1.234796988402194984e+01,8.369511893136401341e+03
9.000000000000000000e+01,1.235401271545197233e+01,8.381859863020425109e+03
9.100000000000000000e+01,1.235417946829875291e+01,8.394213875735877082e+03
9.200000000000000000e+01,1.234831503108034667e+01,8.406568055204174016e+03
9.300000000000000000e+01,1.235386004390966264e+01,8.418916370235256181e+03
9.400000000000000000e+01,1.235430429383541195e+01,8.431270230279165844e+03
9.500000000000000000e+01,1.234927614554726460e+01,8.443624534573000346e+03
9.600000000000000000e+01,1.235382368117188889e+01,8.455973810718547611e+03
