Epoch,Modified period,Transit peak
0.000000000000000000e+00,1.876791878333187924e+01,7.268422830145116677e+03
1.000000000000000000e+00,1.876957485962930150e+01,7.287190748928448556e+03
2.000000000000000000e+00,1.876904430717831929e+01,7.305960323788078313e+03
3.000000000000000000e+00,1.876986680203845026e+01,7.324729368095256177e+03
4.000000000000000000e+00,1.876984915663661013e+01,7.343499234897294627e+03
5.000000000000000000e+00,1.877008046356877458e+01,7.362269084053930783e+03
6.000000000000000000e+00,1.876999343064835557e+01,7.381039164517500467e+03
7.000000000000000000e+00,1.877007412376315187e+01,7.399809157948147913e+03
8.000000000000000000e+00,1.876975726998398386e+01,7.418579232071911974e+03
9.000000000000000000e+00,1.876943581933528549e+01,7.437348989341895503e+03
1.000000000000000000e+01,1.876928128896315684e+01,7.456118425161230334e+03
1.100000000000000000e+01,1.876830802677704924e+01,7.474887706450193946e+03
1.200000000000000000e+01,1.876887408184802553e+01,7.493656014476970995e+03
1.300000000000000000e+01,1.876690190629915378e+01,7.512424888558818566e+03
1.400000000000000000e+01,1.876846038421035701e+01,7.531191790465118174e+03
1.500000000000000000e+01,1.876561153251577707e+01,7.549960250849328077e+03
1.600000000000000000e+01,1.876829434999672230e+01,7.568725862381844308e+03
1.700000000000000000e+01,1.876466360282802270e+01,7.587494156731841031e+03
1.800000000000000000e+01,1.876819053786221048e+01,7.606258820334669508e+03
1.900000000000000000e+01,1.876436966098981429e+01,7.625027010872530809e+03
2.000000000000000000e+01,1.876827384738498949e+01,7.643791380533521078e+03
2.100000000000000000e+01,1.876465181271578331e+01,7.662559654380906068e+03
2.200000000000000000e+01,1.876834598374580310e+01,7.681324306193621851e+03
2.300000000000000000e+01,1.876547964273822799e+01,7.700092652177367199e+03
2.400000000000000000e+01,1.876857502271241174e+01,7.718858131820105882e+03
2.500000000000000000e+01,1.876659669104901695e+01,7.737626706842818749e+03
2.600000000000000000e+01,1.876872886647379346e+01,7.756393303533866856e+03
2.700000000000000000e+01,1.876784252710831424e+01,7.775162032400341559e+03
2.800000000000000000e+01,1.876895770291457666e+01,7.793929874927449418e+03
2.900000000000000000e+01,1.876879004929151051e+01,7.812698832630363540e+03
3.000000000000000000e+01,1.876911606709836633e+01,7.831467622679655506e+03
3.100000000000000000e+01,1.876923856435678317e+01,7.850236738746753872e+03
3.200000000000000000e+01,1.876927544142699844e+01,7.869005977311110655e+03
3.300000000000000000e+01,1.876907076805719043e+01,7.887775252752537199e+03
3.400000000000000000e+01,1.876893046235545626e+01,7.906544323520594844e+03
3.500000000000000000e+01,1.876866172102518249e+01,7.925313253982950300e+03
3.600000000000000000e+01,1.876808931154573656e+01,7.944081915703975028e+03
3.700000000000000000e+01,1.876818276554104159e+01,7.962850005015521674e+03
3.800000000000000000e+01,1.876677347289432873e+01,7.981618187781062261e+03
3.900000000000000000e+01,1.876782287102696500e+01,8.000384961253956135e+03
4.000000000000000000e+01,1.876544533747892274e+01,8.019152784124983555e+03
4.100000000000000000e+01,1.876759202087123413e+01,8.037918229462462477e+03
4.200000000000000000e+01,1.876426192988947150e+01,8.056685821483333712e+03
4.300000000000000000e+01,1.876756352171969411e+01,8.075450083413223183e+03
4.400000000000000000e+01,1.876370194281480508e+01,8.094217646934943332e+03
4.500000000000000000e+01,1.876757716054908087e+01,8.112981348877758137e+03
4.600000000000000000e+01,1.876373927980375811e+01,8.131748926038306308e+03
4.700000000000000000e+01,1.876767025243998432e+01,8.150512665318110521e+03
4.800000000000000000e+01,1.876443922975840906e+01,8.169280335570550960e+03
4.900000000000000000e+01,1.876780153692288877e+01,8.188044774800308915e+03
5.000000000000000000e+01,1.876546096320907964e+01,8.206812576337231803e+03
5.100000000000000000e+01,1.876806183103872172e+01,8.225578037300441792e+03
5.200000000000000000e+01,1.876674100854143035e+01,8.244346099131478695e+03
5.300000000000000000e+01,1.876830354526100564e+01,8.263112840140020126e+03
5.400000000000000000e+01,1.876784149542800151e+01,8.281881143685281131e+03
5.500000000000000000e+01,1.876860756545920594e+01,8.300648985180709133e+03
5.600000000000000000e+01,1.876862141874789813e+01,8.319417592746169248e+03
5.700000000000000000e+01,1.876882492188087781e+01,8.338186214164918056e+03
5.800000000000000000e+01,1.876876133567475335e+01,8.356955039086798934e+03
5.900000000000000000e+01,1.876882309051688935e+01,8.375723800422472777e+03
6.000000000000000000e+01,1.876854743035346473e+01,8.394492623512989667e+03
6.100000000000000000e+01,1.876819789582532394e+01,8.413261170943344041e+03
6.200000000000000000e+01,1.876811378601178149e+01,8.432029368839168455e+03
6.300000000000000000e+01,1.876711955993050651e+01,8.450797482625181146e+03
6.400000000000000000e+01,1.876774740797645791e+01,8.469564602185109834e+03
6.500000000000000000e+01,1.876577678261492110e+01,8.488332349593087201e+03
6.600000000000000000e+01,1.876738113552710274e+01,8.507098126375702122e+03
6.700000000000000000e+01,1.876456241031337413e+01,8.525865507511229225e+03
6.800000000000000000e+01,1.876726372298162460e+01,8.544630069921542599e+03
6.900000000000000000e+01,1.876366646752649103e+01,8.563397333644523314e+03
7.000000000000000000e+01,1.876721647802423831e+01,8.582161000112049805e+03
7.100000000000000000e+01,1.876341576590129989e+01,8.600928216590074953e+03
7.200000000000000000e+01,1.876733952893664537e+01,8.619691632355976253e+03
7.300000000000000000e+01,1.876371910145735455e+01,8.638458971884912899e+03
7.400000000000000000e+01,1.876744285996574035e+01,8.657222690986371163e+03
7.500000000000000000e+01,1.876457815718003985e+01,8.675990133846335084e+03
7.600000000000000000e+01,1.876768072323829983e+01,8.694754712003516033e+03
7.700000000000000000e+01,1.876570781085229100e+01,8.713522392726754333e+03
7.800000000000000000e+01,1.876784372808288026e+01,8.732288100537607534e+03
7.900000000000000000e+01,1.876697023992164759e+01,8.751055944265688595e+03
8.000000000000000000e+01,1.876807307706440042e+01,8.769822914505610242e+03
8.100000000000000000e+01,1.876791065601537412e+01,8.788590987582676462e+03
8.200000000000000000e+01,1.876824339405902720e+01,8.807358898238690017e+03
8.300000000000000000e+01,1.876836080742123158e+01,8.826127141632750863e+03
