#JWST Observations of TRAPPIST-1 b and c eclipses
#Program_ID,Visit,Date_start,Date_end,Filter,Flux(mJy),Error(mJy)
GTO_1177,1,2022-11-08T02:17:33,2022-11-08T07:47:10,F1500W,2.532,0.021
GTO_1177,2,2022-11-12T15:05:09,2022-11-12T20:34:15,F1500W,2.528,0.023
GTO_1177,3,2022-11-20T04:24:30,2022-11-20T09:54:11,F1500W,2.529,0.024
GTO_1177,4,2022-11-24T17:26:22,2022-11-24T23:00:44,F1500W,2.529,0.021
GTO_1177,5,2022-12-03T19:25:56,2022-12-04T00:37:36,F1500W,2.531,0.023
GTO_1279,1,2022-11-21T16:39:04,2022-11-21T21:46:11,F1280W,nan,nan
GTO_1279,2,2023-07-06T08:13:36,2023-07-06T13:12:41,F1280W,3.425,0.020
GTO_1279,3,2023-07-07T20:27:41,2023-07-08T01:28:53,F1280W,3.428,0.019
GTO_1279,4,2023-07-15T10:31:31,2023-07-15T15:02:53,F1280W,3.427,0.018
GTO_1279,5,2023-07-22T23:02:40,2023-07-23T04:03:14,F1280W,3.428,0.020
GO_2304,1,2022-10-27T12:55:21,2022-10-27T17:22:35,F1500W,2.546,0.020
GO_2304,2,2022-10-29T23:03:01,2022-10-30T03:22:25,F1500W,2.547,0.020
GO_2304,3,2022-11-06T05:42:51,2022-11-06T09:45:53,F1500W,2.546,0.021
GO_2304,4,2022-11-30T10:43:10,2022-11-30T15:03:50,F1500W,2.539,0.021
GO_3077,1,2023-11-22T18:33:39,2023-11-24T10:13:19,F1500W,2.496,0.08
GO_3077,2,2023-11-24T10:13:23,2023-11-25T06:55:41,F1500W,nan,nan
GO_5191,1,2024-10-30T08:46:02,2024-10-30T12:35:46,F1280W,3.416,0.016
GO_5191,2,2024-11-11T10:45:26,2024-11-11T15:14:22,F1280W,3.412,0.016
GO_5191,3,2024-11-23T12:39:00,2024-11-23T17:53:24,F1280W,3.403,0.020
GO_5191,4,2024-12-05T15:25:26,2024-12-05T20:31:59,F1280W,3.380,0.016
