JWST Observations
Program_ID,Visit,Date_start,Date_end
GTO_1177,1,2022-11-08T02:17:33,2022-11-08T07:47:10
GTO_1177,2,2022-11-12T15:05:09,2022-11-12T20:34:15
GTO_1177,3,2022-11-20T04:24:30,2022-11-20T09:54:11
GTO_1177,4,2022-11-24T17:26:22,2022-11-24T23:00:44
GTO_1177,5,2022-12-03T19:25:56,2022-12-04T00:37:36
GTO_1279,1,2022-11-21T16:39:04,2022-11-21T21:46:11
GTO_1279,2,2023-07-06T08:13:36,2023-07-06T13:12:41
GTO_1279,3,2023-07-07T20:27:41,2023-07-08T01:28:53
GTO_1279,4,2023-07-15T10:31:31,2023-07-15T15:02:53
GTO_1279,5,2023-07-22T23:02:40,2023-07-23T04:03:14
GTO_2304,1,2022-10-27T12:55:21,2022-10-27T17:22:35
GTO_2304,2,2022-10-29T23:03:01,2022-10-30T03:22:25
GTO_2304,3,2022-11-06T05:42:51,2022-11-06T09:45:53
GTO_2304,4,2022-11-30T10:43:10,2022-11-30T15:03:50
