Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.013335255787055939e+04,3.449960397830329040e+00
1.013335257878931770e+04,3.449960463333027416e+00
1.013335259970807601e+04,3.449960528828101225e+00
1.013335262062683432e+04,3.449960594315550910e+00
1.013335264154559445e+04,3.449960659795380913e+00
1.013335266246435276e+04,3.449960725267580131e+00
1.013335268338311107e+04,3.449960790732153448e+00
1.013335270430186938e+04,3.449960856189099978e+00
1.013335272522062769e+04,3.449960921638419276e+00
1.013335274613938600e+04,3.449960987080111785e+00
1.013335276705814431e+04,3.449961052514176174e+00
1.013335278797690262e+04,3.449961117940611999e+00
1.013335280889566275e+04,3.449961183359424144e+00
1.013335282981442106e+04,3.449961248770601951e+00
1.013335285073317937e+04,3.449961314174148974e+00
1.013335287165193768e+04,3.449961379570066544e+00
1.013335289257069599e+04,3.449961444958352441e+00
1.013335291348945429e+04,3.449961510339006665e+00
1.013335293440821260e+04,3.449961575712029660e+00
1.013335295532697091e+04,3.449961641077420094e+00
1.013335297624573104e+04,3.449961706435182851e+00
1.013335299716448935e+04,3.449961771785307274e+00
1.013335301808324766e+04,3.449961837127796915e+00
1.013335303900200597e+04,3.449961902462652663e+00
1.013335305992076428e+04,3.449961967789873185e+00
1.013335308083952259e+04,3.449962033109458925e+00
1.013335310175828090e+04,3.449962098421408552e+00
1.013335312267703921e+04,3.449962163725721176e+00
1.013335314359579934e+04,3.449962229022403903e+00
1.013335316451455765e+04,3.449962294311442523e+00
1.013335318543331596e+04,3.449962359592843697e+00
1.013335320635207427e+04,3.449962424866606536e+00
1.013335322727083258e+04,3.449962490132730597e+00
1.013335324818959089e+04,3.449962555391214991e+00
1.013335326910834920e+04,3.449962620642059719e+00
1.013335329002710751e+04,3.449962685885263891e+00
1.013335331094586763e+04,3.449962751120833282e+00
1.013335333186462594e+04,3.449962816348755901e+00
1.013335335278338425e+04,3.449962881569036632e+00
1.013335337370214256e+04,3.449962946781674145e+00
1.013335339462090087e+04,3.449963011986670214e+00
1.013335341553965918e+04,3.449963077184022175e+00
1.013335343645841749e+04,3.449963142373730474e+00
1.013335345737717762e+04,3.449963207555800437e+00
1.013335347829593593e+04,3.449963272730219188e+00
1.013335349921469424e+04,3.449963337896992943e+00
1.013335352013345255e+04,3.449963403056121702e+00
1.013335354105221086e+04,3.449963468207604134e+00
1.013335356197096917e+04,3.449963533351439349e+00
1.013335358288972748e+04,3.449963598487627348e+00
1.013335360380848579e+04,3.449963663616168130e+00
1.013335362472724591e+04,3.449963728737065249e+00
1.013335364564600422e+04,3.449963793850308491e+00
1.013335366656476253e+04,3.449963858955902740e+00
1.013335368748352084e+04,3.449963924053847553e+00
1.013335370840227915e+04,3.449963989144142484e+00
1.013335372932103746e+04,3.449964054226785759e+00
1.013335375023979577e+04,3.449964119301777821e+00
1.013335377115855408e+04,3.449964184369118669e+00
1.013335379207731421e+04,3.449964249428813190e+00
1.013335381299607252e+04,3.449964314480849392e+00
1.013335383391483083e+04,3.449964379525232161e+00
1.013335385483358914e+04,3.449964444561961940e+00
1.013335387575234745e+04,3.449964509591036954e+00
1.013335389667110576e+04,3.449964574612457646e+00
1.013335391758986407e+04,3.449964639626222684e+00
1.013335393850862238e+04,3.449964704632332513e+00
1.013335395942738251e+04,3.449964769630792016e+00
1.013335398034614082e+04,3.449964834621589205e+00
1.013335400126489913e+04,3.449964899604728519e+00
1.013335402218365743e+04,3.449964964580211291e+00
1.013335404310241574e+04,3.449965029548036188e+00
1.013335406402117405e+04,3.449965094508201879e+00
1.013335408493993236e+04,3.449965159460708808e+00
1.013335410585869067e+04,3.449965224405556086e+00
1.013335412677745080e+04,3.449965289342748598e+00
1.013335414769620911e+04,3.449965354272275686e+00
1.013335416861496742e+04,3.449965419194141347e+00
1.013335418953372573e+04,3.449965484108345137e+00
1.013335421045248404e+04,3.449965549014887500e+00
1.013335423137124235e+04,3.449965613913767992e+00
1.013335425229000066e+04,3.449965678804983948e+00
1.013335427320876079e+04,3.449965743688543363e+00
1.013335429412751910e+04,3.449965808564432912e+00
1.013335431504627741e+04,3.449965873432657482e+00
1.013335433596503572e+04,3.449965938293217960e+00
1.013335435688379403e+04,3.449966003146111682e+00
1.013335437780255234e+04,3.449966067991340424e+00
1.013335439872131064e+04,3.449966132828902854e+00
1.013335441964006895e+04,3.449966197658797640e+00
1.013335444055882908e+04,3.449966262481031887e+00
1.013335446147758739e+04,3.449966327295591384e+00
1.013335448239634570e+04,3.449966392102483237e+00
1.013335450331510401e+04,3.449966456901705669e+00
1.013335452423386232e+04,3.449966521693259125e+00
1.013335454515262063e+04,3.449966586477142716e+00
1.013335456607137894e+04,3.449966651253356442e+00
1.013335458699013725e+04,3.449966716021898971e+00
1.013335460790889738e+04,3.449966780782775633e+00
1.013335462882765569e+04,3.449966845535974880e+00
1.013335464974641400e+04,3.449966910281501598e+00
1.013335467066517231e+04,3.449966975019355786e+00
1.013335469158393062e+04,3.449967039749536557e+00
1.013335471250268893e+04,3.449967104472044355e+00
1.013335473342144724e+04,3.449967169186877403e+00
1.013335475434020555e+04,3.449967233894035257e+00
1.013335477525896567e+04,3.449967298593523690e+00
1.013335479617772398e+04,3.449967363285330713e+00
1.013335481709648229e+04,3.449967427969461653e+00
1.013335483801524060e+04,3.449967492645916067e+00
1.013335485893399891e+04,3.449967557314693511e+00
1.013335487985275722e+04,3.449967621975793097e+00
1.013335490077151553e+04,3.449967686629214381e+00
1.013335492169027384e+04,3.449967751274956473e+00
1.013335494260903397e+04,3.449967815913025593e+00
1.013335496352779228e+04,3.449967880543409304e+00
1.013335498444655059e+04,3.449967945166113381e+00
1.013335500536530890e+04,3.449968009781136047e+00
1.013335502628406721e+04,3.449968074388478190e+00
1.013335504720282552e+04,3.449968138988138922e+00
1.013335506812158383e+04,3.449968203580116910e+00
1.013335508904034396e+04,3.449968268164417928e+00
1.013335510995910226e+04,3.449968332741030430e+00
1.013335513087786057e+04,3.449968397309959300e+00
1.013335515179661888e+04,3.449968461871204983e+00
1.013335517271537719e+04,3.449968526424765258e+00
1.013335519363413550e+04,3.449968590970640570e+00
1.013335521455289381e+04,3.449968655508830917e+00
1.013335523547165212e+04,3.449968720039334524e+00
1.013335525639041225e+04,3.449968784562157609e+00
1.013335527730917056e+04,3.449968849077288180e+00
1.013335529822792887e+04,3.449968913584731567e+00
1.013335531914668718e+04,3.449968978084486881e+00
1.013335534006544549e+04,3.449969042576553235e+00
1.013335536098420380e+04,3.449969107060930629e+00
1.013335538190296211e+04,3.449969171537619950e+00
1.013335540282172042e+04,3.449969236006618090e+00
1.013335542374048055e+04,3.449969300467932154e+00
1.013335544465923886e+04,3.449969364921549264e+00
1.013335546557799717e+04,3.449969429367474749e+00
1.013335548649675547e+04,3.449969493805708165e+00
1.013335550741551378e+04,3.449969558236250400e+00
1.013335552833427209e+04,3.449969622659098789e+00
1.013335554925303040e+04,3.449969687074254221e+00
1.013335557017178871e+04,3.449969751481716251e+00
1.013335559109054884e+04,3.449969815881489765e+00
1.013335561200930715e+04,3.449969880273561884e+00
1.013335563292806546e+04,3.449969944657939269e+00
1.013335565384682377e+04,3.449970009034621032e+00
1.013335567476558208e+04,3.449970073403606730e+00
1.013335569568434039e+04,3.449970137764895473e+00
1.013335571660309870e+04,3.449970202118486817e+00
1.013335573752185701e+04,3.449970266464380764e+00
1.013335575844061714e+04,3.449970330802581753e+00
1.013335577935937545e+04,3.449970395133079126e+00
1.013335580027813376e+04,3.449970459455876437e+00
1.013335582119689207e+04,3.449970523770974573e+00
1.013335584211565038e+04,3.449970588078372646e+00
1.013335586303440869e+04,3.449970652378069769e+00
1.013335588395316699e+04,3.449970716670066384e+00
1.013335590487192530e+04,3.449970780954360716e+00
1.013335592579068543e+04,3.449970845230958538e+00
1.013335594670944374e+04,3.449970909499848748e+00
1.013335596762820205e+04,3.449970973761036230e+00
1.013335598854696036e+04,3.449971038014519209e+00
1.013335600946571867e+04,3.449971102260298572e+00
1.013335603038447698e+04,3.449971166498373432e+00
