Time (BJD_TBD - 2450000), F_b/F_star (ppm)
1.065014266203716397e+04,7.093892917337130939e+02
1.065014268332748725e+04,7.093998882532588368e+02
1.065014270461781052e+04,7.094104820714259176e+02
1.065014272590813380e+04,7.094210731881311176e+02
1.065014274719845707e+04,7.094316616032915590e+02
1.065014276848878217e+04,7.094422473177286292e+02
1.065014278977910544e+04,7.094528303295501246e+02
1.065014281106942872e+04,7.094634106395780009e+02
1.065014283235975199e+04,7.094739882477292667e+02
1.065014285365007527e+04,7.094845631539208171e+02
1.065014287494039854e+04,7.094951353580700015e+02
1.065014289623072182e+04,7.095057048600936014e+02
1.065014291752104509e+04,7.095162716599090800e+02
1.065014293881136837e+04,7.095268357574334459e+02
1.065014296010169346e+04,7.095373971534861539e+02
1.065014298139201674e+04,7.095479558461798888e+02
1.065014300268234001e+04,7.095585118363339916e+02
1.065014302397266329e+04,7.095690651238660394e+02
1.065014304526298656e+04,7.095796157086931544e+02
1.065014306655330984e+04,7.095901635907325726e+02
1.065014308784363311e+04,7.096007087699017575e+02
1.065014310913395639e+04,7.096112512461179449e+02
1.065014313042427966e+04,7.096217910192984846e+02
1.065014315171460476e+04,7.096323280902611259e+02
1.065014317300492803e+04,7.096428624571223054e+02
1.065014319429525131e+04,7.096533941207001135e+02
1.065014321558557458e+04,7.096639230809120136e+02
1.065014323687589786e+04,7.096744493376754690e+02
1.065014325816622113e+04,7.096849728909077157e+02
1.065014327945654441e+04,7.096954937405266719e+02
1.065014330074686768e+04,7.097060118864493461e+02
1.065014332203719096e+04,7.097165273285938838e+02
1.065014334332751605e+04,7.097270400677754196e+02
1.065014336461783932e+04,7.097375501021155060e+02
1.065014338590816260e+04,7.097480574324298459e+02
1.065014340719848587e+04,7.097585620586361301e+02
1.065014342848880915e+04,7.097690639806520494e+02
1.065014344977913242e+04,7.097795631983951807e+02
1.065014347106945570e+04,7.097900597117834423e+02
1.065014349235977897e+04,7.098005535207342973e+02
1.065014351365010225e+04,7.098110446251656640e+02
1.065014353494042734e+04,7.098215330258910853e+02
1.065014355623075062e+04,7.098320187210364338e+02
1.065014357752107389e+04,7.098425017114155935e+02
1.065014359881139717e+04,7.098529819969462551e+02
1.065014362010172044e+04,7.098634595775463367e+02
1.065014364139204372e+04,7.098739344531338702e+02
1.065014366268236699e+04,7.098844066236265462e+02
1.065014368397269027e+04,7.098948760889422829e+02
1.065014370526301354e+04,7.099053428489991120e+02
1.065014372655333864e+04,7.099158069046088713e+02
1.065014374784366191e+04,7.099262682539014122e+02
1.065014376913398519e+04,7.099367268976889136e+02
1.065014379042430846e+04,7.099471828358894072e+02
1.065014381171463174e+04,7.099576360684209249e+02
1.065014383300495501e+04,7.099680865952014983e+02
1.065014385429527829e+04,7.099785344161492731e+02
1.065014387558560156e+04,7.099889795311821672e+02
1.065014389687592484e+04,7.099994219402186673e+02
1.065014391816624993e+04,7.100098616440682235e+02
1.065014393945657321e+04,7.100202986408656898e+02
1.065014396074689648e+04,7.100307329314207436e+02
1.065014398203721976e+04,7.100411645156519853e+02
1.065014400332754303e+04,7.100515933934774466e+02
1.065014402461786631e+04,7.100620195648156141e+02
1.065014404590818958e+04,7.100724430295842922e+02
1.065014406719851286e+04,7.100828637877023084e+02
1.065014408848883613e+04,7.100932818390875809e+02
1.065014410977916123e+04,7.101036971845484231e+02
1.065014413106948450e+04,7.101141098222233268e+02
1.065014415235980778e+04,7.101245197529208326e+02
1.065014417365013105e+04,7.101349269765590861e+02
1.065014419494045433e+04,7.101453314930566876e+02
1.065014421623077760e+04,7.101557333023318961e+02
1.065014423752110088e+04,7.101661324043033119e+02
1.065014425881142415e+04,7.101765287988895352e+02
1.065014428010174743e+04,7.101869224860088252e+02
1.065014430139207252e+04,7.101973134664674490e+02
1.065014432268239580e+04,7.102077017384084456e+02
1.065014434397271907e+04,7.102180873026380823e+02
1.065014436526304235e+04,7.102284701590753002e+02
1.065014438655336562e+04,7.102388503076384723e+02
1.065014440784368890e+04,7.102492277482461986e+02
1.065014442913401217e+04,7.102596024808173070e+02
1.065014445042433545e+04,7.102699745052703975e+02
1.065014447171465872e+04,7.102803438215239566e+02
1.065014449300498381e+04,7.102907104303825463e+02
1.065014451429530709e+04,7.103010743299934120e+02
1.065014453558563036e+04,7.103114355211611155e+02
1.065014455687595364e+04,7.103217940038044844e+02
1.065014457816627691e+04,7.103321497778422327e+02
1.065014459945660019e+04,7.103425028431933015e+02
1.065014462074692347e+04,7.103528531997764048e+02
1.065014464203724674e+04,7.103632008475103703e+02
1.065014466332757002e+04,7.103735457863143665e+02
1.065014468461789511e+04,7.103838880169904542e+02
1.065014470590821838e+04,7.103942275376906537e+02
1.065014472719854166e+04,7.104045643492172530e+02
1.065014474848886493e+04,7.104148984514895346e+02
1.065014476977918821e+04,7.104252298444264397e+02
1.065014479106951148e+04,7.104355585279469096e+02
1.065014481235983476e+04,7.104458845019699993e+02
1.065014483365015803e+04,7.104562077664147637e+02
1.065014485494048131e+04,7.104665283212002578e+02
1.065014487623080640e+04,7.104768461671270643e+02
1.065014489752112968e+04,7.104871613023511827e+02
1.065014491881145295e+04,7.104974737276734231e+02
1.065014494010177623e+04,7.105077834430128405e+02
1.065014496139209950e+04,7.105180904482888309e+02
1.065014498268242278e+04,7.105283947434204492e+02
1.065014500397274605e+04,7.105386963283269779e+02
1.065014502526306933e+04,7.105489952029274718e+02
1.065014504655339260e+04,7.105592913671415545e+02
1.065014506784371770e+04,7.105695848217675348e+02
1.065014508913404097e+04,7.105798755649660734e+02
1.065014511042436425e+04,7.105901635975357067e+02
1.065014513171468752e+04,7.106004489193961717e+02
1.065014515300501080e+04,7.106107315304667509e+02
1.065014517429533407e+04,7.106210114306666128e+02
1.065014519558565735e+04,7.106312886199153809e+02
1.065014521687598062e+04,7.106415630981324512e+02
1.065014523816630390e+04,7.106518348652373334e+02
1.065014525945662899e+04,7.106621039220265175e+02
1.065014528074695227e+04,7.106723702666650979e+02
1.065014530203727554e+04,7.106826338999497921e+02
1.065014532332759882e+04,7.106928948218004507e+02
1.065014534461792209e+04,7.107031530321363562e+02
1.065014536590824537e+04,7.107134085308773592e+02
1.065014538719856864e+04,7.107236613179427422e+02
1.065014540848889192e+04,7.107339113932524697e+02
1.065014542977921519e+04,7.107441587567258239e+02
1.065014545106954029e+04,7.107544034091580443e+02
1.065014547235986356e+04,7.107646453487179770e+02
1.065014549365018684e+04,7.107748845762007477e+02
1.065014551494051011e+04,7.107851210915263209e+02
1.065014553623083339e+04,7.107953548946142064e+02
1.065014555752115666e+04,7.108055859853842549e+02
1.065014557881147994e+04,7.108158143637563171e+02
1.065014560010180321e+04,7.108260400296500165e+02
1.065014562139212649e+04,7.108362629829854313e+02
1.065014564268245158e+04,7.108464832245555272e+02
1.065014566397277486e+04,7.108567007525335839e+02
1.065014568526309813e+04,7.108669155677130220e+02
1.065014570655342141e+04,7.108771276700135786e+02
1.065014572784374468e+04,7.108873370593552181e+02
1.065014574913406796e+04,7.108975437356581324e+02
1.065014577042439123e+04,7.109077476988420585e+02
1.065014579171471451e+04,7.109179489488273020e+02
1.065014581300503778e+04,7.109281474855333727e+02
1.065014583429536287e+04,7.109383433097518719e+02
1.065014585558568615e+04,7.109485364196603996e+02
1.065014587687600942e+04,7.109587268160502163e+02
1.065014589816633270e+04,7.109689144988416274e+02
1.065014591945665597e+04,7.109790994679547111e+02
1.065014594074697925e+04,7.109892817233094320e+02
1.065014596203730252e+04,7.109994612648263228e+02
1.065014598332762580e+04,7.110096380924252344e+02
1.065014600461794907e+04,7.110198122060266996e+02
1.065014602590827417e+04,7.110299836064195915e+02
1.065014604719859744e+04,7.110401522917862849e+02
1.065014606848892072e+04,7.110503182629162211e+02
1.065014608977924399e+04,7.110604815197297057e+02
1.065014611106956727e+04,7.110706420621468169e+02
1.065014613235989054e+04,7.110807998900884286e+02
1.065014615365021382e+04,7.110909550034743916e+02
1.065014617494053709e+04,7.111011074022254661e+02
1.065014619623086037e+04,7.111112570862617304e+02
1.065014621752118546e+04,7.111214040563706931e+02
1.065014623881150874e+04,7.111315483107389355e+02
1.065014626010183201e+04,7.111416898501538526e+02
1.065014628139215529e+04,7.111518286745360911e+02
1.065014630268247856e+04,7.111619647838060700e+02
1.065014632397280184e+04,7.111720981778843225e+02
1.065014634526312511e+04,7.111822288566914949e+02
1.065014636655344839e+04,7.111923568201481203e+02
1.065014638784377166e+04,7.112024820681747315e+02
1.065014640913409676e+04,7.112126046015569045e+02
1.065014643042442003e+04,7.112227244184851997e+02
1.065014645171474331e+04,7.112328415197458753e+02
1.065014647300506658e+04,7.112429559052590093e+02
1.065014649429538986e+04,7.112530675749457032e+02
1.065014651558571313e+04,7.112631765287263761e+02
