Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.896128576389048249e+03,7.559640443690818756e+02
9.896128599245501391e+03,7.559907548742435210e+02
9.896128622101952715e+03,7.560174624340082801e+02
9.896128644958405857e+03,7.560441670523855464e+02
9.896128667814857181e+03,7.560708687248836668e+02
9.896128690671310324e+03,7.560975674555113528e+02
9.896128713527761647e+03,7.561242632397780881e+02
9.896128736384214790e+03,7.561509560816915609e+02
9.896128759240666113e+03,7.561776459767619372e+02
9.896128782097119256e+03,7.562043329289963367e+02
9.896128804953570580e+03,7.562310169339059485e+02
9.896128827810023722e+03,7.562576979954968692e+02
9.896128850666476865e+03,7.562843761114044128e+02
9.896128873522928188e+03,7.563110512792646887e+02
9.896128896379381331e+03,7.563377235030824295e+02
9.896128919235832655e+03,7.563643927783714389e+02
9.896128942092285797e+03,7.563910591091356537e+02
9.896128964948737121e+03,7.564177224908896733e+02
9.896128987805190263e+03,7.564443829276367524e+02
9.896129010661641587e+03,7.564710404148920588e+02
9.896129033518094730e+03,7.564976949566582789e+02
9.896129056374546053e+03,7.565243465484516037e+02
9.896129079230999196e+03,7.565509951942736961e+02
9.896129102087450519e+03,7.565776408896419980e+02
9.896129124943903662e+03,7.566042836385569217e+02
9.896129147800356805e+03,7.566309234386573053e+02
9.896129170656808128e+03,7.566575602875823279e+02
9.896129193513261271e+03,7.566841941893310377e+02
9.896129216369712594e+03,7.567108251394240597e+02
9.896129239226165737e+03,7.567374531418593051e+02
9.896129262082617061e+03,7.567640781921577400e+02
9.896129284939070203e+03,7.567907002943168209e+02
9.896129307795521527e+03,7.568173194438584233e+02
9.896129330651974669e+03,7.568439356447794353e+02
9.896129353508425993e+03,7.568705488926021872e+02
9.896129376364879136e+03,7.568971591913228849e+02
9.896129399221332278e+03,7.569237665385829814e+02
9.896129422077783602e+03,7.569503709320247253e+02
9.896129444934236744e+03,7.569769723756419353e+02
9.896129467790688068e+03,7.570035708649610342e+02
9.896129490647141211e+03,7.570301664039744765e+02
9.896129513503592534e+03,7.570567589882093671e+02
9.896129536360045677e+03,7.570833486216579331e+02
9.896129559216497000e+03,7.571099352998479617e+02
9.896129582072950143e+03,7.571365190267706566e+02
9.896129604929401467e+03,7.571630997979548283e+02
9.896129627785854609e+03,7.571896776173907710e+02
9.896129650642307752e+03,7.572162524827232346e+02
9.896129673498759075e+03,7.572428243915974235e+02
9.896129696355212218e+03,7.572693933480026089e+02
9.896129719211663542e+03,7.572959593474699886e+02
9.896129742068116684e+03,7.573225223939876969e+02
9.896129764924568008e+03,7.573490824830880683e+02
9.896129787781021150e+03,7.573756396187583277e+02
9.896129810637472474e+03,7.574021937965318330e+02
9.896129833493925616e+03,7.574287450203950129e+02
9.896129856350376940e+03,7.574552932858821350e+02
9.896129879206830083e+03,7.574818385969787187e+02
9.896129902063283225e+03,7.575083809513320148e+02
9.896129924919734549e+03,7.575349203465901837e+02
9.896129947776187691e+03,7.575614567867379492e+02
9.896129970632639015e+03,7.575879902673116248e+02
9.896129993489092158e+03,7.576145207922949112e+02
9.896130016345543481e+03,7.576410483572250314e+02
9.896130039201996624e+03,7.576675729660848901e+02
9.896130062058447947e+03,7.576940946144129612e+02
9.896130084914901090e+03,7.577206133061906712e+02
9.896130107771352414e+03,7.577471290369580856e+02
9.896130130627805556e+03,7.577736418106957217e+02
9.896130153484256880e+03,7.578001516229439858e+02
9.896130176340710022e+03,7.578266584776832815e+02
9.896130199197163165e+03,7.578531623725638156e+02
9.896130222053614489e+03,7.578796633052376137e+02
9.896130244910067631e+03,7.579061612796829195e+02
9.896130267766518955e+03,7.579326562914428678e+02
9.896130290622972097e+03,7.579591483444954747e+02
9.896130313479423421e+03,7.579856374343844436e+02
9.896130336335876564e+03,7.580121235650866538e+02
9.896130359192327887e+03,7.580386067321472865e+02
9.896130382048781030e+03,7.580650869395420841e+02
9.896130404905232353e+03,7.580915641828171374e+02
9.896130427761685496e+03,7.581180384659477340e+02
9.896130450618138639e+03,7.581445097865870366e+02
9.896130473474589962e+03,7.581709781423897994e+02
9.896130496331043105e+03,7.581974435373297183e+02
9.896130519187494428e+03,7.582239059669552717e+02
9.896130542043947571e+03,7.582503654352393596e+02
9.896130564900398895e+03,7.582768219377314836e+02
9.896130587756852037e+03,7.583032754784032932e+02
9.896130610613303361e+03,7.583297260528058814e+02
9.896130633469756503e+03,7.583561736649097611e+02
9.896130656326207827e+03,7.583826183102665937e+02
9.896130679182660970e+03,7.584090599928466645e+02
9.896130702039114112e+03,7.584354987103062058e+02
9.896130724895565436e+03,7.584619344603028139e+02
9.896130747752018578e+03,7.584883672468054101e+02
9.896130770608469902e+03,7.585147970653675884e+02
9.896130793464923045e+03,7.585412239199575879e+02
9.896130816321374368e+03,7.585676478061304806e+02
9.896130839177827511e+03,7.585940687278530277e+02
9.896130862034278834e+03,7.586204866806815517e+02
9.896130884890731977e+03,7.586469016685820179e+02
9.896130907747183301e+03,7.586733136871112038e+02
9.896130930603636443e+03,7.586997227402347335e+02
9.896130953460089586e+03,7.587261288256119087e+02
9.896130976316540909e+03,7.587525319409025997e+02
9.896130999172994052e+03,7.587789320900714074e+02
9.896131022029445376e+03,7.588053292686770419e+02
9.896131044885898518e+03,7.588317234806835359e+02
9.896131067742349842e+03,7.588581147216503950e+02
9.896131090598802984e+03,7.588845029955404016e+02
9.896131113455254308e+03,7.589108882979145392e+02
9.896131136311707451e+03,7.589372706327344531e+02
9.896131159168158774e+03,7.589636499955626050e+02
9.896131182024611917e+03,7.589900263903591622e+02
9.896131204881063240e+03,7.590163998126877232e+02
9.896131227737516383e+03,7.590427702665075458e+02
9.896131250593969526e+03,7.590691377494816834e+02
9.896131273450420849e+03,7.590955022592736441e+02
9.896131296306873992e+03,7.591218637998420036e+02
9.896131319163325315e+03,7.591482223667521794e+02
9.896131342019778458e+03,7.591745779639614966e+02
9.896131364876229782e+03,7.592009305870373055e+02
9.896131387732682924e+03,7.592272802399355669e+02
9.896131410589134248e+03,7.592536269182243132e+02
9.896131433445587390e+03,7.592799706258592778e+02
9.896131456302038714e+03,7.593063113584092889e+02
9.896131479158491857e+03,7.593326491198286021e+02
9.896131502014944999e+03,7.593589839077833403e+02
9.896131524871396323e+03,7.593853157199398538e+02
9.896131547727849465e+03,7.594116445602513750e+02
9.896131570584300789e+03,7.594379704242894604e+02
9.896131593440753932e+03,7.594642933160065468e+02
