Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.014093855324061587e+04,2.559578763938462398e+00
1.014093857208740883e+04,2.559578806016312935e+00
1.014093859093419996e+04,2.559578848088258418e+00
1.014093860978099292e+04,2.559578890154308617e+00
1.014093862862778406e+04,2.559578932214453761e+00
1.014093864747457701e+04,2.559578974268702733e+00
1.014093866632136815e+04,2.559579016317047095e+00
1.014093868516816110e+04,2.559579058359493509e+00
1.014093870401495224e+04,2.559579100396034868e+00
1.014093872286174519e+04,2.559579142426678278e+00
1.014093874170853633e+04,2.559579184451416189e+00
1.014093876055532928e+04,2.559579226470255264e+00
1.014093877940212042e+04,2.559579268483188397e+00
1.014093879824891337e+04,2.559579310490223136e+00
1.014093881709570451e+04,2.559579352491349713e+00
1.014093883594249746e+04,2.559579394486577897e+00
1.014093885478928860e+04,2.559579436475898806e+00
1.014093887363608155e+04,2.559579478459319546e+00
1.014093889248287269e+04,2.559579520436832123e+00
1.014093891132966564e+04,2.559579562408444975e+00
1.014093893017645678e+04,2.559579604374148332e+00
1.014093894902324973e+04,2.559579646333951963e+00
1.014093896787004269e+04,2.559579688287849653e+00
1.014093898671683382e+04,2.559579730235838735e+00
1.014093900556362678e+04,2.559579772177926316e+00
1.014093902441041791e+04,2.559579814114103513e+00
1.014093904325721087e+04,2.559579856044379209e+00
1.014093906210400201e+04,2.559579897968744078e+00
1.014093908095079496e+04,2.559579939887206557e+00
1.014093909979758610e+04,2.559579981799757764e+00
1.014093911864437905e+04,2.559580023706406582e+00
1.014093913749117019e+04,2.559580065607143684e+00
1.014093915633796314e+04,2.559580107501977064e+00
1.014093917518475428e+04,2.559580149390898729e+00
1.014093919403154723e+04,2.559580191273916228e+00
1.014093921287833837e+04,2.559580233151021122e+00
1.014093923172513132e+04,2.559580275022221407e+00
1.014093925057192246e+04,2.559580316887509088e+00
1.014093926941871541e+04,2.559580358746891715e+00
1.014093928826550655e+04,2.559580400600360406e+00
1.014093930711229950e+04,2.559580442447923598e+00
1.014093932595909064e+04,2.559580484289573299e+00
1.014093934480588359e+04,2.559580526125316613e+00
1.014093936365267473e+04,2.559580567955145103e+00
1.014093938249946768e+04,2.559580609779067206e+00
1.014093940134626064e+04,2.559580651597078038e+00
1.014093942019305177e+04,2.559580693409174046e+00
1.014093943903984473e+04,2.559580735215361891e+00
1.014093945788663586e+04,2.559580777015634911e+00
1.014093947673342882e+04,2.559580818809999325e+00
1.014093949558021995e+04,2.559580860598448027e+00
1.014093951442701291e+04,2.559580902380987677e+00
1.014093953327380405e+04,2.559580944157610727e+00
1.014093955212059700e+04,2.559580985928324726e+00
1.014093957096738814e+04,2.559581027693121236e+00
1.014093958981418109e+04,2.559581069452008695e+00
1.014093960866097223e+04,2.559581111204978221e+00
1.014093962750776518e+04,2.559581152952037364e+00
1.014093964635455632e+04,2.559581194693179018e+00
1.014093966520134927e+04,2.559581236428409401e+00
1.014093968404814041e+04,2.559581278157720963e+00
1.014093970289493336e+04,2.559581319881121697e+00
1.014093972174172450e+04,2.559581361598603166e+00
