Time (BJD_TBD - 2450000), F_star + F_b (mJy)
9.913946643518749624e+03,2.558193910682988292e+00
9.913946661622412648e+03,2.558193990876780344e+00
9.913946679726073853e+03,2.558194071073405684e+00
9.913946697829736877e+03,2.558194151272880745e+00
9.913946715933398082e+03,2.558194231475188651e+00
9.913946734037061105e+03,2.558194311680345390e+00
9.913946752140722310e+03,2.558194391888334529e+00
9.913946770244385334e+03,2.558194472099170724e+00
9.913946788348046539e+03,2.558194552312838432e+00
9.913946806451709563e+03,2.558194632529352308e+00
9.913946824555372586e+03,2.558194712748704802e+00
9.913946842659033791e+03,2.558194792970887033e+00
9.913946860762696815e+03,2.558194873195914543e+00
9.913946878866358020e+03,2.558194953423771345e+00
9.913946896970021044e+03,2.558195033654472095e+00
9.913946915073682248e+03,2.558195113888000805e+00
9.913946933177345272e+03,2.558195194124373462e+00
9.913946951281006477e+03,2.558195274363572747e+00
9.913946969384669501e+03,2.558195354605615535e+00
9.913946987488332525e+03,2.558195434850491612e+00
9.913947005591993729e+03,2.558195515098193429e+00
9.913947023695656753e+03,2.558195595348736973e+00
9.913947041799317958e+03,2.558195675602105368e+00
9.913947059902980982e+03,2.558195755858313714e+00
9.913947078006642187e+03,2.558195836117346023e+00
9.913947096110305210e+03,2.558195916379217838e+00
9.913947114213966415e+03,2.558195996643912284e+00
9.913947132317629439e+03,2.558196076911445793e+00
9.913947150421292463e+03,2.558196157181809038e+00
9.913947168524953668e+03,2.558196237454994026e+00
9.913947186628616691e+03,2.558196317731016300e+00
9.913947204732277896e+03,2.558196398009859429e+00
9.913947222835940920e+03,2.558196478291538511e+00
9.913947240939602125e+03,2.558196558576037116e+00
9.913947259043265149e+03,2.558196638863371675e+00
9.913947277146926353e+03,2.558196719153524423e+00
9.913947295250589377e+03,2.558196799446512681e+00
9.913947313354252401e+03,2.558196879742325791e+00
9.913947331457913606e+03,2.558196960040957091e+00
9.913947349561576630e+03,2.558197040342421236e+00
9.913947367665237834e+03,2.558197120646702238e+00
9.913947385768900858e+03,2.558197200953814754e+00
9.913947403872562063e+03,2.558197281263743239e+00
9.913947421976225087e+03,2.558197361576503237e+00
9.913947440079888111e+03,2.558197441892085866e+00
9.913947458183549315e+03,2.558197522210483132e+00
9.913947476287212339e+03,2.558197602531710135e+00
9.913947494390873544e+03,2.558197682855750443e+00
9.913947512494536568e+03,2.558197763182619600e+00
9.913947530598197773e+03,2.558197843512301617e+00
9.913947548701860796e+03,2.558197923844811594e+00
9.913947566805522001e+03,2.558198004180132656e+00
9.913947584909185025e+03,2.558198084518281679e+00
9.913947603012848049e+03,2.558198164859248891e+00
9.913947621116509254e+03,2.558198245203026300e+00
9.913947639220172277e+03,2.558198325549629892e+00
9.913947657323833482e+03,2.558198405899042349e+00
9.913947675427496506e+03,2.558198486251280102e+00
9.913947693531157711e+03,2.558198566606326274e+00
9.913947711634820735e+03,2.558198646964196410e+00
9.913947729738481939e+03,2.558198727324873634e+00
9.913947747842144963e+03,2.558198807688373932e+00
9.913947765945807987e+03,2.558198888054688869e+00
9.913947784049469192e+03,2.558198968423810005e+00
9.913947802153132216e+03,2.558199048795753328e+00
9.913947820256793420e+03,2.558199129170501518e+00
9.913947838360456444e+03,2.558199209548070563e+00
9.913947856464117649e+03,2.558199289928443587e+00
9.913947874567780673e+03,2.558199370311637022e+00
9.913947892671441878e+03,2.558199450697633104e+00
9.913947910775104901e+03,2.558199531086448264e+00
9.913947928878767925e+03,2.558199611478074953e+00
9.913947946982429130e+03,2.558199691872502513e+00
9.913947965086092154e+03,2.558199772269748262e+00
9.913947983189753359e+03,2.558199852669794883e+00
9.913948001293416382e+03,2.558199933072658361e+00
9.913948019397077587e+03,2.558200013478321821e+00
9.913948037500740611e+03,2.558200093886801252e+00
9.913948055604401816e+03,2.558200174298079776e+00
9.913948073708064840e+03,2.558200254712173827e+00
9.913948091811727863e+03,2.558200335129073633e+00
9.913948109915389068e+03,2.558200415548771200e+00
9.913948128019052092e+03,2.558200495971282962e+00
9.913948146122713297e+03,2.558200576396591153e+00
9.913948164226376321e+03,2.558200656824711761e+00
9.913948182330037525e+03,2.558200737255628798e+00
9.913948200433700549e+03,2.558200817689358253e+00
9.913948218537361754e+03,2.558200898125881917e+00
