Time (BJD_TBD - 2450000), L_b/L_star (ppm)
7.260000000000000000e+03,7.118378138907033872e+02
7.260003000300030180e+03,7.083108345640744119e+02
7.260006000600060361e+03,7.047376150152347236e+02
7.260009000900089632e+03,7.011187115474790517e+02
7.260012001200119812e+03,6.974546875731758746e+02
7.260015001500149992e+03,6.937461135326326485e+02
7.260018001800180173e+03,6.899935668009131859e+02
7.260021002100210353e+03,6.861976315990367539e+02
7.260024002400239624e+03,6.823588989041940067e+02
7.260027002700269804e+03,6.784779663530716789e+02
7.260030003000299985e+03,6.745554381557908528e+02
7.260033003300330165e+03,6.705919249971974523e+02
7.260036003600360345e+03,6.665880439429441822e+02
7.260039003900389616e+03,6.625444183446536499e+02
7.260042004200419797e+03,6.584616777379558243e+02
7.260045004500449977e+03,6.543404577518323322e+02
7.260048004800480157e+03,6.501814000047662603e+02
7.260051005100510338e+03,6.459851520060710754e+02
7.260054005400539609e+03,6.417523670563705309e+02
7.260057005700569789e+03,6.374837041407447487e+02
7.260060006000599969e+03,6.331798278338341106e+02
7.260063006300630150e+03,6.288414081912527536e+02
7.260066006600660330e+03,6.244691206465469122e+02
7.260069006900690511e+03,6.200636459060399375e+02
7.260072007200719781e+03,6.156256698442042534e+02
7.260075007500749962e+03,6.111558833914904199e+02
7.260078007800780142e+03,6.066549824348294351e+02
7.260081008100810323e+03,6.021236677039212282e+02
7.260084008400840503e+03,5.975626446634817057e+02
7.260087008700869774e+03,5.929726234048055176e+02
7.260090009000899954e+03,5.883543185296416596e+02
7.260093009300930134e+03,5.837084490472877860e+02
7.260096009600960315e+03,5.790357382570917935e+02
7.260099009900990495e+03,5.743369136372325556e+02
7.260102010201019766e+03,5.696127067328962994e+02
7.260105010501049946e+03,5.648638530366500845e+02
7.260108010801080127e+03,5.600910918825260296e+02
7.260111011101110307e+03,5.552951663251984655e+02
7.260114011401140488e+03,5.504768230257269579e+02
7.260117011701169758e+03,5.456368121367818276e+02
7.260120012001199939e+03,5.407758871799816234e+02
7.260123012301230119e+03,5.358948049373817639e+02
7.260126012601260300e+03,5.309943253277911026e+02
7.260129012901290480e+03,5.260752112899284612e+02
7.260132013201319751e+03,5.211382286651407867e+02
7.260135013501349931e+03,5.161841460721814201e+02
7.260138013801380112e+03,5.112137347965259551e+02
7.260141014101410292e+03,5.062277686643118386e+02
7.260144014401440472e+03,5.012270239233583311e+02
7.260147014701469743e+03,4.962122791238376749e+02
7.260150015001499924e+03,4.911843149909801127e+02
7.260153015301530104e+03,4.861439143126462454e+02
7.260156015601560284e+03,4.810918618113818752e+02
7.260159015901590465e+03,4.760289440237642680e+02
7.260162016201619736e+03,4.709559491794890960e+02
7.260165016501649916e+03,4.658736670724994156e+02
7.260168016801680096e+03,4.607828889472520473e+02
7.260171017101710277e+03,4.556844073693824839e+02
7.260174017401740457e+03,4.505790161038510178e+02
7.260177017701769728e+03,4.454675099929128237e+02
7.260180018001799908e+03,4.403506848261734490e+02
7.260183018301830089e+03,4.352293372259913440e+02
7.260186018601860269e+03,4.301042645172585708e+02
7.260189018901890449e+03,4.249762646048157535e+02
7.260192019201920630e+03,4.198461358492301656e+02
7.260195019501949901e+03,4.147146769440573166e+02
7.260198019801980081e+03,4.095826867852715623e+02
7.260201020102010261e+03,4.044509643562234373e+02
7.260204020402040442e+03,3.993203085970261554e+02
7.260207020702070622e+03,3.941915182817261893e+02
7.260210021002099893e+03,3.890653918954993742e+02
7.260213021302130073e+03,3.839427275041228427e+02
7.260216021602160254e+03,3.788243226390486598e+02
7.260219021902190434e+03,3.737109741670250287e+02
7.260222022202220614e+03,3.686034781675866725e+02
7.260225022502249885e+03,3.635026298106630520e+02
7.260228022802280066e+03,3.584092232265969074e+02
7.260231023102310246e+03,3.533240513917873500e+02
7.260234023402340426e+03,3.482479059990463384e+02
7.260237023702370607e+03,3.431815773358905517e+02
7.260240024002399878e+03,3.381258541630343757e+02
7.260243024302430058e+03,3.330815235854646517e+02
7.260246024602460238e+03,3.280493709390933077e+02
7.260249024902490419e+03,3.230301796623585915e+02
7.260252025202520599e+03,3.180247311757874513e+02
7.260255025502549870e+03,3.130338047618503765e+02
7.260258025802580050e+03,3.080581774375897339e+02
7.260261026102610231e+03,3.030986238427271360e+02
7.260264026402640411e+03,2.981559161130051621e+02
7.260267026702670591e+03,2.932308237614923883e+02
7.260270027002699862e+03,2.883241135602640384e+02
7.260273027302730043e+03,2.834365494150829932e+02
7.260276027602760223e+03,2.785688922553943030e+02
7.260279027902790403e+03,2.737218999099021630e+02
7.260282028202820584e+03,2.688963269900779665e+02
7.260285028502849855e+03,2.640929247741293011e+02
7.260288028802880035e+03,2.593124410842189604e+02
7.260291029102910215e+03,2.545556201787749444e+02
7.260294029402940396e+03,2.498232026307889839e+02
7.260297029702970576e+03,2.451159252139786418e+02
7.260300030002999847e+03,2.404345207894959628e+02
7.260303030303030027e+03,2.357797181861636773e+02
7.260306030603060208e+03,2.311522420955201085e+02
7.260309030903090388e+03,2.265528129533098820e+02
7.260312031203120569e+03,2.219821468287454707e+02
7.260315031503150749e+03,2.174409553130247730e+02
7.260318031803180020e+03,2.129299454099086120e+02
7.260321032103210200e+03,2.084498194201889589e+02
7.260324032403240381e+03,2.040012748405553111e+02
7.260327032703270561e+03,1.995850042495247010e+02
7.260330033003300741e+03,1.952016952009884960e+02
7.260333033303330012e+03,1.908520301184825314e+02
7.260336033603360193e+03,1.865366861836800183e+02
7.260339033903390373e+03,1.822563352388739872e+02
7.260342034203420553e+03,1.780116436770957762e+02
7.260345034503450734e+03,1.738032723396914889e+02
7.260348034803480004e+03,1.696318764146956255e+02
