Time (BJD_TBD - 2450000), L_b/L_star (ppm)
9.879538437500130385e+03,7.534292226213742651e+02
9.879542286652405892e+03,7.570399254371174038e+02
9.879546135804683217e+03,7.605620258669508758e+02
9.879549984956958724e+03,7.639946212966145822e+02
9.879553834109236050e+03,7.673368320559245603e+02
9.879557683261511556e+03,7.705878016312314003e+02
9.879561532413788882e+03,7.737466968975536474e+02
9.879565381566064389e+03,7.768127083197936145e+02
9.879569230718341714e+03,7.797850501721396768e+02
9.879573079870617221e+03,7.826629607278330241e+02
9.879576929022892728e+03,7.854457024643211298e+02
9.879580778175170053e+03,7.881325622478452715e+02
9.879584627327445560e+03,7.907228515125890453e+02
9.879588476479722885e+03,7.932159064459127649e+02
9.879592325631998392e+03,7.956110881486771405e+02
9.879596174784275718e+03,7.979077828083973145e+02
9.879600023936551224e+03,8.001054018474919758e+02
9.879603873088828550e+03,8.022033820828005446e+02
9.879607722241104057e+03,8.042011858616019708e+02
9.879611571393379563e+03,8.060983012064585864e+02
9.879615420545656889e+03,8.078942419432320321e+02
9.879619269697932396e+03,8.095885478233421964e+02
9.879623118850209721e+03,8.111807846475380757e+02
9.879626968002485228e+03,8.126705443707650147e+02
9.879630817154762553e+03,8.140574452127524410e+02
9.879634666307038060e+03,8.153411317502237807e+02
9.879638515459315386e+03,8.165212750132210431e+02
9.879642364611590892e+03,8.175975725645596413e+02
9.879646213763868218e+03,8.185697485817945562e+02
9.879650062916143725e+03,8.194375539238365036e+02
9.879653912068419231e+03,8.202007661981391493e+02
9.879657761220696557e+03,8.208591898160908613e+02
9.879661610372972063e+03,8.214126560424276704e+02
9.879665459525249389e+03,0.000000000000000000e+00
9.879669308677524896e+03,0.000000000000000000e+00
9.879673157829802221e+03,0.000000000000000000e+00
9.879677006982077728e+03,0.000000000000000000e+00
9.879680856134355054e+03,0.000000000000000000e+00
9.879684705286630560e+03,0.000000000000000000e+00
9.879688554438906067e+03,0.000000000000000000e+00
9.879692403591183393e+03,0.000000000000000000e+00
9.879696252743458899e+03,0.000000000000000000e+00
9.879700101895736225e+03,8.211568067995384581e+02
9.879703951048011731e+03,8.205523150156520842e+02
9.879707800200289057e+03,8.198429444831282353e+02
9.879711649352564564e+03,8.190288769934776383e+02
9.879715498504841889e+03,8.181103211675272178e+02
9.879719347657117396e+03,8.170875124050348859e+02
9.879723196809392903e+03,8.159607128214476006e+02
9.879727045961670228e+03,8.147302111818094090e+02
9.879730895113945735e+03,8.133963228287262837e+02
9.879734744266223061e+03,8.119593895973597455e+02
9.879738593418498567e+03,8.104197797328664592e+02
9.879742442570775893e+03,8.087778877905971058e+02
9.879746291723051399e+03,8.070341345408023699e+02
9.879750140875328725e+03,8.051889668545962877e+02
9.879753990027604232e+03,8.032428575960257149e+02
9.879757839179879738e+03,8.011963054949085290e+02
9.879761688332157064e+03,7.990498350214235188e+02
9.879765537484432571e+03,7.968039962549611346e+02
9.879769386636709896e+03,7.944593647359372426e+02
9.879773235788985403e+03,7.920165413267878876e+02
9.879777084941262729e+03,7.894761520491232432e+02
9.879780934093538235e+03,7.868388479325307117e+02
9.879784783245815561e+03,7.841053048381314738e+02
9.879788632398091067e+03,7.812762232953476769e+02
9.879792481550366574e+03,7.783523283134478561e+02
9.879796330702643900e+03,7.753343691994219853e+02
9.879800179854919406e+03,7.722231193704359384e+02
9.879804029007196732e+03,7.690193761455345793e+02
9.879807878159472239e+03,7.657239605530728568e+02
9.879811727311749564e+03,7.623377171081996266e+02
9.879815576464025071e+03,7.588615136088902773e+02
9.879819425616302397e+03,7.552962409007558335e+02
9.879823274768577903e+03,7.516428126618840224e+02
9.879827123920853410e+03,7.479021651570045606e+02
9.879830973073130735e+03,7.440752570024183115e+02
9.879834822225406242e+03,7.401630689259445717e+02
9.879838671377683568e+03,7.361666035028284796e+02
9.879842520529959074e+03,7.320868849135991923e+02
9.879846369682236400e+03,7.279249586664953995e+02
9.879850218834511907e+03,7.236818913449540105e+02
9.879854067986789232e+03,7.193587703185434066e+02
9.879857917139064739e+03,7.149567034803421848e+02
9.879861766291342065e+03,7.104768189466764170e+02
9.879865615443617571e+03,7.059202647846566379e+02
9.879869464595893078e+03,7.012882087032357958e+02
9.879873313748170403e+03,6.965818377601482325e+02
9.879877162900445910e+03,6.918023580645359516e+02
9.879881012052723236e+03,6.869509944522038722e+02
9.879884861204998742e+03,6.820289901897942855e+02
9.879888710357276068e+03,6.770376066378390760e+02
9.879892559509551575e+03,6.719781229461126486e+02
9.879896408661828900e+03,6.668518357069583544e+02
9.879900257814104407e+03,6.616600586421333219e+02
9.879904106966379914e+03,6.564041222492609222e+02
9.879907956118657239e+03,6.510853734679963054e+02
9.879911805270932746e+03,6.457051753425208744e+02
9.879915654423210071e+03,6.402649066545678807e+02
9.879919503575485578e+03,6.347659615904169641e+02
9.879923352727762904e+03,6.292097493630434428e+02
9.879927201880038410e+03,6.235976938717622033e+02
9.879931051032315736e+03,6.179312333163229596e+02
9.879934900184591243e+03,6.122118198495538763e+02
9.879938749336866749e+03,6.064409191865395314e+02
9.879942598489144075e+03,6.006200102369242586e+02
9.879946447641419581e+03,5.947505847342705465e+02
9.879950296793696907e+03,5.888341468344633540e+02
9.879954145945972414e+03,5.828722127524202961e+02
9.879957995098249739e+03,5.768663103511721602e+02
9.879961844250525246e+03,5.708179787728465726e+02
9.879965693402802572e+03,5.647287680215335968e+02
9.879969542555078078e+03,5.586002385889235029e+02
9.879973391707353585e+03,5.524339610343096183e+02
9.879977240859630911e+03,5.462315155906466089e+02
9.879981090011906417e+03,5.399944917684608754e+02
9.879984939164183743e+03,5.337244879279447787e+02
9.879988788316459249e+03,5.274231108929218408e+02
9.879992637468736575e+03,5.210919755153636288e+02
9.879996486621012082e+03,5.147327042853685271e+02
9.880000335773289407e+03,5.083469268914358850e+02
9.880004184925564914e+03,5.019362798268608117e+02
9.880008034077840421e+03,4.955024059492579340e+02
9.880011883230117746e+03,4.890469540685473930e+02
9.880015732382393253e+03,4.825715785336155932e+02
9.880019581534670579e+03,4.760779387869768584e+02
9.880023430686946085e+03,4.695676989639817407e+02
9.880027279839223411e+03,4.630425274418053050e+02
9.880031128991498917e+03,4.565040964364957290e+02
9.880034978143776243e+03,4.499540815497746280e+02
9.880038827296051750e+03,4.433941613643384017e+02
9.880042676448329075e+03,4.368260169889336453e+02
9.880046525600604582e+03,4.302513316523300091e+02
9.880050374752880089e+03,4.236717902502452944e+02
9.880054223905157414e+03,4.170890789228532185e+02
9.880058073057432921e+03,4.105048846320206053e+02
9.880061922209710247e+03,4.039208947072109481e+02
9.880065771361985753e+03,3.973387964379582513e+02
9.880069620514263079e+03,3.907602766165795742e+02
9.880073469666538585e+03,3.841870211307764862e+02
9.880077318818815911e+03,3.776207145067293141e+02
9.880081167971091418e+03,3.710630395022442940e+02
9.880085017123366924e+03,3.645156766537872386e+02
9.880088866275644250e+03,3.579803038551391978e+02
9.880092715427919757e+03,3.514585959366482939e+02
9.880096564580197082e+03,3.449522242144130928e+02
9.880100413732472589e+03,3.384628560866290172e+02
9.880104262884749915e+03,3.319921545816868615e+02
9.880108112037025421e+03,3.255417779565185583e+02
9.880111961189302747e+03,3.191133792471752599e+02
9.880115810341578253e+03,3.127086058695837210e+02
9.880119659493853760e+03,3.063290991760732709e+02
9.880123508646131086e+03,2.999764940439115435e+02
9.880127357798406592e+03,2.936524184652861322e+02
9.880131206950683918e+03,2.873584931091161820e+02
9.880135056102959425e+03,2.810963309296300849e+02
9.880138905255236750e+03,2.748675367292204896e+02
9.880142754407512257e+03,2.686737067708499467e+02
9.880146603559789583e+03,2.625164283454339511e+02
9.880150452712065089e+03,2.563972793884736916e+02
9.880154301864340596e+03,2.503178280552710078e+02
9.880158151016617921e+03,2.442796323278662953e+02
9.880162000168893428e+03,2.382842396242497500e+02
9.880165849321170754e+03,2.323331863818806653e+02
9.880169698473446260e+03,2.264279976866081654e+02
9.880173547625723586e+03,2.205701868593374684e+02
9.880177396777999093e+03,2.147612550905355420e+02
9.880181245930276418e+03,2.090026910333748447e+02
9.880185095082551925e+03,2.032959704441947224e+02
9.880188944234827432e+03,1.976425557851994199e+02
9.880192793387104757e+03,1.920438958579493942e+02
9.880196642539380264e+03,1.865014254398982132e+02
9.880200491691657589e+03,1.810165648982502091e+02
9.880204340843933096e+03,1.755907198469110995e+02
9.880208189996210422e+03,1.702252807655370646e+02
9.880212039148485928e+03,1.649216226637068132e+02
9.880215888300763254e+03,1.596811047082651669e+02
9.880219737453038761e+03,1.545050698950549588e+02
9.880223586605316086e+03,1.493948446849401819e+02
9.880227435757591593e+03,1.443517386834349168e+02
9.880231284909867099e+03,1.393770442881119322e+02
9.880235134062144425e+03,1.344720363647863337e+02
9.880238983214419932e+03,1.296379719276131084e+02
9.880242832366697257e+03,1.248760898008120250e+02
9.880246681518972764e+03,1.201876103194640848e+02
9.880250530671250090e+03,1.155737349987759472e+02
9.880254379823525596e+03,1.110356462438902270e+02
9.880258228975802922e+03,1.065745070294278491e+02
9.880262078128078429e+03,1.021914606186070813e+02
9.880265927280353935e+03,9.788763025541030061e+01
9.880269776432631261e+03,9.366411888322234347e+01
9.880273625584906767e+03,8.952200886799710133e+01
9.880277474737184093e+03,8.546236170700534274e+01
9.880281323889459600e+03,8.148621777246046349e+01
9.880285173041736925e+03,7.759459602955539026e+01
9.880289022194012432e+03,7.378849379036384448e+01
9.880292871346289758e+03,7.006888644354548035e+01
9.880296720498565264e+03,6.643672721877169352e+01
9.880300569650840771e+03,6.289294693003247971e+01
9.880304418803118097e+03,5.943845374255999303e+01
9.880308267955393603e+03,5.607413294479867005e+01
9.880312117107670929e+03,5.280084671021384679e+01
9.880315966259946435e+03,4.961943388905710606e+01
9.880319815412223761e+03,4.653070978102233113e+01
9.880323664564499268e+03,4.353546593833284817e+01
9.880327513716776593e+03,4.063446995121461924e+01
9.880331362869052100e+03,3.782846526250793318e+01
9.880335212021327607e+03,3.511817096743686051e+01
9.880339061173604932e+03,3.250428163364273360e+01
9.880342910325880439e+03,2.998746712668817693e+01
9.880346759478157765e+03,2.756837242985968217e+01
9.880350608630433271e+03,2.524761748838979614e+01
9.880354457782710597e+03,2.302579704143983363e+01
9.880358306934986103e+03,2.090348047845736801e+01
9.880362156087263429e+03,1.888121168486105006e+01
9.880366005239538936e+03,1.695950891068029165e+01
9.880369854391814442e+03,1.513886463093529144e+01
9.880373703544091768e+03,1.341974542251265134e+01
9.880377552696367275e+03,1.180259184681668572e+01
9.880381401848644600e+03,1.028781833130152812e+01
9.880385251000920107e+03,8.875813069376828679e+00
9.880389100153197433e+03,7.566937915200687037e+00
9.880392949305472939e+03,6.361528296283522899e+00
9.880396798457750265e+03,5.259893122580791669e+00
9.880400647610025771e+03,4.262314711884893192e+00
9.880404496762301278e+03,3.369048713708237663e+00
9.880408345914578604e+03,2.580324045551880552e+00
9.880412195066854110e+03,1.896342835136833882e+00
9.880416044219131436e+03,1.317280366119339075e+00
9.880419893371406943e+03,8.432850357561529897e-01
9.880423742523684268e+03,4.744783146861237255e-01
9.880427591675959775e+03,2.109547175922451001e-01
9.880431440828237101e+03,5.278177758640212325e-02
9.880435289980512607e+03,2.989865003715679051e-08
9.880439139132789933e+03,5.262300089138744613e-02
9.880442988285065439e+03,2.106372047923899815e-01
9.880446837437340946e+03,4.740021472004610215e-01
9.880450686589618272e+03,8.426503356123837829e-01
9.880454535741893778e+03,1.316487295972508687e+00
9.880458384894171104e+03,1.895391598227504470e+00
9.880462234046446611e+03,2.579214885654210310e+00
9.880466083198723936e+03,3.367781915067286747e+00
9.880469932350999443e+03,4.260890599144016910e+00
9.880473781503276768e+03,5.258312061194211573e+00
9.880477630655552275e+03,6.359790690438992478e+00
9.880481479807827782e+03,7.565044210691652005e+00
9.880485328960105107e+03,8.873763751503945585e+00
9.880489178112380614e+03,1.028561392524496299e+01
9.880493027264657940e+03,1.180023291750104342e+01
9.880496876416933446e+03,1.341723257446212614e+01
9.880500725569210772e+03,1.513619850811914169e+01
9.880504574721486279e+03,1.695669019634753383e+01
9.880508423873763604e+03,1.887824110229744790e+01
9.880512273026039111e+03,2.090035878707213968e+01
9.880516122178314617e+03,2.302252504216284379e+01
9.880519971330591943e+03,2.524419601973841409e+01
9.880523820482867450e+03,2.756480236865605704e+01
9.880527669635144775e+03,2.998374938783369004e+01
9.880531518787420282e+03,3.250041716988499019e+01
9.880535367939697608e+03,3.511416076912456674e+01
9.880539217091973114e+03,3.782431035733713287e+01
9.880543066244250440e+03,4.063017140531401594e+01
9.880546915396525947e+03,4.353102485059680049e+01
9.880550764548801453e+03,4.652612729091983823e+01
9.880554613701078779e+03,4.961471117094576755e+01
9.880558462853354285e+03,5.279598497438767168e+01
9.880562312005631611e+03,5.606913343717778275e+01
9.880566161157907118e+03,5.943331774437170623e+01
9.880570010310184443e+03,6.288767575748185834e+01
9.880573859462459950e+03,6.643132222270551779e+01
9.880577708614737276e+03,7.006334901084322553e+01
9.880581557767012782e+03,7.378282533663264076e+01
9.880585406919288289e+03,7.758879800919075365e+01
9.880589256071565615e+03,8.148029167132455086e+01
9.880593105223841121e+03,8.545630904378444370e+01
9.880596954376118447e+03,8.951583119381075448e+01
9.880600803528393953e+03,9.365781778122712353e+01
9.880604652680671279e+03,9.788120734039331694e+01
9.880608501832946786e+03,1.021849175365732663e+02
9.880612350985224111e+03,1.065678454592667777e+02
9.880616200137499618e+03,1.110288678885875839e+02
9.880620049289776944e+03,1.155668415996779288e+02
9.880623898442052450e+03,1.201806036388215517e+02
9.880627747594327957e+03,1.248689716363940505e+02
9.880631596746605283e+03,1.296307441035963564e+02
9.880635445898880789e+03,1.344647007334498312e+02
9.880639295051158115e+03,1.393696027293626400e+02
9.880643144203433621e+03,1.443441931043261377e+02
9.880646993355710947e+03,1.493871970215804481e+02
9.880650842507986454e+03,1.544973221025190924e+02
9.880654691660263779e+03,1.596732587769452891e+02
9.880658540812539286e+03,1.649136805993628343e+02
9.880662389964814793e+03,1.702172446059477977e+02
9.880666239117092118e+03,1.755825916515088068e+02
9.880670088269367625e+03,1.810083467500525103e+02
9.880673937421644951e+03,1.864931194449751217e+02
9.880677786573920457e+03,1.920355041448835607e+02
9.880681635726197783e+03,1.976340805045406057e+02
9.880685484878473289e+03,2.032874137679081628e+02
9.880689334030750615e+03,2.089940551569950458e+02
9.880693183183026122e+03,2.147525422217662197e+02
9.880697032335301628e+03,2.205613992337407012e+02
9.880700881487578954e+03,2.264191375561939594e+02
9.880704730639854461e+03,2.323242560172404580e+02
9.880708579792131786e+03,2.382752413139734244e+02
9.880712428944407293e+03,2.442705683779571473e+02
9.880716278096684619e+03,2.503087007885530397e+02
9.880720127248960125e+03,2.563880911439977126e+02
9.880723976401237451e+03,2.625071814807769215e+02
9.880727825553512957e+03,2.686644036499118329e+02
9.880731674705788464e+03,2.748581797390188513e+02
9.880735523858065790e+03,2.810869224680870389e+02
9.880739373010341296e+03,2.873490355873437920e+02
9.880743222162618622e+03,2.936429143069695442e+02
9.880747071314894129e+03,2.999669456846876301e+02
9.880750920467171454e+03,3.063195090629060360e+02
9.880754769619446961e+03,3.126989764601376578e+02
9.880758618771724286e+03,3.191037130122174972e+02
9.880762467923999793e+03,3.255320773671572852e+02
9.880766317076275300e+03,3.319824221269312829e+02
9.880770166228552625e+03,3.384530942606208441e+02
9.880774015380828132e+03,3.449424355188224354e+02
9.880777864533105458e+03,3.514487828800300804e+02
9.880781713685380964e+03,3.579704689522917533e+02
9.880785562837658290e+03,3.645058224251073398e+02
9.880789411989933797e+03,3.710531684730813140e+02
9.880793261142211122e+03,3.776108292098397214e+02
9.880797110294486629e+03,3.841771240932700948e+02
9.880800959446762135e+03,3.907503703778772319e+02
9.880804808599039461e+03,3.973288835367379761e+02
9.880808657751314968e+03,4.039109776838590733e+02
9.880812506903592293e+03,4.104949660279786485e+02
9.880816356055867800e+03,4.170791612799681616e+02
9.880820205208145126e+03,4.236618761101179302e+02
9.880824054360420632e+03,4.302414235556631752e+02
9.880827903512697958e+03,4.368161174779872908e+02
9.880831752664973465e+03,4.433842729698563403e+02
9.880835601817250790e+03,4.499442068120649765e+02
9.880839450969526297e+03,4.564942378799700009e+02
9.880843300121801803e+03,4.630326875960187749e+02
9.880847149274079129e+03,4.695578803505982250e+02
9.880850998426354636e+03,4.760681439222184963e+02
9.880854847578631961e+03,4.825618099276193789e+02
9.880858696730907468e+03,4.890372142247198894e+02
9.880862545883184794e+03,4.954926973636353296e+02
9.880866395035460300e+03,5.019266049874686360e+02
9.880870244187737626e+03,5.083372882806750113e+02
9.880874093340013133e+03,5.147231043672850319e+02
9.880877942492288639e+03,5.210824167531585545e+02
9.880881791644565965e+03,5.274135957362249201e+02
9.880885640796841471e+03,5.337150188152122610e+02
9.880889489949118797e+03,5.399850711263470657e+02
9.880893339101394304e+03,5.462221458333865485e+02
9.880897188253671629e+03,5.524246445630965354e+02
9.880901037405947136e+03,5.585909777912958134e+02
9.880904886558224462e+03,5.647195652736481861e+02
9.880908735710499968e+03,5.708088364273249908e+02
9.880912584862775475e+03,5.768572307538149744e+02
9.880916434015052801e+03,5.828631982300628351e+02
9.880920283167328307e+03,5.888251996972624056e+02
9.880924132319605633e+03,5.947417072751154592e+02
9.880927981471881139e+03,6.006112047308458841e+02
9.880931830624158465e+03,6.064321878901317859e+02
9.880935679776433972e+03,6.122031650003910954e+02
9.880939528928711297e+03,6.179226571350798167e+02
9.880943378080986804e+03,6.235891985508817470e+02
9.880947227233262311e+03,6.292013370823174228e+02
9.880951076385539636e+03,6.347576345056658056e+02
9.880954925537815143e+03,6.402566668997789066e+02
9.880958774690092469e+03,6.456970250293010167e+02
9.880962623842367975e+03,6.510773146850325475e+02
9.880966472994645301e+03,6.563961570617815369e+02
9.880970322146920807e+03,6.616521890913825246e+02
9.880974171299198133e+03,6.668440638121095390e+02
9.880978020451473640e+03,6.719704506939981457e+02
9.880981869603749146e+03,6.770300359970698310e+02
9.880985718756026472e+03,6.820215231005038277e+02
9.880989567908301979e+03,6.869436328279872441e+02
9.880993417060579304e+03,6.917951037919619921e+02
9.880997266212854811e+03,6.965746926982734522e+02
9.881001115365132137e+03,7.012811746831300752e+02
9.881004964517407643e+03,7.059133436089323368e+02
9.881008813669684969e+03,7.104700123911633227e+02
9.881012662821960475e+03,7.149500132850907903e+02
9.881016511974237801e+03,7.193521982022515431e+02
9.881020361126513308e+03,7.236754389877387439e+02
9.881024210278788814e+03,7.279186277239684841e+02
9.881028059431066140e+03,7.320806770081950390e+02
9.881031908583341647e+03,7.361605202254510232e+02
9.881035757735618972e+03,7.401571118355594763e+02
9.881039606887894479e+03,7.440694276256527928e+02
9.881043456040171804e+03,7.478964649877563033e+02
9.881047305192447311e+03,7.516372431609394198e+02
9.881051154344724637e+03,7.552908034971202369e+02
9.881055003497000143e+03,7.588562096925995775e+02
9.881058852649275650e+03,7.623325480401975938e+02
9.881062701801552976e+03,7.657189276580397745e+02
9.881066550953828482e+03,7.690144807132534197e+02
9.881070400106105808e+03,7.722183626554627836e+02
9.881074249258381315e+03,7.753297524207627021e+02
9.881078098410658640e+03,7.783478526542477312e+02
9.881081947562934147e+03,7.812718899025865085e+02
9.881085796715211472e+03,7.841011148236448207e+02
9.881089645867486979e+03,7.868348023674678871e+02
9.881093495019762486e+03,7.894722519715585349e+02
9.881097344172039811e+03,7.920127877361965147e+02
9.881101193324315318e+03,7.944557585942540072e+02
9.881105042476592644e+03,7.968005384863347444e+02
9.881108891628868150e+03,7.990465265119782998e+02
9.881112740781145476e+03,8.011931470925184158e+02
9.881116589933420983e+03,8.032398501100964268e+02
9.881120439085698308e+03,8.051861110567537025e+02
9.881124288237973815e+03,8.070314311611126641e+02
9.881128137390249321e+03,8.087753375227529204e+02
9.881131986542526647e+03,8.104173832304261396e+02
9.881135835694802154e+03,8.119571474744767556e+02
9.881139684847079479e+03,8.133942356599911818e+02
9.881143533999354986e+03,8.147282795021019410e+02
9.881147383151632312e+03,8.159589371258006167e+02
9.881151232303907818e+03,8.170858931485070116e+02
9.881155081456185144e+03,8.181088587655451647e+02
9.881158930608460651e+03,8.190275718198944332e+02
