Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.891595520833507180e+03,3.448290066673472154e+00
9.891595543725843527e+03,3.448290112813505282e+00
9.891595566618178054e+03,3.448290158954274709e+00
9.891595589510514401e+03,3.448290205095788430e+00
9.891595612402848928e+03,3.448290251238039339e+00
9.891595635295185275e+03,3.448290297381033209e+00
9.891595658187519803e+03,3.448290343524764712e+00
9.891595681079856149e+03,3.448290389669238731e+00
9.891595703972190677e+03,3.448290435814449051e+00
9.891595726864527023e+03,3.448290481960402776e+00
9.891595749756863370e+03,3.448290528107095021e+00
9.891595772649197897e+03,3.448290574254524010e+00
9.891595795541534244e+03,3.448290620402695517e+00
9.891595818433868772e+03,3.448290666551601991e+00
9.891595841326205118e+03,3.448290712701250094e+00
9.891595864218539646e+03,3.448290758851634052e+00
9.891595887110875992e+03,3.448290805002759640e+00
9.891595910003210520e+03,3.448290851154620640e+00
9.891595932895546866e+03,3.448290897307221936e+00
9.891595955787881394e+03,3.448290943460558644e+00
9.891595978680217740e+03,3.448290989614636537e+00
9.891596001572554087e+03,3.448291035769452062e+00
9.891596024464888615e+03,3.448291081925001222e+00
9.891596047357224961e+03,3.448291128081291124e+00
9.891596070249559489e+03,3.448291174238314660e+00
9.891596093141895835e+03,3.448291220396078494e+00
9.891596116034230363e+03,3.448291266554575518e+00
9.891596138926566709e+03,3.448291312713812840e+00
9.891596161818901237e+03,3.448291358873783796e+00
9.891596184711237584e+03,3.448291405034493273e+00
9.891596207603573930e+03,3.448291451195939938e+00
9.891596230495908458e+03,3.448291497358118463e+00
9.891596253388244804e+03,3.448291543521036839e+00
9.891596276280579332e+03,3.448291589684686631e+00
9.891596299172915678e+03,3.448291635849075387e+00
9.891596322065250206e+03,3.448291682014196891e+00
9.891596344957586552e+03,3.448291728180056026e+00
9.891596367849921080e+03,3.448291774346647465e+00
9.891596390742257427e+03,3.448291820513976536e+00
9.891596413634591954e+03,3.448291866682036577e+00
9.891596436526928301e+03,3.448291912850835583e+00
9.891596459419264647e+03,3.448291959020368225e+00
9.891596482311599175e+03,3.448292005190631837e+00
9.891596505203935521e+03,3.448292051361632193e+00
9.891596528096270049e+03,3.448292097533364409e+00
9.891596550988606396e+03,3.448292143705832480e+00
9.891596573880940923e+03,3.448292189879031078e+00
9.891596596773277270e+03,3.448292236052965976e+00
9.891596619665611797e+03,3.448292282227631400e+00
9.891596642557948144e+03,3.448292328403033125e+00
9.891596665450284490e+03,3.448292374579167596e+00
9.891596688342619018e+03,3.448292420756030818e+00
9.891596711234955364e+03,3.448292466933630784e+00
9.891596734127289892e+03,3.448292513111959057e+00
9.891596757019626239e+03,3.448292559291024073e+00
9.891596779911960766e+03,3.448292605470816508e+00
9.891596802804297113e+03,3.448292651651345242e+00
9.891596825696631640e+03,3.448292697832601839e+00
9.891596848588967987e+03,3.448292744014593403e+00
9.891596871481304333e+03,3.448292790197315938e+00
9.891596894373638861e+03,3.448292836380766779e+00
9.891596917265975208e+03,3.448292882564951700e+00
9.891596940158309735e+03,3.448292928749864483e+00
9.891596963050646082e+03,3.448292974935511790e+00
9.891596985942980609e+03,3.448293021121885182e+00
9.891597008835316956e+03,3.448293067308993098e+00
9.891597031727651483e+03,3.448293113496827988e+00
9.891597054619987830e+03,3.448293159685396514e+00
9.891597077512322358e+03,3.448293205874690681e+00
9.891597100404658704e+03,3.448293252064718928e+00
9.891597123296995051e+03,3.448293298255476369e+00
9.891597146189329578e+03,3.448293344446959452e+00
9.891597169081665925e+03,3.448293390639176170e+00
9.891597191974000452e+03,3.448293436832117642e+00
9.891597214866336799e+03,3.448293483025791861e+00
9.891597237758671326e+03,3.448293529220191722e+00
9.891597260651007673e+03,3.448293575415323886e+00
9.891597283543342201e+03,3.448293621611179915e+00
9.891597306435678547e+03,3.448293667807769136e+00
9.891597329328014894e+03,3.448293714005085331e+00
9.891597352220349421e+03,3.448293760203126279e+00
9.891597375112685768e+03,3.448293806401899531e+00
9.891597398005020295e+03,3.448293852601396203e+00
9.891597420897356642e+03,3.448293898801623847e+00
9.891597443789691170e+03,3.448293945002574468e+00
9.891597466682027516e+03,3.448293991204256947e+00
9.891597489574362044e+03,3.448294037406662405e+00
9.891597512466698390e+03,3.448294083609798388e+00
9.891597535359032918e+03,3.448294129813657349e+00
9.891597558251369264e+03,3.448294176018246393e+00
9.891597581143705611e+03,3.448294222223561967e+00
9.891597604036040138e+03,3.448294268429600073e+00
9.891597626928376485e+03,3.448294314636368263e+00
9.891597649820711013e+03,3.448294360843857653e+00
9.891597672713047359e+03,3.448294407052076682e+00
9.891597695605381887e+03,3.448294453261018688e+00
9.891597718497718233e+03,3.448294499470688557e+00
9.891597741390052761e+03,3.448294545681080070e+00
9.891597764282389107e+03,3.448294591892200778e+00
9.891597787174725454e+03,3.448294638104046239e+00
9.891597810067059982e+03,3.448294684316612457e+00
9.891597832959396328e+03,3.448294730529907426e+00
