Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.905193796296138316e+03,1.302367021540411258e+02
9.905193817625817246e+03,1.302251159421105342e+02
9.905193838955496176e+03,1.302135300461852694e+02
9.905193860285176925e+03,1.302019444653124367e+02
9.905193881614855854e+03,1.301903592015038953e+02
9.905193902944534784e+03,1.301787742538069210e+02
9.905193924274213714e+03,1.301671896222569558e+02
9.905193945603892644e+03,1.301556053068895835e+02
9.905193966933571573e+03,1.301440213077401609e+02
9.905193988263252322e+03,1.301324376238564184e+02
9.905194009592931252e+03,1.301208542572494764e+02
9.905194030922610182e+03,1.301092712069670370e+02
9.905194052252289111e+03,1.300976884730445136e+02
9.905194073581968041e+03,1.300861060555172344e+02
9.905194094911648790e+03,1.300745239534332427e+02
9.905194116241327720e+03,1.300629421688031755e+02
9.905194137571006650e+03,1.300513607006749055e+02
9.905194158900685579e+03,1.300397795490839314e+02
9.905194180230364509e+03,1.300281987140656952e+02
9.905194201560043439e+03,1.300166181956555533e+02
9.905194222889724188e+03,1.300050379929015776e+02
9.905194244219403117e+03,1.299934581078142060e+02
9.905194265549082047e+03,1.299818785394415102e+02
9.905194286878760977e+03,1.299702992878187331e+02
9.905194308208439907e+03,1.299587203529815156e+02
9.905194329538120655e+03,1.299471417339777304e+02
9.905194350867799585e+03,1.299355634328179008e+02
9.905194372197478515e+03,1.299239854485498995e+02
9.905194393527157445e+03,1.299124077812091969e+02
9.905194414856836374e+03,1.299008304308311779e+02
9.905194436186517123e+03,1.298892533964642269e+02
9.905194457516196053e+03,1.298776766801181850e+02
9.905194478845874983e+03,1.298661002808413230e+02
9.905194500175553912e+03,1.298545241986690826e+02
9.905194521505232842e+03,1.298429484336367636e+02
9.905194542834911772e+03,1.298313729857800070e+02
9.905194564164592521e+03,1.298197978541470263e+02
9.905194585494271450e+03,1.298082230407475208e+02
9.905194606823950380e+03,1.297966485446298179e+02
9.905194628153629310e+03,1.297850743658294732e+02
9.905194649483308240e+03,1.297735005043818433e+02
9.905194670812988988e+03,1.297619269593352556e+02
9.905194692142667918e+03,1.297503537326994092e+02
9.905194713472346848e+03,1.297387808235224611e+02
9.905194734802025778e+03,1.297272082318401374e+02
9.905194756131704708e+03,1.297156359576875673e+02
9.905194777461383637e+03,1.297040640011005053e+02
9.905194798791064386e+03,1.296924923611272789e+02
9.905194820120743316e+03,1.296809210397772176e+02
9.905194841450422246e+03,1.296693500360988480e+02
9.905194862780101175e+03,1.296577793501274698e+02
9.905194884109780105e+03,1.296462089818985817e+02
9.905194905439460854e+03,1.296346389304611080e+02
9.905194926769139784e+03,1.296230691978236678e+02
9.905194948098818713e+03,1.296114997830351001e+02
9.905194969428497643e+03,1.295999306861307900e+02
9.905194990758176573e+03,1.295883619071460657e+02
9.905195012087855503e+03,1.295767934461164543e+02
9.905195033417536251e+03,1.295652253020909654e+02
9.905195054747215181e+03,1.295536574770779623e+02
9.905195076076894111e+03,1.295420899701262840e+02
9.905195097406573041e+03,1.295305227812714861e+02
9.905195118736251970e+03,1.295189559105489252e+02
9.905195140065932719e+03,1.295073893570075541e+02
9.905195161395611649e+03,1.294958231226557643e+02
9.905195182725290579e+03,1.294842572065423667e+02
9.905195204054969508e+03,1.294726916087028599e+02
9.905195225384648438e+03,1.294611263291727994e+02
9.905195246714329187e+03,1.294495613670011380e+02
9.905195268044008117e+03,1.294379967241960401e+02
9.905195289373687046e+03,1.294264323998064867e+02
9.905195310703365976e+03,1.294148683938678630e+02
9.905195332033044906e+03,1.294033047064157245e+02
9.905195353362723836e+03,1.293917413374853140e+02
9.905195374692404584e+03,1.293801782861260961e+02
9.905195396022083514e+03,1.293686155543455811e+02
9.905195417351762444e+03,1.293570531411932052e+02
9.905195438681441374e+03,1.293454910467042680e+02
9.905195460011120304e+03,1.293339292709141262e+02
9.905195481340801052e+03,1.293223678128723861e+02
9.905195502670479982e+03,1.293108066745862175e+02
9.905195524000158912e+03,1.292992458551051413e+02
9.905195545329837842e+03,1.292876853544645996e+02
9.905195566659516771e+03,1.292761251726999490e+02
9.905195587989195701e+03,1.292645653098465175e+02
9.905195609318876450e+03,1.292530057649540538e+02
9.905195630648555380e+03,1.292414465400294148e+02
9.905195651978234309e+03,1.292298876341223490e+02
9.905195673307913239e+03,1.292183290472680710e+02
9.905195694637592169e+03,1.292067707795021647e+02
9.905195715967272918e+03,1.291952128298741798e+02
9.905195737296951847e+03,1.291836552003910583e+02
9.905195758626630777e+03,1.291720978901023784e+02
9.905195779956309707e+03,1.291605408990434398e+02
9.905195801285988637e+03,1.291489842272497697e+02
9.905195822615667566e+03,1.291374278747568383e+02
9.905195843945348315e+03,1.291258718406143373e+02
9.905195865275027245e+03,1.291143161268288679e+02
9.905195886604706175e+03,1.291027607324501787e+02
9.905195907934385104e+03,1.290912056575135978e+02
9.905195929264064034e+03,1.290796509020546807e+02
9.905195950593744783e+03,1.290680964651233467e+02
9.905195971923423713e+03,1.290565423487256567e+02
9.905195993253102642e+03,1.290449885519117288e+02
9.905196014582781572e+03,1.290334350747169765e+02
9.905196035912460502e+03,1.290218819171767279e+02
9.905196057242139432e+03,1.290103290793261976e+02
9.905196078571820181e+03,1.289987765602158447e+02
9.905196099901499110e+03,1.289872243618512471e+02
9.905196121231178040e+03,1.289756724832826649e+02
9.905196142560856970e+03,1.289641209245455400e+02
9.905196163890535900e+03,1.289525696856751722e+02
9.905196185220216648e+03,1.289410187657217364e+02
9.905196206549895578e+03,1.289294681666910094e+02
9.905196227879574508e+03,1.289179178876331378e+02
9.905196249209253438e+03,1.289063679285834212e+02
9.905196270538932367e+03,1.288948182895773300e+02
9.905196291868613116e+03,1.288832689696653802e+02
9.905196313198292046e+03,1.288717199708526380e+02
9.905196334527970976e+03,1.288601712921897047e+02
9.905196355857649905e+03,1.288486229337118232e+02
9.905196377187328835e+03,1.288370748954543217e+02
9.905196398517007765e+03,1.288255271774526420e+02
9.905196419846688514e+03,1.288139797787575276e+02
9.905196441176367443e+03,1.288024327013735615e+02
9.905196462506046373e+03,1.287908859443515155e+02
9.905196483835725303e+03,1.287793395077267746e+02
9.905196505165404233e+03,1.287677933915346955e+02
9.905196526495084981e+03,1.287562475948258225e+02
9.905196547824763911e+03,1.287447021196050798e+02
9.905196569154442841e+03,1.287331569649228697e+02
9.905196590484121771e+03,1.287216121308147763e+02
9.905196611813800700e+03,1.287100676173160991e+02
9.905196633143479630e+03,1.286985234244622234e+02
9.905196654473160379e+03,1.286869795513038923e+02
9.905196675802839309e+03,1.286754359998456039e+02
9.905196697132518239e+03,1.286638927691379592e+02
9.905196718462197168e+03,1.286523498592165993e+02
9.905196739791876098e+03,1.286408072701166816e+02
9.905196761121556847e+03,1.286292650008893474e+02
9.905196782451235777e+03,1.286177230535384979e+02
9.905196803780914706e+03,1.286061814271152173e+02
9.905196825110593636e+03,1.285946401216548907e+02
9.905196846440272566e+03,1.285830991371926473e+02
9.905196867769951496e+03,1.285715584737640143e+02
9.905196889099632244e+03,1.285600181304201897e+02
9.905196910429311174e+03,1.285484781091647619e+02
9.905196931758990104e+03,1.285369384090489859e+02
9.905196953088669034e+03,1.285253990301081615e+02
9.905196974418347963e+03,1.285138599723775030e+02
9.905196995748028712e+03,1.285023212349085213e+02
9.905197017077707642e+03,1.284907828197045205e+02
9.905197038407386572e+03,1.284792447258166987e+02
9.905197059737065501e+03,1.284677069532805262e+02
9.905197081066744431e+03,1.284561695021313312e+02
9.905197102396425180e+03,1.284446323714204823e+02
9.905197123726104110e+03,1.284330955631511983e+02
9.905197145055783039e+03,1.284215590763748764e+02
9.905197166385461969e+03,1.284100229111267026e+02
9.905197187715140899e+03,1.283984870674421472e+02
9.905197209044819829e+03,1.283869515453565953e+02
9.905197230374500577e+03,1.283754163439214722e+02
9.905197251704179507e+03,1.283638814651397695e+02
9.905197273033858437e+03,1.283523469080629411e+02
9.905197294363537367e+03,1.283408126727262299e+02
