Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.891595520833507180e+03,2.128180752353455034e+02
9.891595543725843527e+03,2.128345860792130395e+02
9.891595566618178054e+03,2.128510971868151955e+02
9.891595589510514401e+03,2.128676085607175423e+02
9.891595612402848928e+03,2.128841201982378948e+02
9.891595635295185275e+03,2.129006321019419374e+02
9.891595658187519803e+03,2.129171442691475988e+02
9.891595681079856149e+03,2.129336567024205067e+02
9.891595703972190677e+03,2.129501693990783622e+02
9.891595726864527023e+03,2.129666823616870772e+02
9.891595749756863370e+03,2.129831955888763844e+02
9.891595772649197897e+03,2.129997090792757604e+02
9.891595795541534244e+03,2.130162228354513729e+02
9.891595818433868772e+03,2.130327368547205822e+02
9.891595841326205118e+03,2.130492511396494137e+02
9.891595864218539646e+03,2.130657656875553698e+02
9.891595887110875992e+03,2.130822805010045045e+02
9.891595910003210520e+03,2.130987955773142062e+02
9.891595932895546866e+03,2.131153109190506427e+02
9.891595955787881394e+03,2.131318265235310605e+02
9.891595978680217740e+03,2.131483423933216841e+02
9.891596001572554087e+03,2.131648585270521039e+02
9.891596024464888615e+03,2.131813749233515978e+02
9.891596047357224961e+03,2.131978915847867597e+02
9.891596070249559489e+03,2.132144085086742962e+02
9.891596093141895835e+03,2.132309256975810285e+02
9.891596116034230363e+03,2.132474431488236633e+02
9.891596138926566709e+03,2.132639608649689933e+02
9.891596161818901237e+03,2.132804788433336682e+02
9.891596184711237584e+03,2.132969970864844242e+02
9.891596207603573930e+03,2.133135155930505391e+02
9.891596230495908458e+03,2.133300343616612338e+02
9.891596253388244804e+03,2.133465533948832444e+02
9.891596276280579332e+03,2.133630726900332206e+02
9.891596299172915678e+03,2.133795922496780690e+02
9.891596322065250206e+03,2.133961120711342687e+02
9.891596344957586552e+03,2.134126321569688400e+02
9.891596367849921080e+03,2.134291525044981483e+02
9.891596390742257427e+03,2.134456731162893846e+02
9.891596413634591954e+03,2.134621939896587151e+02
9.891596436526928301e+03,2.134787151271734444e+02
9.891596459419264647e+03,2.134952365274624526e+02
9.891596482311599175e+03,2.135117581891548184e+02
9.891596505203935521e+03,2.135282801148176759e+02
9.891596528096270049e+03,2.135448023017672767e+02
9.891596550988606396e+03,2.135613247525708687e+02
9.891596573880940923e+03,2.135778474645445328e+02
9.891596596773277270e+03,2.135943704402557728e+02
9.891596619665611797e+03,2.136108936770204707e+02
9.891596642557948144e+03,2.136274171774061017e+02
9.891596665450284490e+03,2.136439409400416025e+02
9.891596688342619018e+03,2.136604649635555688e+02
9.891596711234955364e+03,2.136769892505158168e+02
9.891596734127289892e+03,2.136935137982379445e+02
