Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.896128576389048249e+03,2.557608823335602910e+00
9.896128599245501391e+03,2.557608844338877585e+00
9.896128622101952715e+03,2.557608865344421112e+00
9.896128644958405857e+03,2.557608886352237487e+00
9.896128667814857181e+03,2.557608907362322714e+00
9.896128690671310324e+03,2.557608928374679458e+00
9.896128713527761647e+03,2.557608949389305497e+00
9.896128736384214790e+03,2.557608970406203053e+00
9.896128759240666113e+03,2.557608991425369016e+00
9.896128782097119256e+03,2.557609012446806940e+00
9.896128804953570580e+03,2.557609033470513715e+00
9.896128827810023722e+03,2.557609054496491119e+00
9.896128850666476865e+03,2.557609075524739151e+00
9.896128873522928188e+03,2.557609096555255146e+00
9.896128896379381331e+03,2.557609117588043102e+00
9.896128919235832655e+03,2.557609138623098577e+00
9.896128942092285797e+03,2.557609159660425568e+00
9.896128964948737121e+03,2.557609180700019635e+00
9.896128987805190263e+03,2.557609201741885663e+00
9.896129010661641587e+03,2.557609222786019654e+00
9.896129033518094730e+03,2.557609243832423829e+00
9.896129056374546053e+03,2.557609264881095967e+00
9.896129079230999196e+03,2.557609285932039622e+00
9.896129102087450519e+03,2.557609306985249464e+00
9.896129124943903662e+03,2.557609328040730823e+00
9.896129147800356805e+03,2.557609349098481033e+00
9.896129170656808128e+03,2.557609370158497875e+00
9.896129193513261271e+03,2.557609391220785344e+00
9.896129216369712594e+03,2.557609412285340333e+00
9.896129239226165737e+03,2.557609433352165507e+00
9.896129262082617061e+03,2.557609454421257755e+00
9.896129284939070203e+03,2.557609475492619300e+00
9.896129307795521527e+03,2.557609496566248808e+00
9.896129330651974669e+03,2.557609517642148056e+00
9.896129353508425993e+03,2.557609538720313491e+00
9.896129376364879136e+03,2.557609559800748666e+00
9.896129399221332278e+03,2.557609580883452249e+00
9.896129422077783602e+03,2.557609601968422020e+00
9.896129444934236744e+03,2.557609623055661530e+00
9.896129467790688068e+03,2.557609644145167671e+00
9.896129490647141211e+03,2.557609665236943108e+00
9.896129513503592534e+03,2.557609686330984289e+00
9.896129536360045677e+03,2.557609707427295209e+00
9.896129559216497000e+03,2.557609728525871873e+00
9.896129582072950143e+03,2.557609749626718276e+00
9.896129604929401467e+03,2.557609770729829535e+00
9.896129627785854609e+03,2.557609791835210533e+00
9.896129650642307752e+03,2.557609812942858607e+00
9.896129673498759075e+03,2.557609834052772424e+00
9.896129696355212218e+03,2.557609855164955093e+00
9.896129719211663542e+03,2.557609876279403061e+00
9.896129742068116684e+03,2.557609897396119436e+00
9.896129764924568008e+03,2.557609918515101555e+00
9.896129787781021150e+03,2.557609939636352525e+00
9.896129810637472474e+03,2.557609960759867906e+00
9.896129833493925616e+03,2.557609981885651251e+00
9.896129856350376940e+03,2.557610003013700783e+00
9.896129879206830083e+03,2.557610024144017835e+00
9.896129902063283225e+03,2.557610045276601518e+00
9.896129924919734549e+03,2.557610066411450056e+00
9.896129947776187691e+03,2.557610087548566558e+00
9.896129970632639015e+03,2.557610108687947470e+00
9.896129993489092158e+03,2.557610129829596790e+00
9.896130016345543481e+03,2.557610150973510077e+00
9.896130039201996624e+03,2.557610172119691327e+00
9.896130062058447947e+03,2.557610193268136989e+00
9.896130084914901090e+03,2.557610214418850170e+00
9.896130107771352414e+03,2.557610235571826873e+00
9.896130130627805556e+03,2.557610256727071985e+00
9.896130153484256880e+03,2.557610277884580174e+00
9.896130176340710022e+03,2.557610299044356328e+00
9.896130199197163165e+03,2.557610320206398224e+00
9.896130222053614489e+03,2.557610341370702756e+00
9.896130244910067631e+03,2.557610362537275250e+00
9.896130267766518955e+03,2.557610383706111268e+00
9.896130290622972097e+03,2.557610404877214361e+00
9.896130313479423421e+03,2.557610426050580976e+00
9.896130336335876564e+03,2.557610447226213779e+00
9.896130359192327887e+03,2.557610468404110549e+00
9.896130382048781030e+03,2.557610489584273505e+00
9.896130404905232353e+03,2.557610510766699541e+00
9.896130427761685496e+03,2.557610531951392208e+00
9.896130450618138639e+03,2.557610553138349285e+00
9.896130473474589962e+03,2.557610574327570330e+00
9.896130496331043105e+03,2.557610595519056673e+00
9.896130519187494428e+03,2.557610616712806539e+00
9.896130542043947571e+03,2.557610637908821705e+00
9.896130564900398895e+03,2.557610659107099504e+00
9.896130587756852037e+03,2.557610680307643936e+00
9.896130610613303361e+03,2.557610701510451001e+00
9.896130633469756503e+03,2.557610722715523366e+00
9.896130656326207827e+03,2.557610743922857921e+00
9.896130679182660970e+03,2.557610765132458219e+00
9.896130702039114112e+03,2.557610786344322928e+00
9.896130724895565436e+03,2.557610807558448940e+00
9.896130747752018578e+03,2.557610828774841139e+00
9.896130770608469902e+03,2.557610849993495528e+00
9.896130793464923045e+03,2.557610871214414328e+00
9.896130816321374368e+03,2.557610892437595318e+00
9.896130839177827511e+03,2.557610913663041607e+00
9.896130862034278834e+03,2.557610934890749199e+00
9.896130884890731977e+03,2.557610956120722534e+00
9.896130907747183301e+03,2.557610977352956283e+00
9.896130930603636443e+03,2.557610998587456219e+00
9.896130953460089586e+03,2.557611019824218346e+00
9.896130976316540909e+03,2.557611041063241775e+00
9.896130999172994052e+03,2.557611062304530058e+00
9.896131022029445376e+03,2.557611083548079645e+00
9.896131044885898518e+03,2.557611104793893197e+00
9.896131067742349842e+03,2.557611126041968497e+00
9.896131090598802984e+03,2.557611147292307319e+00
9.896131113455254308e+03,2.557611168544907443e+00
9.896131136311707451e+03,2.557611189799771534e+00
9.896131159168158774e+03,2.557611211056896039e+00
9.896131182024611917e+03,2.557611232316284955e+00
9.896131204881063240e+03,2.557611253577934729e+00
9.896131227737516383e+03,2.557611274841848026e+00
9.896131250593969526e+03,2.557611296108023513e+00
9.896131273450420849e+03,2.557611317376459414e+00
9.896131296306873992e+03,2.557611338647158838e+00
9.896131319163325315e+03,2.557611359920118677e+00
9.896131342019778458e+03,2.557611381195341149e+00
9.896131364876229782e+03,2.557611402472824480e+00
9.896131387732682924e+03,2.557611423752570889e+00
9.896131410589134248e+03,2.557611445034577713e+00
9.896131433445587390e+03,2.557611466318847171e+00
9.896131456302038714e+03,2.557611487605376599e+00
9.896131479158491857e+03,2.557611508894168661e+00
9.896131502014944999e+03,2.557611530185222470e+00
9.896131524871396323e+03,2.557611551478535805e+00
9.896131547727849465e+03,2.557611572774111330e+00
9.896131570584300789e+03,2.557611594071947270e+00
9.896131593440753932e+03,2.557611615372044955e+00
9.896131616297205255e+03,2.557611636674402167e+00
9.896131639153658398e+03,2.557611657979021569e+00
9.896131662010109721e+03,2.557611679285900497e+00
9.896131684866562864e+03,2.557611700595041615e+00
9.896131707723014188e+03,2.557611721906441815e+00
9.896131730579467330e+03,2.557611743220104206e+00
9.896131753435920473e+03,2.557611764536027010e+00
9.896131776292371796e+03,2.557611785854208453e+00
9.896131799148824939e+03,2.557611807174651641e+00
9.896131822005276263e+03,2.557611828497353912e+00
9.896131844861729405e+03,2.557611849822317485e+00
9.896131867718180729e+03,2.557611871149540139e+00
9.896131890574633871e+03,2.557611892479023652e+00
9.896131913431085195e+03,2.557611913810766247e+00
9.896131936287538338e+03,2.557611935144769699e+00
9.896131959143989661e+03,2.557611956481031346e+00
9.896131982000442804e+03,2.557611977819554738e+00
9.896132004856895946e+03,2.557611999160337213e+00
9.896132027713347270e+03,2.557612020503378325e+00
9.896132050569800413e+03,2.557612041848679851e+00
9.896132073426251736e+03,2.557612063196239571e+00
9.896132096282704879e+03,2.557612084546060593e+00
9.896132119139156202e+03,2.557612105898138033e+00
9.896132141995609345e+03,2.557612127252477663e+00
9.896132164852060669e+03,2.557612148609074154e+00
9.896132187708513811e+03,2.557612169967931059e+00
9.896132210564965135e+03,2.557612191329045270e+00
9.896132233421418277e+03,2.557612212692420339e+00
9.896132256277869601e+03,2.557612234058052270e+00
9.896132279134322744e+03,2.557612255425945058e+00
9.896132301990775886e+03,2.557612276796096040e+00
9.896132324847227210e+03,2.557612298168503884e+00
9.896132347703680352e+03,2.557612319543172585e+00
9.896132370560131676e+03,2.557612340920097704e+00
9.896132393416584819e+03,2.557612362299282349e+00
9.896132416273036142e+03,2.557612383680724299e+00
9.896132439129489285e+03,2.557612405064425776e+00
9.896132461985940608e+03,2.557612426450383669e+00
9.896132484842393751e+03,2.557612447838601533e+00
9.896132507698845075e+03,2.557612469229075369e+00
9.896132530555298217e+03,2.557612490621809176e+00
9.896132553411751360e+03,2.557612512016800732e+00
9.896132576268202683e+03,2.557612533414048261e+00
9.896132599124655826e+03,2.557612554813554873e+00
9.896132621981107150e+03,2.557612576215317901e+00
9.896132644837560292e+03,2.557612597619339567e+00
9.896132667694011616e+03,2.557612619025617207e+00
9.896132690550464758e+03,2.557612640434153928e+00
9.896132713406916082e+03,2.557612661844946622e+00
9.896132736263369225e+03,2.557612683257997954e+00
9.896132759119820548e+03,2.557612704673304371e+00
9.896132781976273691e+03,2.557612726090870314e+00
9.896132804832726833e+03,2.557612747510692230e+00
9.896132827689178157e+03,2.557612768932770120e+00
9.896132850545631300e+03,2.557612790357107091e+00
9.896132873402082623e+03,2.557612811783698259e+00
9.896132896258535766e+03,2.557612833212548065e+00
9.896132919114987089e+03,2.557612854643652511e+00
9.896132941971440232e+03,2.557612876077015596e+00
9.896132964827891556e+03,2.557612897512633321e+00
9.896132987684344698e+03,2.557612918950509240e+00
9.896133010540796022e+03,2.557612940390639356e+00
9.896133033397249164e+03,2.557612961833028109e+00
9.896133056253700488e+03,2.557612983277670615e+00
9.896133079110153631e+03,2.557613004724571759e+00
9.896133101966606773e+03,2.557613026173727988e+00
9.896133124823058097e+03,2.557613047625139302e+00
9.896133147679511239e+03,2.557613069078807477e+00
9.896133170535962563e+03,2.557613090534730294e+00
9.896133193392415706e+03,2.557613111992909971e+00
9.896133216248867029e+03,2.557613133453344290e+00
9.896133239105320172e+03,2.557613154916035469e+00
