Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.903683680555783212e+03,2.558059577083463321e+00
9.903683703452748887e+03,2.558059621547628559e+00
9.903683726349714561e+03,2.558059666012663325e+00
9.903683749246680236e+03,2.558059710478567617e+00
9.903683772143645911e+03,2.558059754945341879e+00
9.903683795040611585e+03,2.558059799412985225e+00
9.903683817937577260e+03,2.558059843881498541e+00
9.903683840834542934e+03,2.558059888350880051e+00
9.903683863731508609e+03,2.558059932821131088e+00
9.903683886628474283e+03,2.558059977292250764e+00
9.903683909525439958e+03,2.558060021764239078e+00
9.903683932422405633e+03,2.558060066237095587e+00
9.903683955319371307e+03,2.558060110710820734e+00
9.903683978216336982e+03,2.558060155185413631e+00
9.903684001113302656e+03,2.558060199660875167e+00
9.903684024010268331e+03,2.558060244137204009e+00
9.903684046907234006e+03,2.558060288614400601e+00
9.903684069804199680e+03,2.558060333092464944e+00
9.903684092701163536e+03,2.558060377571392596e+00
9.903684115598129210e+03,2.558060422051191996e+00
9.903684138495094885e+03,2.558060466531857369e+00
9.903684161392060560e+03,2.558060511013390492e+00
9.903684184289026234e+03,2.558060555495790034e+00
9.903684207185991909e+03,2.558060599979055993e+00
9.903684230082957583e+03,2.558060644463188815e+00
9.903684252979923258e+03,2.558060688948187167e+00
9.903684275876888933e+03,2.558060733434052381e+00
9.903684298773854607e+03,2.558060777920783124e+00
9.903684321670820282e+03,2.558060822408379842e+00
9.903684344567785956e+03,2.558060866896842089e+00
9.903684367464751631e+03,2.558060911386170311e+00
9.903684390361717305e+03,2.558060955876363618e+00
9.903684413258682980e+03,2.558061000367421567e+00
9.903684436155648655e+03,2.558061044859344602e+00
9.903684459052614329e+03,2.558061089352133166e+00
9.903684481949580004e+03,2.558061133845785928e+00
9.903684504846545678e+03,2.558061178340303332e+00
9.903684527743511353e+03,2.558061222835684934e+00
9.903684550640477028e+03,2.558061267331931177e+00
9.903684573537442702e+03,2.558061311829041617e+00
9.903684596434408377e+03,2.558061356327015368e+00
9.903684619331374051e+03,2.558061400825853315e+00
9.903684642228339726e+03,2.558061445325554573e+00
9.903684665125305401e+03,2.558061489826119583e+00
9.903684688022271075e+03,2.558061534327547903e+00
9.903684710919236750e+03,2.558061578829839533e+00
9.903684733816202424e+03,2.558061623332993140e+00
9.903684756713168099e+03,2.558061667837010056e+00
9.903684779610133774e+03,2.558061712341889837e+00
9.903684802507099448e+03,2.558061756847632040e+00
9.903684825404065123e+03,2.558061801354237108e+00
9.903684848301030797e+03,2.558061845861703709e+00
9.903684871197996472e+03,2.558061890370032732e+00
9.903684894094960327e+03,2.558061934879219734e+00
9.903684916991926002e+03,2.558061979389272267e+00
9.903684939888891677e+03,2.558062023900186333e+00
9.903684962785857351e+03,2.558062068411961487e+00
9.903684985682823026e+03,2.558062112924598175e+00
9.903685008579788700e+03,2.558062157438095952e+00
9.903685031476754375e+03,2.558062201952454817e+00
9.903685054373720050e+03,2.558062246467673884e+00
9.903685077270685724e+03,2.558062290983754039e+00
9.903685100167651399e+03,2.558062335500694395e+00
9.903685123064617073e+03,2.558062380018494952e+00
9.903685145961582748e+03,2.558062424537156154e+00
9.903685168858548423e+03,2.558062469056676669e+00
9.903685191755514097e+03,2.558062513577057828e+00
9.903685214652479772e+03,2.558062558098298300e+00
9.903685237549445446e+03,2.558062602620398085e+00
9.903685260446411121e+03,2.558062647143357182e+00
9.903685283343376796e+03,2.558062691667176036e+00
9.903685306240342470e+03,2.558062736191853759e+00
9.903685329137308145e+03,2.558062780717390350e+00
9.903685352034273819e+03,2.558062825243785365e+00
9.903685374931239494e+03,2.558062869771038805e+00
9.903685397828205168e+03,2.558062914299151114e+00
9.903685420725170843e+03,2.558062958828121847e+00
9.903685443622136518e+03,2.558063003357950116e+00
9.903685466519102192e+03,2.558063047888636810e+00
9.903685489416067867e+03,2.558063092420181484e+00
9.903685512313033541e+03,2.558063136952582806e+00
9.903685535209999216e+03,2.558063181485842552e+00
9.903685558106964891e+03,2.558063226019958947e+00
9.903685581003930565e+03,2.558063270554933322e+00
9.903685603900896240e+03,2.558063315090764345e+00
9.903685626797861914e+03,2.558063359627452016e+00
9.903685649694827589e+03,2.558063404164996335e+00
9.903685672591793264e+03,2.558063448703397302e+00
9.903685695488757119e+03,2.558063493242651365e+00
9.903685718385722794e+03,2.558063537782764740e+00
9.903685741282688468e+03,2.558063582323734764e+00
9.903685764179654143e+03,2.558063626865560103e+00
9.903685787076619818e+03,2.558063671408241202e+00
9.903685809973585492e+03,2.558063715951778061e+00
9.903685832870551167e+03,2.558063760496170680e+00
9.903685855767516841e+03,2.558063805041418171e+00
9.903685878664482516e+03,2.558063849587520533e+00
9.903685901561448190e+03,2.558063894134478211e+00
9.903685924458413865e+03,2.558063938682290761e+00
9.903685947355379540e+03,2.558063983230957739e+00
9.903685970252345214e+03,2.558064027780480032e+00
9.903685993149310889e+03,2.558064072330855421e+00
9.903686016046276563e+03,2.558064116882085681e+00
9.903686038943242238e+03,2.558064161434169481e+00
9.903686061840207913e+03,2.558064205987107709e+00
9.903686084737173587e+03,2.558064250540899476e+00
9.903686107634139262e+03,2.558064295095544338e+00
9.903686130531104936e+03,2.558064339651043628e+00
9.903686153428070611e+03,2.558064384207395126e+00
9.903686176325036286e+03,2.558064428764600162e+00
9.903686199222001960e+03,2.558064473322657850e+00
9.903686222118967635e+03,2.558064517881569078e+00
9.903686245015933309e+03,2.558064562441331624e+00
9.903686267912898984e+03,2.558064607001947266e+00
9.903686290809864659e+03,2.558064651563415559e+00
9.903686313706830333e+03,2.558064696125736059e+00
9.903686336603796008e+03,2.558064740688907879e+00
9.903686359500761682e+03,2.558064785252931905e+00
9.903686382397727357e+03,2.558064829817807251e+00
9.903686405294693031e+03,2.558064874383534359e+00
9.903686428191658706e+03,2.558064918950112787e+00
9.903686451088624381e+03,2.558064963517542090e+00
9.903686473985590055e+03,2.558065008085823155e+00
9.903686496882553911e+03,2.558065052654950655e+00
9.903686519779519585e+03,2.558065097224933027e+00
9.903686542676485260e+03,2.558065141795765385e+00
9.903686565573450935e+03,2.558065186367448618e+00
9.903686588470416609e+03,2.558065230939982282e+00
9.903686611367382284e+03,2.558065275513365933e+00
9.903686634264347958e+03,2.558065320087599126e+00
9.903686657161313633e+03,2.558065364662682750e+00
9.903686680058279308e+03,2.558065409238615473e+00
9.903686702955244982e+03,2.558065453815397738e+00
9.903686725852210657e+03,2.558065498393029102e+00
9.903686748749176331e+03,2.558065542971510009e+00
9.903686771646142006e+03,2.558065587550839570e+00
9.903686794543107681e+03,2.558065632131017786e+00
9.903686817440073355e+03,2.558065676712045100e+00
9.903686840337039030e+03,2.558065721293921069e+00
9.903686863234004704e+03,2.558065765876645248e+00
9.903686886130970379e+03,2.558065810460217637e+00
9.903686909027936053e+03,2.558065855044637793e+00
9.903686931924901728e+03,2.558065899629905715e+00
9.903686954821867403e+03,2.558065944216021848e+00
9.903686977718833077e+03,2.558065988802985302e+00
9.903687000615798752e+03,2.558066033390796079e+00
9.903687023512764426e+03,2.558066077979454178e+00
9.903687046409730101e+03,2.558066122568959155e+00
9.903687069306695776e+03,2.558066167159311455e+00
9.903687092203661450e+03,2.558066211750510632e+00
9.903687115100627125e+03,2.558066256342556244e+00
9.903687137997592799e+03,2.558066300935448290e+00
9.903687160894558474e+03,2.558066345529186769e+00
9.903687183791524149e+03,2.558066390123771239e+00
9.903687206688489823e+03,2.558066434719202142e+00
9.903687229585455498e+03,2.558066479315478148e+00
9.903687252482421172e+03,2.558066523912600143e+00
9.903687275379386847e+03,2.558066568510567684e+00
9.903687298276350703e+03,2.558066613109377663e+00
9.903687321173316377e+03,2.558066657709035852e+00
9.903687344070282052e+03,2.558066702309538254e+00
9.903687366967247726e+03,2.558066746910886646e+00
9.903687389864213401e+03,2.558066791513079252e+00
9.903687412761179075e+03,2.558066836116116960e+00
9.903687435658144750e+03,2.558066880719998437e+00
9.903687458555110425e+03,2.558066925324725016e+00
9.903687481452076099e+03,2.558066969930294920e+00
9.903687504349041774e+03,2.558067014536709483e+00
9.903687527246007448e+03,2.558067059143966926e+00
9.903687550142973123e+03,2.558067103752069027e+00
9.903687573039938798e+03,2.558067148361014009e+00
9.903687595936904472e+03,2.558067192970802317e+00
9.903687618833870147e+03,2.558067237581433950e+00
9.903687641730835821e+03,2.558067282192908465e+00
9.903687664627801496e+03,2.558067326805225861e+00
9.903687687524767171e+03,2.558067371418386138e+00
9.903687710421732845e+03,2.558067416032388852e+00
9.903687733318698520e+03,2.558067460647233560e+00
9.903687756215664194e+03,2.558067505262920704e+00
9.903687779112629869e+03,2.558067549879450286e+00
9.903687802009595543e+03,2.558067594496821417e+00
9.903687824906561218e+03,2.558067639115034542e+00
9.903687847803526893e+03,2.558067683734088771e+00
9.903687870700492567e+03,2.558067728353984549e+00
9.903687893597458242e+03,2.558067772974722320e+00
9.903687916494423916e+03,2.558067817596300308e+00
9.903687939391389591e+03,2.558067862218719846e+00
9.903687962288355266e+03,2.558067906841979600e+00
9.903687985185320940e+03,2.558067951466080903e+00
9.903688008082286615e+03,2.558067996091021978e+00
9.903688030979252289e+03,2.558068040716803271e+00
9.903688053876217964e+03,2.558068085343425224e+00
9.903688076773183639e+03,2.558068129970886950e+00
9.903688099670147494e+03,2.558068174599185340e+00
9.903688122567113169e+03,2.558068219228326168e+00
9.903688145464078843e+03,2.558068263858307212e+00
9.903688168361044518e+03,2.558068308489127141e+00
9.903688191258010193e+03,2.558068353120786842e+00
9.903688214154975867e+03,2.558068397753285428e+00
9.903688237051941542e+03,2.558068442386622898e+00
9.903688259948907216e+03,2.558068487020798809e+00
9.903688282845872891e+03,2.558068531655814049e+00
9.903688305742838565e+03,2.558068576291666840e+00
9.903688328639804240e+03,2.558068620928358516e+00
9.903688351536769915e+03,2.558068665565888189e+00
9.903688374433735589e+03,2.558068710204255414e+00
9.903688397330701264e+03,2.558068754843461079e+00
9.903688420227666938e+03,2.558068799483504296e+00
9.903688443124632613e+03,2.558068844124384622e+00
9.903688466021598288e+03,2.558068888766102500e+00
9.903688488918563962e+03,2.558068933408657486e+00
9.903688511815529637e+03,2.558068978052049580e+00
9.903688534712495311e+03,2.558069022696278783e+00
9.903688557609460986e+03,2.558069067341344205e+00
9.903688580506426661e+03,2.558069111987247179e+00
9.903688603403392335e+03,2.558069156633985486e+00
9.903688626300358010e+03,2.558069201281560012e+00
9.903688649197323684e+03,2.558069245929971203e+00
9.903688672094289359e+03,2.558069290579218169e+00
9.903688694991255034e+03,2.558069335229300911e+00
9.903688717888220708e+03,2.558069379880218985e+00
9.903688740785186383e+03,2.558069424531972835e+00
9.903688763682152057e+03,2.558069469184561573e+00
9.903688786579117732e+03,2.558069513837985198e+00
9.903688809476083406e+03,2.558069558492244155e+00
9.903688832373049081e+03,2.558069603147338000e+00
9.903688855270014756e+03,2.558069647803266733e+00
9.903688878166980430e+03,2.558069692460029465e+00
9.903688901063944286e+03,2.558069737117623976e+00
9.903688923960909960e+03,2.558069781776055152e+00
9.903688946857875635e+03,2.558069826435320770e+00
9.903688969754841310e+03,2.558069871095420389e+00
9.903688992651806984e+03,2.558069915756353119e+00
9.903689015548772659e+03,2.558069960418120292e+00
9.903689038445738333e+03,2.558070005080720133e+00
9.903689061342704008e+03,2.558070049744153529e+00
9.903689084239669683e+03,2.558070094408420037e+00
9.903689107136635357e+03,2.558070139073519211e+00
9.903689130033601032e+03,2.558070183739451053e+00
9.903689152930566706e+03,2.558070228406216007e+00
9.903689175827532381e+03,2.558070273073813183e+00
9.903689198724498056e+03,2.558070317742243027e+00
