Time (BJD_TBD - 2450000), L_c/L_star (ppm)
7.260000000000000000e+03,4.086678215753172481e+02
7.260003000300030180e+03,4.078021190491140828e+02
7.260006000600060361e+03,4.069249935455197829e+02
7.260009000900089632e+03,4.060364982084159351e+02
7.260012001200119812e+03,4.051366868697538735e+02
7.260015001500149992e+03,4.042256140479095734e+02
7.260018001800180173e+03,4.033033349433065951e+02
7.260021002100210353e+03,4.023699054353386373e+02
7.260024002400239624e+03,4.014253820792721399e+02
7.260027002700269804e+03,4.004698221016719799e+02
7.260030003000299985e+03,3.995032833986501828e+02
7.260033003300330165e+03,3.985258245312181202e+02
7.260036003600360345e+03,3.975375047220217084e+02
7.260039003900389616e+03,3.965383838520584163e+02
7.260042004200419797e+03,3.955285224558344339e+02
7.260045004500449977e+03,3.945079817195132819e+02
7.260048004800480157e+03,3.934768234760017549e+02
7.260051005100510338e+03,3.924351102015041874e+02
7.260054005400539609e+03,3.913829050120571651e+02
7.260057005700569789e+03,3.903202716584272594e+02
7.260060006000599969e+03,3.892472745241616963e+02
7.260063006300630150e+03,3.881639786204154348e+02
7.260066006600660330e+03,3.870704495823285356e+02
7.260069006900690511e+03,3.859667536650503052e+02
7.260072007200719781e+03,3.848529577400640278e+02
7.260075007500749962e+03,3.837291292897814969e+02
7.260078007800780142e+03,3.825953364054803387e+02
7.260081008100810323e+03,3.814516477818310136e+02
7.260084008400840503e+03,3.802981327130706859e+02
7.260087008700869774e+03,3.791348610891589601e+02
7.260090009000899954e+03,3.779619033901300895e+02
7.260093009300930134e+03,3.767793306839380421e+02
7.260096009600960315e+03,3.755872146207435662e+02
7.260099009900990495e+03,3.743856274289237831e+02
7.260102010201019766e+03,3.731746419110646684e+02
7.260105010501049946e+03,3.719543314380787251e+02
7.260108010801080127e+03,3.707247699469624536e+02
7.260111011101110307e+03,3.694860319348504731e+02
7.260114011401140488e+03,3.682381924548682264e+02
7.260117011701169758e+03,3.669813271119667206e+02
7.260120012001199939e+03,3.657155120568146458e+02
7.260123012301230119e+03,3.644408239834712617e+02
7.260126012601260300e+03,3.631573401232175229e+02
7.260129012901290480e+03,3.618651382402574086e+02
7.260132013201319751e+03,3.605642966274008359e+02
7.260135013501349931e+03,3.592548940997409090e+02
7.260138013801380112e+03,3.579370099922442705e+02
7.260141014101410292e+03,3.566107241533698016e+02
7.260144014401440472e+03,3.552761169406233535e+02
7.260147014701469743e+03,3.539332692160979832e+02
7.260150015001499924e+03,3.525822623399435543e+02
7.260153015301530104e+03,3.512231781678790412e+02
7.260156015601560284e+03,3.498560990446086407e+02
7.260159015901590465e+03,3.484811077992370656e+02
7.260162016201619736e+03,3.470982877406724469e+02
7.260165016501649916e+03,3.457077226508989156e+02
7.260168016801680096e+03,3.443094967824162040e+02
7.260171017101710277e+03,3.429036948514597611e+02
7.260174017401740457e+03,3.414904020332867276e+02
7.260177017701769728e+03,3.400697039574465066e+02
7.260180018001799908e+03,3.386416867008680356e+02
7.260183018301830089e+03,3.372064367852284477e+02
7.260186018601860269e+03,3.357640411699902074e+02
7.260189018901890449e+03,3.343145872475623719e+02
7.260192019201920630e+03,3.328581628380051711e+02
7.260195019501949901e+03,3.313948561841541505e+02
7.260198019801980081e+03,3.299247559444967237e+02
7.260201020102010261e+03,3.284479511904628453e+02
7.260204020402040442e+03,3.269645313992551223e+02
7.260207020702070622e+03,3.254745864488708094e+02
7.260210021002099893e+03,3.239782066131104443e+02
7.260213021302130073e+03,3.224754825542921139e+02
7.260216021602160254e+03,3.209665053204797118e+02
7.260219021902190434e+03,3.194513663381543438e+02
7.260222022202220614e+03,3.179301574071276377e+02
7.260225022502249885e+03,3.164029706954430594e+02
7.260228022802280066e+03,3.148698987319386333e+02
7.260231023102310246e+03,3.133310344034181867e+02
7.260234023402340426e+03,3.117864709471731999e+02
7.260237023702370607e+03,3.102363019457962992e+02
7.260240024002399878e+03,3.086806213219834376e+02
7.260243024302430058e+03,3.071195233309550758e+02
7.260246024602460238e+03,3.055531025575752437e+02
7.260249024902490419e+03,3.039814539087356593e+02
7.260252025202520599e+03,3.024046726080771919e+02
7.260255025502549870e+03,3.008228541906991040e+02
7.260258025802580050e+03,2.992360944954527326e+02
7.260261026102610231e+03,2.976444896620112104e+02
7.260264026402640411e+03,2.960481361231275059e+02
7.260267026702670591e+03,2.944471305992714747e+02
7.260270027002699862e+03,2.928415700932561663e+02
7.260273027302730043e+03,2.912315518824130436e+02
7.260276027602760223e+03,2.896171735156179352e+02
7.260279027902790403e+03,2.879985328054357865e+02
7.260282028202820584e+03,2.863757278226793801e+02
7.260285028502849855e+03,2.847488568909624291e+02
7.260288028802880035e+03,2.831180185787673622e+02
7.260291029102910215e+03,2.814833116964328497e+02
7.260294029402940396e+03,2.798448352881952133e+02
7.260297029702970576e+03,2.782026886266805263e+02
