Time (BJD_TBD - 2450000), L_c/L_star (ppm)
9.880038437500130385e+03,4.209871710814494463e+02
9.880038456059855889e+03,4.209913096275986391e+02
9.880038474619583212e+03,4.209954477064345042e+02
9.880038493179308716e+03,4.209995853171365070e+02
9.880038511739036039e+03,4.210037224605060260e+02
9.880038530298761543e+03,4.210078591357226401e+02
9.880038548858488866e+03,4.210119953435873867e+02
9.880038567418214370e+03,4.210161310832801291e+02
9.880038585977941693e+03,4.210202663556017910e+02
9.880038604537667197e+03,4.210244011597323492e+02
9.880038623097394520e+03,4.210285354964725570e+02
9.880038641657120024e+03,4.210326693650026186e+02
9.880038660216847347e+03,4.210368027661230599e+02
9.880038678776572851e+03,4.210409356990141418e+02
9.880038697336298355e+03,4.210450681640714947e+02
9.880038715896025678e+03,4.210492001616904645e+02
9.880038734455751182e+03,4.210533316910514259e+02
9.880038753015478505e+03,4.210574627529546774e+02
9.880038771575204009e+03,4.210615933465809348e+02
9.880038790134931332e+03,4.210657234727303262e+02
9.880038808694656836e+03,4.210698531305836241e+02
9.880038827254384159e+03,4.210739823209407859e+02
9.880038845814109663e+03,4.210781110429827550e+02
9.880038864373836986e+03,4.210822392975094317e+02
9.880038882933562491e+03,4.210863670837018731e+02
9.880038901493289814e+03,4.210904944023595249e+02
9.880038920053015318e+03,4.210946212526641261e+02
9.880038938612740822e+03,4.210987476350105112e+02
9.880038957172468145e+03,4.211028735497932871e+02
9.880038975732193649e+03,4.211069989961942497e+02
9.880038994291920972e+03,4.211111239750125037e+02
9.880039012851646476e+03,4.211152484854301292e+02
9.880039031411373799e+03,4.211193725282456057e+02
9.880039049971099303e+03,4.211234961026412975e+02
9.880039068530826626e+03,4.211276192094158546e+02
9.880039087090552130e+03,4.211317418477515275e+02
9.880039105650279453e+03,4.211358640184467959e+02
9.880039124210004957e+03,4.211399857206842512e+02
9.880039142769732280e+03,4.211441069552620320e+02
9.880039161329457784e+03,4.211482277213629004e+02
9.880039179889183288e+03,4.211523480193812929e+02
9.880039198448910611e+03,4.211564678497112482e+02
9.880039217008636115e+03,4.211605872115358693e+02
9.880039235568363438e+03,4.211647061056527832e+02
9.880039254128088942e+03,4.211688245312452068e+02
9.880039272687816265e+03,4.211729424891109375e+02
9.880039291247541769e+03,4.211770599784333058e+02
9.880039309807269092e+03,4.211811770000095976e+02
9.880039328366994596e+03,4.211852935530234845e+02
9.880039346926721919e+03,4.211894096382722523e+02
9.880039365486447423e+03,4.211935252549395159e+02
9.880039384046174746e+03,4.211976404038225610e+02
9.880039402605900250e+03,4.212017550841051161e+02
9.880039421165625754e+03,4.212058692961809356e+02
9.880039439725353077e+03,4.212099830404437171e+02
9.880039458285078581e+03,4.212140963160775868e+02
9.880039476844805904e+03,4.212182091238792623e+02
9.880039495404531408e+03,4.212223214630330403e+02
9.880039513964258731e+03,4.212264333343353542e+02
9.880039532523984235e+03,4.212305447369708418e+02
9.880039551083711558e+03,4.212346556717357089e+02
9.880039569643437062e+03,4.212387661378147641e+02
9.880039588203164385e+03,4.212428761360041563e+02
9.880039606762889889e+03,4.212469856654886371e+02
9.880039625322617212e+03,4.212510947270642419e+02
9.880039643882342716e+03,4.212552033199161201e+02
9.880039662442068220e+03,4.212593114444372873e+02
9.880039681001795543e+03,4.212634191010210429e+02
9.880039699561521047e+03,4.212675262888524799e+02
9.880039718121248370e+03,4.212716330087272354e+02
9.880039736680973874e+03,4.212757392598308002e+02
9.880039755240701197e+03,4.212798450429585841e+02
9.880039773800426701e+03,4.212839503572961348e+02
9.880039792360154024e+03,4.212880552036386916e+02
9.880039810919879528e+03,4.212921595811722000e+02
9.880039829479606851e+03,4.212962634906916719e+02
9.880039848039332355e+03,4.213003669313830528e+02
9.880039866599059678e+03,4.213044699040412411e+02
9.880039885158785182e+03,4.213085724078524663e+02
9.880039903718510686e+03,4.213126744432093460e+02
9.880039922278238009e+03,4.213167760105044408e+02
9.880039940837963513e+03,4.213208771089239804e+02
9.880039959397690836e+03,4.213249777392626356e+02
9.880039977957416340e+03,4.213290779007070341e+02
9.880039996517143663e+03,4.213331775940512784e+02
9.880040015076869167e+03,4.213372768184823371e+02
9.880040033636596490e+03,4.213413755747942560e+02
9.880040052196321994e+03,4.213454738621739466e+02
