Time (BJD_TBD - 2450000), F_star + F_d (mJy)
1.063802708333311602e+04,3.604126121741308975e+00
1.063802710516863226e+04,3.604126116971265059e+00
1.063802712700415032e+04,3.604126112201448517e+00
1.063802714883966655e+04,3.604126107431860238e+00
1.063802717067518279e+04,3.604126102662499775e+00
1.063802719251070084e+04,3.604126097893366687e+00
1.063802721434621708e+04,3.604126093124461416e+00
1.063802723618173331e+04,3.604126088355783519e+00
1.063802725801725137e+04,3.604126083587333884e+00
1.063802727985276761e+04,3.604126078819112511e+00
1.063802730168828566e+04,3.604126074051118067e+00
1.063802732352380190e+04,3.604126069283351885e+00
1.063802734535931813e+04,3.604126064515812633e+00
1.063802736719483619e+04,3.604126059748501643e+00
1.063802738903035242e+04,3.604126054981418914e+00
1.063802741086586866e+04,3.604126050214564003e+00
1.063802743270138672e+04,3.604126045447935578e+00
1.063802745453690295e+04,3.604126040681536303e+00
1.063802747637241919e+04,3.604126035915364845e+00
1.063802749820793724e+04,3.604126031149420761e+00
1.063802752004345348e+04,3.604126026383704939e+00
1.063802754187896971e+04,3.604126021618216935e+00
1.063802756371448777e+04,3.604126016852955416e+00
1.063802758555000401e+04,3.604126012087923936e+00
1.063802760738552206e+04,3.604126007323118497e+00
1.063802762922103830e+04,3.604126002558542208e+00
1.063802765105655453e+04,3.604125997794192848e+00
1.063802767289207259e+04,3.604125993030070862e+00
1.063802769472758882e+04,3.604125988266178027e+00
1.063802771656310506e+04,3.604125983502513009e+00
1.063802773839862311e+04,3.604125978739074476e+00
1.063802776023413935e+04,3.604125973975865982e+00
1.063802778206965559e+04,3.604125969212883529e+00
1.063802780390517364e+04,3.604125964450130226e+00
1.063802782574068988e+04,3.604125959687603853e+00
1.063802784757620611e+04,3.604125954925305741e+00
1.063802786941172417e+04,3.604125950163235892e+00
1.063802789124724040e+04,3.604125945401393416e+00
1.063802791308275846e+04,3.604125940639779202e+00
1.063802793491827470e+04,3.604125935878392806e+00
1.063802795675379093e+04,3.604125931117234227e+00
1.063802797858930899e+04,3.604125926356303911e+00
1.063802800042482522e+04,3.604125921595601412e+00
1.063802802226034146e+04,3.604125916835127175e+00
1.063802804409585951e+04,3.604125912074880311e+00
1.063802806593137575e+04,3.604125907314861266e+00
1.063802808776689199e+04,3.604125902555071370e+00
1.063802810960241004e+04,3.604125897795507960e+00
1.063802813143792628e+04,3.604125893036174144e+00
1.063802815327344251e+04,3.604125888277067258e+00
1.063802817510896057e+04,3.604125883518188189e+00
1.063802819694447680e+04,3.604125878759537827e+00
1.063802821877999486e+04,3.604125874001114394e+00
1.063802824061551109e+04,3.604125869242920110e+00
1.063802826245102733e+04,3.604125864484953201e+00
1.063802828428654539e+04,3.604125859727214110e+00
1.063802830612206162e+04,3.604125854969704168e+00
1.063802832795757786e+04,3.604125850212421156e+00
1.063802834979309591e+04,3.604125845455366850e+00
1.063802837162861215e+04,3.604125840698539918e+00
1.063802839346412838e+04,3.604125835941942135e+00
1.063802841529964644e+04,3.604125831185570838e+00
1.063802843713516268e+04,3.604125826429429136e+00
1.063802845897067891e+04,3.604125821673514807e+00
1.063802848080619697e+04,3.604125816917828740e+00
1.063802850264171320e+04,3.604125812162370490e+00
1.063802852447723126e+04,3.604125807407139614e+00
1.063802854631274749e+04,3.604125802652138333e+00
1.063802856814826373e+04,3.604125797897364425e+00
1.063802858998378179e+04,3.604125793142818779e+00
1.063802861181929802e+04,3.604125788388500951e+00
1.063802863365481426e+04,3.604125783634410940e+00
1.063802865549033231e+04,3.604125778880549191e+00
1.063802867732584855e+04,3.604125774126916593e+00
1.063802869916136478e+04,3.604125769373510924e+00
1.063802872099688284e+04,3.604125764620333516e+00
1.063802874283239908e+04,3.604125759867385259e+00
1.063802876466791531e+04,3.604125755114664820e+00
1.063802878650343337e+04,3.604125750362171310e+00
1.063802880833894960e+04,3.604125745609906950e+00
1.063802883017446766e+04,3.604125740857869964e+00
1.063802885200998389e+04,3.604125736106062128e+00
1.063802887384550013e+04,3.604125731354482554e+00
1.063802889568101818e+04,3.604125726603129909e+00
