Time (BJD_TBD - 2450000), F_d/F_star (ppm)
9.905193796296138316e+03,6.427286055973217671e+00
9.905193817625817246e+03,6.426300382249610088e+00
9.905193838955496176e+03,6.425314780593565978e+00
9.905193860285176925e+03,6.424329250922146350e+00
9.905193881614855854e+03,6.423343793404493240e+00
9.905193902944534784e+03,6.422358407957650783e+00
9.905193924274213714e+03,6.421373094582701668e+00
9.905193945603892644e+03,6.420387853280714374e+00
9.905193966933571573e+03,6.419402684052776920e+00
9.905193988263252322e+03,6.418417586815952980e+00
9.905194009592931252e+03,6.417432561739358832e+00
9.905194030922610182e+03,6.416447608740038611e+00
9.905194052252289111e+03,6.415462727819076783e+00
9.905194073581968041e+03,6.414477918977563142e+00
9.905194094911648790e+03,6.413493182132599557e+00
9.905194116241327720e+03,6.412508517453206380e+00
9.905194137571006650e+03,6.411523924856484591e+00
9.905194158900685579e+03,6.410539404343518655e+00
9.905194180230364509e+03,6.409554955915389485e+00
9.905194201560043439e+03,6.408570579573164672e+00
9.905194222889724188e+03,6.407586275233994044e+00
9.905194244219403117e+03,6.406602043066833119e+00
9.905194265549082047e+03,6.405617882988815737e+00
9.905194286878760977e+03,6.404633795001025476e+00
9.905194308208439907e+03,6.403649779104528150e+00
9.905194329538120655e+03,6.402665835216498458e+00
9.905194350867799585e+03,6.401681963505843065e+00
9.905194372197478515e+03,6.400698163889712689e+00
9.905194393527157445e+03,6.399714436369198900e+00
9.905194414856836374e+03,6.398730780945374619e+00
9.905194436186517123e+03,6.397747197535431418e+00
9.905194457516196053e+03,6.396763686308212016e+00
9.905194478845874983e+03,6.395780247180915090e+00
9.905194500175553912e+03,6.394796880154614449e+00
9.905194521505232842e+03,6.393813585230385677e+00
9.905194542834911772e+03,6.392830362409302580e+00
9.905194564164592521e+03,6.391847211608603807e+00
9.905194585494271450e+03,6.390864132997053026e+00
9.905194606823950380e+03,6.389881126491887997e+00
9.905194628153629310e+03,6.388898192094175421e+00
9.905194649483308240e+03,6.387915329804990883e+00
9.905194670812988988e+03,6.386932539541611220e+00
9.905194692142667918e+03,6.385949821472736154e+00
9.905194713472346848e+03,6.384967175515612325e+00
9.905194734802025778e+03,6.383984601671329528e+00
9.905194756131704708e+03,6.383002099940956242e+00
9.905194777461383637e+03,6.382019670325572491e+00
9.905194798791064386e+03,6.381037312742483536e+00
9.905194820120743316e+03,6.380055027360313602e+00
9.905194841450422246e+03,6.379072814096359068e+00
9.905194862780101175e+03,6.378090672951694629e+00
9.905194884109780105e+03,6.377108603927401198e+00
9.905194905439460854e+03,6.376126606940807129e+00
9.905194926769139784e+03,6.375144682160481580e+00
9.905194948098818713e+03,6.374162829503752903e+00
9.905194969428497643e+03,6.373181048971694018e+00
9.905194990758176573e+03,6.372199340565372516e+00
9.905195012087855503e+03,6.371217704285871086e+00
9.905195033417536251e+03,6.370236140050571372e+00
9.905195054747215181e+03,6.369254648027941279e+00
9.905195076076894111e+03,6.368273228135354458e+00
9.905195097406573041e+03,6.367291880373893598e+00
9.905195118736251970e+03,6.366310604744610302e+00
9.905195140065932719e+03,6.365329401164942169e+00
9.905195161395611649e+03,6.364348269803284275e+00
9.905195182725290579e+03,6.363367210577050237e+00
9.905195204054969508e+03,6.362386223487300541e+00
9.905195225384648438e+03,6.361405308535124092e+00
9.905195246714329187e+03,6.360424465637945168e+00
9.905195268044008117e+03,6.359443694964133087e+00
9.905195289373687046e+03,6.358462996431102354e+00
9.905195310703365976e+03,6.357482370039928554e+00
9.905195332033044906e+03,6.356501815791693488e+00
9.905195353362723836e+03,6.355521333687479846e+00
9.905195374692404584e+03,6.354540923644742989e+00
9.905195396022083514e+03,6.353560585831765195e+00
9.905195417351762444e+03,6.352580320166024030e+00
9.905195438681441374e+03,6.351600126648587974e+00
9.905195460011120304e+03,6.350620005280529945e+00
9.905195481340801052e+03,6.349639955979346162e+00
9.905195502670479982e+03,6.348659978913278046e+00
9.905195524000158912e+03,6.347680073999796058e+00
9.905195545329837842e+03,6.346700241239990881e+00
9.905195566659516771e+03,6.345720480634930105e+00
9.905195587989195701e+03,6.344740792185688427e+00
9.905195609318876450e+03,6.343761175809791375e+00
9.905195630648555380e+03,6.342781631675409315e+00
9.905195651978234309e+03,6.341802159700054453e+00
9.905195673307913239e+03,6.340822759884815696e+00
9.905195694637592169e+03,6.339843432230752640e+00
9.905195715967272918e+03,6.338864176655448546e+00
9.905195737296951847e+03,6.337884993326960981e+00
9.905195758626630777e+03,6.336905882162896297e+00
9.905195779956309707e+03,6.335926843164289224e+00
9.905195801285988637e+03,6.334947876332223338e+00
9.905195822615667566e+03,6.333968981667772447e+00
9.905195843945348315e+03,6.332990159088535798e+00
9.905195865275027245e+03,6.332011408762538984e+00
9.905195886604706175e+03,6.331032730607373260e+00
9.905195907934385104e+03,6.330054124624105327e+00
9.905195929264064034e+03,6.329075590813817875e+00
9.905195950593744783e+03,6.328097129094133244e+00
9.905195971923423713e+03,6.327118739633005973e+00
9.905195993253102642e+03,6.326140422348082382e+00
9.905196014582781572e+03,6.325162177240406081e+00
9.905196035912460502e+03,6.324184004311066865e+00
9.905196057242139432e+03,6.323205903561123442e+00
9.905196078571820181e+03,6.322227874908255885e+00
9.905196099901499110e+03,6.321249918520336131e+00
9.905196121231178040e+03,6.320272034315036258e+00
9.905196142560856970e+03,6.319294222293422081e+00
9.905196163890535900e+03,6.318316482456570071e+00
9.905196185220216648e+03,6.317338814722165630e+00
9.905196206549895578e+03,6.316361219258043391e+00
9.905196227879574508e+03,6.315383695981888756e+00
9.905196249209253438e+03,6.314406244894779086e+00
9.905196270538932367e+03,6.313428865997770423e+00
9.905196291868613116e+03,6.312451559208607677e+00
9.905196313198292046e+03,6.311474324695050875e+00
9.905196334527970976e+03,6.310497162374804070e+00
9.905196355857649905e+03,6.309520072248949951e+00
9.905196377187328835e+03,6.308543054318562326e+00
9.905196398517007765e+03,6.307566108584700793e+00
9.905196419846688514e+03,6.306589234965132462e+00
9.905196441176367443e+03,6.305612433627554303e+00
9.905196462506046373e+03,6.304635704489709447e+00
9.905196483835725303e+03,6.303659047552680583e+00
9.905196505165404233e+03,6.302682462817535303e+00
9.905196526495084981e+03,6.301705950202062922e+00
9.905196547824763911e+03,6.300729509873882250e+00
9.905196569154442841e+03,6.299753141750800367e+00
9.905196590484121771e+03,6.298776845833867100e+00
9.905196611813800700e+03,6.297800622124166026e+00
9.905196633143479630e+03,6.296824470622754966e+00
9.905196654473160379e+03,6.295848391247473863e+00
9.905196675802839309e+03,6.294872384165867807e+00
9.905196697132518239e+03,6.293896449295766971e+00
9.905196718462197168e+03,6.292920586638239833e+00
9.905196739791876098e+03,6.291944796194343326e+00
9.905196761121556847e+03,6.290969077881959137e+00
9.905196782451235777e+03,6.289993431868556861e+00
9.905196803780914706e+03,6.289017858072011080e+00
9.905196825110593636e+03,6.288042356493370733e+00
9.905196846440272566e+03,6.287066927133710514e+00
9.905196867769951496e+03,6.286091569994105122e+00
9.905196889099632244e+03,6.285116284992451341e+00
9.905196910429311174e+03,6.284141072296155706e+00
9.905196931758990104e+03,6.283165931823115002e+00
9.905196953088669034e+03,6.282190863574395934e+00
9.905196974418347963e+03,6.281215867551073195e+00
9.905196995748028712e+03,6.280240943671065779e+00
9.905197017077707642e+03,6.279266092101734920e+00
9.905197038407386572e+03,6.278291312760991616e+00
9.905197059737065501e+03,6.277316605649902570e+00
9.905197081066744431e+03,6.276341970769550471e+00
9.905197102396425180e+03,6.275367408037888062e+00
9.905197123726104110e+03,6.274392917622193977e+00
9.905197145055783039e+03,6.273418499440436058e+00
9.905197166385461969e+03,6.272444153493674790e+00
9.905197187715140899e+03,6.271469879782975099e+00
9.905197209044819829e+03,6.270495678309411680e+00
9.905197230374500577e+03,6.269521548990977244e+00
9.905197251704179507e+03,6.268547491994879373e+00
9.905197273033858437e+03,6.267573507239109887e+00
9.905197294363537367e+03,6.266599594724743483e+00
