Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.013184277777792886e+04,1.765142011929880184e+01
1.013184279854968190e+04,1.764964598347303948e+01
1.013184281932143494e+04,1.764787192764565305e+01
1.013184284009318799e+04,1.764609795181844376e+01
1.013184286086494103e+04,1.764432405599331233e+01
1.013184288163669407e+04,1.764255024017206352e+01
1.013184290240844712e+04,1.764077650435653055e+01
1.013184292318020016e+04,1.763900284854861411e+01
1.013184294395195320e+04,1.763722927275007990e+01
1.013184296472370625e+04,1.763545577696281796e+01
1.013184298549545929e+04,1.763368236118866150e+01
1.013184300626721233e+04,1.763190902542941885e+01
1.013184302703896537e+04,1.763013576968699780e+01
1.013184304781071842e+04,1.762836259396318894e+01
1.013184306858247146e+04,1.762658949825986099e+01
1.013184308935422450e+04,1.762481648257883649e+01
1.013184311012597936e+04,1.762304354676671281e+01
1.013184313089773241e+04,1.762127069113581612e+01
1.013184315166948545e+04,1.761949791553278288e+01
1.013184317244123849e+04,1.761772521995941787e+01
1.013184319321299154e+04,1.761595260441756849e+01
1.013184321398474458e+04,1.761418006890908217e+01
1.013184323475649762e+04,1.761240761343577077e+01
1.013184325552825067e+04,1.761063523799951724e+01
1.013184327630000371e+04,1.760886294260214058e+01
1.013184329707175675e+04,1.760709072724547042e+01
1.013184331784350979e+04,1.760531859193137905e+01
1.013184333861526284e+04,1.760354653666168900e+01
1.013184335938701588e+04,1.760177456143824770e+01
1.013184338015876892e+04,1.760000266626287768e+01
1.013184340093052197e+04,1.759823085113741215e+01
1.013184342170227501e+04,1.759645911606374113e+01
1.013184344247402805e+04,1.759468746104366232e+01
1.013184346324578109e+04,1.759291588607902668e+01
1.013184348401753414e+04,1.759114439117168160e+01
1.013184350478928718e+04,1.758937297632342478e+01
1.013184352556104022e+04,1.758760164153616401e+01
1.013184354633279327e+04,1.758583038681170052e+01
1.013184356710454631e+04,1.758405921215188883e+01
1.013184358787629935e+04,1.758228811755852306e+01
1.013184360864805240e+04,1.758051710303351101e+01
1.013184362941980544e+04,1.757874616857865391e+01
1.013184365019155848e+04,1.757697531419579207e+01
1.013184367096331152e+04,1.757520453988674802e+01
1.013184369173506457e+04,1.757343384565341182e+01
1.013184371250681761e+04,1.757166323149758114e+01
1.013184373327857065e+04,1.756989269742111759e+01
1.013184375405032551e+04,1.756812224327080685e+01
1.013184377482207856e+04,1.756635186935857007e+01
1.013184379559383160e+04,1.756458157553118582e+01
1.013184381636558464e+04,1.756281136179053348e+01
1.013184383713733769e+04,1.756104122813842494e+01
1.013184385790909073e+04,1.755927117457668629e+01
1.013184387868084377e+04,1.755750120110720047e+01
1.013184389945259682e+04,1.755573130773177581e+01
1.013184392022434986e+04,1.755396149445225973e+01
1.013184394099610290e+04,1.755219176127047476e+01
1.013184396176785594e+04,1.755042210818825410e+01
1.013184398253960899e+04,1.754865253520746293e+01
1.013184400331136203e+04,1.754688304232993090e+01
1.013184402408311507e+04,1.754511362955749476e+01
1.013184404485486812e+04,1.754334429689198416e+01
1.013184406562662116e+04,1.754157504433521808e+01
1.013184408639837420e+04,1.753980587188907592e+01
1.013184410717012724e+04,1.753803677955538021e+01
1.013184412794188029e+04,1.753626776733596770e+01
1.013184414871363333e+04,1.753449883523266450e+01
1.013184416948538637e+04,1.753272998324729670e+01
1.013184419025713942e+04,1.753096121138175079e+01
1.013184421102889246e+04,1.752919251963782443e+01
1.013184423180064550e+04,1.752742390801733663e+01
1.013184425257239855e+04,1.752565537652217742e+01
1.013184427334415159e+04,1.752388692515415869e+01
1.013184429411590463e+04,1.752211855391512074e+01
1.013184431488765767e+04,1.752035026280688612e+01
1.013184433565941072e+04,1.751858205183128092e+01
1.013184435643116376e+04,1.751681392099017742e+01
1.013184437720291680e+04,1.751504587028540172e+01
1.013184439797466985e+04,1.751327789971879412e+01
1.013184441874642471e+04,1.751151000913734634e+01
1.013184443951817775e+04,1.750974219885256389e+01
1.013184446028993079e+04,1.750797446871142071e+01
1.013184448106168384e+04,1.750620681871579976e+01
1.013184450183343688e+04,1.750443924886752356e+01
1.013184452260518992e+04,1.750267175916839335e+01
1.013184454337694297e+04,1.750090434962031338e+01
1.013184456414869601e+04,1.749913702022504225e+01
1.013184458492044905e+04,1.749736977098446999e+01
1.013184460569220209e+04,1.749560260190041561e+01
1.013184462646395514e+04,1.749383551297468387e+01
1.013184464723570818e+04,1.749206850420917192e+01
1.013184466800746122e+04,1.749030157560567034e+01
1.013184468877921427e+04,1.748853472716602653e+01
1.013184470955096731e+04,1.748676795889208790e+01
1.013184473032272035e+04,1.748500127078563793e+01
1.013184475109447339e+04,1.748323466284858085e+01
1.013184477186622644e+04,1.748146813508271435e+01
1.013184479263797948e+04,1.747970168748988939e+01
1.013184481340973252e+04,1.747793532007192141e+01
1.013184483418148557e+04,1.747616903283063650e+01
1.013184485495323861e+04,1.747440282576790693e+01
1.013184487572499165e+04,1.747263669888554460e+01
1.013184489649674470e+04,1.747087065218538626e+01
1.013184491726849774e+04,1.746910468566926511e+01
1.013184493804025078e+04,1.746733879933898947e+01
1.013184495881200382e+04,1.746557299319644585e+01
1.013184497958375687e+04,1.746380726724344967e+01
1.013184500035550991e+04,1.746204162148179151e+01
1.013184502112726295e+04,1.746027605591339693e+01
1.013184504189901600e+04,1.745851057053998900e+01
1.013184506267077086e+04,1.745674516520888631e+01
1.013184508344252390e+04,1.745497984023110050e+01
1.013184510421427694e+04,1.745321459545385423e+01
1.013184512498602999e+04,1.745144943087895228e+01
1.013184514575778303e+04,1.744968434650828826e+01
1.013184516652953607e+04,1.744791934234365627e+01
1.013184518730128912e+04,1.744615441838691439e+01
1.013184520807304216e+04,1.744438957463987094e+01
1.013184522884479520e+04,1.744262481110434138e+01
1.013184524961654824e+04,1.744086012778221573e+01
1.013184527038830129e+04,1.743909552467529167e+01
1.013184529116005433e+04,1.743733100178540596e+01
1.013184531193180737e+04,1.743556655911440245e+01
1.013184533270356042e+04,1.743380219666406106e+01
1.013184535347531346e+04,1.743203791443629314e+01
1.013184537424706650e+04,1.743027371243288925e+01
1.013184539501881954e+04,1.742850959065566130e+01
1.013184541579057259e+04,1.742674554910649931e+01
1.013184543656232563e+04,1.742498158778719031e+01
1.013184545733407867e+04,1.742321770669958525e+01
1.013184547810583172e+04,1.742145390584551379e+01
1.013184549887758476e+04,1.741969018522677004e+01
1.013184551964933780e+04,1.741792654484524761e+01
1.013184554042109085e+04,1.741616298470275481e+01
1.013184556119284389e+04,1.741439950480111065e+01
1.013184558196459693e+04,1.741263610514216253e+01
1.013184560273634997e+04,1.741087278572770103e+01
1.013184562350810302e+04,1.740910954655961618e+01
1.013184564427985606e+04,1.740734638763971631e+01
1.013184566505160910e+04,1.740558330896983108e+01
1.013184568582336215e+04,1.740382031055178658e+01
1.013184570659511701e+04,1.740205739223301507e+01
1.013184572736687005e+04,1.740029455432416583e+01
1.013184574813862309e+04,1.739853179667264271e+01
1.013184576891037614e+04,1.739676911928029313e+01
