Time (BJD_TBD - 2450000), F_star + F_d (mJy)
9.889738090277649462e+03,2.652951009670573956e+00
9.889738107156652404e+03,2.652951014045551226e+00
9.889738124035655346e+03,2.652951018420656837e+00
9.889738140914658288e+03,2.652951022795891678e+00
9.889738157793661230e+03,2.652951027171253973e+00
9.889738174672662353e+03,2.652951031546745497e+00
9.889738191551665295e+03,2.652951035922365364e+00
9.889738208430668237e+03,2.652951040298114460e+00
9.889738225309671179e+03,2.652951044673991898e+00
9.889738242188674121e+03,2.652951049049998122e+00
9.889738259067677063e+03,2.652951053426132244e+00
9.889738275946680005e+03,2.652951057802395596e+00
9.889738292825682947e+03,2.652951062178787733e+00
9.889738309704684070e+03,2.652951066555306880e+00
9.889738326583687012e+03,2.652951070931956146e+00
9.889738343462689954e+03,2.652951075308733309e+00
9.889738360341692896e+03,2.652951079685639701e+00
9.889738377220695838e+03,2.652951084062673992e+00
9.889738394099698780e+03,2.652951088439837513e+00
9.889738410978701722e+03,2.652951092817129375e+00
9.889738427857704664e+03,2.652951097194549579e+00
9.889738444736705787e+03,2.652951101572098125e+00
9.889738461615708729e+03,2.652951105949775457e+00
9.889738478494711671e+03,2.652951110327581574e+00
9.889738495373714613e+03,2.652951114705516034e+00
9.889738512252717555e+03,2.652951119083579279e+00
9.889738529131720497e+03,2.652951123461770866e+00
9.889738546010723439e+03,2.652951127840091239e+00
9.889738562889726381e+03,2.652951132218539509e+00
9.889738579768727504e+03,2.652951136597116566e+00
9.889738596647730446e+03,2.652951140975821964e+00
9.889738613526733388e+03,2.652951145354656592e+00
9.889738630405736330e+03,2.652951149733619118e+00
9.889738647284739272e+03,2.652951154112710430e+00
9.889738664163742214e+03,2.652951158491930528e+00
9.889738681042745156e+03,2.652951162871278967e+00
9.889738697921748098e+03,2.652951167250755748e+00
9.889738714800749221e+03,2.652951171630360871e+00
9.889738731679752163e+03,2.652951176010094780e+00
9.889738748558755105e+03,2.652951180389957031e+00
9.889738765437758047e+03,2.652951184769947623e+00
9.889738782316760989e+03,2.652951189150067446e+00
9.889738799195763931e+03,2.652951193530315166e+00
9.889738816074766873e+03,2.652951197910691672e+00
9.889738832953769816e+03,2.652951202291196520e+00
9.889738849832770939e+03,2.652951206671829265e+00
9.889738866711773881e+03,2.652951211052591241e+00
9.889738883590776823e+03,2.652951215433481114e+00
9.889738900469779765e+03,2.652951219814500661e+00
9.889738917348782707e+03,2.652951224195647661e+00
9.889738934227785649e+03,2.652951228576923448e+00
9.889738951106788591e+03,2.652951232958327576e+00
9.889738967985791533e+03,2.652951237339860491e+00
9.889738984864792656e+03,2.652951241721521303e+00
9.889739001743795598e+03,2.652951246103310901e+00
9.889739018622798540e+03,2.652951250485228840e+00
9.889739035501801482e+03,2.652951254867275566e+00
9.889739052380804424e+03,2.652951259249450633e+00
9.889739069259807366e+03,2.652951263631754042e+00
9.889739086138810308e+03,2.652951268014185793e+00
9.889739103017813250e+03,2.652951272396745885e+00
9.889739119896814373e+03,2.652951276779433876e+00
9.889739136775817315e+03,2.652951281162251540e+00
9.889739153654820257e+03,2.652951285545197102e+00
9.889739170533823199e+03,2.652951289928271006e+00
9.889739187412826141e+03,2.652951294311473251e+00
9.889739204291829083e+03,2.652951298694804283e+00
9.889739221170832025e+03,2.652951303078263656e+00
9.889739238049834967e+03,2.652951307461850927e+00
9.889739254928836090e+03,2.652951311845566984e+00
9.889739271807839032e+03,2.652951316229411383e+00
9.889739288686841974e+03,2.652951320613384567e+00
9.889739305565844916e+03,2.652951324997485649e+00
9.889739322444847858e+03,2.652951329381715517e+00
9.889739339323850800e+03,2.652951333766073283e+00
9.889739356202853742e+03,2.652951338150560279e+00
9.889739373081856684e+03,2.652951342535175172e+00
9.889739389960857807e+03,2.652951346919917963e+00
9.889739406839860749e+03,2.652951351304789540e+00
9.889739423718863691e+03,2.652951355689789903e+00
9.889739440597866633e+03,2.652951360074918163e+00
9.889739457476869575e+03,2.652951364460175210e+00
9.889739474355872517e+03,2.652951368845560598e+00
9.889739491234875459e+03,2.652951373231074328e+00
9.889739508113878401e+03,2.652951377616716400e+00
9.889739524992879524e+03,2.652951382002485925e+00
9.889739541871882466e+03,2.652951386388384680e+00
9.889739558750885408e+03,2.652951390774411777e+00
9.889739575629888350e+03,2.652951395160567660e+00
9.889739592508891292e+03,2.652951399546850997e+00
9.889739609387894234e+03,2.652951403933263119e+00
9.889739626266897176e+03,2.652951408319803583e+00
9.889739643145900118e+03,2.652951412706472389e+00
9.889739660024901241e+03,2.652951417093269093e+00
9.889739676903904183e+03,2.652951421480195027e+00
9.889739693782907125e+03,2.652951425867248414e+00
9.889739710661910067e+03,2.652951430254430587e+00
9.889739727540913009e+03,2.652951434641741546e+00
9.889739744419915951e+03,2.652951439029180403e+00
9.889739761298918893e+03,2.652951443416747601e+00
9.889739778177921835e+03,2.652951447804442697e+00
9.889739795056922958e+03,2.652951452192266135e+00
9.889739811935925900e+03,2.652951456580218359e+00
9.889739828814928842e+03,2.652951460968298480e+00
9.889739845693931784e+03,2.652951465356507388e+00
9.889739862572934726e+03,2.652951469744844637e+00
9.889739879451937668e+03,2.652951474133309340e+00
9.889739896330940610e+03,2.652951478521903272e+00
9.889739913209943552e+03,2.652951482910625103e+00
9.889739930088944675e+03,2.652951487299474831e+00
9.889739946967947617e+03,2.652951491688453345e+00
9.889739963846950559e+03,2.652951496077560201e+00
9.889739980725953501e+03,2.652951500466794954e+00
9.889739997604956443e+03,2.652951504856158937e+00
9.889740014483959385e+03,2.652951509245650819e+00
9.889740031362962327e+03,2.652951513635270153e+00
9.889740048241965269e+03,2.652951518025018718e+00
9.889740065120966392e+03,2.652951522414894292e+00
9.889740081999969334e+03,2.652951526804899096e+00
9.889740098878972276e+03,2.652951531195032242e+00
9.889740115757975218e+03,2.652951535585293730e+00
9.889740132636978160e+03,2.652951539975683115e+00
9.889740149515981102e+03,2.652951544366200842e+00
9.889740166394984044e+03,2.652951548756846467e+00
9.889740183273986986e+03,2.652951553147621322e+00
9.889740200152988109e+03,2.652951557538523186e+00
9.889740217031991051e+03,2.652951561929553836e+00
9.889740233910993993e+03,2.652951566320712828e+00
9.889740250789996935e+03,2.652951570711999718e+00
9.889740267668999877e+03,2.652951575103415394e+00
9.889740284548002819e+03,2.652951579494959411e+00
9.889740301427005761e+03,2.652951583886631326e+00
9.889740318306008703e+03,2.652951588278431139e+00
9.889740335185009826e+03,2.652951592670359293e+00
9.889740352064012768e+03,2.652951597062415789e+00
9.889740368943015710e+03,2.652951601454600628e+00
9.889740385822018652e+03,2.652951605846913807e+00
9.889740402701021594e+03,2.652951610239354885e+00
9.889740419580024536e+03,2.652951614631924304e+00
9.889740436459027478e+03,2.652951619024621621e+00
9.889740453338030420e+03,2.652951623417448168e+00
9.889740470217031543e+03,2.652951627810401725e+00
9.889740487096034485e+03,2.652951632203483623e+00
9.889740503975037427e+03,2.652951636596693863e+00
9.889740520854040369e+03,2.652951640990032889e+00
9.889740537733043311e+03,2.652951645383499368e+00
9.889740554612046253e+03,2.652951649777094634e+00
9.889740571491049195e+03,2.652951654170817353e+00
9.889740588370052137e+03,2.652951658564668858e+00
9.889740605249053260e+03,2.652951662958647816e+00
9.889740622128056202e+03,2.652951667352755560e+00
9.889740639007059144e+03,2.652951671746991202e+00
9.889740655886062086e+03,2.652951676141355630e+00
9.889740672765065028e+03,2.652951680535847956e+00
9.889740689644067970e+03,2.652951684930467735e+00
9.889740706523070912e+03,2.652951689325216300e+00
9.889740723402073854e+03,2.652951693720093207e+00
9.889740740281074977e+03,2.652951698115097123e+00
9.889740757160077919e+03,2.652951702510230270e+00
9.889740774039080861e+03,2.652951706905491314e+00
9.889740790918083803e+03,2.652951711300880699e+00
9.889740807797086745e+03,2.652951715696397539e+00
9.889740824676089687e+03,2.652951720092043164e+00
9.889740841555092629e+03,2.652951724487816687e+00
9.889740858434095571e+03,2.652951728883718552e+00
9.889740875313096694e+03,2.652951733279748314e+00
9.889740892192099636e+03,2.652951737675906418e+00
9.889740909071102578e+03,2.652951742072191976e+00
9.889740925950105520e+03,2.652951746468606320e+00
9.889740942829108462e+03,2.652951750865148561e+00
9.889740959708111404e+03,2.652951755261819144e+00
9.889740976587114346e+03,2.652951759658618069e+00
9.889740993466117288e+03,2.652951764055544004e+00
9.889741010345118411e+03,2.652951768452598724e+00
9.889741027224121353e+03,2.652951772849781786e+00
9.889741044103124295e+03,2.652951777247092746e+00
9.889741060982127237e+03,2.652951781644531160e+00
9.889741077861130179e+03,2.652951786042098803e+00
9.889741094740133121e+03,2.652951790439793900e+00
9.889741111619136063e+03,2.652951794837617339e+00
9.889741128498139005e+03,2.652951799235568231e+00
9.889741145377140128e+03,2.652951803633647465e+00
9.889741162256143070e+03,2.652951808031855485e+00
9.889741179135146012e+03,2.652951812430190515e+00
9.889741196014148954e+03,2.652951816828654330e+00
9.889741212893151896e+03,2.652951821227246043e+00
9.889741229772154838e+03,2.652951825625966098e+00
9.889741246651157780e+03,2.652951830024813606e+00
9.889741263530160722e+03,2.652951834423789901e+00
9.889741280409161845e+03,2.652951838822893205e+00
9.889741297288164787e+03,2.652951843222124850e+00
9.889741314167167729e+03,2.652951847621485282e+00
9.889741331046170671e+03,2.652951852020973167e+00
9.889741347925173613e+03,2.652951856420589394e+00
9.889741364804176555e+03,2.652951860820333962e+00
9.889741381683179497e+03,2.652951865220205985e+00
9.889741398562182439e+03,2.652951869620205905e+00
9.889741415441183563e+03,2.652951874020334166e+00
9.889741432320186505e+03,2.652951878420590326e+00
9.889741449199189447e+03,2.652951882820973939e+00
9.889741466078192389e+03,2.652951887221486338e+00
9.889741482957195331e+03,2.652951891622127523e+00
9.889741499836198273e+03,2.652951896022895273e+00
9.889741516715201215e+03,2.652951900423791809e+00
9.889741533594204157e+03,2.652951904824816243e+00
9.889741550473205280e+03,2.652951909225968130e+00
9.889741567352208222e+03,2.652951913627248803e+00
9.889741584231211164e+03,2.652951918028656930e+00
9.889741601110214106e+03,2.652951922430192955e+00
9.889741617989217048e+03,2.652951926831857765e+00
9.889741634868219990e+03,2.652951931233650029e+00
9.889741651747222932e+03,2.652951935635570191e+00
9.889741668626225874e+03,2.652951940037618250e+00
9.889741685505226997e+03,2.652951944439794207e+00
9.889741702384229939e+03,2.652951948842098506e+00
9.889741719263232881e+03,2.652951953244531147e+00
9.889741736142235823e+03,2.652951957647091241e+00
9.889741753021238765e+03,2.652951962049779677e+00
9.889741769900241707e+03,2.652951966452596011e+00
9.889741786779244649e+03,2.652951970855539798e+00
9.889741803658247591e+03,2.652951975258611483e+00
9.889741820537248714e+03,2.652951979661811510e+00
9.889741837416251656e+03,2.652951984065139435e+00
9.889741854295254598e+03,2.652951988468595257e+00
9.889741871174257540e+03,2.652951992872178977e+00
9.889741888053260482e+03,2.652951997275891038e+00
9.889741904932263424e+03,2.652952001679730998e+00
9.889741921811266366e+03,2.652952006083698411e+00
9.889741938690269308e+03,2.652952010487794610e+00
9.889741955569270431e+03,2.652952014892017374e+00
9.889741972448273373e+03,2.652952019296368924e+00
9.889741989327276315e+03,2.652952023700848372e+00
9.889742006206279257e+03,2.652952028105455717e+00
9.889742023085282199e+03,2.652952032510191405e+00
9.889742039964285141e+03,2.652952036915054546e+00
9.889742056843288083e+03,2.652952041320045584e+00
9.889742073722291025e+03,2.652952045725164076e+00
9.889742090601292148e+03,2.652952050130410910e+00
9.889742107480295090e+03,2.652952054535785198e+00
9.889742124359298032e+03,2.652952058941288271e+00
9.889742141238300974e+03,2.652952063346918798e+00
9.889742158117303916e+03,2.652952067752677667e+00
9.889742174996306858e+03,2.652952072158563990e+00
9.889742191875309800e+03,2.652952076564578210e+00
9.889742208754312742e+03,2.652952080970720772e+00
9.889742225633313865e+03,2.652952085376989899e+00
9.889742242512316807e+03,2.652952089783388256e+00
9.889742259391319749e+03,2.652952094189913623e+00
9.889742276270322691e+03,2.652952098596567776e+00
9.889742293149325633e+03,2.652952103003349382e+00
9.889742310028328575e+03,2.652952107410258886e+00
9.889742326907331517e+03,2.652952111817295844e+00
9.889742343786334459e+03,2.652952116224460699e+00
9.889742360665335582e+03,2.652952120631753896e+00
9.889742377544338524e+03,2.652952125039174991e+00
9.889742394423341466e+03,2.652952129446723539e+00
9.889742411302344408e+03,2.652952133854399985e+00
