Time (BJD_TBD - 2450000), F_d/F_star (ppm)
9.903683680555783212e+03,1.828199463947280208e+02
9.903683703452748887e+03,1.828187187664060218e+02
9.903683726349714561e+03,1.828174910268493250e+02
9.903683749246680236e+03,1.828162631760595218e+02
9.903683772143645911e+03,1.828150352140380903e+02
9.903683795040611585e+03,1.828138071407865937e+02
9.903683817937577260e+03,1.828125789563065950e+02
9.903683840834542934e+03,1.828113506605996861e+02
9.903683863731508609e+03,1.828101222536673731e+02
9.903683886628474283e+03,1.828088937355111909e+02
9.903683909525439958e+03,1.828076651061327027e+02
9.903683932422405633e+03,1.828064363655335001e+02
9.903683955319371307e+03,1.828052075137150894e+02
9.903683978216336982e+03,1.828039785506789769e+02
9.903684001113302656e+03,1.828027494764268397e+02
9.903684024010268331e+03,1.828015202909601271e+02
9.903684046907234006e+03,1.828002909942804308e+02
9.903684069804199680e+03,1.827990615863893140e+02
9.903684092701163536e+03,1.827978320673859685e+02
9.903684115598129210e+03,1.827966024370766149e+02
9.903684138495094885e+03,1.827953726955604452e+02
9.903684161392060560e+03,1.827941428428390793e+02
9.903684184289026234e+03,1.827929128789140236e+02
9.903684207185991909e+03,1.827916828037868413e+02
9.903684230082957583e+03,1.827904526174590956e+02
9.903684252979923258e+03,1.827892223199322643e+02
9.903684275876888933e+03,1.827879919112079961e+02
9.903684298773854607e+03,1.827867613912878255e+02
9.903684321670820282e+03,1.827855307601732591e+02
9.903684344567785956e+03,1.827843000178658883e+02
9.903684367464751631e+03,1.827830691643672480e+02
9.903684390361717305e+03,1.827818381996789299e+02
9.903684413258682980e+03,1.827806071238024685e+02
9.903684436155648655e+03,1.827793759367393420e+02
9.903684459052614329e+03,1.827781446384912272e+02
9.903684481949580004e+03,1.827769132290596019e+02
9.903684504846545678e+03,1.827756817084460010e+02
9.903684527743511353e+03,1.827744500766520446e+02
9.903684550640477028e+03,1.827732183336792673e+02
9.903684573537442702e+03,1.827719864795291755e+02
9.903684596434408377e+03,1.827707545142033894e+02
9.903684619331374051e+03,1.827695224377034435e+02
9.903684642228339726e+03,1.827682902500308728e+02
9.903684665125305401e+03,1.827670579511872688e+02
9.903684688022271075e+03,1.827658255411741379e+02
9.903684710919236750e+03,1.827645930199930433e+02
9.903684733816202424e+03,1.827633603876456334e+02
9.903684756713168099e+03,1.827621276441333009e+02
9.903684779610133774e+03,1.827608947894576943e+02
9.903684802507099448e+03,1.827596618236204336e+02
9.903684825404065123e+03,1.827584287466229398e+02
9.903684848301030797e+03,1.827571955584668615e+02
9.903684871197996472e+03,1.827559622591537334e+02
9.903684894094960327e+03,1.827547288487830883e+02
9.903684916991926002e+03,1.827534953271604934e+02
9.903684939888891677e+03,1.827522616943855667e+02
9.903684962785857351e+03,1.827510279504597577e+02
9.903684985682823026e+03,1.827497940953847149e+02
9.903685008579788700e+03,1.827485601291619162e+02
9.903685031476754375e+03,1.827473260517929532e+02
9.903685054373720050e+03,1.827460918632794460e+02
9.903685077270685724e+03,1.827448575636228725e+02
9.903685100167651399e+03,1.827436231528247674e+02
9.903685123064617073e+03,1.827423886308868077e+02
9.903685145961582748e+03,1.827411539978104713e+02
9.903685168858548423e+03,1.827399192535972645e+02
9.903685191755514097e+03,1.827386843982488926e+02
9.903685214652479772e+03,1.827374494317667200e+02
9.903685237549445446e+03,1.827362143541524517e+02
9.903685260446411121e+03,1.827349791654076512e+02
9.903685283343376796e+03,1.827337438655337678e+02
9.903685306240342470e+03,1.827325084545324501e+02
9.903685329137308145e+03,1.827312729324052611e+02
9.903685352034273819e+03,1.827300372991536790e+02
9.903685374931239494e+03,1.827288015547793520e+02
9.903685397828205168e+03,1.827275656992837867e+02
9.903685420725170843e+03,1.827263297326685176e+02
9.903685443622136518e+03,1.827250936549352218e+02
9.903685466519102192e+03,1.827238574660853487e+02
9.903685489416067867e+03,1.827226211661204616e+02
9.903685512313033541e+03,1.827213847550422088e+02
9.903685535209999216e+03,1.827201482328520399e+02
9.903685558106964891e+03,1.827189115995515749e+02
9.903685581003930565e+03,1.827176748551424339e+02
9.903685603900896240e+03,1.827164379996260379e+02
9.903685626797861914e+03,1.827152010330040355e+02
9.903685649694827589e+03,1.827139639552780181e+02
9.903685672591793264e+03,1.827127267664494354e+02
9.903685695488757119e+03,1.827114894666182181e+02
9.903685718385722794e+03,1.827102520555894216e+02
9.903685741282688468e+03,1.827090145334627209e+02
9.903685764179654143e+03,1.827077769002397929e+02
9.903685787076619818e+03,1.827065391559222292e+02
9.903685809973585492e+03,1.827053013005114224e+02
9.903685832870551167e+03,1.827040633340091063e+02
9.903685855767516841e+03,1.827028252564168440e+02
9.903685878664482516e+03,1.827015870677360567e+02
9.903685901561448190e+03,1.827003487679684497e+02
9.903685924458413865e+03,1.826991103571155008e+02
9.903685947355379540e+03,1.826978718351788018e+02
9.903685970252345214e+03,1.826966332021598873e+02
9.903685993149310889e+03,1.826953944580603775e+02
9.903686016046276563e+03,1.826941556028817786e+02
9.903686038943242238e+03,1.826929166366257107e+02
9.903686061840207913e+03,1.826916775592936801e+02
9.903686084737173587e+03,1.826904383708872786e+02
9.903686107634139262e+03,1.826891990714080976e+02
9.903686130531104936e+03,1.826879596608576151e+02
9.903686153428070611e+03,1.826867201392375080e+02
9.903686176325036286e+03,1.826854805065492826e+02
9.903686199222001960e+03,1.826842407627944453e+02
9.903686222118967635e+03,1.826830009079746731e+02
9.903686245015933309e+03,1.826817609420914721e+02
9.903686267912898984e+03,1.826805208651463488e+02
9.903686290809864659e+03,1.826792806771410085e+02
9.903686313706830333e+03,1.826780403780769291e+02
9.903686336603796008e+03,1.826767999679556453e+02
9.903686359500761682e+03,1.826755594467788058e+02
9.903686382397727357e+03,1.826743188145479166e+02
9.903686405294693031e+03,1.826730780712645696e+02
9.903686428191658706e+03,1.826718372169303279e+02
9.903686451088624381e+03,1.826705962515466979e+02
9.903686473985590055e+03,1.826693551751153279e+02
9.903686496882553911e+03,1.826681139877363762e+02
9.903686519779519585e+03,1.826668726892141876e+02
9.903686542676485260e+03,1.826656312796489203e+02
9.903686565573450935e+03,1.826643897590421375e+02
9.903686588470416609e+03,1.826631481273954591e+02
9.903686611367382284e+03,1.826619063847103632e+02
9.903686634264347958e+03,1.826606645309884982e+02
9.903686657161313633e+03,1.826594225662313704e+02
9.903686680058279308e+03,1.826581804904405715e+02
9.903686702955244982e+03,1.826569383036177499e+02
9.903686725852210657e+03,1.826556960057642982e+02
9.903686748749176331e+03,1.826544535968819503e+02
9.903686771646142006e+03,1.826532110769721555e+02
9.903686794543107681e+03,1.826519684460365340e+02
9.903686817440073355e+03,1.826507257040766774e+02
9.903686840337039030e+03,1.826494828510941204e+02
9.903686863234004704e+03,1.826482398870904262e+02
9.903686886130970379e+03,1.826469968120671865e+02
9.903686909027936053e+03,1.826457536260259644e+02
9.903686931924901728e+03,1.826445103289683516e+02
9.903686954821867403e+03,1.826432669208958259e+02
9.903686977718833077e+03,1.826420234018100359e+02
9.903687000615798752e+03,1.826407797717125732e+02
9.903687023512764426e+03,1.826395360306049440e+02
9.903687046409730101e+03,1.826382921784887117e+02
9.903687069306695776e+03,1.826370482153655246e+02
9.903687092203661450e+03,1.826358041412369175e+02
9.903687115100627125e+03,1.826345599561043684e+02
9.903687137997592799e+03,1.826333156599696110e+02
9.903687160894558474e+03,1.826320712528340948e+02
9.903687183791524149e+03,1.826308267346994398e+02
9.903687206688489823e+03,1.826295821055672377e+02
9.903687229585455498e+03,1.826283373654389663e+02
9.903687252482421172e+03,1.826270925143162458e+02
9.903687275379386847e+03,1.826258475522006961e+02
9.903687298276350703e+03,1.826246024791927596e+02
9.903687321173316377e+03,1.826233572950961843e+02
9.903687344070282052e+03,1.826221120000114411e+02
9.903687366967247726e+03,1.826208665939401499e+02
9.903687389864213401e+03,1.826196210768837886e+02
9.903687412761179075e+03,1.826183754488440343e+02
9.903687435658144750e+03,1.826171297098224215e+02
9.903687458555110425e+03,1.826158838598204568e+02
9.903687481452076099e+03,1.826146378988398737e+02
9.903687504349041774e+03,1.826133918268820366e+02
9.903687527246007448e+03,1.826121456439486508e+02
9.903687550142973123e+03,1.826108993500413078e+02
9.903687573039938798e+03,1.826096529451614572e+02
9.903687595936904472e+03,1.826084064293107758e+02
9.903687618833870147e+03,1.826071598024908269e+02
9.903687641730835821e+03,1.826059130647031168e+02
9.903687664627801496e+03,1.826046662159493223e+02
9.903687687524767171e+03,1.826034192562309499e+02
9.903687710421732845e+03,1.826021721855495343e+02
9.903687733318698520e+03,1.826009250039067524e+02
9.903687756215664194e+03,1.825996777113041105e+02
9.903687779112629869e+03,1.825984303077431719e+02
9.903687802009595543e+03,1.825971827932256133e+02
9.903687824906561218e+03,1.825959351677528559e+02
9.903687847803526893e+03,1.825946874313265482e+02
9.903687870700492567e+03,1.825934395839483386e+02
9.903687893597458242e+03,1.825921916256196482e+02
9.903687916494423916e+03,1.825909435563421823e+02
9.903687939391389591e+03,1.825896953761174473e+02
9.903687962288355266e+03,1.825884470849470347e+02
9.903687985185320940e+03,1.825871986828325362e+02
9.903688008082286615e+03,1.825859501697755150e+02
9.903688030979252289e+03,1.825847015457775342e+02
9.903688053876217964e+03,1.825834528108401855e+02
9.903688076773183639e+03,1.825822039649650605e+02
9.903688099670147494e+03,1.825809550082529142e+02
9.903688122567113169e+03,1.825797059405069263e+02
9.903688145464078843e+03,1.825784567618278800e+02
9.903688168361044518e+03,1.825772074722173102e+02
9.903688191258010193e+03,1.825759580716768369e+02
9.903688214154975867e+03,1.825747085602080517e+02
9.903688237051941542e+03,1.825734589378124610e+02
9.903688259948907216e+03,1.825722092044917702e+02
9.903688282845872891e+03,1.825709593602473717e+02
9.903688305742838565e+03,1.825697094050809710e+02
9.903688328639804240e+03,1.825684593389941881e+02
9.903688351536769915e+03,1.825672091619884441e+02
9.903688374433735589e+03,1.825659588740653874e+02
9.903688397330701264e+03,1.825647084752267233e+02
9.903688420227666938e+03,1.825634579654738445e+02
9.903688443124632613e+03,1.825622073448083995e+02
9.903688466021598288e+03,1.825609566132320083e+02
9.903688488918563962e+03,1.825597057707461488e+02
9.903688511815529637e+03,1.825584548173524979e+02
9.903688534712495311e+03,1.825572037530526188e+02
9.903688557609460986e+03,1.825559525778480463e+02
9.903688580506426661e+03,1.825547012917403720e+02
9.903688603403392335e+03,1.825534498947312159e+02
9.903688626300358010e+03,1.825521983868220843e+02
9.903688649197323684e+03,1.825509467680146543e+02
9.903688672094289359e+03,1.825496950383104320e+02
9.903688694991255034e+03,1.825484431977110091e+02
9.903688717888220708e+03,1.825471912462179773e+02
9.903688740785186383e+03,1.825459391838328713e+02
