Time (BJD_TBD - 2450000), F_star + F_d (mJy)
1.062594821759266779e+04,2.557550967127308006e+00
1.062594823627046208e+04,2.557550963466252547e+00
1.062594825494825454e+04,2.557550959805387158e+00
1.062594827362604883e+04,2.557550956144711840e+00
1.062594829230384312e+04,2.557550952484226148e+00
1.062594831098163559e+04,2.557550948823930970e+00
1.062594832965942987e+04,2.557550945163824974e+00
1.062594834833722416e+04,2.557550941503909492e+00
1.062594836701501663e+04,2.557550937844184080e+00
1.062594838569281092e+04,2.557550934184648295e+00
1.062594840437060520e+04,2.557550930525302579e+00
1.062594842304839767e+04,2.557550926866147378e+00
1.062594844172619196e+04,2.557550923207181359e+00
1.062594846040398625e+04,2.557550919548405854e+00
1.062594847908178053e+04,2.557550915889819976e+00
1.062594849775957300e+04,2.557550912231424167e+00
1.062594851643736729e+04,2.557550908573218429e+00
1.062594853511516158e+04,2.557550904915202317e+00
1.062594855379295404e+04,2.557550901257377163e+00
1.062594857247074833e+04,2.557550897599741635e+00
1.062594859114854262e+04,2.557550893942295733e+00
1.062594860982633509e+04,2.557550890285039902e+00
1.062594862850412937e+04,2.557550886627974140e+00
1.062594864718192366e+04,2.557550882971098005e+00
1.062594866585971613e+04,2.557550879314412828e+00
1.062594868453751042e+04,2.557550875657916833e+00
1.062594870321530470e+04,2.557550872001611353e+00
1.062594872189309717e+04,2.557550868345495942e+00
1.062594874057089146e+04,2.557550864689570158e+00
1.062594875924868575e+04,2.557550861033834444e+00
1.062594877792647821e+04,2.557550857378288800e+00
1.062594879660427250e+04,2.557550853722933226e+00
1.062594881528206679e+04,2.557550850067767723e+00
1.062594883395985926e+04,2.557550846412792733e+00
1.062594885263765354e+04,2.557550842758006926e+00
1.062594887131544783e+04,2.557550839103411633e+00
1.062594888999324030e+04,2.557550835449006854e+00
1.062594890867103459e+04,2.557550831794790813e+00
1.062594892734882887e+04,2.557550828140766175e+00
1.062594894602662316e+04,2.557550824486930718e+00
1.062594896470441563e+04,2.557550820833285776e+00
1.062594898338220992e+04,2.557550817179830904e+00
1.062594900206000420e+04,2.557550813526565658e+00
1.062594902073779667e+04,2.557550809873491371e+00
1.062594903941559096e+04,2.557550806220605821e+00
1.062594905809338525e+04,2.557550802567911674e+00
1.062594907677117772e+04,2.557550798915407153e+00
1.062594909544897200e+04,2.557550795263092258e+00
1.062594911412676629e+04,2.557550791610967877e+00
1.062594913280455876e+04,2.557550787959033567e+00
1.062594915148235305e+04,2.557550784307289327e+00
1.062594917016014733e+04,2.557550780655735156e+00
1.062594918883793980e+04,2.557550777004371501e+00
1.062594920751573409e+04,2.557550773353197027e+00
1.062594922619352838e+04,2.557550769702213067e+00
1.062594924487132084e+04,2.557550766051420066e+00
1.062594926354911513e+04,2.557550762400815803e+00
1.062594928222690942e+04,2.557550758750402053e+00
