Time (BJD_TBD - 2450000), L_d/L_star (ppm)
7.260000000000000000e+03,1.309255819299538643e+02
7.260003000300030180e+03,1.304202610849117150e+02
7.260006000600060361e+03,1.299145069431079378e+02
7.260009000900089632e+03,1.294083304642763039e+02
7.260012001200119812e+03,1.289017426168421423e+02
7.260015001500149992e+03,1.283947543786052847e+02
7.260018001800180173e+03,1.278873767358885516e+02
7.260021002100210353e+03,1.273796206834531546e+02
7.260024002400239624e+03,1.268714972244143411e+02
7.260027002700269804e+03,1.263630173693868528e+02
7.260030003000299985e+03,1.258541921371705712e+02
7.260033003300330165e+03,1.253450325538956349e+02
7.260036003600360345e+03,1.248355496529372459e+02
7.260039003900389616e+03,1.243257544748318111e+02
7.260042004200419797e+03,1.238156580664187913e+02
7.260045004500449977e+03,1.233052714815288624e+02
7.260048004800480157e+03,1.227946057801263322e+02
7.260051005100510338e+03,1.222836720282238900e+02
7.260054005400539609e+03,1.217724812977977109e+02
7.260057005700569789e+03,1.212610446659277699e+02
7.260060006000599969e+03,1.207493732154875943e+02
7.260063006300630150e+03,1.202374780342841660e+02
7.260066006600660330e+03,1.197253702149727701e+02
7.260069006900690511e+03,1.192130608548163337e+02
7.260072007200719781e+03,1.187005610556006587e+02
7.260075007500749962e+03,1.181878819227721635e+02
7.260078007800780142e+03,1.176750345661294972e+02
7.260081008100810323e+03,1.171620300989612531e+02
7.260084008400840503e+03,1.166488796379606185e+02
7.260087008700869774e+03,1.161355943031400813e+02
7.260090009000899954e+03,1.156221852169680346e+02
7.260093009300930134e+03,1.151086635050611022e+02
7.260096009600960315e+03,1.145950402953211409e+02
7.260099009900990495e+03,1.140813267178493504e+02
7.260102010201019766e+03,1.135675339048609658e+02
7.260105010501049946e+03,1.130536729898209245e+02
7.260108010801080127e+03,1.125397551081371859e+02
7.260111011101110307e+03,1.120257913962964551e+02
7.260114011401140488e+03,1.115117929917785631e+02
7.260117011701169758e+03,1.109977710329708316e+02
7.260120012001199939e+03,1.104837366583038119e+02
7.260123012301230119e+03,1.099697010069441774e+02
7.260126012601260300e+03,1.094556752179307750e+02
7.260129012901290480e+03,1.089416704300885641e+02
7.260132013201319751e+03,1.084276977819432801e+02
7.260135013501349931e+03,1.079137684108567328e+02
7.260138013801380112e+03,1.073998934537204377e+02
7.260141014101410292e+03,1.068860840460909003e+02
7.260144014401440472e+03,1.063723513221041514e+02
7.260147014701469743e+03,1.058587064143903262e+02
7.260150015001499924e+03,1.053451604532093171e+02
7.260153015301530104e+03,1.048317245671441782e+02
7.260156015601560284e+03,1.043184098822367929e+02
7.260159015901590465e+03,1.038052275219026512e+02
7.260162016201619736e+03,1.032921886068454569e+02
7.260165016501649916e+03,1.027793042541937325e+02
7.260168016801680096e+03,1.022665855781934425e+02
7.260171017101710277e+03,1.017540436893446980e+02
7.260174017401740457e+03,1.012416896943167188e+02
7.260177017701769728e+03,1.007295346958624123e+02
7.260180018001799908e+03,1.002175897919565273e+02
7.260183018301830089e+03,9.970586607648719735e+01
7.260186018601860269e+03,9.919437463839386737e+01
7.260189018901890449e+03,9.868312656158282437e+01
7.260192019201920630e+03,9.817213292468655084e+01
7.260195019501949901e+03,9.766140480097887178e+01
7.260198019801980081e+03,9.715095325751541111e+01
7.260201020102010261e+03,9.664078935582300289e+01
7.260204020402040442e+03,9.613092415104033250e+01
7.260207020702070622e+03,9.562136869183353838e+01
7.260210021002099893e+03,9.511213402031087583e+01
7.260213021302130073e+03,9.460323117116618619e+01
7.260216021602160254e+03,9.409467117236582112e+01
7.260219021902190434e+03,9.358646504429241020e+01
7.260222022202220614e+03,9.307862379966024946e+01
7.260225022502249885e+03,9.257115844343027788e+01
7.260228022802280066e+03,9.206407997195681503e+01
7.260231023102310246e+03,9.155739937367185632e+01
7.260234023402340426e+03,9.105112762823179651e+01
7.260237023702370607e+03,9.054527570643325873e+01
7.260240024002399878e+03,9.003985457012848315e+01
7.260243024302430058e+03,8.953487517137519092e+01
7.260246024602460238e+03,8.903034845311827894e+01
7.260249024902490419e+03,8.852628534834005336e+01
7.260252025202520599e+03,8.802269677997641395e+01
7.260255025502549870e+03,8.751959366083245584e+01
7.260258025802580050e+03,8.701698689273638365e+01
7.260261026102610231e+03,8.651488736721810824e+01
7.260264026402640411e+03,8.601330596466318923e+01
7.260267026702670591e+03,8.551225355422948837e+01
7.260270027002699862e+03,8.501174099376348181e+01
7.260273027302730043e+03,8.451177912895796851e+01
7.260276027602760223e+03,8.401237879402778219e+01
7.260279027902790403e+03,8.351355081086741450e+01
7.260282028202820584e+03,8.301530598896891888e+01
7.260285028502849855e+03,8.251765512533793867e+01
7.260288028802880035e+03,8.202060900365675877e+01
7.260291029102910215e+03,8.152417839495571172e+01
7.260294029402940396e+03,8.102837405677615834e+01
7.260297029702970576e+03,8.053320673308830635e+01
7.260300030002999847e+03,8.003868715420823321e+01
7.260303030303030027e+03,7.954482603596581214e+01
7.260306030603060208e+03,7.905163408037215333e+01
7.260309030903090388e+03,7.855912197478775738e+01
7.260312031203120569e+03,7.806730039184080283e+01
7.260315031503150749e+03,7.757617998919604929e+01
7.260318031803180020e+03,7.708577140947247130e+01
7.260321032103210200e+03,7.659608527941801981e+01
7.260324032403240381e+03,7.610713221057147848e+01
7.260327032703270561e+03,7.561892279843752362e+01
7.260330033003300741e+03,7.513146762240607757e+01
7.260333033303330012e+03,7.464477724567018413e+01
7.260336033603360193e+03,7.415886221440750603e+01
7.260339033903390373e+03,7.367373305843683795e+01
7.260342034203420553e+03,7.318940029039943340e+01
7.260345034503450734e+03,7.270587440567925341e+01
7.260348034803480004e+03,7.222316588232115464e+01
7.260351035103510185e+03,7.174128518021952061e+01
7.260354035403540365e+03,7.126024274176867834e+01
7.260357035703570546e+03,7.078004899105185643e+01
7.260360036003600726e+03,7.030071433376122059e+01
7.260363036303629997e+03,6.982224915711762492e+01
7.260366036603660177e+03,6.934466382906532544e+01
7.260369036903690358e+03,6.886796869891787765e+01
7.260372037203720538e+03,6.839217409655306312e+01
7.260375037503750718e+03,6.791729033233461621e+01
7.260378037803779989e+03,6.744332769703207475e+01
7.260381038103810170e+03,6.697029646102345168e+01
7.260384038403840350e+03,6.649820687493456717e+01
7.260387038703870530e+03,6.602706916884228860e+01
7.260390039003900711e+03,6.555689355219637093e+01
7.260393039303929982e+03,6.508769021374037322e+01
7.260396039603960162e+03,6.461946932072225991e+01
7.260399039903990342e+03,6.415224101952749436e+01
7.260402040204020523e+03,6.368601543488981775e+01
7.260405040504050703e+03,6.322080266981443941e+01
7.260408040804079974e+03,6.275661280549955023e+01
7.260411041104110154e+03,6.229345590055524440e+01
7.260414041404140335e+03,6.183134199162990541e+01
7.260417041704170515e+03,6.137028109262963227e+01
7.260420042004200695e+03,6.091028319464198404e+01
7.260423042304230876e+03,6.045135826571956983e+01
7.260426042604260147e+03,5.999351625080259254e+01
7.260429042904290327e+03,5.953676707094848553e+01
7.260432043204320507e+03,5.908112062394986452e+01
7.260435043504350688e+03,5.862658678356424957e+01
7.260438043804380868e+03,5.817317539943929461e+01
7.260441044104410139e+03,5.772089629703625491e+01
7.260444044404440319e+03,5.726975927686884660e+01
7.260447044704470500e+03,5.681977411511372367e+01
7.260450045004500680e+03,5.637095056284966432e+01
7.260453045304530860e+03,5.592329834598363192e+01
7.260456045604560131e+03,5.547682716517522294e+01
7.260459045904590312e+03,5.503154669508533203e+01
7.260462046204620492e+03,5.458746658497866378e+01
7.260465046504650672e+03,5.414459645797293064e+01
7.260468046804680853e+03,5.370294591096556758e+01
7.260471047104710124e+03,5.326252451455946613e+01
7.260474047404740304e+03,5.282334181232182857e+01
7.260477047704770484e+03,5.238540732137814615e+01
7.260480048004800665e+03,5.194873053167188459e+01
7.260483048304830845e+03,5.151332090589236401e+01
7.260486048604860116e+03,5.107918787940119643e+01
7.260489048904890296e+03,5.064634085950164888e+01
