Time (BJD_TBD - 2450000), L_d/L_star (ppm)
9.880038437500130385e+03,1.306457697441693142e+02
9.880038456059855889e+03,1.306426440097048953e+02
9.880038474619583212e+03,1.306395182581725578e+02
9.880038493179308716e+03,1.306363924901874611e+02
9.880038511739036039e+03,1.306332667051395902e+02
9.880038530298761543e+03,1.306301409036443033e+02
9.880038548858488866e+03,1.306270150850914149e+02
9.880038567418214370e+03,1.306238892500961128e+02
9.880038585977941693e+03,1.306207633980485241e+02
9.880038604537667197e+03,1.306176375295637513e+02
9.880038623097394520e+03,1.306145116440317793e+02
9.880038641657120024e+03,1.306113857420678244e+02
9.880038660216847347e+03,1.306082598230618999e+02
9.880038678776572851e+03,1.306051338876291936e+02
9.880038697336298355e+03,1.306020079354659345e+02
9.880038715896025678e+03,1.305988819662683795e+02
9.880038734455751182e+03,1.305957559806520010e+02
9.880038753015478505e+03,1.305926299780064141e+02
9.880038771575204009e+03,1.305895039589470628e+02
9.880038790134931332e+03,1.305863779228636758e+02
9.880038808694656836e+03,1.305832518703718961e+02
9.880038827254384159e+03,1.305801258008612820e+02
9.880038845814109663e+03,1.305769997149472488e+02
9.880038864373836986e+03,1.305738736120196393e+02
9.880038882933562491e+03,1.305707474926938403e+02
9.880038901493289814e+03,1.305676213563596377e+02
9.880038920053015318e+03,1.305644952036325037e+02
9.880038938612740822e+03,1.305613690342084112e+02
9.880038957172468145e+03,1.305582428477837595e+02
9.880038975732193649e+03,1.305551166449738787e+02
9.880038994291920972e+03,1.305519904251685546e+02
9.880039012851646476e+03,1.305488641889831172e+02
9.880039031411373799e+03,1.305457379358074377e+02
9.880039049971099303e+03,1.305426116662569314e+02
9.880039068530826626e+03,1.305394853797213557e+02
9.880039087090552130e+03,1.305363590768160407e+02
9.880039105650279453e+03,1.305332327569308575e+02
9.880039124210004957e+03,1.305301064206811361e+02
9.880039142769732280e+03,1.305269800674568046e+02
9.880039161329457784e+03,1.305238536978730508e+02
9.880039179889183288e+03,1.305207273116262456e+02
9.880039198448910611e+03,1.305176009084124757e+02
9.880039217008636115e+03,1.305144744888470996e+02
9.880039235568363438e+03,1.305113480523199883e+02
9.880039254128088942e+03,1.305082215994466424e+02
9.880039272687816265e+03,1.305050951296166204e+02
9.880039291247541769e+03,1.305019686434454513e+02
9.880039309807269092e+03,1.304988421403228074e+02
9.880039328366994596e+03,1.304957156208643596e+02
9.880039346926721919e+03,1.304925890844595529e+02
9.880039365486447423e+03,1.304894625317240298e+02
9.880039384046174746e+03,1.304863359620474341e+02
9.880039402605900250e+03,1.304832093760452665e+02
9.880039421165625754e+03,1.304800827734135851e+02
9.880039439725353077e+03,1.304769561538488176e+02
9.880039458285078581e+03,1.304738295179660952e+02
9.880039476844805904e+03,1.304707028651552889e+02
9.880039495404531408e+03,1.304675761960318709e+02
9.880039513964258731e+03,1.304644495099855988e+02
9.880039532523984235e+03,1.304613228076318308e+02
9.880039551083711558e+03,1.304581960883603244e+02
9.880039569643437062e+03,1.304550693527866088e+02
9.880039588203164385e+03,1.304519426003003844e+02
9.880039606762889889e+03,1.304488158315169812e+02
9.880039625322617212e+03,1.304456890458262990e+02
9.880039643882342716e+03,1.304425622438436960e+02
9.880039662442068220e+03,1.304394354252653727e+02
9.880039681001795543e+03,1.304363085897874726e+02
9.880039699561521047e+03,1.304331817380255245e+02
9.880039718121248370e+03,1.304300548693690871e+02
9.880039736680973874e+03,1.304269279844337746e+02
9.880039755240701197e+03,1.304238010826092307e+02
9.880039773800426701e+03,1.304206741645110128e+02
9.880039792360154024e+03,1.304175472295287079e+02
9.880039810919879528e+03,1.304144202782778450e+02
9.880039829479606851e+03,1.304112933101480962e+02
9.880039848039332355e+03,1.304081663257551043e+02
9.880039866599059678e+03,1.304050393244883708e+02
9.880039885158785182e+03,1.304019123069634816e+02
9.880039903718510686e+03,1.303987852728765802e+02
9.880039922278238009e+03,1.303956582219237532e+02
9.880039940837963513e+03,1.303925311547205013e+02
9.880039959397690836e+03,1.303894040706566386e+02
9.880039977957416340e+03,1.303862769703474953e+02
9.880039996517143663e+03,1.303831498531828288e+02
9.880040015076869167e+03,1.303800227197781965e+02
9.880040033636596490e+03,1.303768955695232137e+02
9.880040052196321994e+03,1.303737684030333241e+02
9.880040070756049317e+03,1.303706412196983138e+02
9.880040089315774821e+03,1.303675140201336546e+02
9.880040107875502144e+03,1.303643868037290758e+02
9.880040126435227648e+03,1.303612595710999642e+02
9.880040144994953152e+03,1.303581323219426338e+02
9.880040163554680475e+03,1.303550050559529723e+02
9.880040182114405980e+03,1.303518777737467076e+02
9.880040200674133303e+03,1.303487504747133698e+02
9.880040219233858807e+03,1.303456231594686585e+02
9.880040237793586130e+03,1.303424958274020184e+02
9.880040256353311634e+03,1.303393684791290639e+02
9.880040274913038957e+03,1.303362411140394670e+02
9.880040293472764461e+03,1.303331137327488705e+02
9.880040312032491784e+03,1.303299863346466623e+02
9.880040330592217288e+03,1.303268589203485988e+02
9.880040349151944611e+03,1.303237314892441532e+02
9.880040367711670115e+03,1.303206040419491103e+02
9.880040386271395619e+03,1.303174765781593578e+02
9.880040404831122942e+03,1.303143490975711529e+02
9.880040423390848446e+03,1.303112216007999962e+02
9.880040441950575769e+03,1.303080940872354745e+02
9.880040460510301273e+03,1.303049665574931453e+02
9.880040479070028596e+03,1.303018390109627660e+02
