Time (BJD_TBD - 2450000), F_star + F_e (mJy)
1.063802708333311602e+04,3.604197407896362559e+00
1.063802710516863226e+04,3.604197412110038634e+00
1.063802712700415032e+04,3.604197416323761782e+00
1.063802714883966655e+04,3.604197420537532004e+00
1.063802717067518279e+04,3.604197424751348855e+00
1.063802719251070084e+04,3.604197428965213668e+00
1.063802721434621708e+04,3.604197433179125110e+00
1.063802723618173331e+04,3.604197437393082737e+00
1.063802725801725137e+04,3.604197441607088326e+00
1.063802727985276761e+04,3.604197445821140988e+00
1.063802730168828566e+04,3.604197450035240280e+00
1.063802732352380190e+04,3.604197454249387089e+00
1.063802734535931813e+04,3.604197458463580084e+00
1.063802736719483619e+04,3.604197462677821040e+00
1.063802738903035242e+04,3.604197466892107293e+00
1.063802741086586866e+04,3.604197471106441952e+00
1.063802743270138672e+04,3.604197475320823685e+00
1.063802745453690295e+04,3.604197479535252047e+00
1.063802747637241919e+04,3.604197483749727482e+00
1.063802749820793724e+04,3.604197487964249991e+00
1.063802752004345348e+04,3.604197492178819129e+00
1.063802754187896971e+04,3.604197496393435340e+00
1.063802756371448777e+04,3.604197500608099070e+00
1.063802758555000401e+04,3.604197504822808984e+00
1.063802760738552206e+04,3.604197509037566860e+00
1.063802762922103830e+04,3.604197513252371365e+00
1.063802765105655453e+04,3.604197517467222056e+00
1.063802767289207259e+04,3.604197521682120708e+00
1.063802769472758882e+04,3.604197525897065990e+00
1.063802771656310506e+04,3.604197530112057457e+00
1.063802773839862311e+04,3.604197534327096886e+00
1.063802776023413935e+04,3.604197538542182944e+00
1.063802778206965559e+04,3.604197542757316519e+00
1.063802780390517364e+04,3.604197546972495836e+00
1.063802782574068988e+04,3.604197551187723114e+00
1.063802784757620611e+04,3.604197555402997022e+00
1.063802786941172417e+04,3.604197559618318447e+00
1.063802789124724040e+04,3.604197563833686058e+00
1.063802791308275846e+04,3.604197568049101186e+00
1.063802793491827470e+04,3.604197572264562499e+00
1.063802795675379093e+04,3.604197576480070886e+00
1.063802797858930899e+04,3.604197580695627678e+00
1.063802800042482522e+04,3.604197584911229768e+00
1.063802802226034146e+04,3.604197589126879375e+00
1.063802804409585951e+04,3.604197593342575612e+00
1.063802806593137575e+04,3.604197597558318922e+00
1.063802808776689199e+04,3.604197601774109305e+00
1.063802810960241004e+04,3.604197605989946762e+00
1.063802813143792628e+04,3.604197610205831293e+00
1.063802815327344251e+04,3.604197614421762452e+00
1.063802817510896057e+04,3.604197618637740685e+00
1.063802819694447680e+04,3.604197622853765548e+00
1.063802821877999486e+04,3.604197627069837484e+00
1.063802824061551109e+04,3.604197631285956049e+00
1.063802826245102733e+04,3.604197635502121244e+00
1.063802828428654539e+04,3.604197639718334845e+00
1.063802830612206162e+04,3.604197643934594186e+00
1.063802832795757786e+04,3.604197648150900601e+00
1.063802834979309591e+04,3.604197652367254534e+00
1.063802837162861215e+04,3.604197656583654652e+00
1.063802839346412838e+04,3.604197660800101843e+00
1.063802841529964644e+04,3.604197665016596108e+00
1.063802843713516268e+04,3.604197669233137002e+00
1.063802845897067891e+04,3.604197673449724526e+00
1.063802848080619697e+04,3.604197677666360011e+00
1.063802850264171320e+04,3.604197681883041682e+00
1.063802852447723126e+04,3.604197686099770426e+00
1.063802854631274749e+04,3.604197690316545355e+00
1.063802856814826373e+04,3.604197694533367802e+00
1.063802858998378179e+04,3.604197698750237766e+00
1.063802861181929802e+04,3.604197702967153027e+00
1.063802863365481426e+04,3.604197707184116695e+00
1.063802865549033231e+04,3.604197711401126547e+00
1.063802867732584855e+04,3.604197715618183473e+00
1.063802869916136478e+04,3.604197719835287028e+00
1.063802872099688284e+04,3.604197724052437657e+00
1.063802874283239908e+04,3.604197728269634915e+00
1.063802876466791531e+04,3.604197732486879246e+00
1.063802878650343337e+04,3.604197736704170651e+00
1.063802880833894960e+04,3.604197740921507798e+00
