Time (BJD_TBD - 2450000), F_star + F_e (mJy)
1.013335255787055939e+04,3.604512990387069404e+00
1.013335257878931770e+04,3.604512992165916696e+00
1.013335259970807601e+04,3.604512993944667176e+00
1.013335262062683432e+04,3.604512995723320845e+00
1.013335264154559445e+04,3.604512997501878591e+00
1.013335266246435276e+04,3.604512999280339525e+00
1.013335268338311107e+04,3.604513001058703647e+00
1.013335270430186938e+04,3.604513002836971847e+00
1.013335272522062769e+04,3.604513004615143235e+00
1.013335274613938600e+04,3.604513006393217367e+00
1.013335276705814431e+04,3.604513008171195576e+00
1.013335278797690262e+04,3.604513009949076530e+00
1.013335280889566275e+04,3.604513011726862004e+00
1.013335282981442106e+04,3.604513013504549779e+00
1.013335285073317937e+04,3.604513015282141630e+00
1.013335287165193768e+04,3.604513017059636670e+00
1.013335289257069599e+04,3.604513018837034899e+00
1.013335291348945429e+04,3.604513020614336760e+00
1.013335293440821260e+04,3.604513022391542254e+00
1.013335295532697091e+04,3.604513024168650492e+00
1.013335297624573104e+04,3.604513025945663252e+00
1.013335299716448935e+04,3.604513027722578755e+00
1.013335301808324766e+04,3.604513029499397447e+00
1.013335303900200597e+04,3.604513031276120216e+00
1.013335305992076428e+04,3.604513033052746174e+00
1.013335308083952259e+04,3.604513034829274876e+00
1.013335310175828090e+04,3.604513036605707210e+00
1.013335312267703921e+04,3.604513038382043622e+00
1.013335314359579934e+04,3.604513040158282777e+00
1.013335316451455765e+04,3.604513041934425566e+00
1.013335318543331596e+04,3.604513043710471987e+00
1.013335320635207427e+04,3.604513045486421596e+00
1.013335322727083258e+04,3.604513047262274394e+00
1.013335324818959089e+04,3.604513049038030381e+00
1.013335326910834920e+04,3.604513050813690445e+00
1.013335329002710751e+04,3.604513052589253697e+00
1.013335331094586763e+04,3.604513054364720581e+00
1.013335333186462594e+04,3.604513056140090210e+00
1.013335335278338425e+04,3.604513057915363472e+00
1.013335337370214256e+04,3.604513059690540366e+00
1.013335339462090087e+04,3.604513061465620893e+00
1.013335341553965918e+04,3.604513063240603721e+00
1.013335343645841749e+04,3.604513065015490625e+00
1.013335345737717762e+04,3.604513066790281606e+00
1.013335347829593593e+04,3.604513068564974887e+00
1.013335349921469424e+04,3.604513070339571801e+00
1.013335352013345255e+04,3.604513072114072347e+00
1.013335354105221086e+04,3.604513073888476526e+00
1.013335356197096917e+04,3.604513075662783450e+00
1.013335358288972748e+04,3.604513077436994006e+00
1.013335360380848579e+04,3.604513079211108195e+00
1.013335362472724591e+04,3.604513080985126017e+00
1.013335364564600422e+04,3.604513082759046583e+00
1.013335366656476253e+04,3.604513084532870781e+00
1.013335368748352084e+04,3.604513086306598169e+00
1.013335370840227915e+04,3.604513088080229632e+00
1.013335372932103746e+04,3.604513089853763397e+00
1.013335375023979577e+04,3.604513091627200794e+00
1.013335377115855408e+04,3.604513093400542267e+00
1.013335379207731421e+04,3.604513095173786486e+00
1.013335381299607252e+04,3.604513096946934336e+00
1.013335383391483083e+04,3.604513098719985376e+00
1.013335385483358914e+04,3.604513100492940492e+00
1.013335387575234745e+04,3.604513102265797908e+00
1.013335389667110576e+04,3.604513104038559401e+00
1.013335391758986407e+04,3.604513105811224083e+00
1.013335393850862238e+04,3.604513107583792397e+00
1.013335395942738251e+04,3.604513109356264344e+00
1.013335398034614082e+04,3.604513111128639036e+00
1.013335400126489913e+04,3.604513112900917360e+00
1.013335402218365743e+04,3.604513114673098428e+00
1.013335404310241574e+04,3.604513116445183574e+00
1.013335406402117405e+04,3.604513118217171908e+00
1.013335408493993236e+04,3.604513119989063430e+00
1.013335410585869067e+04,3.604513121760858141e+00
1.013335412677745080e+04,3.604513123532556929e+00
1.013335414769620911e+04,3.604513125304158461e+00
1.013335416861496742e+04,3.604513127075663625e+00
1.013335418953372573e+04,3.604513128847071535e+00
1.013335421045248404e+04,3.604513130618383965e+00
1.013335423137124235e+04,3.604513132389599139e+00
1.013335425229000066e+04,3.604513134160717502e+00
1.013335427320876079e+04,3.604513135931739054e+00
1.013335429412751910e+04,3.604513137702664682e+00
1.013335431504627741e+04,3.604513139473493499e+00
1.013335433596503572e+04,3.604513141244225505e+00
1.013335435688379403e+04,3.604513143014860699e+00
1.013335437780255234e+04,3.604513144785399525e+00
1.013335439872131064e+04,3.604513146555841097e+00
1.013335441964006895e+04,3.604513148326186300e+00
1.013335444055882908e+04,3.604513150096436025e+00
1.013335446147758739e+04,3.604513151866587606e+00
1.013335448239634570e+04,3.604513153636643263e+00
1.013335450331510401e+04,3.604513155406602110e+00
1.013335452423386232e+04,3.604513157176464144e+00
1.013335454515262063e+04,3.604513158946229368e+00
1.013335456607137894e+04,3.604513160715898668e+00
1.013335458699013725e+04,3.604513162485471156e+00
1.013335460790889738e+04,3.604513164254946389e+00
1.013335462882765569e+04,3.604513166024325255e+00
1.013335464974641400e+04,3.604513167793606865e+00
1.013335467066517231e+04,3.604513169562792996e+00
1.013335469158393062e+04,3.604513171331881871e+00
1.013335471250268893e+04,3.604513173100873935e+00
1.013335473342144724e+04,3.604513174869769188e+00
1.013335475434020555e+04,3.604513176638568517e+00
1.013335477525896567e+04,3.604513178407271035e+00
1.013335479617772398e+04,3.604513180175876741e+00
1.013335481709648229e+04,3.604513181944385636e+00
1.013335483801524060e+04,3.604513183712797275e+00
1.013335485893399891e+04,3.604513185481113435e+00
1.013335487985275722e+04,3.604513187249332340e+00
1.013335490077151553e+04,3.604513189017454433e+00
1.013335492169027384e+04,3.604513190785480159e+00
1.013335494260903397e+04,3.604513192553408629e+00
1.013335496352779228e+04,3.604513194321241176e+00
1.013335498444655059e+04,3.604513196088976912e+00
1.013335500536530890e+04,3.604513197856615836e+00
1.013335502628406721e+04,3.604513199624157949e+00
1.013335504720282552e+04,3.604513201391604138e+00
1.013335506812158383e+04,3.604513203158952184e+00
1.013335508904034396e+04,3.604513204926204750e+00
1.013335510995910226e+04,3.604513206693360061e+00
1.013335513087786057e+04,3.604513208460419005e+00
1.013335515179661888e+04,3.604513210227381581e+00
1.013335517271537719e+04,3.604513211994247346e+00
1.013335519363413550e+04,3.604513213761015855e+00
1.013335521455289381e+04,3.604513215527687997e+00
1.013335523547165212e+04,3.604513217294263328e+00
1.013335525639041225e+04,3.604513219060742735e+00
1.013335527730917056e+04,3.604513220827124886e+00
1.013335529822792887e+04,3.604513222593409782e+00
1.013335531914668718e+04,3.604513224359598755e+00
1.013335534006544549e+04,3.604513226125690473e+00
1.013335536098420380e+04,3.604513227891686711e+00
1.013335538190296211e+04,3.604513229657584805e+00
1.013335540282172042e+04,3.604513231423387420e+00
1.013335542374048055e+04,3.604513233189092780e+00
1.013335544465923886e+04,3.604513234954701328e+00
1.013335546557799717e+04,3.604513236720213065e+00
1.013335548649675547e+04,3.604513238485628879e+00
1.013335550741551378e+04,3.604513240250946993e+00
1.013335552833427209e+04,3.604513242016169183e+00
1.013335554925303040e+04,3.604513243781294118e+00
1.013335557017178871e+04,3.604513245546322686e+00
1.013335559109054884e+04,3.604513247311254442e+00
1.013335561200930715e+04,3.604513249076089831e+00
1.013335563292806546e+04,3.604513250840828853e+00
1.013335565384682377e+04,3.604513252605469731e+00
1.013335567476558208e+04,3.604513254370014685e+00
1.013335569568434039e+04,3.604513256134463273e+00
1.013335571660309870e+04,3.604513257898815048e+00
1.013335573752185701e+04,3.604513259663070013e+00
1.013335575844061714e+04,3.604513261427228166e+00
1.013335577935937545e+04,3.604513263191289951e+00
1.013335580027813376e+04,3.604513264955254925e+00
1.013335582119689207e+04,3.604513266719123088e+00
1.013335584211565038e+04,3.604513268482893995e+00
1.013335586303440869e+04,3.604513270246569423e+00
1.013335588395316699e+04,3.604513272010146707e+00
1.013335590487192530e+04,3.604513273773628512e+00
1.013335592579068543e+04,3.604513275537013062e+00
1.013335594670944374e+04,3.604513277300300800e+00
1.013335596762820205e+04,3.604513279063492170e+00
1.013335598854696036e+04,3.604513280826587174e+00
1.013335600946571867e+04,3.604513282589584477e+00
1.013335603038447698e+04,3.604513284352485858e+00
1.013335605130323529e+04,3.604513286115289983e+00
1.013335607222199542e+04,3.604513287877997740e+00
1.013335609314075373e+04,3.604513289640608686e+00
1.013335611405951204e+04,3.604513291403122377e+00
1.013335613497827035e+04,3.604513293165540588e+00
1.013335615589702866e+04,3.604513294927861100e+00
1.013335617681578697e+04,3.604513296690085244e+00
1.013335619773454528e+04,3.604513298452212577e+00
1.013335621865330359e+04,3.604513300214243099e+00
1.013335623957206371e+04,3.604513301976177253e+00
1.013335626049082202e+04,3.604513303738015040e+00
1.013335628140958033e+04,3.604513305499755127e+00
1.013335630232833864e+04,3.604513307261398847e+00
1.013335632324709695e+04,3.604513309022945311e+00
1.013335634416585526e+04,3.604513310784395852e+00
1.013335636508461357e+04,3.604513312545749582e+00
1.013335638600337188e+04,3.604513314307006500e+00
1.013335640692213201e+04,3.604513316068167050e+00
1.013335642784089032e+04,3.604513317829230346e+00
1.013335644875964863e+04,3.604513319590197273e+00
1.013335646967840694e+04,3.604513321351066502e+00
1.013335649059716525e+04,3.604513323111840251e+00
1.013335651151592356e+04,3.604513324872516744e+00
1.013335653243468187e+04,3.604513326633096426e+00
1.013335655335344018e+04,3.604513328393579297e+00
1.013335657427220031e+04,3.604513330153966244e+00
1.013335659519095861e+04,3.604513331914255492e+00
1.013335661610971692e+04,3.604513333674448816e+00
1.013335663702847523e+04,3.604513335434544441e+00
1.013335665794723354e+04,3.604513337194543698e+00
1.013335667886599185e+04,3.604513338954446589e+00
1.013335669978475016e+04,3.604513340714252223e+00
1.013335672070350847e+04,3.604513342473961490e+00
1.013335674162226860e+04,3.604513344233574390e+00
1.013335676254102691e+04,3.604513345993090034e+00
1.013335678345978522e+04,3.604513347752509311e+00
1.013335680437854353e+04,3.604513349511830889e+00
1.013335682529730184e+04,3.604513351271056543e+00
1.013335684621606015e+04,3.604513353030185385e+00
1.013335686713481846e+04,3.604513354789217416e+00
1.013335688805357859e+04,3.604513356548152636e+00
1.013335690897233690e+04,3.604513358306991044e+00
1.013335692989109521e+04,3.604513360065732641e+00
1.013335695080985352e+04,3.604513361824378315e+00
1.013335697172861182e+04,3.604513363582925844e+00
1.013335699264737013e+04,3.604513365341377895e+00
1.013335701356612844e+04,3.604513367099732246e+00
1.013335703448488675e+04,3.604513368857990230e+00
1.013335705540364688e+04,3.604513370616151402e+00
1.013335707632240519e+04,3.604513372374216207e+00
1.013335709724116350e+04,3.604513374132183756e+00
1.013335711815992181e+04,3.604513375890055382e+00
1.013335713907868012e+04,3.604513377647829309e+00
1.013335715999743843e+04,3.604513379405506424e+00
1.013335718091619674e+04,3.604513381163087615e+00
1.013335720183495505e+04,3.604513382920571107e+00
1.013335722275371518e+04,3.604513384677958676e+00
1.013335724367247349e+04,3.604513386435249434e+00
1.013335726459123180e+04,3.604513388192443379e+00
1.013335728550999011e+04,3.604513389949540070e+00
1.013335730642874842e+04,3.604513391706540393e+00
1.013335732734750673e+04,3.604513393463443460e+00
1.013335734826626503e+04,3.604513395220250160e+00
1.013335736918502334e+04,3.604513396976960493e+00
1.013335739010378347e+04,3.604513398733573570e+00
1.013335741102254178e+04,3.604513400490090280e+00
1.013335743194130009e+04,3.604513402246509290e+00
1.013335745286005840e+04,3.604513404002832377e+00
1.013335747377881671e+04,3.604513405759058653e+00
1.013335749469757502e+04,3.604513407515187673e+00
1.013335751561633333e+04,3.604513409271220326e+00
1.013335753653509164e+04,3.604513411027155723e+00
1.013335755745385177e+04,3.604513412782994752e+00
1.013335757837261008e+04,3.604513414538737859e+00
1.013335759929136839e+04,3.604513416294383266e+00
1.013335762021012670e+04,3.604513418049931417e+00
1.013335764112888501e+04,3.604513419805383201e+00
1.013335766204764332e+04,3.604513421560738617e+00
1.013335768296640163e+04,3.604513423315996778e+00
1.013335770388516175e+04,3.604513425071158572e+00
1.013335772480392006e+04,3.604513426826223998e+00
1.013335774572267837e+04,3.604513428581191281e+00
1.013335776664143668e+04,3.604513430336062640e+00
1.013335778756019499e+04,3.604513432090837188e+00
1.013335780847895330e+04,3.604513433845514925e+00
1.013335782939771161e+04,3.604513435600096294e+00
1.013335785031646992e+04,3.604513437354580407e+00
1.013335787123523005e+04,3.604513439108967265e+00
1.013335789215398836e+04,3.604513440863257756e+00
1.013335791307274667e+04,3.604513442617452323e+00
1.013335793399150498e+04,3.604513444371549191e+00
1.013335795491026329e+04,3.604513446125549248e+00
1.013335797582902160e+04,3.604513447879452936e+00
1.013335799674777991e+04,3.604513449633259370e+00
1.013335801766653822e+04,3.604513451386968548e+00
1.013335803858529835e+04,3.604513453140582246e+00
1.013335805950405665e+04,3.604513454894098690e+00
1.013335808042281496e+04,3.604513456647517877e+00
1.013335810134157327e+04,3.604513458400840697e+00
1.013335812226033158e+04,3.604513460154066706e+00
1.013335814317908989e+04,3.604513461907195904e+00
1.013335816409784820e+04,3.604513463660228290e+00
1.013335818501660651e+04,3.604513465413163420e+00
1.013335820593536664e+04,3.604513467166002627e+00
1.013335822685412495e+04,3.604513468918744579e+00
1.013335824777288326e+04,3.604513470671389719e+00
1.013335826869164157e+04,3.604513472423938047e+00
1.013335828961039988e+04,3.604513474176389565e+00
1.013335831052915819e+04,3.604513475928744271e+00
1.013335833144791650e+04,3.604513477681001721e+00
1.013335835236667481e+04,3.604513479433162804e+00
1.013335837328543494e+04,3.604513481185227963e+00
1.013335839420419325e+04,3.604513482937194979e+00
1.013335841512295156e+04,3.604513484689066072e+00
1.013335843604170987e+04,3.604513486440839909e+00
1.013335845696046817e+04,3.604513488192516490e+00
1.013335847787922648e+04,3.604513489944097593e+00
1.013335849879798479e+04,3.604513491695580552e+00
1.013335851971674492e+04,3.604513493446967587e+00
1.013335854063550323e+04,3.604513495198257811e+00
1.013335856155426154e+04,3.604513496949450335e+00
1.013335858247301985e+04,3.604513498700546936e+00
1.013335860339177816e+04,3.604513500451545838e+00
1.013335862431053647e+04,3.604513502202448816e+00
1.013335864522929478e+04,3.604513503953254983e+00
1.013335866614805309e+04,3.604513505703964338e+00
1.013335868706681322e+04,3.604513507454575993e+00
1.013335870798557153e+04,3.604513509205091282e+00
1.013335872890432984e+04,3.604513510955510203e+00
1.013335874982308815e+04,3.604513512705832312e+00
1.013335877074184646e+04,3.604513514456057166e+00
1.013335879166060477e+04,3.604513516206184764e+00
1.013335881257936308e+04,3.604513517956215995e+00
1.013335883349812138e+04,3.604513519706150859e+00
1.013335885441688151e+04,3.604513521455988467e+00
1.013335887533563982e+04,3.604513523205729264e+00
1.013335889625439813e+04,3.604513524955373693e+00
1.013335891717315644e+04,3.604513526704920867e+00
1.013335893809191475e+04,3.604513528454371230e+00
1.013335895901067306e+04,3.604513530203724780e+00
1.013335897992943137e+04,3.604513531952981520e+00
1.013335900084818968e+04,3.604513533702141448e+00
1.013335902176694981e+04,3.604513535451204564e+00
1.013335904268570812e+04,3.604513537200170870e+00
1.013335906360446643e+04,3.604513538949040363e+00
1.013335908452322474e+04,3.604513540697813045e+00
1.013335910544198305e+04,3.604513542446488916e+00
1.013335912636074136e+04,3.604513544195067531e+00
1.013335914727949967e+04,3.604513545943549779e+00
1.013335916819825798e+04,3.604513547691935216e+00
1.013335918911701810e+04,3.604513549440223397e+00
1.013335921003577641e+04,3.604513551188415210e+00
1.013335923095453472e+04,3.604513552936509768e+00
1.013335925187329303e+04,3.604513554684507959e+00
1.013335927279205134e+04,3.604513556432408894e+00
1.013335929371080965e+04,3.604513558180213462e+00
1.013335931462956796e+04,3.604513559927920774e+00
1.013335933554832809e+04,3.604513561675531275e+00
1.013335935646708640e+04,3.604513563423044964e+00
1.013335937738584471e+04,3.604513565170461398e+00
1.013335939830460302e+04,3.604513566917781464e+00
1.013335941922336133e+04,3.604513568665004719e+00
1.013335944014211964e+04,3.604513570412131163e+00
1.013335946106087795e+04,3.604513572159160795e+00
1.013335948197963626e+04,3.604513573906093615e+00
1.013335950289839639e+04,3.604513575652929624e+00
1.013335952381715470e+04,3.604513577399668822e+00
1.013335954473591300e+04,3.604513579146310320e+00
1.013335956565467131e+04,3.604513580892855895e+00
1.013335958657342962e+04,3.604513582639304214e+00
1.013335960749218793e+04,3.604513584385656166e+00
1.013335962841094624e+04,3.604513586131910419e+00
1.013335964932970455e+04,3.604513587878068304e+00
1.013335967024846468e+04,3.604513589624129821e+00
1.013335969116722299e+04,3.604513591370094083e+00
1.013335971208598130e+04,3.604513593115961090e+00
1.013335973300473961e+04,3.604513594861731729e+00
1.013335975392349792e+04,3.604513596607405113e+00
1.013335977484225623e+04,3.604513598352982129e+00
1.013335979576101454e+04,3.604513600098461890e+00
1.013335981667977285e+04,3.604513601843845283e+00
1.013335983759853298e+04,3.604513603589130977e+00
1.013335985851729129e+04,3.604513605334320747e+00
1.013335987943604960e+04,3.604513607079412818e+00
1.013335990035480791e+04,3.604513608824408522e+00
1.013335992127356621e+04,3.604513610569307858e+00
1.013335994219232452e+04,3.604513612314109494e+00
1.013335996311108283e+04,3.604513614058814319e+00
1.013335998402984114e+04,3.604513615803422333e+00
1.013336000494860127e+04,3.604513617547934423e+00
1.013336002586735958e+04,3.604513619292348370e+00
1.013336004678611789e+04,3.604513621036665949e+00
1.013336006770487620e+04,3.604513622780886717e+00
1.013336008862363451e+04,3.604513624525010673e+00
1.013336010954239282e+04,3.604513626269037818e+00
1.013336013046115113e+04,3.604513628012967263e+00
1.013336015137991126e+04,3.604513629756800341e+00
1.013336017229866957e+04,3.604513631500537052e+00
1.013336019321742788e+04,3.604513633244176507e+00
1.013336021413618619e+04,3.604513634987719595e+00
1.013336023505494450e+04,3.604513636731164983e+00
1.013336025597370281e+04,3.604513638474514003e+00
1.013336027689246112e+04,3.604513640217765769e+00
1.013336029781121943e+04,3.604513641960921166e+00
1.013336031872997955e+04,3.604513643703978865e+00
1.013336033964873786e+04,3.604513645446940640e+00
1.013336036056749617e+04,3.604513647189805159e+00
1.013336038148625448e+04,3.604513648932572423e+00
1.013336040240501279e+04,3.604513650675242875e+00
1.013336042332377110e+04,3.604513652417816960e+00
1.013336044424252941e+04,3.604513654160293790e+00
1.013336046516128772e+04,3.604513655902673808e+00
1.013336048608004785e+04,3.604513657644957014e+00
1.013336050699880616e+04,3.604513659387143409e+00
1.013336052791756447e+04,3.604513661129232993e+00
1.013336054883632278e+04,3.604513662871225765e+00
1.013336056975508109e+04,3.604513664613120838e+00
1.013336059067383940e+04,3.604513666354919987e+00
1.013336061159259771e+04,3.604513668096621437e+00
1.013336063251135602e+04,3.604513669838226964e+00
1.013336065343011614e+04,3.604513671579734790e+00
1.013336067434887445e+04,3.604513673321146250e+00
1.013336069526763276e+04,3.604513675062460454e+00
1.013336071618639107e+04,3.604513676803677846e+00
1.013336073710514938e+04,3.604513678544798427e+00
1.013336075802390769e+04,3.604513680285821753e+00
1.013336077894266600e+04,3.604513682026748711e+00
1.013336079986142431e+04,3.604513683767578858e+00
1.013336082078018444e+04,3.604513685508311749e+00
