Time (BJD_TBD - 2450000), F_e/F_star (ppm)
1.062594821759266779e+04,4.155999593784294888e+01
1.062594823627046208e+04,4.156112333103485668e+01
1.062594825494825454e+04,4.156225073171542306e+01
1.062594827362604883e+04,4.156337814010382203e+01
1.062594829230384312e+04,4.156450555608985553e+01
1.062594831098163559e+04,4.156563297956331837e+01
1.062594832965942987e+04,4.156676041074337746e+01
1.062594834833722416e+04,4.156788784951981341e+01
1.062594836701501663e+04,4.156901529578242105e+01
1.062594838569281092e+04,4.157014274975035306e+01
1.062594840437060520e+04,4.157127021131343270e+01
1.062594842304839767e+04,4.157239768036141214e+01
1.062594844172619196e+04,4.157352515711348673e+01
1.062594846040398625e+04,4.157465264145944417e+01
1.062594847908178053e+04,4.157578013339886525e+01
1.062594849775957300e+04,4.157690763282151636e+01
1.062594851643736729e+04,4.157803513994658573e+01
1.062594853511516158e+04,4.157916265466387529e+01
1.062594855379295404e+04,4.158029017686314432e+01
1.062594857247074833e+04,4.158141770676359528e+01
1.062594859114854262e+04,4.158254524425498744e+01
1.062594860982633509e+04,4.158367278922711563e+01
1.062594862850412937e+04,4.158480034189918229e+01
1.062594864718192366e+04,4.158592790216094670e+01
1.062594866585971613e+04,4.158705546990218949e+01
1.062594868453751042e+04,4.158818304534209176e+01
1.062594870321530470e+04,4.158931062837046255e+01
1.062594872189309717e+04,4.159043821887703984e+01
1.062594874057089146e+04,4.159156581708106160e+01
1.062594875924868575e+04,4.159269342287226578e+01
1.062594877792647821e+04,4.159382103614044013e+01
1.062594879660427250e+04,4.159494865710480127e+01
1.062594881528206679e+04,4.159607628565509430e+01
1.062594883395985926e+04,4.159720392168109981e+01
1.062594885263765354e+04,4.159833156540204868e+01
1.062594887131544783e+04,4.159945921670768598e+01
1.062594888999324030e+04,4.160058687548777812e+01
1.062594890867103459e+04,4.160171454196153462e+01
1.062594892734882887e+04,4.160284221601873611e+01
1.062594894602662316e+04,4.160396989765898468e+01
1.062594896470441563e+04,4.160509758677200409e+01
1.062594898338220992e+04,4.160622528357702521e+01
1.062594900206000420e+04,4.160735298796381443e+01
1.062594902073779667e+04,4.160848069982213815e+01
1.062594903941559096e+04,4.160960841937124854e+01
1.062594905809338525e+04,4.161073614650085517e+01
1.062594907677117772e+04,4.161186388110073864e+01
1.062594909544897200e+04,4.161299162339012270e+01
1.062594911412676629e+04,4.161411937325879506e+01
1.062594913280455876e+04,4.161524713059647240e+01
1.062594915148235305e+04,4.161637489562241399e+01
1.062594917016014733e+04,4.161750266822636490e+01
1.062594918883793980e+04,4.161863044829809866e+01
1.062594920751573409e+04,4.161975823605682479e+01
1.062594922619352838e+04,4.162088603139232390e+01
1.062594924487132084e+04,4.162201383419431266e+01
1.062594926354911513e+04,4.162314164468209299e+01
1.062594928222690942e+04,4.162426946274536022e+01
1.062594930090470189e+04,4.162539728827388785e+01
1.062594931958249617e+04,4.162652512148692097e+01
1.062594933826029046e+04,4.162765296227424017e+01
1.062594935693808293e+04,4.162878081052553370e+01
1.062594937561587722e+04,4.162990866646008925e+01
1.062594939429367150e+04,4.163103652996764481e+01
1.062594941297146579e+04,4.163216440104779537e+01
1.062594943164925826e+04,4.163329227959027179e+01
1.062594945032705255e+04,4.163442016581434757e+01
1.062594946900484683e+04,4.163554805960974647e+01
1.062594948768263930e+04,4.163667596086622069e+01
1.062594950636043359e+04,4.163780386980305082e+01
1.062594952503822788e+04,4.163893178630995351e+01
1.062594954371602034e+04,4.164005971027667385e+01
1.062594956239381463e+04,4.164118764192247824e+01
1.062594958107160892e+04,4.164231558113712595e+01
1.062594959974940139e+04,4.164344352781034075e+01
1.062594961842719567e+04,4.164457148216137483e+01
1.062594963710498996e+04,4.164569944408000879e+01
1.062594965578278243e+04,4.164682741345593797e+01
1.062594967446057672e+04,4.164795539050845719e+01
1.062594969313837100e+04,4.164908337512729730e+01
1.062594971181616347e+04,4.165021136720219630e+01
1.062594973049395776e+04,4.165133936695244898e+01
1.062594974917175205e+04,4.165246737426776491e+01
1.062594976784954451e+04,4.165359538903788206e+01
1.062594978652733880e+04,4.165472341148208102e+01
1.062594980520513309e+04,4.165585144149009977e+01
1.062594982388292556e+04,4.165697947895166209e+01
1.062594984256071984e+04,4.165810752408607698e+01
1.062594986123851413e+04,4.165923557678303979e+01
1.062594987991630842e+04,4.166036363704215972e+01
1.062594989859410089e+04,4.166149170475315344e+01
1.062594991727189517e+04,4.166261978013530864e+01
1.062594993594968946e+04,4.166374786307837041e+01
1.062594995462748193e+04,4.166487595347204120e+01
1.062594997330527622e+04,4.166600405153563713e+01
1.062594999198307050e+04,4.166713215715886776e+01
1.062595001066086297e+04,4.166826027023147105e+01
1.062595002933865726e+04,4.166938839097274183e+01
1.062595004801645155e+04,4.167051651927241096e+01
1.062595006669424401e+04,4.167164465502016668e+01
1.062595008537203830e+04,4.167277279843535354e+01
1.062595010404983259e+04,4.167390094940766687e+01
1.062595012272762506e+04,4.167502910782683756e+01
1.062595014140541934e+04,4.167615727391220304e+01
1.062595016008321363e+04,4.167728544755341602e+01
1.062595017876100610e+04,4.167841362864024291e+01
1.062595019743880039e+04,4.167954181739197850e+01
1.062595021611659467e+04,4.168067001369835367e+01
1.062595023479438714e+04,4.168179821744906377e+01
1.062595025347218143e+04,4.168292642886345334e+01
1.062595027214997572e+04,4.168405464783121062e+01
1.062595029082776819e+04,4.168518287424206648e+01
1.062595030950556247e+04,4.168631110831532283e+01
1.062595032818335676e+04,4.168743934994071765e+01
1.062595034686115105e+04,4.168856759911780330e+01
1.062595036553894352e+04,4.168969585573633196e+01
1.062595038421673780e+04,4.169082412001557714e+01
1.062595040289453209e+04,4.169195239184529100e+01
1.062595042157232456e+04,4.169308067111515470e+01
1.062595044025011885e+04,4.169420895804452698e+01
1.062595045892791313e+04,4.169533725252311029e+01
