Time (BJD_TBD - 2450000), F_e/F_star (ppm)
9.896128576389048249e+03,1.683933024290436151e+02
9.896128599245501391e+03,1.683926845472776392e+02
9.896128622101952715e+03,1.683920666200207279e+02
9.896128644958405857e+03,1.683914486471748830e+02
9.896128667814857181e+03,1.683908306288388417e+02
9.896128690671310324e+03,1.683902125649145205e+02
9.896128713527761647e+03,1.683895944555006849e+02
9.896128736384214790e+03,1.683889763004992517e+02
9.896128759240666113e+03,1.683883581000089578e+02
9.896128782097119256e+03,1.683877398539318335e+02
9.896128804953570580e+03,1.683871215623665023e+02
9.896128827810023722e+03,1.683865032252149661e+02
9.896128850666476865e+03,1.683858848425267354e+02
9.896128873522928188e+03,1.683852664143514346e+02
9.896128896379381331e+03,1.683846479405909236e+02
9.896128919235832655e+03,1.683840294213439961e+02
9.896128942092285797e+03,1.683834108565125121e+02
9.896128964948737121e+03,1.683827922461953506e+02
9.896128987805190263e+03,1.683821735902943146e+02
9.896129010661641587e+03,1.683815548889082834e+02
9.896129033518094730e+03,1.683809361419390598e+02
9.896129056374546053e+03,1.683803173494854661e+02
9.896129079230999196e+03,1.683796985114494476e+02
9.896129102087450519e+03,1.683790796279297695e+02
9.896129124943903662e+03,1.683784606988282349e+02
9.896129147800356805e+03,1.683778417241945249e+02
9.896129170656808128e+03,1.683772227040782354e+02
9.896129193513261271e+03,1.683766036383811127e+02
9.896129216369712594e+03,1.683759845272020641e+02
9.896129239226165737e+03,1.683753653704429496e+02
9.896129262082617061e+03,1.683747461682025914e+02
9.896129284939070203e+03,1.683741269203828210e+02
9.896129307795521527e+03,1.683735076270824891e+02
9.896129330651974669e+03,1.683728882882034554e+02
9.896129353508425993e+03,1.683722689038445424e+02
9.896129376364879136e+03,1.683716494739075813e+02
9.896129399221332278e+03,1.683710299984422250e+02
9.896129422077783602e+03,1.683704104774980124e+02
9.896129444934236744e+03,1.683697909109767750e+02
9.896129467790688068e+03,1.683691712989774487e+02
9.896129490647141211e+03,1.683685516414017229e+02
9.896129513503592534e+03,1.683679319383486472e+02
9.896129536360045677e+03,1.683673121897198541e+02
9.896129559216497000e+03,1.683666923956143364e+02
9.896129582072950143e+03,1.683660725559338118e+02
9.896129604929401467e+03,1.683654526707772447e+02
9.896129627785854609e+03,1.683648327400464098e+02
9.896129650642307752e+03,1.683642127637909027e+02
9.896129673498759075e+03,1.683635927420603764e+02
9.896129696355212218e+03,1.683629726747565769e+02
9.896129719211663542e+03,1.683623525619784971e+02
9.896129742068116684e+03,1.683617324036277694e+02
9.896129764924568008e+03,1.683611121998034719e+02
9.896129787781021150e+03,1.683604919504072086e+02
9.896129810637472474e+03,1.683598716555380861e+02
9.896129833493925616e+03,1.683592513150976799e+02
9.896129856350376940e+03,1.683586309291850682e+02
9.896129879206830083e+03,1.683580104977018834e+02
9.896129902063283225e+03,1.683573900206978067e+02
9.896129924919734549e+03,1.683567694982226044e+02
9.896129947776187691e+03,1.683561489301778238e+02
9.896129970632639015e+03,1.683555283166625713e+02
9.896129993489092158e+03,1.683549076575784511e+02
9.896130016345543481e+03,1.683542869530245412e+02
9.896130039201996624e+03,1.683536662029024455e+02
9.896130062058447947e+03,1.683530454073112708e+02
9.896130084914901090e+03,1.683524245661525924e+02
9.896130107771352414e+03,1.683518036795255455e+02
9.896130130627805556e+03,1.683511827473316487e+02
9.896130153484256880e+03,1.683505617696700369e+02
9.896130176340710022e+03,1.683499407464423143e+02
9.896130199197163165e+03,1.683493196776981904e+02
9.896130222053614489e+03,1.683486985634874031e+02
9.896130244910067631e+03,1.683480774037114998e+02
9.896130267766518955e+03,1.683474561984696436e+02
9.896130290622972097e+03,1.683468349476633534e+02
9.896130313479423421e+03,1.683462136513918210e+02
9.896130336335876564e+03,1.683455923095565083e+02
9.896130359192327887e+03,1.683449709222566355e+02
9.896130382048781030e+03,1.683443494893936645e+02
9.896130404905232353e+03,1.683437280110668723e+02
9.896130427761685496e+03,1.683431064871776357e+02
9.896130450618138639e+03,1.683424849177757778e+02
9.896130473474589962e+03,1.683418633029111504e+02
9.896130496331043105e+03,1.683412416424851301e+02
9.896130519187494428e+03,1.683406199365969940e+02
9.896130542043947571e+03,1.683399981851481471e+02
9.896130564900398895e+03,1.683393763882378948e+02
9.896130587756852037e+03,1.683387545457676140e+02
9.896130610613303361e+03,1.683381326578366100e+02
9.896130633469756503e+03,1.683375107243462594e+02
9.896130656326207827e+03,1.683368887453959246e+02
9.896130679182660970e+03,1.683362667208868970e+02
9.896130702039114112e+03,1.683356446508690567e+02
9.896130724895565436e+03,1.683350225353922269e+02
9.896130747752018578e+03,1.683344003743577844e+02
9.896130770608469902e+03,1.683337781678650913e+02
9.896130793464923045e+03,1.683331559158154107e+02
9.896130816321374368e+03,1.683325336183081333e+02
9.896130839177827511e+03,1.683319112752446074e+02
9.896130862034278834e+03,1.683312888867241952e+02
9.896130884890731977e+03,1.683306664526482166e+02
9.896130907747183301e+03,1.683300439731160338e+02
9.896130930603636443e+03,1.683294214480289384e+02
9.896130953460089586e+03,1.683287988774368102e+02
9.896130976316540909e+03,1.683281762613895580e+02
9.896130999172994052e+03,1.683275535997884162e+02
9.896131022029445376e+03,1.683269308927328325e+02
9.896131044885898518e+03,1.683263081401240981e+02
9.896131067742349842e+03,1.683256853420615471e+02
9.896131090598802984e+03,1.683250624984464991e+02
9.896131113455254308e+03,1.683244396093784587e+02
9.896131136311707451e+03,1.683238166747585183e+02
9.896131159168158774e+03,1.683231936946862959e+02
9.896131182024611917e+03,1.683225706690628840e+02
9.896131204881063240e+03,1.683219475979878439e+02
9.896131227737516383e+03,1.683213244813623248e+02
9.896131250593969526e+03,1.683207013192362638e+02
9.896131273450420849e+03,1.683200781116595977e+02
9.896131296306873992e+03,1.683194548585335042e+02
9.896131319163325315e+03,1.683188315599574878e+02
9.896131342019778458e+03,1.683182082158327262e+02
9.896131364876229782e+03,1.683175848262587806e+02
9.896131387732682924e+03,1.683169613911367435e+02
9.896131410589134248e+03,1.683163379105661761e+02
9.896131433445587390e+03,1.683157143844482562e+02
9.896131456302038714e+03,1.683150908128825165e+02
9.896131479158491857e+03,1.683144671957700496e+02
9.896131502014944999e+03,1.683138435331608775e+02
9.896131524871396323e+03,1.683132198251049658e+02
9.896131547727849465e+03,1.683125960715033216e+02
9.896131570584300789e+03,1.683119722724556482e+02
9.896131593440753932e+03,1.683113484278629812e+02
9.896131616297205255e+03,1.683107245378249672e+02
9.896131639153658398e+03,1.683101006022426134e+02
9.896131662010109721e+03,1.683094766212156230e+02
9.896131684866562864e+03,1.683088525946449749e+02
9.896131707723014188e+03,1.683082285226303441e+02
9.896131730579467330e+03,1.683076044050728513e+02
9.896131753435920473e+03,1.683069802420223766e+02
9.896131776292371796e+03,1.683063560335289708e+02
9.896131799148824939e+03,1.683057317794936694e+02
9.896131822005276263e+03,1.683051074800161473e+02
9.896131844861729405e+03,1.683044831349974118e+02
9.896131867718180729e+03,1.683038587445371377e+02
9.896131890574633871e+03,1.683032343085363038e+02
9.896131913431085195e+03,1.683026098270947273e+02
9.896131936287538338e+03,1.683019853001132446e+02
9.896131959143989661e+03,1.683013607276916446e+02
9.896131982000442804e+03,1.683007361097308774e+02
9.896132004856895946e+03,1.683001114462809653e+02
9.896132027713347270e+03,1.682994867373920158e+02
9.896132050569800413e+03,1.682988619829648940e+02
9.896132073426251736e+03,1.682982371830994452e+02
9.896132096282704879e+03,1.682976123376964779e+02
9.896132119139156202e+03,1.682969874468559226e+02
9.896132141995609345e+03,1.682963625104785024e+02
9.896132164852060669e+03,1.682957375286641479e+02
9.896132187708513811e+03,1.682951125013137244e+02
9.896132210564965135e+03,1.682944874285270203e+02
9.896132233421418277e+03,1.682938623102049291e+02
9.896132256277869601e+03,1.682932371464472396e+02
9.896132279134322744e+03,1.682926119371548452e+02
9.896132301990775886e+03,1.682919866823778534e+02
9.896132324847227210e+03,1.682913613821663148e+02
9.896132347703680352e+03,1.682907360364210945e+02
9.896132370560131676e+03,1.682901106452420947e+02
9.896132393416584819e+03,1.682894852085300386e+02
9.896132416273036142e+03,1.682888597263848851e+02
9.896132439129489285e+03,1.682882341987074142e+02
9.896132461985940608e+03,1.682876086255975565e+02
9.896132484842393751e+03,1.682869830069560351e+02
9.896132507698845075e+03,1.682863573428828090e+02
9.896132530555298217e+03,1.682857316332786581e+02
9.896132553411751360e+03,1.682851058781936899e+02
9.896132576268202683e+03,1.682844800776780403e+02
9.896132599124655826e+03,1.682838542316324890e+02
9.896132621981107150e+03,1.682832283401569669e+02
9.896132644837560292e+03,1.682826024031522252e+02
9.896132667694011616e+03,1.682819764207182516e+02
9.896132690550464758e+03,1.682813503927557122e+02
9.896132713406916082e+03,1.682807243193645945e+02
9.896132736263369225e+03,1.682800982004456216e+02
9.896132759119820548e+03,1.682794720360988379e+02
9.896132781976273691e+03,1.682788458262248525e+02
9.896132804832726833e+03,1.682782195708738868e+02
9.896132827689178157e+03,1.682775932700961050e+02
9.896132850545631300e+03,1.682769669237922017e+02
9.896132873402082623e+03,1.682763405320622212e+02
9.896132896258535766e+03,1.682757140948067445e+02
9.896132919114987089e+03,1.682750876121259012e+02
9.896132941971440232e+03,1.682744610839203006e+02
9.896132964827891556e+03,1.682738345102899871e+02
9.896132987684344698e+03,1.682732078911355700e+02
9.896133010540796022e+03,1.682725812265572074e+02
9.896133033397249164e+03,1.682719545164553949e+02
9.896133056253700488e+03,1.682713277609303191e+02
9.896133079110153631e+03,1.682707009598825607e+02
9.896133101966606773e+03,1.682700741133622842e+02
9.896133124823058097e+03,1.682694472214197958e+02
9.896133147679511239e+03,1.682688202839556482e+02
9.896133170535962563e+03,1.682681933010699424e+02
9.896133193392415706e+03,1.682675662726632595e+02
9.896133216248867029e+03,1.682669391988357575e+02
9.896133239105320172e+03,1.682663120794879319e+02
9.896133261961771495e+03,1.682656849147199978e+02
9.896133284818224638e+03,1.682650577044324507e+02
9.896133307674675962e+03,1.682644304487254772e+02
9.896133330531129104e+03,1.682638031474996012e+02
9.896133353387582247e+03,1.682631758008050440e+02
9.896133376244033570e+03,1.682625484086921404e+02
9.896133399100486713e+03,1.682619209710613291e+02
9.896133421956938037e+03,1.682612934880128250e+02
9.896133444813391179e+03,1.682606659594471523e+02
9.896133467669842503e+03,1.682600383854644974e+02
9.896133490526295645e+03,1.682594107659653275e+02
9.896133513382746969e+03,1.682587831010499144e+02
9.896133536239200112e+03,1.682581553906186969e+02
9.896133559095651435e+03,1.682575276347718614e+02
9.896133581952104578e+03,1.682568998334099035e+02
9.896133604808557720e+03,1.682562719865831298e+02
9.896133627665009044e+03,1.682556440943418750e+02
9.896133650521462187e+03,1.682550161565864926e+02
9.896133673377913510e+03,1.682543881734173397e+02
9.896133696234366653e+03,1.682537601447347413e+02
9.896133719090817976e+03,1.682531320706390829e+02
9.896133741947271119e+03,1.682525039510306613e+02
9.896133764803722443e+03,1.682518757860098901e+02
9.896133787660175585e+03,1.682512475754770378e+02
9.896133810516626909e+03,1.682506193195325181e+02
9.896133833373080051e+03,1.682499910180766278e+02
9.896133856229533194e+03,1.682493626711597585e+02
9.896133879085984518e+03,1.682487342788322735e+02
9.896133901942437660e+03,1.682481058409944410e+02
9.896133924798888984e+03,1.682474773577466749e+02
9.896133947655342126e+03,1.682468488289893287e+02
9.896133970511793450e+03,1.682462202548227026e+02
9.896133993368246593e+03,1.682455916351471785e+02
9.896134016224697916e+03,1.682449629700631419e+02
9.896134039081151059e+03,1.682443342594708326e+02
9.896134061937602382e+03,1.682437055034707214e+02
9.896134084794055525e+03,1.682430767019630764e+02
9.896134107650506849e+03,1.682424478550483116e+02
9.896134130506959991e+03,1.682418189626266667e+02
9.896134153363413134e+03,1.682411900247485619e+02
9.896134176219864457e+03,1.682405610414643888e+02
9.896134199076317600e+03,1.682399320126744158e+02
9.896134221932768924e+03,1.682393029384790566e+02
9.896134244789222066e+03,1.682386738187785795e+02
9.896134267645673390e+03,1.682380446536734837e+02
9.896134290502126532e+03,1.682374154430638953e+02
9.896134313358577856e+03,1.682367861870503418e+02
9.896134336215030999e+03,1.682361568855330916e+02
9.896134359071482322e+03,1.682355275386125584e+02
9.896134381927935465e+03,1.682348981461889821e+02
9.896134404784388607e+03,1.682342687083127828e+02
9.896134427640839931e+03,1.682336392250343806e+02
9.896134450497293074e+03,1.682330096962539301e+02
9.896134473353744397e+03,1.682323801220720441e+02
9.896134496210197540e+03,1.682317505023888202e+02
9.896134519066648863e+03,1.682311208373048146e+02
9.896134541923102006e+03,1.682304911267201533e+02
9.896134564779553330e+03,1.682298613707354491e+02
9.896134587636006472e+03,1.682292315692507714e+02
9.896134610492457796e+03,1.682286017223667329e+02
9.896134633348910938e+03,1.682279718299834315e+02
9.896134656205364081e+03,1.682273418921513439e+02
9.896134679061815405e+03,1.682267119089209473e+02
9.896134701918268547e+03,1.682260818801923392e+02
9.896134724774719871e+03,1.682254518060661042e+02
9.896134747631173013e+03,1.682248216864423682e+02
9.896134770487624337e+03,1.682241915214216590e+02
9.896134793344077480e+03,1.682235613109042163e+02
9.896134816200528803e+03,1.682229310549905108e+02
9.896134839056981946e+03,1.682223007535806403e+02
9.896134861913433269e+03,1.682216704067753312e+02
9.896134884769886412e+03,1.682210400144745677e+02
9.896134907626339555e+03,1.682204095767288266e+02
9.896134930482790878e+03,1.682197790935886985e+02
9.896134953339244021e+03,1.682191485649541391e+02
9.896134976195695344e+03,1.682185179909258466e+02
9.896134999052148487e+03,1.682178873714038332e+02
9.896135021908599811e+03,1.682172567064888256e+02
9.896135044765052953e+03,1.682166259960807508e+02
9.896135067621504277e+03,1.682159952402803924e+02
9.896135090477957419e+03,1.682153644389876774e+02
9.896135113334408743e+03,1.682147335923033893e+02
9.896135136190861886e+03,1.682141027001274267e+02
9.896135159047313209e+03,1.682134717625605447e+02
9.896135181903766352e+03,1.682128407795027556e+02
9.896135204760219494e+03,1.682122097510045364e+02
9.896135227616670818e+03,1.682115786771164778e+02
9.896135250473123961e+03,1.682109475577384785e+02
9.896135273329575284e+03,1.682103163929714071e+02
9.896135296186028427e+03,1.682096851827150488e+02
9.896135319042479750e+03,1.682090539270703289e+02
9.896135341898932893e+03,1.682084226259370325e+02
9.896135364755384217e+03,1.682077912794160568e+02
9.896135387611837359e+03,1.682071598874072151e+02
9.896135410468288683e+03,1.682065284500114046e+02
9.896135433324741825e+03,1.682058969671284103e+02
9.896135456181194968e+03,1.682052654388088513e+02
9.896135479037646292e+03,1.682046338651033750e+02
9.896135501894099434e+03,1.682040022459117665e+02
9.896135524750550758e+03,1.682033705813349513e+02
9.896135547607003900e+03,1.682027388712726861e+02
9.896135570463455224e+03,1.682021071158259247e+02
9.896135593319908367e+03,1.682014753148944237e+02
9.896135616176359690e+03,1.682008434685790803e+02
9.896135639032812833e+03,1.682002115767797363e+02
9.896135661889264156e+03,1.681995796395972604e+02
9.896135684745717299e+03,1.681989476569314661e+02
9.896135707602170442e+03,1.681983156288329440e+02
9.896135730458621765e+03,1.681976835553523983e+02
9.896135753315074908e+03,1.681970514363895006e+02
9.896135776171526231e+03,1.681964192720453184e+02
9.896135799027979374e+03,1.681957870622195230e+02
9.896135821884430698e+03,1.681951548070130968e+02
9.896135844740883840e+03,1.681945225063257396e+02
9.896135867597335164e+03,1.681938901602584906e+02
9.896135890453788306e+03,1.681932577687109927e+02
9.896135913310239630e+03,1.681926253317842850e+02
9.896135936166692773e+03,1.681919928493780390e+02
9.896135959023145915e+03,1.681913603215429873e+02
9.896135981879597239e+03,1.681907277483297491e+02
9.896136004736050381e+03,1.681900951296380242e+02
9.896136027592501705e+03,1.681894624655688517e+02
9.896136050448954848e+03,1.681888297560219314e+02
