Time (BJD_TBD - 2450000), F_star + F_e (mJy)
9.880038437500130385e+03,2.593279136437836918e+00
9.880038456059855889e+03,2.593279134014520260e+00
9.880038474619583212e+03,2.593279131591277764e+00
9.880038493179308716e+03,2.593279129168109431e+00
9.880038511739036039e+03,2.593279126745015262e+00
9.880038530298761543e+03,2.593279124321995255e+00
9.880038548858488866e+03,2.593279121899049411e+00
9.880038567418214370e+03,2.593279119476177730e+00
9.880038585977941693e+03,2.593279117053380212e+00
9.880038604537667197e+03,2.593279114630657745e+00
9.880038623097394520e+03,2.593279112208008552e+00
9.880038641657120024e+03,2.593279109785433967e+00
9.880038660216847347e+03,2.593279107362933544e+00
9.880038678776572851e+03,2.593279104940507285e+00
9.880038697336298355e+03,2.593279102518154744e+00
9.880038715896025678e+03,2.593279100095877254e+00
9.880038734455751182e+03,2.593279097673673039e+00
9.880038753015478505e+03,2.593279095251543431e+00
9.880038771575204009e+03,2.593279092829488430e+00
9.880038790134931332e+03,2.593279090407507148e+00
9.880038808694656836e+03,2.593279087985600473e+00
9.880038827254384159e+03,2.593279085563767961e+00
9.880038845814109663e+03,2.593279083142009167e+00
9.880038864373836986e+03,2.593279080720324536e+00
9.880038882933562491e+03,2.593279078298714957e+00
9.880038901493289814e+03,2.593279075877178652e+00
9.880038920053015318e+03,2.593279073455716954e+00
9.880038938612740822e+03,2.593279071034329863e+00
9.880038957172468145e+03,2.593279068613016491e+00
9.880038975732193649e+03,2.593279066191777726e+00
9.880038994291920972e+03,2.593279063770612680e+00
9.880039012851646476e+03,2.593279061349522241e+00
9.880039031411373799e+03,2.593279058928505965e+00
9.880039049971099303e+03,2.593279056507563407e+00
9.880039068530826626e+03,2.593279054086695457e+00
9.880039087090552130e+03,2.593279051665902113e+00
9.880039105650279453e+03,2.593279049245182044e+00
9.880039124210004957e+03,2.593279046824537026e+00
9.880039142769732280e+03,2.593279044403966171e+00
9.880039161329457784e+03,2.593279041983469480e+00
9.880039179889183288e+03,2.593279039563046950e+00
9.880039198448910611e+03,2.593279037142698584e+00
9.880039217008636115e+03,2.593279034722424381e+00
9.880039235568363438e+03,2.593279032302223897e+00
9.880039254128088942e+03,2.593279029882098907e+00
9.880039272687816265e+03,2.593279027462047193e+00
9.880039291247541769e+03,2.593279025042070085e+00
9.880039309807269092e+03,2.593279022622166696e+00
9.880039328366994596e+03,2.593279020202337914e+00
9.880039346926721919e+03,2.593279017782583296e+00
9.880039365486447423e+03,2.593279015362903284e+00
9.880039384046174746e+03,2.593279012943296991e+00
9.880039402605900250e+03,2.593279010523765304e+00
9.880039421165625754e+03,2.593279008104308225e+00
9.880039439725353077e+03,2.593279005684924421e+00
9.880039458285078581e+03,2.593279003265615223e+00
9.880039476844805904e+03,2.593279000846380189e+00
9.880039495404531408e+03,2.593278998427219317e+00
9.880039513964258731e+03,2.593278996008133053e+00
9.880039532523984235e+03,2.593278993589120951e+00
9.880039551083711558e+03,2.593278991170183012e+00
9.880039569643437062e+03,2.593278988751319236e+00
9.880039588203164385e+03,2.593278986332530067e+00
9.880039606762889889e+03,2.593278983913815061e+00
9.880039625322617212e+03,2.593278981495173774e+00
9.880039643882342716e+03,2.593278979076607094e+00
9.880039662442068220e+03,2.593278976658115020e+00
9.880039681001795543e+03,2.593278974239696666e+00
9.880039699561521047e+03,2.593278971821352918e+00
9.880039718121248370e+03,2.593278969403082890e+00
9.880039736680973874e+03,2.593278966984887024e+00
9.880039755240701197e+03,2.593278964566765765e+00
9.880039773800426701e+03,2.593278962148719113e+00
9.880039792360154024e+03,2.593278959730746625e+00
9.880039810919879528e+03,2.593278957312847854e+00
9.880039829479606851e+03,2.593278954895023691e+00
9.880039848039332355e+03,2.593278952477273691e+00
9.880039866599059678e+03,2.593278950059597854e+00
9.880039885158785182e+03,2.593278947641996623e+00
9.880039903718510686e+03,2.593278945224469556e+00
9.880039922278238009e+03,2.593278942807016652e+00
9.880039940837963513e+03,2.593278940389637910e+00
9.880039959397690836e+03,2.593278937972333775e+00
9.880039977957416340e+03,2.593278935555103804e+00
9.880039996517143663e+03,2.593278933137947551e+00
9.880040015076869167e+03,2.593278930720865905e+00
9.880040033636596490e+03,2.593278928303858866e+00
9.880040052196321994e+03,2.593278925886925101e+00
9.880040070756049317e+03,2.593278923470066388e+00
9.880040089315774821e+03,2.593278921053282282e+00
9.880040107875502144e+03,2.593278918636571451e+00
9.880040126435227648e+03,2.593278916219935670e+00
