Time (BJD_TBD - 2450000), F_e/F_star (ppm)
9.905193796296138316e+03,2.139260684136553348e+00
9.905193817625817246e+03,2.139680135003634298e+00
9.905193838955496176e+03,2.140099626471620997e+00
9.905193860285176925e+03,2.140519158576073444e+00
9.905193881614855854e+03,2.140938731245249027e+00
9.905193902944534784e+03,2.141358344514726841e+00
9.905193924274213714e+03,2.141777998384276849e+00
9.905193945603892644e+03,2.142197692853727187e+00
9.905193966933571573e+03,2.142617427922848261e+00
9.905193988263252322e+03,2.143037203627266685e+00
9.905194009592931252e+03,2.143457019895163462e+00
9.905194030922610182e+03,2.143876876762127459e+00
9.905194052252289111e+03,2.144296774227967273e+00
9.905194073581968041e+03,2.144716712292491057e+00
9.905194094911648790e+03,2.145136690991288564e+00
9.905194116241327720e+03,2.145556710252539467e+00
9.905194137571006650e+03,2.145976770111851728e+00
9.905194158900685579e+03,2.146396870569025506e+00
9.905194180230364509e+03,2.146817011623858740e+00
9.905194201560043439e+03,2.147237193276140932e+00
9.905194222889724188e+03,2.147657415561518679e+00
9.905194244219403117e+03,2.148077678408105484e+00
9.905194265549082047e+03,2.148497981851538174e+00
9.905194286878760977e+03,2.148918325891615577e+00
9.905194308208439907e+03,2.149338710528136964e+00
9.905194329538120655e+03,2.149759135796739162e+00
9.905194350867799585e+03,2.150179601625534787e+00
9.905194372197478515e+03,2.150600108050152226e+00
9.905194393527157445e+03,2.151020655070399190e+00
9.905194414856836374e+03,2.151441242686075395e+00
9.905194436186517123e+03,2.151861870932845644e+00
9.905194457516196053e+03,2.152282539738766598e+00
9.905194478845874983e+03,2.152703249139493735e+00
9.905194500175553912e+03,2.153123999134836097e+00
9.905194521505232842e+03,2.153544789724601838e+00
9.905194542834911772e+03,2.153965620908560918e+00
9.905194564164592521e+03,2.154386492722418112e+00
9.905194585494271450e+03,2.154807405094180783e+00
9.905194606823950380e+03,2.155228358059553262e+00
9.905194628153629310e+03,2.155649351618314835e+00
9.905194649483308240e+03,2.156070385770255005e+00
9.905194670812988988e+03,2.156491460551106965e+00
9.905194692142667918e+03,2.156912575888830563e+00
9.905194713472346848e+03,2.157333731819139011e+00
9.905194734802025778e+03,2.157754928341812484e+00
9.905194756131704708e+03,2.158176165456668905e+00
9.905194777461383637e+03,2.158597443163497775e+00
9.905194798791064386e+03,2.159018761498022076e+00
9.905194820120743316e+03,2.159440120388183004e+00
9.905194841450422246e+03,2.159861519869703095e+00
9.905194862780101175e+03,2.160282959942381620e+00
9.905194884109780105e+03,2.160704440606008081e+00
9.905194905439460854e+03,2.161125961896334768e+00
9.905194926769139784e+03,2.161547523741263355e+00
9.905194948098818713e+03,2.161969126176536360e+00
9.905194969428497643e+03,2.162390769201953056e+00
9.905194990758176573e+03,2.162812452817302944e+00
9.905195012087855503e+03,2.163234177022384408e+00
9.905195033417536251e+03,2.163655941852959508e+00
9.905195054747215181e+03,2.164077747236901494e+00
9.905195076076894111e+03,2.164499593209953332e+00
9.905195097406573041e+03,2.164921479771932500e+00
9.905195118736251970e+03,2.165343406922618730e+00
9.905195140065932719e+03,2.165765374697812717e+00
9.905195161395611649e+03,2.166187383025320212e+00
9.905195182725290579e+03,2.166609431940941466e+00
9.905195204054969508e+03,2.167031521444456210e+00
9.905195225384648438e+03,2.167453651535663717e+00
9.905195246714329187e+03,2.167875822250363349e+00
9.905195268044008117e+03,2.168298033516351975e+00
9.905195289373687046e+03,2.168720285369430290e+00
9.905195310703365976e+03,2.169142577809386907e+00
