Time (BJD_TBD - 2450000), L_e/L_star (ppm)
1.065014266203716397e+04,3.072098068293898621e+01
1.065014268332748725e+04,3.072218057144241143e+01
1.065014270461781052e+04,3.072338047598927346e+01
1.065014272590813380e+04,3.072458039657898254e+01
1.065014274719845707e+04,3.072578033321095958e+01
1.065014276848878217e+04,3.072698028598713904e+01
1.065014278977910544e+04,3.072818025470193248e+01
1.065014281106942872e+04,3.072938023945725305e+01
1.065014283235975199e+04,3.073058024025256074e+01
1.065014285365007527e+04,3.073178025708722672e+01
1.065014287494039854e+04,3.073298028996070741e+01
1.065014289623072182e+04,3.073418033887243084e+01
1.065014291752104509e+04,3.073538040382180725e+01
1.065014293881136837e+04,3.073658048480825045e+01
1.065014296010169346e+04,3.073778058193372686e+01
1.065014298139201674e+04,3.073898069499259122e+01
1.065014300268234001e+04,3.074018082408680996e+01
1.065014302397266329e+04,3.074138096921579688e+01
1.065014304526298656e+04,3.074258113037897289e+01
1.065014306655330984e+04,3.074378130757575889e+01
1.065014308784363311e+04,3.074498150080558645e+01
1.065014310913395639e+04,3.074618171006786937e+01
1.065014313042427966e+04,3.074738193536204278e+01
1.065014315171460476e+04,3.074858217679004468e+01
1.065014317300492803e+04,3.074978243414624046e+01
1.065014319429525131e+04,3.075098270753259300e+01
1.065014321558557458e+04,3.075218299694851254e+01
1.065014323687589786e+04,3.075338330239342710e+01
1.065014325816622113e+04,3.075458362386675404e+01
1.065014327945654441e+04,3.075578396136792847e+01
1.065014330074686768e+04,3.075698431489636420e+01
1.065014332203719096e+04,3.075818468445149989e+01
1.065014334332751605e+04,3.075938507013527712e+01
1.065014336461783932e+04,3.076058547174203994e+01
1.065014338590816260e+04,3.076178588937375835e+01
1.065014340719848587e+04,3.076298632302986391e+01
1.065014342848880915e+04,3.076418677270975266e+01
1.065014344977913242e+04,3.076538723841285972e+01
1.065014347106945570e+04,3.076658772013862020e+01
1.065014349235977897e+04,3.076778821788644080e+01
1.065014351365010225e+04,3.076898873165576020e+01
1.065014353494042734e+04,3.077018926154855549e+01
1.065014355623075062e+04,3.077138980735910678e+01
1.065014357752107389e+04,3.077259036918943025e+01
1.065014359881139717e+04,3.077379094703893614e+01
1.065014362010172044e+04,3.077499154090703115e+01
1.065014364139204372e+04,3.077619215079315396e+01
1.065014366268236699e+04,3.077739277669673257e+01
1.065014368397269027e+04,3.077859341861716658e+01
1.065014370526301354e+04,3.077979407655391242e+01
1.065014372655333864e+04,3.078099475060894363e+01
1.065014374784366191e+04,3.078219544057652968e+01
1.065014376913398519e+04,3.078339614655867962e+01
1.065014379042430846e+04,3.078459686855481436e+01
1.065014381171463174e+04,3.078579760656434416e+01
1.065014383300495501e+04,3.078699836058670058e+01
1.065014385429527829e+04,3.078819913062132585e+01
1.065014387558560156e+04,3.078939991666759113e+01
1.065014389687592484e+04,3.079060071872498128e+01
1.065014391816624993e+04,3.079180153689546628e+01
1.065014393945657321e+04,3.079300237097329784e+01
1.065014396074689648e+04,3.079420322106049923e+01
1.065014398203721976e+04,3.079540408715647715e+01
1.065014400332754303e+04,3.079660496926067736e+01
1.065014402461786631e+04,3.079780586737248527e+01
1.065014404590818958e+04,3.079900678149136439e+01
1.065014406719851286e+04,3.080020771161670012e+01
1.065014408848883613e+04,3.080140865774794534e+01
1.065014410977916123e+04,3.080260961998711267e+01
1.065014413106948450e+04,3.080381059812841116e+01
1.065014415235980778e+04,3.080501159227388186e+01
1.065014417365013105e+04,3.080621260242292792e+01
1.065014419494045433e+04,3.080741362857498444e+01
1.065014421623077760e+04,3.080861467072947590e+01
1.065014423752110088e+04,3.080981572888580899e+01
1.065014425881142415e+04,3.081101680304342594e+01
1.065014428010174743e+04,3.081221789320172633e+01
1.065014430139207252e+04,3.081341899946279383e+01
1.065014432268239580e+04,3.081462012162075936e+01
1.065014434397271907e+04,3.081582125977771369e+01
1.065014436526304235e+04,3.081702241393303510e+01
1.065014438655336562e+04,3.081822358408617646e+01
1.065014440784368890e+04,3.081942477023654092e+01
1.065014442913401217e+04,3.082062597238356005e+01
1.065014445042433545e+04,3.082182719052664766e+01
1.065014447171465872e+04,3.082302842466522819e+01
1.065014449300498381e+04,3.082422967490139243e+01
1.065014451429530709e+04,3.082543094102924286e+01
1.065014453558563036e+04,3.082663222315085960e+01
1.065014455687595364e+04,3.082783352126566001e+01
1.065014457816627691e+04,3.082903483537308986e+01
1.065014459945660019e+04,3.083023616547253454e+01
1.065014462074692347e+04,3.083143751156343271e+01
1.065014464203724674e+04,3.083263887364520173e+01
1.065014466332757002e+04,3.083384025171727316e+01
1.065014468461789511e+04,3.083504164588171648e+01
1.065014470590821838e+04,3.083624305593264836e+01
1.065014472719854166e+04,3.083744448197215249e+01
1.065014474848886493e+04,3.083864592399962845e+01
1.065014476977918821e+04,3.083984738201451847e+01
1.065014479106951148e+04,3.084104885601626478e+01
1.065014481235983476e+04,3.084225034600423498e+01
1.065014483365015803e+04,3.084345185197788197e+01
1.065014485494048131e+04,3.084465337393663731e+01
1.065014487623080640e+04,3.084585491198255625e+01
1.065014489752112968e+04,3.084705646590975903e+01
1.065014491881145295e+04,3.084825803582033643e+01
1.065014494010177623e+04,3.084945962171368450e+01
1.065014496139209950e+04,3.085066122358925256e+01
1.065014498268242278e+04,3.085186284144645086e+01
1.065014500397274605e+04,3.085306447528469320e+01
1.065014502526306933e+04,3.085426612510341116e+01
1.065014504655339260e+04,3.085546779090202563e+01
1.065014506784371770e+04,3.085666947278262739e+01
1.065014508913404097e+04,3.085787117053930473e+01
1.065014511042436425e+04,3.085907288427412709e+01
1.065014513171468752e+04,3.086027461398654026e+01
1.065014515300501080e+04,3.086147635967595804e+01
1.065014517429533407e+04,3.086267812134181199e+01
1.065014519558565735e+04,3.086387989898351591e+01
1.065014521687598062e+04,3.086508169260047652e+01
1.065014523816630390e+04,3.086628350219214667e+01
1.065014525945662899e+04,3.086748532786059585e+01
1.065014528074695227e+04,3.086868716939991586e+01
1.065014530203727554e+04,3.086988902691218684e+01
1.065014532332759882e+04,3.087109090039683323e+01
1.065014534461792209e+04,3.087229278985329373e+01
1.065014536590824537e+04,3.087349469528098211e+01
1.065014538719856864e+04,3.087469661667931575e+01
1.065014540848889192e+04,3.087589855404770844e+01
1.065014542977921519e+04,3.087710050738560597e+01
1.065014545106954029e+04,3.087830247679508844e+01
1.065014547235986356e+04,3.087950446207022637e+01
1.065014549365018684e+04,3.088070646331312474e+01
1.065014551494051011e+04,3.088190848052319382e+01
1.065014553623083339e+04,3.088311051369986515e+01
1.065014555752115666e+04,3.088431256284255610e+01
1.065014557881147994e+04,3.088551462795070179e+01
1.065014560010180321e+04,3.088671670902368760e+01
1.065014562139212649e+04,3.088791880606098417e+01
1.065014564268245158e+04,3.088912091916467872e+01
1.065014566397277486e+04,3.089032304812881335e+01
1.065014568526309813e+04,3.089152519305550015e+01
1.065014570655342141e+04,3.089272735394415292e+01
1.065014572784374468e+04,3.089392953079420323e+01
1.065014574913406796e+04,3.089513172360508264e+01
1.065014577042439123e+04,3.089633393237618009e+01
1.065014579171471451e+04,3.089753615710696621e+01
1.065014581300503778e+04,3.089873839779682640e+01
1.065014583429536287e+04,3.089994065454788341e+01
1.065014585558568615e+04,3.090114292715418287e+01
1.065014587687600942e+04,3.090234521571782622e+01
1.065014589816633270e+04,3.090354752023822726e+01
1.065014591945665597e+04,3.090474984071483178e+01
1.065014594074697925e+04,3.090595217714703580e+01
1.065014596203730252e+04,3.090715452953428510e+01
1.065014598332762580e+04,3.090835689787599350e+01
1.065014600461794907e+04,3.090955928217157833e+01
1.065014602590827417e+04,3.091076168252318013e+01
1.065014604719859744e+04,3.091196409872479478e+01
1.065014606848892072e+04,3.091316653087855215e+01
1.065014608977924399e+04,3.091436897898386249e+01
1.065014611106956727e+04,3.091557144304017513e+01
1.065014613235989054e+04,3.091677392304687899e+01
1.065014615365021382e+04,3.091797641900341276e+01
1.065014617494053709e+04,3.091917893090921865e+01
1.065014619623086037e+04,3.092038145876369271e+01
1.065014621752118546e+04,3.092158400266898255e+01
1.065014623881150874e+04,3.092278656241907342e+01
1.065014626010183201e+04,3.092398913811608097e+01
1.065014628139215529e+04,3.092519172975946873e+01
1.065014630268247856e+04,3.092639433734863630e+01
1.065014632397280184e+04,3.092759696088299393e+01
1.065014634526312511e+04,3.092879960036197673e+01
1.065014636655344839e+04,3.093000225578501983e+01
1.065014638784377166e+04,3.093120492715151926e+01
1.065014640913409676e+04,3.093240761456367238e+01
1.065014643042442003e+04,3.093361031781536497e+01
1.065014645171474331e+04,3.093481303700879792e+01
1.065014647300506658e+04,3.093601577214339571e+01
1.065014649429538986e+04,3.093721852321856147e+01
1.065014651558571313e+04,3.093842129023372323e+01
1.065014653687603641e+04,3.093962407318829833e+01
1.065014655816635968e+04,3.094082687208172189e+01
1.065014657945668296e+04,3.094202968691341127e+01
1.065014660074700805e+04,3.094323251778554962e+01
1.065014662203733133e+04,3.094443536449200849e+01
1.065014664332765460e+04,3.094563822713499590e+01
1.065014666461797788e+04,3.094684110571394697e+01
1.065014668590830115e+04,3.094804400022826840e+01
1.065014670719862443e+04,3.094924691067735978e+01
1.065014672848894770e+04,3.095044983706066688e+01
1.065014674977927098e+04,3.095165277937762127e+01
1.065014677106959425e+04,3.095285573762761544e+01
1.065014679235991935e+04,3.095405871191287517e+01
1.065014681365024262e+04,3.095526170202724714e+01
1.065014683494056590e+04,3.095646470807293227e+01
1.065014685623088917e+04,3.095766773004936923e+01
1.065014687752121245e+04,3.095887076795597537e+01
1.065014689881153572e+04,3.096007382179213963e+01
1.065014692010185900e+04,3.096127689155731488e+01
1.065014694139218227e+04,3.096247997725092915e+01
1.065014696268250555e+04,3.096368307887237847e+01
1.065014698397283064e+04,3.096488619652389573e+01
1.065014700526315391e+04,3.096608932999930275e+01
1.065014702655347719e+04,3.096729247940082175e+01
1.065014704784380046e+04,3.096849564472787009e+01
1.065014706913412374e+04,3.096969882597989354e+01
1.065014709042444701e+04,3.097090202315626684e+01
1.065014711171477029e+04,3.097210523625643575e+01
1.065014713300509356e+04,3.097330846527983184e+01
1.065014715429541684e+04,3.097451171022586180e+01
1.065014717558574193e+04,3.097571497119676920e+01
1.065014719687606521e+04,3.097691824798632965e+01
1.065014721816638848e+04,3.097812154069680446e+01
1.065014723945671176e+04,3.097932484932760389e+01
1.065014726074703503e+04,3.098052817387815239e+01
1.065014728203735831e+04,3.098173151434786021e+01
1.065014730332768158e+04,3.098293487073615182e+01
1.065014732461800486e+04,3.098413824304246944e+01
1.065014734590832813e+04,3.098534163126619490e+01
1.065014736719865323e+04,3.098654503550960726e+01
1.065014738848897650e+04,3.098774845556645730e+01
1.065014740977929978e+04,3.098895189153900276e+01
1.065014743106962305e+04,3.099015534342667877e+01
1.065014745235994633e+04,3.099135881122887426e+01
1.065014747365026960e+04,3.099256229494503145e+01
1.065014749494059288e+04,3.099376579457457481e+01
1.065014751623091615e+04,3.099496931011690037e+01
1.065014753752123943e+04,3.099617284157145036e+01
1.065014755881156452e+04,3.099737638904048609e+01
1.065014758010188780e+04,3.099857995231773344e+01
1.065014760139221107e+04,3.099978353150547150e+01
1.065014762268253435e+04,3.100098712660312117e+01
1.065014764397285762e+04,3.100219073761008559e+01
1.065014766526318090e+04,3.100339436452581054e+01
1.065014768655350417e+04,3.100459800734970273e+01
1.065014770784382745e+04,3.100580166608116528e+01
1.065014772913415072e+04,3.100700534071965109e+01
1.065014775042447582e+04,3.100820903136741435e+01
1.065014777171479909e+04,3.100941273781817387e+01
1.065014779300512237e+04,3.101061646017421225e+01
1.065014781429544564e+04,3.101182019843494686e+01
1.065014783558576892e+04,3.101302395259979505e+01
1.065014785687609219e+04,3.101422772266818839e+01
1.065014787816641547e+04,3.101543150863953713e+01
1.065014789945673874e+04,3.101663531051324441e+01
1.065014792074706202e+04,3.101783912828876311e+01
1.065014794203738711e+04,3.101904296206834744e+01
1.065014796332771039e+04,3.102024681164574460e+01
1.065014798461803366e+04,3.102145067712317683e+01
1.065014800590835694e+04,3.102265455850010767e+01
1.065014802719868021e+04,3.102385845577593670e+01
1.065014804848900349e+04,3.102506236895009550e+01
1.065014806977932676e+04,3.102626629802200853e+01
1.065014809106965004e+04,3.102747024299106471e+01
1.065014811235997331e+04,3.102867420385672048e+01
1.065014813365029840e+04,3.102987818072124782e+01
1.065014815494062168e+04,3.103108217337834063e+01
1.065014817623094496e+04,3.103228618193028154e+01
1.065014819752126823e+04,3.103349020637650213e+01
1.065014821881159151e+04,3.103469424671641264e+01
1.065014824010191478e+04,3.103589830294941621e+01
1.065014826139223806e+04,3.103710237507498348e+01
1.065014828268256133e+04,3.103830646309250341e+01
1.065014830397288461e+04,3.103951056700138267e+01
1.065014832526320970e+04,3.104071468690393587e+01
1.065014834655353297e+04,3.104191882259384627e+01
1.065014836784385625e+04,3.104312297417339295e+01
1.065014838913417952e+04,3.104432714164199325e+01
1.065014841042450280e+04,3.104553132499905743e+01
1.065014843171482607e+04,3.104673552424403127e+01
1.065014845300514935e+04,3.104793973937633211e+01
1.065014847429547262e+04,3.104914397039538798e+01
1.065014849558579590e+04,3.105034821730058425e+01
1.065014851687612099e+04,3.105155248019426040e+01
1.065014853816644427e+04,3.105275675887006770e+01
1.065014855945676754e+04,3.105396105343029234e+01
1.065014858074709082e+04,3.105516536387434812e+01
1.065014860203741409e+04,3.105636969020167726e+01
1.065014862332773737e+04,3.105757403241169712e+01
1.065014864461806064e+04,3.105877839050382505e+01
1.065014866590838392e+04,3.105998276447749262e+01
1.065014868719870719e+04,3.106118715433209232e+01
1.065014870848903047e+04,3.106239156006707347e+01
1.065014872977935556e+04,3.106359598178474002e+01
1.065014875106967884e+04,3.106480041927873614e+01
1.065014877236000211e+04,3.106600487265134447e+01
1.065014879365032539e+04,3.106720934190201433e+01
1.065014881494064866e+04,3.106841382703014531e+01
1.065014883623097194e+04,3.106961832803519385e+01
1.065014885752129521e+04,3.107082284491655244e+01
1.065014887881161849e+04,3.107202737767363132e+01
1.065014890010194176e+04,3.107323192630587627e+01
1.065014892139226686e+04,3.107443649091560900e+01
1.065014894268259013e+04,3.107564107129643460e+01
1.065014896397291341e+04,3.107684566755068900e+01
1.065014898526323668e+04,3.107805027967775757e+01
1.065014900655355996e+04,3.107925490767709675e+01
1.065014902784388323e+04,3.108045955154811679e+01
1.065014904913420651e+04,3.108166421129022083e+01
1.065014907042452978e+04,3.108286888690287597e+01
1.065014909171485306e+04,3.108407357838546048e+01
1.065014911300517815e+04,3.108527828584032093e+01
1.065014913429550143e+04,3.108648300906105177e+01
1.065014915558582470e+04,3.108768774814999603e+01
1.065014917687614798e+04,3.108889250310655328e+01
1.065014919816647125e+04,3.109009727393016576e+01
1.065014921945679453e+04,3.109130206062022239e+01
1.065014924074711780e+04,3.109250686317615830e+01
1.065014926203744108e+04,3.109371168159743704e+01
1.065014928332776435e+04,3.109491651588342620e+01
1.065014930461808945e+04,3.109612136613649014e+01
1.065014932590841272e+04,3.109732623215019842e+01
1.065014934719873600e+04,3.109853111402689763e+01
1.065014936848905927e+04,3.109973601176599445e+01
1.065014938977938255e+04,3.110094092536692756e+01
1.065014941106970582e+04,3.110214585482910365e+01
1.065014943236002910e+04,3.110335080015194364e+01
1.065014945365035237e+04,3.110455576133490041e+01
1.065014947494067565e+04,3.110576073837734867e+01
1.065014949623100074e+04,3.110696573138166698e+01
1.065014951752132401e+04,3.110817074014142136e+01
1.065014953881164729e+04,3.110937576475892641e+01
1.065014956010197056e+04,3.111058080523363145e+01
1.065014958139229384e+04,3.111178586156494319e+01
1.065014960268261711e+04,3.111299093375229319e+01
1.065014962397294039e+04,3.111419602179508104e+01
1.065014964526326366e+04,3.111540112569277028e+01
1.065014966655358694e+04,3.111660624544474629e+01
1.065014968784391203e+04,3.111781138115340184e+01
1.065014970913423531e+04,3.111901653261221057e+01
1.065014973042455858e+04,3.112022169992358300e+01
1.065014975171488186e+04,3.112142688308694005e+01
1.065014977300520513e+04,3.112263208210170262e+01
1.065014979429552841e+04,3.112383729696725965e+01
1.065014981558585168e+04,3.112504252768306756e+01
1.065014983687617496e+04,3.112624777424853306e+01
1.065014985816649823e+04,3.112745303666307706e+01
1.065014987945682333e+04,3.112865831502908875e+01
1.065014990074714660e+04,3.112986360914003825e+01
1.065014992203746988e+04,3.113106891909833251e+01
1.065014994332779315e+04,3.113227424490338890e+01
1.065014996461811643e+04,3.113347958655463543e+01
1.065014998590843970e+04,3.113468494405145748e+01
1.065015000719876298e+04,3.113589031739330792e+01
1.065015002848908625e+04,3.113709570657960768e+01
1.065015004977940953e+04,3.113830111160975278e+01
1.065015007106973462e+04,3.113950653258618928e+01
1.065015009236005790e+04,3.114071196930231622e+01
1.065015011365038117e+04,3.114191742186056544e+01
1.065015013494070445e+04,3.114312289026036851e+01
1.065015015623102772e+04,3.114432837450113212e+01
1.065015017752135100e+04,3.114553387458226652e+01
1.065015019881167427e+04,3.114673939050319262e+01
1.065015022010199755e+04,3.114794492226336331e+01
1.065015024139232082e+04,3.114915046986216396e+01
1.065015026268264592e+04,3.115035603340203707e+01
1.065015028397296919e+04,3.115156161267638169e+01
1.065015030526329247e+04,3.115276720778762609e+01
1.065015032655361574e+04,3.115397281873520541e+01
1.065015034784393902e+04,3.115517844551852988e+01
1.065015036913426229e+04,3.115638408813699911e+01
1.065015039042458557e+04,3.115758974659005531e+01
1.065015041171490884e+04,3.115879542087712295e+01
1.065015043300523212e+04,3.116000111099760517e+01
1.065015045429555721e+04,3.116120681705396223e+01
1.065015047558588049e+04,3.116241253883954698e+01
1.065015049687620376e+04,3.116361827645681970e+01
1.065015051816652704e+04,3.116482402990521194e+01
1.065015053945685031e+04,3.116602979918412331e+01
1.065015056074717359e+04,3.116723558429295338e+01
1.065015058203749686e+04,3.116844138523116214e+01
1.065015060332782014e+04,3.116964720199815631e+01
1.065015062461814341e+04,3.117085303459335677e+01
1.065015064590846850e+04,3.117205888311921314e+01
1.065015066719879178e+04,3.117326474736907471e+01
1.065015068848911505e+04,3.117447062744539110e+01
1.065015070977943833e+04,3.117567652334760808e+01
1.065015073106976160e+04,3.117688243507511814e+01
1.065015075236008488e+04,3.117808836262736705e+01
1.065015077365040815e+04,3.117929430600374374e+01
1.065015079494073143e+04,3.118050026520369400e+01
1.065015081623105470e+04,3.118170624022662452e+01
1.065015083752137980e+04,3.118291223117499911e+01
1.065015085881170307e+04,3.118411823784214931e+01
1.065015088010202635e+04,3.118532426033054961e+01
1.065015090139234962e+04,3.118653029863961734e+01
1.065015092268267290e+04,3.118773635276875567e+01
1.065015094397299617e+04,3.118894242271741390e+01
1.065015096526331945e+04,3.119014850848499520e+01
1.065015098655364272e+04,3.119135461007090271e+01
1.065015100784396600e+04,3.119256072747457154e+01
1.065015102913429109e+04,3.119376686079849392e+01
1.065015105042461437e+04,3.119497300983595167e+01
1.065015107171493764e+04,3.119617917468942636e+01
1.065015109300526092e+04,3.119738535535836732e+01
1.065015111429558419e+04,3.119859155184214572e+01
1.065015113558590747e+04,3.119979776414022865e+01
1.065015115687623074e+04,3.120100399225200505e+01
1.065015117816655402e+04,3.120221023617689227e+01
1.065015119945687729e+04,3.120341649591432187e+01
1.065015122074720239e+04,3.120462277156677899e+01
1.065015124203752566e+04,3.120582906292757386e+01
1.065015126332784894e+04,3.120703537009914541e+01
1.065015128461817221e+04,3.120824169308095009e+01
1.065015130590849549e+04,3.120944803187238392e+01
1.065015132719881876e+04,3.121065438647289270e+01
1.065015134848914204e+04,3.121186075688187955e+01
1.065015136977946531e+04,3.121306714309875829e+01
1.065015139106978859e+04,3.121427354512294983e+01
1.065015141236011368e+04,3.121547996305695349e+01
1.065015143365043696e+04,3.121668639669406176e+01
1.065015145494076023e+04,3.121789284613673487e+01
1.065015147623108351e+04,3.121909931138441863e+01
1.065015149752140678e+04,3.122030579243650550e+01
1.065015151881173006e+04,3.122151228929243416e+01
1.065015154010205333e+04,3.122271880195164329e+01
1.065015156139237661e+04,3.122392533041349694e+01
1.065015158268269988e+04,3.122513187467745865e+01
1.065015160397302498e+04,3.122633843484602068e+01
1.065015162526334825e+04,3.122754501071244704e+01
1.065015164655367153e+04,3.122875160237922287e+01
1.065015166784399480e+04,3.122995820984576198e+01
1.065015168913431808e+04,3.123116483311150304e+01
1.065015171042464135e+04,3.123237147217585630e+01
1.065015173171496463e+04,3.123357812703824976e+01
1.065015175300528790e+04,3.123478479769810079e+01
1.065015177429561118e+04,3.123599148415480897e+01
1.065015179558593627e+04,3.123719818651092339e+01
1.065015181687625955e+04,3.123840490455965124e+01
1.065015183816658282e+04,3.123961163840352384e+01
1.065015185945690610e+04,3.124081838804192301e+01
1.065015188074722937e+04,3.124202515347430520e+01
1.065015190203755265e+04,3.124323193470006998e+01
1.065015192332787592e+04,3.124443873171866670e+01
1.065015194461819920e+04,3.124564554452948428e+01
1.065015196590852247e+04,3.124685237313193298e+01
1.065015198719884756e+04,3.124805921762857963e+01
1.065015200848917084e+04,3.124926607781259946e+01
1.065015202977949411e+04,3.125047295378655576e+01
1.065015205106981739e+04,3.125167984554980549e+01
1.065015207236014066e+04,3.125288675310181219e+01
1.065015209365046394e+04,3.125409367644197189e+01
1.065015211494078721e+04,3.125530061556974104e+01
1.065015213623111049e+04,3.125650757048450856e+01
1.065015215752143376e+04,3.125771454118569537e+01
1.065015217881175886e+04,3.125892152777585764e+01
1.065015220010208213e+04,3.126012853004815994e+01
1.065015222139240541e+04,3.126133554810514781e+01
1.065015224268272868e+04,3.126254258194624924e+01
1.065015226397305196e+04,3.126374963157084963e+01
1.065015228526337523e+04,3.126495669697840540e+01
1.065015230655369851e+04,3.126616377816831616e+01
1.065015232784402178e+04,3.126737087514002411e+01
1.065015234913434506e+04,3.126857798789291820e+01
