Time (BJD_TBD - 2450000), F_star + F_e (mJy)
9.891595520833507180e+03,2.557705873137359642e+00
9.891595543725843527e+03,2.557705873137359642e+00
9.891595566618178054e+03,2.557705873137359642e+00
9.891595589510514401e+03,2.557705873137359642e+00
9.891595612402848928e+03,2.557705873137359642e+00
9.891595635295185275e+03,2.557705873137359642e+00
9.891595658187519803e+03,2.557705873137359642e+00
9.891595681079856149e+03,2.557705873137359642e+00
9.891595703972190677e+03,2.557705873137359642e+00
9.891595726864527023e+03,2.557705873137359642e+00
9.891595749756863370e+03,2.557705873137359642e+00
9.891595772649197897e+03,2.557705873137359642e+00
9.891595795541534244e+03,2.557705873137359642e+00
9.891595818433868772e+03,2.557705873137359642e+00
9.891595841326205118e+03,2.557705873137359642e+00
9.891595864218539646e+03,2.557705873137359642e+00
9.891595887110875992e+03,2.557705873137359642e+00
9.891595910003210520e+03,2.557705873137359642e+00
9.891595932895546866e+03,2.557705873137359642e+00
9.891595955787881394e+03,2.557705873137359642e+00
9.891595978680217740e+03,2.557705873137359642e+00
9.891596001572554087e+03,2.557705873137359642e+00
9.891596024464888615e+03,2.557705873137359642e+00
9.891596047357224961e+03,2.557705873137359642e+00
9.891596070249559489e+03,2.557705873137359642e+00
9.891596093141895835e+03,2.557705873137359642e+00
9.891596116034230363e+03,2.557705873137359642e+00
9.891596138926566709e+03,2.557705873137359642e+00
9.891596161818901237e+03,2.557705873137359642e+00
9.891596184711237584e+03,2.557705873137359642e+00
9.891596207603573930e+03,2.557705873137359642e+00
9.891596230495908458e+03,2.557705873137359642e+00
9.891596253388244804e+03,2.557705873137359642e+00
9.891596276280579332e+03,2.557705873137359642e+00
9.891596299172915678e+03,2.557705873137359642e+00
9.891596322065250206e+03,2.557705873137359642e+00
9.891596344957586552e+03,2.557705873137359642e+00
9.891596367849921080e+03,2.557705873137359642e+00
9.891596390742257427e+03,2.557705873137359642e+00
9.891596413634591954e+03,2.557705873137359642e+00
9.891596436526928301e+03,2.557705873137359642e+00
9.891596459419264647e+03,2.557705873137359642e+00
9.891596482311599175e+03,2.557705873137359642e+00
9.891596505203935521e+03,2.557705873137359642e+00
9.891596528096270049e+03,2.557705873137359642e+00
9.891596550988606396e+03,2.557705873137359642e+00
9.891596573880940923e+03,2.557705873137359642e+00
9.891596596773277270e+03,2.557705873137359642e+00
9.891596619665611797e+03,2.557705873137359642e+00
9.891596642557948144e+03,2.557705873137359642e+00
