Time (BJD_TBD - 2450000), F_f/F_star (ppm)
1.063802708333311602e+04,3.690360454065308460e+01
1.063802710516863226e+04,3.690425566286806713e+01
1.063802712700415032e+04,3.690490678678369818e+01
1.063802714883966655e+04,3.690555791229137128e+01
1.063802717067518279e+04,3.690620903944518005e+01
1.063802719251070084e+04,3.690686016829921101e+01
1.063802721434621708e+04,3.690751129874482217e+01
1.063802723618173331e+04,3.690816243083614978e+01
1.063802725801725137e+04,3.690881356462724483e+01
1.063802727985276761e+04,3.690946470000952218e+01
1.063802730168828566e+04,3.691011583709128985e+01
1.063802732352380190e+04,3.691076697576392718e+01
1.063802734535931813e+04,3.691141811608154910e+01
1.063802736719483619e+04,3.691206925809822792e+01
1.063802738903035242e+04,3.691272040170535007e+01
1.063802741086586866e+04,3.691337154695700917e+01
1.063802743270138672e+04,3.691402269390731306e+01
1.063802745453690295e+04,3.691467384244760552e+01
1.063802747637241919e+04,3.691532499263201572e+01
1.063802749820793724e+04,3.691597614451463016e+01
1.063802752004345348e+04,3.691662729798679976e+01
1.063802754187896971e+04,3.691727845310264655e+01
1.063802756371448777e+04,3.691792960991625705e+01
1.063802758555000401e+04,3.691858076831900348e+01
1.063802760738552206e+04,3.691923192841923651e+01
1.063802762922103830e+04,3.691988309010830704e+01
1.063802765105655453e+04,3.692053425344034423e+01
1.063802767289207259e+04,3.692118541846940616e+01
1.063802769472758882e+04,3.692183658508689348e+01
1.063802771656310506e+04,3.692248775334688560e+01
1.063802773839862311e+04,3.692313892330350455e+01
1.063802776023413935e+04,3.692379009484809416e+01
1.063802778206965559e+04,3.692444126803474802e+01
1.063802780390517364e+04,3.692509244291759529e+01
1.063802782574068988e+04,3.692574361938799399e+01
1.063802784757620611e+04,3.692639479750003062e+01
1.063802786941172417e+04,3.692704597730780591e+01
1.063802789124724040e+04,3.692769715870269209e+01
1.063802791308275846e+04,3.692834834179304693e+01
1.063802793491827470e+04,3.692899952647021422e+01
1.063802795675379093e+04,3.692965071278830891e+01
1.063802797858930899e+04,3.693030190080142461e+01
1.063802800042482522e+04,3.693095309040092644e+01
1.063802802226034146e+04,3.693160428164091513e+01
1.063802804409585951e+04,3.693225547457549141e+01
1.063802806593137575e+04,3.693290666909602749e+01
1.063802808776689199e+04,3.693355786525660989e+01
1.063802810960241004e+04,3.693420906311134644e+01
1.063802813143792628e+04,3.693486026255161647e+01
1.063802815327344251e+04,3.693551146363149940e+01
