Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.891595520833507180e+03,1.901979170911393879e+01
9.891595543725843527e+03,1.902038500563099177e+01
9.891595566618178054e+03,1.902097830903296227e+01
9.891595589510514401e+03,1.902157161941398300e+01
9.891595612402848928e+03,1.902216493667963704e+01
9.891595635295185275e+03,1.902275826092404643e+01
9.891595658187519803e+03,1.902335159205280135e+01
9.891595681079856149e+03,1.902394493016002386e+01
9.891595703972190677e+03,1.902453827515129703e+01
9.891595726864527023e+03,1.902513162712076067e+01
9.891595749756863370e+03,1.902572498602112105e+01
9.891595772649197897e+03,1.902631835180508801e+01
9.891595795541534244e+03,1.902691172456680846e+01
9.891595818433868772e+03,1.902750510421185126e+01
9.891595841326205118e+03,1.902809849083435978e+01
9.891595864218539646e+03,1.902869188433989578e+01
9.891595887110875992e+03,1.902928528482260973e+01
9.891595910003210520e+03,1.902987869218805983e+01
9.891595932895546866e+03,1.903047210653039656e+01
9.891595955787881394e+03,1.903106552775518523e+01
9.891595978680217740e+03,1.903165895595656565e+01
9.891596001572554087e+03,1.903225239108725830e+01
9.891596024464888615e+03,1.903284583309995526e+01
9.891596047357224961e+03,1.903343928208882829e+01
9.891596070249559489e+03,1.903403273795941786e+01
9.891596093141895835e+03,1.903462620080588508e+01
9.891596116034230363e+03,1.903521967053378106e+01
9.891596138926566709e+03,1.903581314723725626e+01
9.891596161818901237e+03,1.903640663082188311e+01
9.891596184711237584e+03,1.903700012138180497e+01
9.891596207603573930e+03,1.903759361886973522e+01
9.891596230495908458e+03,1.903818712323836237e+01
9.891596253388244804e+03,1.903878063458185821e+01
9.891596276280579332e+03,1.903937415280576673e+01
9.891596299172915678e+03,1.903996767800424905e+01
9.891596322065250206e+03,1.904056121008285629e+01
9.891596344957586552e+03,1.904115474913575667e+01
9.891596367849921080e+03,1.904174829506847288e+01
9.891596390742257427e+03,1.904234184797520157e+01
9.891596413634591954e+03,1.904293540776147253e+01
9.891596436526928301e+03,1.904352897452145399e+01
9.891596459419264647e+03,1.904412254820784511e+01
9.891596482311599175e+03,1.904471612877333442e+01
9.891596505203935521e+03,1.904530971631210789e+01
9.891596528096270049e+03,1.904590331072968823e+01
9.891596550988606396e+03,1.904649691212026497e+01
9.891596573880940923e+03,1.904709052038936079e+01
9.891596596773277270e+03,1.904768413563116169e+01
9.891596619665611797e+03,1.904827775775119036e+01
9.891596642557948144e+03,1.904887138684363634e+01
9.891596665450284490e+03,1.904946502286118104e+01
9.891596688342619018e+03,1.905005866575652362e+01
9.891596711234955364e+03,1.905065231562384653e+01
9.891596734127289892e+03,1.905124597236866890e+01
9.891596757019626239e+03,1.905183963608519093e+01
9.891596779911960766e+03,1.905243330667891755e+01
9.891596802804297113e+03,1.905302698424405250e+01
9.891596825696631640e+03,1.905362066868610427e+01
9.891596848588967987e+03,1.905421436009926595e+01
9.891596871481304333e+03,1.905480805843624026e+01
9.891596894373638861e+03,1.905540176364969440e+01
9.891596917265975208e+03,1.905599547583382858e+01
9.891596940158309735e+03,1.905658919489415837e+01
9.891596963050646082e+03,1.905718292092488397e+01
9.891596985942980609e+03,1.905777665383149966e+01
9.891597008835316956e+03,1.905837039370823049e+01
9.891597031727651483e+03,1.905896414046057430e+01
9.891597054619987830e+03,1.905955789418272772e+01
9.891597077512322358e+03,1.906015165478020634e+01
9.891597100404658704e+03,1.906074542234721392e+01
9.891597123296995051e+03,1.906133919683642475e+01
9.891597146189329578e+03,1.906193297820051313e+01
9.891597169081665925e+03,1.906252676653370060e+01
9.891597191974000452e+03,1.906312056174148140e+01
9.891597214866336799e+03,1.906371436391806995e+01
9.891597237758671326e+03,1.906430817296895697e+01
9.891597260651007673e+03,1.906490198898836397e+01
9.891597283543342201e+03,1.906549581188177456e+01
9.891597306435678547e+03,1.906608964174342447e+01
9.891597329328014894e+03,1.906668347852597023e+01
9.891597352220349421e+03,1.906727732218208615e+01
9.891597375112685768e+03,1.906787117280600086e+01
9.891597398005020295e+03,1.906846503030319084e+01
9.891597420897356642e+03,1.906905889476790961e+01
9.891597443789691170e+03,1.906965276610559457e+01
9.891597466682027516e+03,1.907024664441050632e+01
9.891597489574362044e+03,1.907084052958812492e+01
9.891597512466698390e+03,1.907143442173267189e+01
9.891597535359032918e+03,1.907202832074962018e+01
9.891597558251369264e+03,1.907262222673321261e+01
9.891597581143705611e+03,1.907321613963611284e+01
9.891597604036040138e+03,1.907381005941098806e+01
9.891597626928376485e+03,1.907440398615206689e+01
9.891597649820711013e+03,1.907499791976483294e+01
9.891597672713047359e+03,1.907559186034351129e+01
9.891597695605381887e+03,1.907618580779358197e+01
9.891597718497718233e+03,1.907677976220928073e+01
9.891597741390052761e+03,1.907737372349608052e+01
9.891597764282389107e+03,1.907796769174822415e+01
9.891597787174725454e+03,1.907856166691836819e+01
9.891597810067059982e+03,1.907915564895917626e+01
9.891597832959396328e+03,1.907974963796489121e+01
9.891597855851730856e+03,1.908034363384097531e+01
9.891597878744067202e+03,1.908093763668167497e+01
9.891597901636401730e+03,1.908153164639246668e+01
9.891597924528738076e+03,1.908212566306757907e+01
9.891597947421072604e+03,1.908271968661248863e+01
9.891597970313408950e+03,1.908331371712143465e+01
9.891597993205745297e+03,1.908390775454707722e+01
9.891598016098079825e+03,1.908450179884206577e+01
9.891598038990416171e+03,1.908509585010067156e+01
9.891598061882750699e+03,1.908568990822833911e+01
9.891598084775087045e+03,1.908628397331932902e+01
9.891598107667421573e+03,1.908687804527908227e+01
9.891598130559757919e+03,1.908747212420187012e+01
9.891598153452092447e+03,1.908806620999313353e+01
9.891598176344428794e+03,1.908866030274713665e+01
9.891598199236763321e+03,1.908925440236932403e+01
9.891598222129099668e+03,1.908984850895398111e+01
