Time (BJD_TBD - 2450000), F_star + F_f (mJy)
1.013335255787055939e+04,2.557849455503633074e+00
1.013335257878931770e+04,2.557849456918145581e+00
1.013335259970807601e+04,2.557849458332628334e+00
1.013335262062683432e+04,2.557849459747080001e+00
1.013335264154559445e+04,2.557849461161501026e+00
1.013335266246435276e+04,2.557849462575890964e+00
1.013335268338311107e+04,2.557849463990250705e+00
1.013335270430186938e+04,2.557849465404579359e+00
1.013335272522062769e+04,2.557849466818877371e+00
1.013335274613938600e+04,2.557849468233144297e+00
1.013335276705814431e+04,2.557849469647381024e+00
1.013335278797690262e+04,2.557849471061586666e+00
1.013335280889566275e+04,2.557849472475761221e+00
1.013335282981442106e+04,2.557849473889905578e+00
1.013335285073317937e+04,2.557849475304018849e+00
1.013335287165193768e+04,2.557849476718101922e+00
1.013335289257069599e+04,2.557849478132153465e+00
1.013335291348945429e+04,2.557849479546174365e+00
1.013335293440821260e+04,2.557849480960164623e+00
1.013335295532697091e+04,2.557849482374124239e+00
1.013335297624573104e+04,2.557849483788053213e+00
1.013335299716448935e+04,2.557849485201951545e+00
1.013335301808324766e+04,2.557849486615819234e+00
1.013335303900200597e+04,2.557849488029655394e+00
1.013335305992076428e+04,2.557849489443461355e+00
1.013335308083952259e+04,2.557849490857236230e+00
1.013335310175828090e+04,2.557849492270980463e+00
1.013335312267703921e+04,2.557849493684694497e+00
1.013335314359579934e+04,2.557849495098377002e+00
1.013335316451455765e+04,2.557849496512029308e+00
1.013335318543331596e+04,2.557849497925650528e+00
1.013335320635207427e+04,2.557849499339241106e+00
1.013335322727083258e+04,2.557849500752800598e+00
1.013335324818959089e+04,2.557849502166329891e+00
1.013335326910834920e+04,2.557849503579827655e+00
1.013335329002710751e+04,2.557849504993295664e+00
1.013335331094586763e+04,2.557849506406732143e+00
1.013335333186462594e+04,2.557849507820137980e+00
1.013335335278338425e+04,2.557849509233513619e+00
1.013335337370214256e+04,2.557849510646858171e+00
1.013335339462090087e+04,2.557849512060171193e+00
1.013335341553965918e+04,2.557849513473454017e+00
1.013335343645841749e+04,2.557849514886706643e+00
1.013335345737717762e+04,2.557849516299928183e+00
1.013335347829593593e+04,2.557849517713118637e+00
1.013335349921469424e+04,2.557849519126278004e+00
1.013335352013345255e+04,2.557849520539407617e+00
1.013335354105221086e+04,2.557849521952505700e+00
1.013335356197096917e+04,2.557849523365573141e+00
1.013335358288972748e+04,2.557849524778609940e+00
1.013335360380848579e+04,2.557849526191616096e+00
1.013335362472724591e+04,2.557849527604591611e+00
1.013335364564600422e+04,2.557849529017536039e+00
1.013335366656476253e+04,2.557849530430449825e+00
1.013335368748352084e+04,2.557849531843332969e+00
1.013335370840227915e+04,2.557849533256185026e+00
1.013335372932103746e+04,2.557849534669005998e+00
1.013335375023979577e+04,2.557849536081797215e+00
1.013335377115855408e+04,2.557849537494556902e+00
1.013335379207731421e+04,2.557849538907286391e+00
1.013335381299607252e+04,2.557849540319984794e+00
1.013335383391483083e+04,2.557849541732651666e+00
1.013335385483358914e+04,2.557849543145288784e+00
1.013335387575234745e+04,2.557849544557895261e+00
1.013335389667110576e+04,2.557849545970470206e+00
1.013335391758986407e+04,2.557849547383014510e+00
1.013335393850862238e+04,2.557849548795528616e+00
1.013335395942738251e+04,2.557849550208011635e+00
1.013335398034614082e+04,2.557849551620463568e+00
1.013335400126489913e+04,2.557849553032885304e+00
1.013335402218365743e+04,2.557849554445275952e+00
1.013335404310241574e+04,2.557849555857635515e+00
1.013335406402117405e+04,2.557849557269964880e+00
1.013335408493993236e+04,2.557849558682262714e+00
1.013335410585869067e+04,2.557849560094530794e+00
1.013335412677745080e+04,2.557849561506767344e+00
1.013335414769620911e+04,2.557849562918973252e+00
1.013335416861496742e+04,2.557849564331148962e+00
1.013335418953372573e+04,2.557849565743293585e+00
1.013335421045248404e+04,2.557849567155406678e+00
1.013335423137124235e+04,2.557849568567490017e+00
1.013335425229000066e+04,2.557849569979542270e+00
1.013335427320876079e+04,2.557849571391563881e+00
1.013335429412751910e+04,2.557849572803554405e+00
1.013335431504627741e+04,2.557849574215513844e+00
1.013335433596503572e+04,2.557849575627443528e+00
1.013335435688379403e+04,2.557849577039341682e+00
1.013335437780255234e+04,2.557849578451209194e+00
1.013335439872131064e+04,2.557849579863046063e+00
1.013335441964006895e+04,2.557849581274851847e+00
1.013335444055882908e+04,2.557849582686626988e+00
1.013335446147758739e+04,2.557849584098371487e+00
1.013335448239634570e+04,2.557849585510085344e+00
1.013335450331510401e+04,2.557849586921768115e+00
1.013335452423386232e+04,2.557849588333419799e+00
1.013335454515262063e+04,2.557849589745041285e+00
1.013335456607137894e+04,2.557849591156631686e+00
1.013335458699013725e+04,2.557849592568191444e+00
1.013335460790889738e+04,2.557849593979720559e+00
1.013335462882765569e+04,2.557849595391218589e+00
1.013335464974641400e+04,2.557849596802686420e+00
1.013335467066517231e+04,2.557849598214122722e+00
1.013335469158393062e+04,2.557849599625528825e+00
