Time (BJD_TBD - 2450000), F_star + F_f (mJy)
1.013335255787055939e+04,2.653231131375720864e+00
1.013335257878931770e+04,2.653231132842980511e+00
1.013335259970807601e+04,2.653231134310209072e+00
1.013335262062683432e+04,2.653231135777404770e+00
1.013335264154559445e+04,2.653231137244569826e+00
1.013335266246435276e+04,2.653231138711702020e+00
1.013335268338311107e+04,2.653231140178802683e+00
1.013335270430186938e+04,2.653231141645871372e+00
1.013335272522062769e+04,2.653231143112908530e+00
1.013335274613938600e+04,2.653231144579912826e+00
1.013335276705814431e+04,2.653231146046886479e+00
1.013335278797690262e+04,2.653231147513827271e+00
1.013335280889566275e+04,2.653231148980736531e+00
1.013335282981442106e+04,2.653231150447613818e+00
1.013335285073317937e+04,2.653231151914459129e+00
1.013335287165193768e+04,2.653231153381272911e+00
1.013335289257069599e+04,2.653231154848054274e+00
1.013335291348945429e+04,2.653231156314803663e+00
1.013335293440821260e+04,2.653231157781521521e+00
1.013335295532697091e+04,2.653231159248207405e+00
1.013335297624573104e+04,2.653231160714861314e+00
1.013335299716448935e+04,2.653231162181483693e+00
1.013335301808324766e+04,2.653231163648074098e+00
1.013335303900200597e+04,2.653231165114632084e+00
1.013335305992076428e+04,2.653231166581158096e+00
1.013335308083952259e+04,2.653231168047652577e+00
1.013335310175828090e+04,2.653231169514115528e+00
1.013335312267703921e+04,2.653231170980546061e+00
1.013335314359579934e+04,2.653231172446944619e+00
1.013335316451455765e+04,2.653231173913311647e+00
1.013335318543331596e+04,2.653231175379646700e+00
1.013335320635207427e+04,2.653231176845949335e+00
1.013335322727083258e+04,2.653231178312220884e+00
1.013335324818959089e+04,2.653231179778460014e+00
1.013335326910834920e+04,2.653231181244667169e+00
1.013335329002710751e+04,2.653231182710842795e+00
1.013335331094586763e+04,2.653231184176986002e+00
1.013335333186462594e+04,2.653231185643097678e+00
1.013335335278338425e+04,2.653231187109177380e+00
1.013335337370214256e+04,2.653231188575225552e+00
1.013335339462090087e+04,2.653231190041240861e+00
1.013335341553965918e+04,2.653231191507224640e+00
1.013335343645841749e+04,2.653231192973176888e+00
1.013335345737717762e+04,2.653231194439097163e+00
1.013335347829593593e+04,2.653231195904985462e+00
1.013335349921469424e+04,2.653231197370841343e+00
1.013335352013345255e+04,2.653231198836666138e+00
1.013335354105221086e+04,2.653231200302458515e+00
1.013335356197096917e+04,2.653231201768218916e+00
1.013335358288972748e+04,2.653231203233947344e+00
1.013335360380848579e+04,2.653231204699644241e+00
1.013335362472724591e+04,2.653231206165309164e+00
1.013335364564600422e+04,2.653231207630942112e+00
1.013335366656476253e+04,2.653231209096543530e+00
1.013335368748352084e+04,2.653231210562112530e+00
1.013335370840227915e+04,2.653231212027649555e+00
1.013335372932103746e+04,2.653231213493154605e+00
1.013335375023979577e+04,2.653231214958628126e+00
1.013335377115855408e+04,2.653231216424069228e+00
1.013335379207731421e+04,2.653231217889479243e+00
1.013335381299607252e+04,2.653231219354856840e+00
1.013335383391483083e+04,2.653231220820202019e+00
1.013335385483358914e+04,2.653231222285515667e+00
1.013335387575234745e+04,2.653231223750797785e+00
1.013335389667110576e+04,2.653231225216047928e+00
1.013335391758986407e+04,2.653231226681265653e+00
1.013335393850862238e+04,2.653231228146451848e+00
1.013335395942738251e+04,2.653231229611606068e+00
1.013335398034614082e+04,2.653231231076727870e+00
1.013335400126489913e+04,2.653231232541818585e+00
1.013335402218365743e+04,2.653231234006876882e+00
1.013335404310241574e+04,2.653231235471903648e+00
1.013335406402117405e+04,2.653231236936898441e+00
1.013335408493993236e+04,2.653231238401860370e+00
1.013335410585869067e+04,2.653231239866791658e+00
1.013335412677745080e+04,2.653231241331690082e+00
1.013335414769620911e+04,2.653231242796556977e+00
1.013335416861496742e+04,2.653231244261392341e+00
1.013335418953372573e+04,2.653231245726195286e+00
1.013335421045248404e+04,2.653231247190966258e+00
1.013335423137124235e+04,2.653231248655705699e+00
1.013335425229000066e+04,2.653231250120413165e+00
1.013335427320876079e+04,2.653231251585088657e+00
1.013335429412751910e+04,2.653231253049732175e+00
1.013335431504627741e+04,2.653231254514343274e+00
1.013335433596503572e+04,2.653231255978923286e+00
1.013335435688379403e+04,2.653231257443470881e+00
1.013335437780255234e+04,2.653231258907986501e+00
1.013335439872131064e+04,2.653231260372470590e+00
1.013335441964006895e+04,2.653231261836922261e+00
1.013335444055882908e+04,2.653231263301342402e+00
1.013335446147758739e+04,2.653231264765730568e+00
1.013335448239634570e+04,2.653231266230086760e+00
1.013335450331510401e+04,2.653231267694410977e+00
1.013335452423386232e+04,2.653231269158702776e+00
1.013335454515262063e+04,2.653231270622963489e+00
1.013335456607137894e+04,2.653231272087191783e+00
1.013335458699013725e+04,2.653231273551388547e+00
1.013335460790889738e+04,2.653231275015553337e+00
1.013335462882765569e+04,2.653231276479685707e+00
1.013335464974641400e+04,2.653231277943786548e+00
1.013335467066517231e+04,2.653231279407855414e+00
1.013335469158393062e+04,2.653231280871892306e+00
1.013335471250268893e+04,2.653231282335897223e+00
1.013335473342144724e+04,2.653231283799869722e+00
1.013335475434020555e+04,2.653231285263811134e+00
1.013335477525896567e+04,2.653231286727720573e+00
1.013335479617772398e+04,2.653231288191597592e+00
1.013335481709648229e+04,2.653231289655443081e+00
1.013335483801524060e+04,2.653231291119256152e+00
1.013335485893399891e+04,2.653231292583037693e+00
1.013335487985275722e+04,2.653231294046787259e+00
1.013335490077151553e+04,2.653231295510504850e+00
1.013335492169027384e+04,2.653231296974190911e+00
1.013335494260903397e+04,2.653231298437844110e+00
1.013335496352779228e+04,2.653231299901466222e+00
1.013335498444655059e+04,2.653231301365055916e+00
1.013335500536530890e+04,2.653231302828614080e+00
1.013335502628406721e+04,2.653231304292139381e+00
1.013335504720282552e+04,2.653231305755634040e+00
1.013335506812158383e+04,2.653231307219095836e+00
1.013335508904034396e+04,2.653231308682526546e+00
1.013335510995910226e+04,2.653231310145924393e+00
1.013335513087786057e+04,2.653231311609290710e+00
1.013335515179661888e+04,2.653231313072625053e+00
1.013335517271537719e+04,2.653231314535927865e+00
1.013335519363413550e+04,2.653231315999198259e+00
1.013335521455289381e+04,2.653231317462436678e+00
1.013335523547165212e+04,2.653231318925643567e+00
1.013335525639041225e+04,2.653231320388818482e+00
1.013335527730917056e+04,2.653231321851960978e+00
1.013335529822792887e+04,2.653231323315071943e+00
1.013335531914668718e+04,2.653231324778150491e+00
1.013335534006544549e+04,2.653231326241197952e+00
1.013335536098420380e+04,2.653231327704212550e+00
1.013335538190296211e+04,2.653231329167195618e+00
1.013335540282172042e+04,2.653231330630147156e+00
1.013335542374048055e+04,2.653231332093066275e+00
1.013335544465923886e+04,2.653231333555953420e+00
1.013335546557799717e+04,2.653231335018809034e+00
1.013335548649675547e+04,2.653231336481632230e+00
1.013335550741551378e+04,2.653231337944423451e+00
1.013335552833427209e+04,2.653231339407183587e+00
1.013335554925303040e+04,2.653231340869910859e+00
1.013335557017178871e+04,2.653231342332606602e+00
1.013335559109054884e+04,2.653231343795270369e+00
1.013335561200930715e+04,2.653231345257902163e+00
1.013335563292806546e+04,2.653231346720501538e+00
1.013335565384682377e+04,2.653231348183069382e+00
1.013335567476558208e+04,2.653231349645605253e+00
1.013335569568434039e+04,2.653231351108109592e+00
1.013335571660309870e+04,2.653231352570581958e+00
1.013335573752185701e+04,2.653231354033021905e+00
1.013335575844061714e+04,2.653231355495429877e+00
1.013335577935937545e+04,2.653231356957806319e+00
1.013335580027813376e+04,2.653231358420150787e+00
1.013335582119689207e+04,2.653231359882462836e+00
1.013335584211565038e+04,2.653231361344743355e+00
1.013335586303440869e+04,2.653231362806991900e+00
1.013335588395316699e+04,2.653231364269208470e+00
1.013335590487192530e+04,2.653231365731392621e+00
1.013335592579068543e+04,2.653231367193545243e+00
1.013335594670944374e+04,2.653231368655665889e+00
1.013335596762820205e+04,2.653231370117754562e+00
1.013335598854696036e+04,2.653231371579811704e+00
1.013335600946571867e+04,2.653231373041836427e+00
1.013335603038447698e+04,2.653231374503829176e+00
1.013335605130323529e+04,2.653231375965790395e+00
1.013335607222199542e+04,2.653231377427719639e+00
1.013335609314075373e+04,2.653231378889616465e+00
1.013335611405951204e+04,2.653231380351481317e+00
1.013335613497827035e+04,2.653231381813314638e+00
1.013335615589702866e+04,2.653231383275115984e+00
1.013335617681578697e+04,2.653231384736884912e+00
1.013335619773454528e+04,2.653231386198621866e+00
1.013335621865330359e+04,2.653231387660327290e+00
1.013335623957206371e+04,2.653231389122001183e+00
1.013335626049082202e+04,2.653231390583642213e+00
1.013335628140958033e+04,2.653231392045252157e+00
1.013335630232833864e+04,2.653231393506829683e+00
1.013335632324709695e+04,2.653231394968374790e+00
1.013335634416585526e+04,2.653231396429888811e+00
1.013335636508461357e+04,2.653231397891370413e+00
1.013335638600337188e+04,2.653231399352820041e+00
1.013335640692213201e+04,2.653231400814238139e+00
1.013335642784089032e+04,2.653231402275623374e+00
1.013335644875964863e+04,2.653231403736977967e+00
1.013335646967840694e+04,2.653231405198299697e+00
1.013335649059716525e+04,2.653231406659589897e+00
1.013335651151592356e+04,2.653231408120847234e+00
1.013335653243468187e+04,2.653231409582073486e+00
1.013335655335344018e+04,2.653231411043267318e+00
1.013335657427220031e+04,2.653231412504429620e+00
1.013335659519095861e+04,2.653231413965559948e+00
1.013335661610971692e+04,2.653231415426658302e+00
1.013335663702847523e+04,2.653231416887724237e+00
1.013335665794723354e+04,2.653231418348758641e+00
1.013335667886599185e+04,2.653231419809761515e+00
1.013335669978475016e+04,2.653231421270731527e+00
1.013335672070350847e+04,2.653231422731670008e+00
1.013335674162226860e+04,2.653231424192576959e+00
1.013335676254102691e+04,2.653231425653451048e+00
1.013335678345978522e+04,2.653231427114294050e+00
1.013335680437854353e+04,2.653231428575104633e+00
1.013335682529730184e+04,2.653231430035883243e+00
1.013335684621606015e+04,2.653231431496629877e+00
1.013335686713481846e+04,2.653231432957344538e+00
1.013335688805357859e+04,2.653231434418027668e+00
1.013335690897233690e+04,2.653231435878677935e+00
1.013335692989109521e+04,2.653231437339297116e+00
1.013335695080985352e+04,2.653231438799883879e+00
1.013335697172861182e+04,2.653231440260439111e+00
1.013335699264737013e+04,2.653231441720961925e+00
1.013335701356612844e+04,2.653231443181452764e+00
1.013335703448488675e+04,2.653231444641912073e+00
1.013335705540364688e+04,2.653231446102339408e+00
1.013335707632240519e+04,2.653231447562734768e+00
1.013335709724116350e+04,2.653231449023097710e+00
1.013335711815992181e+04,2.653231450483428677e+00
1.013335713907868012e+04,2.653231451943728114e+00
1.013335715999743843e+04,2.653231453403995577e+00
1.013335718091619674e+04,2.653231454864230621e+00
1.013335720183495505e+04,2.653231456324433690e+00
1.013335722275371518e+04,2.653231457784605229e+00
1.013335724367247349e+04,2.653231459244744794e+00
1.013335726459123180e+04,2.653231460704852385e+00
1.013335728550999011e+04,2.653231462164928445e+00
1.013335730642874842e+04,2.653231463624971198e+00
1.013335732734750673e+04,2.653231465084983309e+00
1.013335734826626503e+04,2.653231466544962558e+00
1.013335736918502334e+04,2.653231468004910276e+00
1.013335739010378347e+04,2.653231469464826020e+00
