Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.908226643518544734e+03,2.969476392875255666e+00
9.908226666740774817e+03,2.969155363784002244e+00
9.908226689963004901e+03,2.968834351673989236e+00
9.908226713185233166e+03,2.968513356570447570e+00
9.908226736407463250e+03,2.968192378423166300e+00
9.908226759629693333e+03,2.967871417257383904e+00
9.908226782851923417e+03,2.967550473073170991e+00
9.908226806074151682e+03,2.967229545895742948e+00
9.908226829296381766e+03,2.966908635674919914e+00
9.908226852518611850e+03,2.966587742435901287e+00
9.908226875740841933e+03,2.966266866178773665e+00
9.908226898963070198e+03,2.965946006928759537e+00
9.908226922185300282e+03,2.965625164635664390e+00
9.908226945407530366e+03,2.965304339324702720e+00
9.908226968629760449e+03,2.964983530995952687e+00
9.908226991851988714e+03,2.964662739674630565e+00
9.908227015074218798e+03,2.964341965310555604e+00
9.908227038296448882e+03,2.964021207928943635e+00
9.908227061518678966e+03,2.963700467529872373e+00
9.908227084740907230e+03,2.963379744138534555e+00
9.908227107963137314e+03,2.963059037704772969e+00
9.908227131185367398e+03,2.962738348253787901e+00
9.908227154407597482e+03,2.962417675785673055e+00
9.908227177629825746e+03,2.962097020325604291e+00
9.908227200852055830e+03,2.961776381823449267e+00
9.908227224074285914e+03,2.961455760304399387e+00
9.908227247296515998e+03,2.961135155768517713e+00
9.908227270518744263e+03,2.960814568241019185e+00
9.908227293740974346e+03,2.960493997671755473e+00
9.908227316963204430e+03,2.960173444085910432e+00
9.908227340185434514e+03,2.959852907483570217e+00
9.908227363407662779e+03,2.959532387889919125e+00
9.908227386629892862e+03,2.959211885254823926e+00
9.908227409852122946e+03,2.958891399603484462e+00
9.908227433074353030e+03,2.958570930935971344e+00
9.908227456296581295e+03,2.958250479277459988e+00
9.908227479518811379e+03,2.957930044577834483e+00
9.908227502741041462e+03,2.957609626862277796e+00
9.908227525963271546e+03,2.957289226130868531e+00
9.908227549185499811e+03,2.956968842408790543e+00
9.908227572407729895e+03,2.956648475645919039e+00
9.908227595629959978e+03,2.956328125867437873e+00
9.908227618852190062e+03,2.956007793073433199e+00
9.908227642074418327e+03,2.955687477289065779e+00
9.908227665296648411e+03,2.955367178464233469e+00
9.908227688518878495e+03,2.955046896624121011e+00
