Time (BJD_TBD - 2450000), F_star + F_f (mJy)
1.027127336805546656e+04,2.557858246629316046e+00
1.027127353332662278e+04,2.557858260753734569e+00
1.027127369859778082e+04,2.557858274876281701e+00
1.027127386386893704e+04,2.557858288996957885e+00
1.027127402914009326e+04,2.557858303115763565e+00
1.027127419441124948e+04,2.557858317232697853e+00
1.027127435968240752e+04,2.557858331347760306e+00
1.027127452495356374e+04,2.557858345460951366e+00
1.027127469022471996e+04,2.557858359572270146e+00
1.027127485549587800e+04,2.557858373681717534e+00
1.027127502076703422e+04,2.557858387789292642e+00
1.027127518603819044e+04,2.557858401894995026e+00
1.027127535130934666e+04,2.557858415998825130e+00
1.027127551658050470e+04,2.557858430100782954e+00
1.027127568185166092e+04,2.557858444200867165e+00
1.027127584712281714e+04,2.557858458299078208e+00
1.027127601239397518e+04,2.557858472395416527e+00
1.027127617766513140e+04,2.557858486489881233e+00
1.027127634293628762e+04,2.557858500582471883e+00
1.027127650820744384e+04,2.557858514673189365e+00
1.027127667347860188e+04,2.557858528762032790e+00
1.027127683874975810e+04,2.557858542849002159e+00
1.027127700402091432e+04,2.557858556934096583e+00
1.027127716929207236e+04,2.557858571017317395e+00
1.027127733456322858e+04,2.557858585098662818e+00
1.027127749983438480e+04,2.557858599178133296e+00
1.027127766510554284e+04,2.557858613255728830e+00
1.027127783037669906e+04,2.557858627331449863e+00
1.027127799564785528e+04,2.557858641405294620e+00
1.027127816091901150e+04,2.557858655477263987e+00
1.027127832619016954e+04,2.557858669547357966e+00
1.027127849146132576e+04,2.557858683615575668e+00
1.027127865673248198e+04,2.557858697681917093e+00
1.027127882200364002e+04,2.557858711746382241e+00
1.027127898727479624e+04,2.557858725808971112e+00
1.027127915254595246e+04,2.557858739869683262e+00
1.027127931781710868e+04,2.557858753928518691e+00
1.027127948308826672e+04,2.557858767985476955e+00
1.027127964835942294e+04,2.557858782040557610e+00
1.027127981363057916e+04,2.557858796093761988e+00
1.027127997890173719e+04,2.557858810145087869e+00
1.027128014417289342e+04,2.557858824194536584e+00
1.027128030944404964e+04,2.557858838242106803e+00
1.027128047471520586e+04,2.557858852287799412e+00
1.027128063998636389e+04,2.557858866331613523e+00
1.027128080525752011e+04,2.557858880373549137e+00
1.027128097052867633e+04,2.557858894413606254e+00
1.027128113579983437e+04,2.557858908451784430e+00
1.027128130107099059e+04,2.557858922488084108e+00
1.027128146634214681e+04,2.557858936522504401e+00
1.027128163161330303e+04,2.557858950555044864e+00
1.027128179688446107e+04,2.557858964585705941e+00
1.027128196215561729e+04,2.557858978614487633e+00
1.027128212742677351e+04,2.557858992641389051e+00
1.027128229269793155e+04,2.557859006666411084e+00
1.027128245796908777e+04,2.557859020689552398e+00
1.027128262324024399e+04,2.557859034710812995e+00
1.027128278851140021e+04,2.557859048730193319e+00
1.027128295378255825e+04,2.557859062747692924e+00
1.027128311905371447e+04,2.557859076763311812e+00
1.027128328432487069e+04,2.557859090777049538e+00
1.027128344959602873e+04,2.557859104788905658e+00
1.027128361486718495e+04,2.557859118798880615e+00
1.027128378013834117e+04,2.557859132806973523e+00
1.027128394540949739e+04,2.557859146813184381e+00
1.027128411068065543e+04,2.557859160817514521e+00
1.027128427595181165e+04,2.557859174819960835e+00
1.027128444122296787e+04,2.557859188820525986e+00
1.027128460649412591e+04,2.557859202819207756e+00
1.027128477176528213e+04,2.557859216816007475e+00
1.027128493703643835e+04,2.557859230810923812e+00
1.027128510230759457e+04,2.557859244803957210e+00
1.027128526757875261e+04,2.557859258795107227e+00
1.027128543284990883e+04,2.557859272784374305e+00
1.027128559812106505e+04,2.557859286771757112e+00
1.027128576339222309e+04,2.557859300757256538e+00
1.027128592866337931e+04,2.557859314740871692e+00
1.027128609393453553e+04,2.557859328722602577e+00
1.027128625920569357e+04,2.557859342702449634e+00
1.027128642447684979e+04,2.557859356680411977e+00
1.027128658974800601e+04,2.557859370656489606e+00
1.027128675501916223e+04,2.557859384630682076e+00
1.027128692029032027e+04,2.557859398602989831e+00
