Time (BJD_TBD - 2450000), L_f/L_star (ppm)
7.260000000000000000e+03,5.238303474034226070e+01
7.260003000300030180e+03,5.245195684056854901e+01
7.260006000600060361e+03,5.252081423453634557e+01
7.260009000900089632e+03,5.258960663355760801e+01
7.260012001200119812e+03,5.265833374927934329e+01
7.260015001500149992e+03,5.272699529355961090e+01
7.260018001800180173e+03,5.279559097855238292e+01
7.260021002100210353e+03,5.286412051668747125e+01
7.260024002400239624e+03,5.293258362065149925e+01
7.260027002700269804e+03,5.300098000347173155e+01
7.260030003000299985e+03,5.306930937839285889e+01
7.260033003300330165e+03,5.313757145896129686e+01
7.260036003600360345e+03,5.320576595900551808e+01
7.260039003900389616e+03,5.327389259261678234e+01
7.260042004200419797e+03,5.334195107423267501e+01
7.260045004500449977e+03,5.340994111851460957e+01
7.260048004800480157e+03,5.347786244043152237e+01
7.260051005100510338e+03,5.354571475524045354e+01
7.260054005400539609e+03,5.361349777846727704e+01
7.260057005700569789e+03,5.368121122598985551e+01
7.260060006000599969e+03,5.374885481391618924e+01
7.260063006300630150e+03,5.381642825866767055e+01
7.260066006600660330e+03,5.388393127695968587e+01
7.260069006900690511e+03,5.395136358580302272e+01
7.260072007200719781e+03,5.401872490248426573e+01
7.260075007500749962e+03,5.408601494464910076e+01
7.260078007800780142e+03,5.415323343018054914e+01
7.260081008100810323e+03,5.422038007728224329e+01
7.260084008400840503e+03,5.428745460445874471e+01
7.260087008700869774e+03,5.435445673049680693e+01
7.260090009000899954e+03,5.442138617454766347e+01
7.260093009300930134e+03,5.448824265600620720e+01
7.260096009600960315e+03,5.455502589459356955e+01
7.260099009900990495e+03,5.462173561033790747e+01
7.260102010201019766e+03,5.468837152355548881e+01
7.260105010501049946e+03,5.475493335493253255e+01
7.260108010801080127e+03,5.482142082540510586e+01
7.260111011101110307e+03,5.488783365624141197e+01
7.260114011401140488e+03,5.495417156902242795e+01
7.260117011701169758e+03,5.502043428562323868e+01
7.260120012001199939e+03,5.508662152829425906e+01
7.260123012301230119e+03,5.515273301954221807e+01
7.260126012601260300e+03,5.521876848221140932e+01
7.260129012901290480e+03,5.528472763946483326e+01
7.260132013201319751e+03,5.535061021476554544e+01
7.260135013501349931e+03,5.541641593195738125e+01
7.260138013801380112e+03,5.548214451514660794e+01
7.260141014101410292e+03,5.554779568878279150e+01
7.260144014401440472e+03,5.561336917763996013e+01
7.260147014701469743e+03,5.567886470679805910e+01
7.260150015001499924e+03,5.574428200172335579e+01
7.260153015301530104e+03,5.580962078815056771e+01
7.260156015601560284e+03,5.587488079216334569e+01
7.260159015901590465e+03,5.594006174017567190e+01
7.260162016201619736e+03,5.600516335891319386e+01
7.260165016501649916e+03,5.607018537549329551e+01
7.260168016801680096e+03,5.613512751730796424e+01
7.260171017101710277e+03,5.619998951210362037e+01
7.260174017401740457e+03,5.626477108796285620e+01
7.260177017701769728e+03,5.632947197328568478e+01
7.260180018001799908e+03,5.639409189686924151e+01
7.260183018301830089e+03,5.645863058779126220e+01
7.260186018601860269e+03,5.652308777548957153e+01
7.260189018901890449e+03,5.658746318974378653e+01
7.260192019201920630e+03,5.665175656067629006e+01
7.260195019501949901e+03,5.671596761873389170e+01
7.260198019801980081e+03,5.678009609476698216e+01
7.260201020102010261e+03,5.684414171991362252e+01
7.260204020402040442e+03,5.690810422567879812e+01
7.260207020702070622e+03,5.697198334391589469e+01
7.260210021002099893e+03,5.703577880680852275e+01
7.260213021302130073e+03,5.709949034694907510e+01
7.260216021602160254e+03,5.716311769722366165e+01
7.260219021902190434e+03,5.722666059089075929e+01
7.260222022202220614e+03,5.729011876156287286e+01
7.260225022502249885e+03,5.735349194318847310e+01
7.260228022802280066e+03,5.741677987012997875e+01
7.260231023102310246e+03,5.747998227704952257e+01
7.260234023402340426e+03,5.754309889898710395e+01
7.260237023702370607e+03,5.760612947134215744e+01
7.260240024002399878e+03,5.766907372985596680e+01
7.260243024302430058e+03,5.773193141068878731e+01
7.260246024602460238e+03,5.779470225030670605e+01
7.260249024902490419e+03,5.785738598555875711e+01
7.260252025202520599e+03,5.791998235365930014e+01
7.260255025502549870e+03,5.798249109216997965e+01
7.260258025802580050e+03,5.804491193907663416e+01
7.260261026102610231e+03,5.810724463267671780e+01
7.260264026402640411e+03,5.816948891165613844e+01
7.260267026702670591e+03,5.823164451507159356e+01
7.260270027002699862e+03,5.829371118233264326e+01
7.260273027302730043e+03,5.835568865327805810e+01
7.260276027602760223e+03,5.841757666806422122e+01
7.260279027902790403e+03,5.847937496724124884e+01
7.260282028202820584e+03,5.854108329173548242e+01
7.260285028502849855e+03,5.860270138283171804e+01
7.260288028802880035e+03,5.866422898224904259e+01
7.260291029102910215e+03,5.872566583202988255e+01
7.260294029402940396e+03,5.878701167461579047e+01
7.260297029702970576e+03,5.884826625282993007e+01
7.260300030002999847e+03,5.890942930985934822e+01
7.260303030303030027e+03,5.897050058933058381e+01
7.260306030603060208e+03,5.903147983519919251e+01
7.260309030903090388e+03,5.909236679182510699e+01
7.260312031203120569e+03,5.915316120395518595e+01
7.260315031503150749e+03,5.921386281672423024e+01
7.260318031803180020e+03,5.927447137563778057e+01
7.260321032103210200e+03,5.933498662664652556e+01
7.260324032403240381e+03,5.939540831603719084e+01
7.260327032703270561e+03,5.945573619050717440e+01
7.260330033003300741e+03,5.951596999714710989e+01
7.260333033303330012e+03,5.957610948342384916e+01
7.260336033603360193e+03,5.963615439725420941e+01
7.260339033903390373e+03,5.969610448689690685e+01
7.260342034203420553e+03,5.975595950102634646e+01
7.260345034503450734e+03,5.981571918871551929e+01
7.260348034803480004e+03,5.987538329941906312e+01
7.260351035103510185e+03,5.993495158304638437e+01
7.260354035403540365e+03,5.999442378985450119e+01
7.260357035703570546e+03,6.005379967052121515e+01
7.260360036003600726e+03,6.011307897612820028e+01
7.260363036303629997e+03,6.017226145814402116e+01
7.260366036603660177e+03,6.023134686849699904e+01
7.260369036903690358e+03,6.029033495946858778e+01
7.260372037203720538e+03,6.034922548376611928e+01
7.260375037503750718e+03,6.040801819450600618e+01
7.260378037803779989e+03,6.046671284519688072e+01
7.260381038103810170e+03,6.052530918981188535e+01
7.260384038403840350e+03,6.058380698268292264e+01
7.260387038703870530e+03,6.064220597857269723e+01
7.260390039003900711e+03,6.070050593265832362e+01
7.260393039303929982e+03,6.075870660051427308e+01
7.260396039603960162e+03,6.081680773818438723e+01
7.260399039903990342e+03,6.087480910207660401e+01
7.260402040204020523e+03,6.093271044903489297e+01
7.260405040504050703e+03,6.099051153632257183e+01
7.260408040804079974e+03,6.104821212160572230e+01
7.260411041104110154e+03,6.110581196302422313e+01
7.260414041404140335e+03,6.116331081908780476e+01
7.260417041704170515e+03,6.122070844874709650e+01
7.260420042004200695e+03,6.127800461137707799e+01
7.260423042304230876e+03,6.133519906677805977e+01
7.260426042604260147e+03,6.139229157515949709e+01
7.260429042904290327e+03,6.144928189721014178e+01
7.260432043204320507e+03,6.150616979399509887e+01
7.260435043504350688e+03,6.156295502702639055e+01
7.260438043804380868e+03,6.161963735824617316e+01
7.260441044104410139e+03,6.167621655001106262e+01
7.260444044404440319e+03,6.173269236516143366e+01
7.260447044704470500e+03,6.178906456691953508e+01
7.260450045004500680e+03,6.184533291895920826e+01
7.260453045304530860e+03,6.190149718538958012e+01
7.260456045604560131e+03,6.195755713073926785e+01
7.260459045904590312e+03,6.201351252002512382e+01
7.260462046204620492e+03,6.206936311865132438e+01
7.260465046504650672e+03,6.212510869247837775e+01
7.260468046804680853e+03,6.218074900780705150e+01
7.260471047104710124e+03,6.223628383136264830e+01
7.260474047404740304e+03,6.229171293036311852e+01
7.260477047704770484e+03,6.234703607241915790e+01
7.260480048004800665e+03,6.240225302560249787e+01
7.260483048304830845e+03,6.245736355843002485e+01
7.260486048604860116e+03,6.251236743984817679e+01
7.260489048904890296e+03,6.256726443930040205e+01
7.260492049204920477e+03,6.262205432662827320e+01
7.260495049504950657e+03,6.267673687213906675e+01
7.260498049804980838e+03,6.273131184658999615e+01
7.260501050105010108e+03,6.278577902117289256e+01
7.260504050405040289e+03,6.284013816758089632e+01
7.260507050705070469e+03,6.289438905791050871e+01
7.260510051005100649e+03,6.294853146472859606e+01
7.260513051305130830e+03,6.300256516105691418e+01
7.260516051605160101e+03,6.305648992035642664e+01
7.260519051905190281e+03,6.311030551659401056e+01
7.260522052205220461e+03,6.316401172414501985e+01
7.260525052505250642e+03,6.321760831785974943e+01
7.260528052805280822e+03,6.327109507304810876e+01
7.260531053105310093e+03,6.332447176546416756e+01
7.260534053405340273e+03,6.337773817137211552e+01
7.260537053705370454e+03,6.343089406744979186e+01
7.260540054005400634e+03,6.348393923085455270e+01
7.260543054305430815e+03,6.353687343920798725e+01
7.260546054605460995e+03,6.358969647059682728e+01
7.260549054905490266e+03,6.364240810355795475e+01
7.260552055205520446e+03,6.369500811714313926e+01
7.260555055505550627e+03,6.374749629082412383e+01
7.260558055805580807e+03,6.379987240455756137e+01
7.260561056105610987e+03,6.385213623876981615e+01
7.260564056405640258e+03,6.390428757434224849e+01
7.260567056705670439e+03,6.395632619267517782e+01
7.260570057005700619e+03,6.400825187559408391e+01
7.260573057305730799e+03,6.406006440541365521e+01
7.260576057605760980e+03,6.411176356492298112e+01
7.260579057905790251e+03,6.416334913737078693e+01
7.260582058205820431e+03,6.421482090652895636e+01
7.260585058505850611e+03,6.426617865659943618e+01
