Time (BJD_TBD - 2450000), L_f/L_star (ppm)
9.913946643518749624e+03,7.001213443726821595e+01
9.913946661622412648e+03,7.001192707810707816e+01
9.913946679726073853e+03,7.001171971392903970e+01
9.913946697829736877e+03,7.001151234469249118e+01
9.913946715933398082e+03,7.001130497043914147e+01
9.913946734037061105e+03,7.001109759112732434e+01
9.913946752140722310e+03,7.001089020679874864e+01
9.913946770244385334e+03,7.001068281741179078e+01
9.913946788348046539e+03,7.001047542300813120e+01
9.913946806451709563e+03,7.001026802354616052e+01
9.913946824555372586e+03,7.001006061904671185e+01
9.913946842659033791e+03,7.000985320953070357e+01
9.913946860762696815e+03,7.000964579495642681e+01
9.913946878866358020e+03,7.000943837536563308e+01
9.913946896970021044e+03,7.000923095071665614e+01
9.913946915073682248e+03,7.000902352105124749e+01
9.913946933177345272e+03,7.000881608632768405e+01
9.913946951281006477e+03,7.000860864658775995e+01
9.913946969384669501e+03,7.000840120178976633e+01
9.913946987488332525e+03,7.000819375195459315e+01
9.913947005591993729e+03,7.000798629710313037e+01
9.913947023695656753e+03,7.000777883719371175e+01
9.913947041799317958e+03,7.000757137226804616e+01
9.913947059902980982e+03,7.000736390228451000e+01
9.913947078006642187e+03,7.000715642728478372e+01
9.913947096110305210e+03,7.000694894722721529e+01
9.913947114213966415e+03,7.000674146215357041e+01
9.913947132317629439e+03,7.000653397202212602e+01
9.913947150421292463e+03,7.000632647685380050e+01
9.913947168524953668e+03,7.000611897666945538e+01
9.913947186628616691e+03,7.000591147142745285e+01
9.913947204732277896e+03,7.000570396116948757e+01
9.913947222835940920e+03,7.000549644585392173e+01
9.913947240939602125e+03,7.000528892552244997e+01
9.913947259043265149e+03,7.000508140013346292e+01
9.913947277146926353e+03,7.000487386972861259e+01
9.913947295250589377e+03,7.000466633426631802e+01
9.913947313354252401e+03,7.000445879376738390e+01
9.913947331457913606e+03,7.000425124825277123e+01
9.913947349561576630e+03,7.000404369768070012e+01
9.913947367665237834e+03,7.000383614209303573e+01
9.913947385768900858e+03,7.000362858144798395e+01
9.913947403872562063e+03,7.000342101578738152e+01
9.913947421976225087e+03,7.000321344506947696e+01
9.913947440079888111e+03,7.000300586931520286e+01
9.913947458183549315e+03,7.000279828854544917e+01
9.913947476287212339e+03,7.000259070271847861e+01
9.913947494390873544e+03,7.000238311187611373e+01
9.913947512494536568e+03,7.000217551597661725e+01
9.913947530598197773e+03,7.000196791506176908e+01
9.913947548701860796e+03,7.000176030908984615e+01
9.913947566805522001e+03,7.000155269810262837e+01
9.913947584909185025e+03,7.000134508205842110e+01
9.913947603012848049e+03,7.000113746097811429e+01
9.913947621116509254e+03,7.000092983488259790e+01
9.913947639220172277e+03,7.000072220373021992e+01
9.913947657323833482e+03,7.000051456756264656e+01
9.913947675427496506e+03,7.000030692633826845e+01
9.913947693531157711e+03,7.000009928009880866e+01
9.913947711634820735e+03,6.999989162880257254e+01
9.913947729738481939e+03,6.999968397249132579e+01
9.913947747842144963e+03,6.999947631112337376e+01
9.913947765945807987e+03,6.999926864471959220e+01
9.913947784049469192e+03,6.999906097330092791e+01
9.913947802153132216e+03,6.999885329682560098e+01
9.913947820256793420e+03,6.999864561533547658e+01
9.913947838360456444e+03,6.999843792878874638e+01
9.913947856464117649e+03,6.999823023722726134e+01
9.913947874567780673e+03,6.999802254060926998e+01
9.913947892671441878e+03,6.999781483897656642e+01
9.913947910775104901e+03,6.999760713228742759e+01
9.913947928878767925e+03,6.999739942056278608e+01
9.913947946982429130e+03,6.999719170382348921e+01
9.913947965086092154e+03,6.999698398202785654e+01
9.913947983189753359e+03,6.999677625521766799e+01
9.913948001293416382e+03,6.999656852335122892e+01
9.913948019397077587e+03,6.999636078647024817e+01
9.913948037500740611e+03,6.999615304453310216e+01
9.913948055604401816e+03,6.999594529758147132e+01
9.913948073708064840e+03,6.999573754557373206e+01
9.913948091811727863e+03,6.999552978853073171e+01
9.913948109915389068e+03,6.999532202647343127e+01
9.913948128019052092e+03,6.999511425936003661e+01
9.913948146122713297e+03,6.999490648723239872e+01
9.913948164226376321e+03,6.999469871004873767e+01
9.913948182330037525e+03,6.999449092785089022e+01
9.913948200433700549e+03,6.999428314059711909e+01
9.913948218537361754e+03,6.999407534832920419e+01
9.913948236641024778e+03,6.999386755100539403e+01
9.913948254744687802e+03,6.999365974864666384e+01
9.913948272848349006e+03,6.999345194127384673e+01
9.913948290952012030e+03,6.999324412884529067e+01
9.913948309055673235e+03,6.999303631140277560e+01
9.913948327159336259e+03,6.999282848890449316e+01
9.913948345262997464e+03,6.999262066139232275e+01
9.913948363366660487e+03,6.999241282882448445e+01
9.913948381470321692e+03,6.999220499124282924e+01
9.913948399573984716e+03,6.999199714860556298e+01
9.913948417677647740e+03,6.999178930093363249e+01
9.913948435781308945e+03,6.999158144824794192e+01
9.913948453884971968e+03,6.999137359050675400e+01
9.913948471988633173e+03,6.999116572775189127e+01
9.913948490092296197e+03,6.999095785994158803e+01
9.913948508195957402e+03,6.999074998711763840e+01
9.913948526299620426e+03,6.999054210923837616e+01
9.913948544403281630e+03,6.999033422634551016e+01
9.913948562506944654e+03,6.999012633839734576e+01
9.913948580610607678e+03,6.998991844541478713e+01
9.913948598714268883e+03,6.998971054741878106e+01
9.913948616817931907e+03,6.998950264436753343e+01
9.913948634921593111e+03,6.998929473630292364e+01
9.913948653025256135e+03,6.998908682318312913e+01
9.913948671128917340e+03,6.998887890505004350e+01
9.913948689232580364e+03,6.998867098186183000e+01
9.913948707336243388e+03,6.998846305363946385e+01
9.913948725439904592e+03,6.998825512040384922e+01
9.913948743543567616e+03,6.998804718211327724e+01
9.913948761647228821e+03,6.998783923880948521e+01
9.913948779750891845e+03,6.998763129045080689e+01
9.913948797854553050e+03,6.998742333707897956e+01
9.913948815958216073e+03,6.998721537865230857e+01
9.913948834061877278e+03,6.998700741521257385e+01
9.913948852165540302e+03,6.998679944671805231e+01
9.913948870269203326e+03,6.998659147318964813e+01
9.913948888372864531e+03,6.998638349464827968e+01
9.913948906476527554e+03,6.998617551105222390e+01
9.913948924580188759e+03,6.998596752244326069e+01
9.913948942683851783e+03,6.998575952877968120e+01
9.913948960787512988e+03,6.998555153010325114e+01
9.913948978891176012e+03,6.998534352637223321e+01
9.913948996994837216e+03,6.998513551762846419e+01
9.913949015098500240e+03,6.998492750383017835e+01
9.913949033202163264e+03,6.998471948499829409e+01
9.913949051305824469e+03,6.998451146115375821e+01
9.913949069409487493e+03,6.998430343225479078e+01
9.913949087513148697e+03,6.998409539834322857e+01
9.913949105616811721e+03,6.998388735937729166e+01
9.913949123720472926e+03,6.998367931539883102e+01
9.913949141824135950e+03,6.998347126636606674e+01
9.913949159927797155e+03,6.998326321232083558e+01
9.913949178031460178e+03,6.998305515322135761e+01
9.913949196135123202e+03,6.998284708908856544e+01
9.913949214238784407e+03,6.998263901994342007e+01
9.913949232342447431e+03,6.998243094574411316e+01
9.913949250446108636e+03,6.998222286653252411e+01
9.913949268549771659e+03,6.998201478226681616e+01
9.913949286653432864e+03,6.998180669298889711e+01
9.913949304757095888e+03,6.998159859865694443e+01
9.913949322860757093e+03,6.998139049931280908e+01
9.913949340964420117e+03,6.998118239491472536e+01
9.913949359068083140e+03,6.998097428548362586e+01
9.913949377171744345e+03,6.998076617104042896e+01
9.913949395275407369e+03,6.998055805154338316e+01
9.913949413379068574e+03,6.998034992703432522e+01
9.913949431482731597e+03,6.998014179747144681e+01
9.913949449586392802e+03,6.997993366289662731e+01
9.913949467690055826e+03,6.997972552326805840e+01
9.913949485793717031e+03,6.997951737862763366e+01
9.913949503897380055e+03,6.997930922893347372e+01
9.913949522001043078e+03,6.997910107420663905e+01
9.913949540104704283e+03,6.997889291446797699e+01
9.913949558208367307e+03,6.997868474967575025e+01
9.913949576312028512e+03,6.997847657987176717e+01
9.913949594415691536e+03,6.997826840501431889e+01
9.913949612519352740e+03,6.997806022514515689e+01
9.913949630623015764e+03,6.997785204022257233e+01
9.913949648726676969e+03,6.997764385028835932e+01
9.913949666830339993e+03,6.997743565530078058e+01
9.913949684934003017e+03,6.997722745528072608e+01
9.913949703037664221e+03,6.997701925024919944e+01
9.913949721141327245e+03,6.997681104016433551e+01
9.913949739244988450e+03,6.997660282506807050e+01
9.913949757348651474e+03,6.997639460491855345e+01
9.913949775452312679e+03,6.997618637975767797e+01
9.913949793555975702e+03,6.997597814954362150e+01
9.913949811659636907e+03,6.997576991431824922e+01
9.913949829763299931e+03,6.997556167403976701e+01
9.913949847866962955e+03,6.997535342872912167e+01
9.913949865970624160e+03,6.997514517840726000e+01
9.913949884074287183e+03,6.997493692303238788e+01
9.913949902177948388e+03,6.997472866264638469e+01
9.913949920281611412e+03,6.997452039720739947e+01
9.913949938385272617e+03,6.997431212675734002e+01
9.913949956488935641e+03,6.997410385125438381e+01
9.913949974592596845e+03,6.997389557074042443e+01
9.913949992696259869e+03,6.997368728517362513e+01
9.913950010799922893e+03,6.997347899457494691e+01
9.913950028903584098e+03,6.997327069896536500e+01
9.913950047007247122e+03,6.997306239830302843e+01
9.913950065110908326e+03,6.997285409262984501e+01
9.913950083214571350e+03,6.997264578190399220e+01
9.913950101318232555e+03,6.997243746616734938e+01
9.913950119421895579e+03,6.997222914537807981e+01
9.913950137525558603e+03,6.997202081955715869e+01
9.913950155629219807e+03,6.997181248872554704e+01
9.913950173732882831e+03,6.997160415284142232e+01
9.913950191836544036e+03,6.997139581194667812e+01
9.913950209940207060e+03,6.997118746599946348e+01
9.913950228043868265e+03,6.997097911504170042e+01
9.913950246147531288e+03,6.997077075903152377e+01
9.913950264251192493e+03,6.997056239801085553e+01
9.913950282354855517e+03,6.997035403193785896e+01
9.913950300458518541e+03,6.997014566083350928e+01
9.913950318562179746e+03,6.996993728471872487e+01
9.913950336665842769e+03,6.996972890355175423e+01
9.913950354769503974e+03,6.996952051737439149e+01
9.913950372873166998e+03,6.996931212614488516e+01
9.913950390976828203e+03,6.996910372990510041e+01
9.913950409080491227e+03,6.996889532861320049e+01
9.913950427184152431e+03,6.996868692231109321e+01
9.913950445287815455e+03,6.996847851095695603e+01
9.913950463391478479e+03,6.996827009457169311e+01
9.913950481495139684e+03,6.996806167317636493e+01
9.913950499598802708e+03,6.996785324672904949e+01
9.913950517702463912e+03,6.996764481527171142e+01
9.913950535806126936e+03,6.996743637876245714e+01
9.913950553909788141e+03,6.996722793724325129e+01
9.913950572013451165e+03,6.996701949067218607e+01
