Time (BJD_TBD - 2450000), F_star + F_f (mJy)
1.027292596064833924e+04,2.557655698775632924e+00
1.027292604692779969e+04,2.557655698775632924e+00
1.027292613320726196e+04,2.557655698775632924e+00
1.027292621948672240e+04,2.557655698775632924e+00
1.027292630576618467e+04,2.557655698775632924e+00
1.027292639204564512e+04,2.557655698775632924e+00
1.027292647832510738e+04,2.557655698775632924e+00
1.027292656460456783e+04,2.557655698775632924e+00
1.027292665088403010e+04,2.557655698775632924e+00
1.027292673716349054e+04,2.557655698775632924e+00
1.027292682344295281e+04,2.557655698775632924e+00
1.027292690972241326e+04,2.557655698775632924e+00
1.027292699600187370e+04,2.557655698775632924e+00
1.027292708228133597e+04,2.557655698775632924e+00
1.027292716856079642e+04,2.557655698775632924e+00
1.027292725484025868e+04,2.557655698775632924e+00
1.027292734111971913e+04,2.557655698775632924e+00
1.027292742739918140e+04,2.557655698775632924e+00
1.027292751367864184e+04,2.557655698775632924e+00
1.027292759995810411e+04,2.557655698775632924e+00
1.027292768623756456e+04,2.557655698775632924e+00
1.027292777251702682e+04,2.557655698775632924e+00
1.027292785879648727e+04,2.557655698775632924e+00
1.027292794507594954e+04,2.557655698775632924e+00
1.027292803135540998e+04,2.557655698775632924e+00
1.027292811763487043e+04,2.557655698775632924e+00
1.027292820391433270e+04,2.557655698775632924e+00
1.027292829019379315e+04,2.557655698775632924e+00
1.027292837647325541e+04,2.557655698775632924e+00
1.027292846275271586e+04,2.557655698775632924e+00
1.027292854903217813e+04,2.557655698775632924e+00
1.027292863531163857e+04,2.557655698775632924e+00
1.027292872159110084e+04,2.557655698775632924e+00
1.027292880787056129e+04,2.557655698775632924e+00
1.027292889415002355e+04,2.557655698775632924e+00
1.027292898042948400e+04,2.557655698775632924e+00
1.027292906670894445e+04,2.557655698775632924e+00
1.027292915298840671e+04,2.557655698775632924e+00
1.027292923926786716e+04,2.557655698775632924e+00
1.027292932554732943e+04,2.557655698775632924e+00
1.027292941182678987e+04,2.557655698775632924e+00
1.027292949810625214e+04,2.557655698775632924e+00
1.027292958438571259e+04,2.557655698775632924e+00
1.027292967066517485e+04,2.557655698775632924e+00
1.027292975694463530e+04,2.557655698775632924e+00
1.027292984322409757e+04,2.557655698775632924e+00
1.027292992950355801e+04,2.557655698775632924e+00
1.027293001578302028e+04,2.557655698775632924e+00
1.027293010206248073e+04,2.557655698775632924e+00
1.027293018834194118e+04,2.557655698775632924e+00
1.027293027462140344e+04,2.557655698775632924e+00
1.027293036090086389e+04,2.557655698775632924e+00
1.027293044718032615e+04,2.557655698775632924e+00
1.027293053345978660e+04,2.557655698775632924e+00
1.027293061973924887e+04,2.557655698775632924e+00
1.027293070601870932e+04,2.557655698775632924e+00
1.027293079229817158e+04,2.557655698775632924e+00
1.027293087857763203e+04,2.557655698775632924e+00
1.027293096485709430e+04,2.557655698775632924e+00
1.027293105113655474e+04,2.557655698775632924e+00
1.027293113741601519e+04,2.557655698775632924e+00
1.027293122369547746e+04,2.557655698775632924e+00
1.027293130997493790e+04,2.557655698775632924e+00
1.027293139625440017e+04,2.557655698775632924e+00
1.027293148253386062e+04,2.557655698775632924e+00
1.027293156881332288e+04,2.557655698775632924e+00
1.027293165509278333e+04,2.557655698775632924e+00
1.027293174137224560e+04,2.557655698775632924e+00
1.027293182765170604e+04,2.557655698775632924e+00
1.027293191393116831e+04,2.557655698775632924e+00
1.027293200021062876e+04,2.557655698775632924e+00
1.027293208649008920e+04,2.557655698775632924e+00
1.027293217276955147e+04,2.557655698775632924e+00
1.027293225904901192e+04,2.557655698775632924e+00
1.027293234532847418e+04,2.557655698775632924e+00
1.027293243160793463e+04,2.557655698775632924e+00
1.027293251788739690e+04,2.557655698775632924e+00
1.027293260416685735e+04,2.557655698775632924e+00
1.027293269044631961e+04,2.557655698775632924e+00
1.027293277672578006e+04,2.557655698775632924e+00
1.027293286300524233e+04,2.557655698775632924e+00
1.027293294928470277e+04,2.557655698775632924e+00
1.027293303556416504e+04,2.557655698775632924e+00
1.027293312184362549e+04,2.557655698775632924e+00
1.027293320812308593e+04,2.557655698775632924e+00
1.027293329440254820e+04,2.557655698775632924e+00
1.027293338068200865e+04,2.557655698775632924e+00
1.027293346696147091e+04,2.557655698775632924e+00
1.027293355324093136e+04,2.557655698775632924e+00
1.027293363952039363e+04,2.557655698775632924e+00
1.027293372579985407e+04,2.557655698775632924e+00
1.027293381207931634e+04,2.557655698775632924e+00
1.027293389835877679e+04,2.557655698775632924e+00
1.027293398463823905e+04,2.557655698775632924e+00
1.027293407091769950e+04,2.557655698775632924e+00
1.027293415719715995e+04,2.557655698775632924e+00
1.027293424347662221e+04,2.557655698775632924e+00
1.027293432975608266e+04,2.557655698775632924e+00
1.027293441603554493e+04,2.557655698775632924e+00
1.027293450231500537e+04,2.557655698775632924e+00
1.027293458859446764e+04,2.557655698775632924e+00
1.027293467487392809e+04,2.557655698775632924e+00
1.027293476115339035e+04,2.557655698775632924e+00
1.027293484743285080e+04,2.557655698775632924e+00
1.027293493371231307e+04,2.557655698775632924e+00
1.027293501999177352e+04,2.557655698775632924e+00
1.027293510627123396e+04,2.557655698775632924e+00
1.027293519255069623e+04,2.557655698775632924e+00
1.027293527883015668e+04,2.557655698775632924e+00
1.027293536510961894e+04,2.557655698775632924e+00
1.027293545138907939e+04,2.557655698775632924e+00
1.027293553766854166e+04,2.557655698775632924e+00
1.027293562394800210e+04,2.557655698775632924e+00
1.027293571022746437e+04,2.557655698775632924e+00
1.027293579650692482e+04,2.557655698775632924e+00
1.027293588278638708e+04,2.557655698775632924e+00
1.027293596906584753e+04,2.557655698775632924e+00
1.027293605534530980e+04,2.557655698775632924e+00
1.027293614162477024e+04,2.557655698775632924e+00
1.027293622790423069e+04,2.557655698775632924e+00
1.027293631418369296e+04,2.557655698775632924e+00
1.027293640046315340e+04,2.557655698775632924e+00
1.027293648674261567e+04,2.557655698775632924e+00
1.027293657302207612e+04,2.557655698775632924e+00
1.027293665930153838e+04,2.557655698775632924e+00
1.027293674558099883e+04,2.557655698775632924e+00
1.027293683186046110e+04,2.557655698775632924e+00
1.027293691813992154e+04,2.557655698775632924e+00
1.027293700441938381e+04,2.557655698775632924e+00
1.027293709069884426e+04,2.557655698775632924e+00
1.027293717697830471e+04,2.557655698775632924e+00
1.027293726325776697e+04,2.557655698775632924e+00
1.027293734953722742e+04,2.557655698775632924e+00
1.027293743581668969e+04,2.557655698775632924e+00
1.027293752209615013e+04,2.557655698775632924e+00
1.027293760837561240e+04,2.557655698775632924e+00
1.027293769465507285e+04,2.557655698775632924e+00
1.027293778093453511e+04,2.557655698775632924e+00
1.027293786721399556e+04,2.557655698775632924e+00
1.027293795349345783e+04,2.557655698775632924e+00
1.027293803977291827e+04,2.557655698775632924e+00
1.027293812605238054e+04,2.557655698775632924e+00
1.027293821233184099e+04,2.557655698775632924e+00
1.027293829861130143e+04,2.557655698775632924e+00
1.027293838489076370e+04,2.557655698775632924e+00
1.027293847117022415e+04,2.557655698775632924e+00
1.027293855744968641e+04,2.557655698775632924e+00
1.027293864372914686e+04,2.557655698775632924e+00
1.027293873000860913e+04,2.557655698775632924e+00
1.027293881628806957e+04,2.557655698775632924e+00
1.027293890256753184e+04,2.557655698775632924e+00
1.027293898884699229e+04,2.557655698775632924e+00
1.027293907512645455e+04,2.557655698775632924e+00
1.027293916140591500e+04,2.557655698775632924e+00
1.027293924768537545e+04,2.557655698775632924e+00
1.027293933396483772e+04,2.557655698775632924e+00
1.027293942024429816e+04,2.557655698775632924e+00
1.027293950652376043e+04,2.557655698775632924e+00
1.027293959280322088e+04,2.557655698775632924e+00
1.027293967908268314e+04,2.557655698775632924e+00
1.027293976536214359e+04,2.557655698775632924e+00
1.027293985164160586e+04,2.557655698775632924e+00
1.027293993792106630e+04,2.557655698775632924e+00
1.027294002420052857e+04,2.557655698775632924e+00
1.027294011047998902e+04,2.557655698775632924e+00
1.027294019675944946e+04,2.557655698775632924e+00
1.027294028303891173e+04,2.557655698775632924e+00
1.027294036931837218e+04,2.557655698775632924e+00
1.027294045559783444e+04,2.557655698775632924e+00
1.027294054187729489e+04,2.557655698775632924e+00
1.027294062815675716e+04,2.557655698775632924e+00
1.027294071443621760e+04,2.557655698775632924e+00
1.027294080071567987e+04,2.557655698775632924e+00
1.027294088699514032e+04,2.557655698775632924e+00
1.027294097327460258e+04,2.557655698775632924e+00
1.027294105955406303e+04,2.557655698775632924e+00
1.027294114583352530e+04,2.557655698775632924e+00
1.027294123211298574e+04,2.557655698775632924e+00
1.027294131839244619e+04,2.557655698775632924e+00
1.027294140467190846e+04,2.557655698775632924e+00
1.027294149095136891e+04,2.557655698775632924e+00
1.027294157723083117e+04,2.557655698775632924e+00
1.027294166351029162e+04,2.557655698775632924e+00
1.027294174978975389e+04,2.557655698775632924e+00
1.027294183606921433e+04,2.557655698775632924e+00
1.027294192234867660e+04,2.557655698775632924e+00
1.027294200862813705e+04,2.557655698775632924e+00
1.027294209490759931e+04,2.557655698775632924e+00
1.027294218118705976e+04,2.557655698775632924e+00
1.027294226746652021e+04,2.557655698775632924e+00
1.027294235374598247e+04,2.557655698775632924e+00
1.027294244002544292e+04,2.557655698775632924e+00
1.027294252630490519e+04,2.557655698775632924e+00
1.027294261258436563e+04,2.557655698775632924e+00
1.027294269886382790e+04,2.557655698775632924e+00
1.027294278514328835e+04,2.557655698775632924e+00
1.027294287142275061e+04,2.557655698775632924e+00
1.027294295770221106e+04,2.557655698775632924e+00
1.027294304398167333e+04,2.557655698775632924e+00
1.027294313026113377e+04,2.557655698775632924e+00
1.027294321654059604e+04,2.557655698775632924e+00
1.027294330282005649e+04,2.557655698775632924e+00
1.027294338909951693e+04,2.557655698775632924e+00
1.027294347537897920e+04,2.557655698775632924e+00
1.027294356165843965e+04,2.557655698775632924e+00
1.027294364793790191e+04,2.557655698775632924e+00
1.027294373421736236e+04,2.557655698775632924e+00
1.027294382049682463e+04,2.557655698775632924e+00
1.027294390677628508e+04,2.557655698775632924e+00
1.027294399305574734e+04,2.557655698775632924e+00
1.027294407933520779e+04,2.557655698775632924e+00
1.027294416561467006e+04,2.557655698775632924e+00
1.027294425189413050e+04,2.557655698775632924e+00
1.027294433817359095e+04,2.557655698775632924e+00
1.027294442445305322e+04,2.557655698775632924e+00
1.027294451073251366e+04,2.557655698775632924e+00
1.027294459701197593e+04,2.557655698775632924e+00
1.027294468329143638e+04,2.557655698775632924e+00
1.027294476957089864e+04,2.557655698775632924e+00
1.027294485585035909e+04,2.557655698775632924e+00
1.027294494212982136e+04,2.557655698775632924e+00
1.027294502840928180e+04,2.557655698775632924e+00
1.027294511468874407e+04,2.557655698775632924e+00
1.027294520096820452e+04,2.557655698775632924e+00
1.027294528724766496e+04,2.557655698775632924e+00
1.027294537352712723e+04,2.557655698775632924e+00
1.027294545980658768e+04,2.557655698775632924e+00
1.027294554608604994e+04,2.557655698775632924e+00
1.027294563236551039e+04,2.557655698775632924e+00
1.027294571864497266e+04,2.557655698775632924e+00
1.027294580492443311e+04,2.557655698775632924e+00
1.027294589120389537e+04,2.557655698775632924e+00
1.027294597748335582e+04,2.557655698775632924e+00
1.027294606376281808e+04,2.557655698775632924e+00
1.027294615004227853e+04,2.557655698775632924e+00
1.027294623632174080e+04,2.557655698775632924e+00
1.027294632260120125e+04,2.557655698775632924e+00
1.027294640888066169e+04,2.557655698775632924e+00
1.027294649516012396e+04,2.557655698775632924e+00
1.027294658143958441e+04,2.557655698775632924e+00
1.027294666771904667e+04,2.557655698775632924e+00
1.027294675399850712e+04,2.557655698775632924e+00
1.027294684027796939e+04,2.557655698775632924e+00
1.027294692655742983e+04,2.557655698775632924e+00
1.027294701283689210e+04,2.557655698775632924e+00
1.027294709911635255e+04,2.557655698775632924e+00
1.027294718539581481e+04,2.557655698775632924e+00
1.027294727167527526e+04,2.557655698775632924e+00
1.027294735795473571e+04,2.557655698775632924e+00
1.027294744423419797e+04,2.557655698775632924e+00
1.027294753051365842e+04,2.557655698775632924e+00
1.027294761679312069e+04,2.557655698775632924e+00
1.027294770307258113e+04,2.557655698775632924e+00
1.027294778935204340e+04,2.557655698775632924e+00
1.027294787563150385e+04,2.557655698775632924e+00
1.027294796191096611e+04,2.557655698775632924e+00
1.027294804819042656e+04,2.557655698775632924e+00
1.027294813446988883e+04,2.557655698775632924e+00
1.027294822074934928e+04,2.557655698775632924e+00
1.027294830702881154e+04,2.557655698775632924e+00
1.027294839330827199e+04,2.557655698775632924e+00
1.027294847958773244e+04,2.557655698775632924e+00
1.027294856586719470e+04,2.557655698775632924e+00
1.027294865214665515e+04,2.557655698775632924e+00
1.027294873842611742e+04,2.557655698775632924e+00
1.027294882470557786e+04,2.557655698775632924e+00
1.027294891098504013e+04,2.557655698775632924e+00
1.027294899726450058e+04,2.557655698775632924e+00
1.027294908354396284e+04,2.557655698775632924e+00
1.027294916982342329e+04,2.557655698775632924e+00
1.027294925610288556e+04,2.557655698775632924e+00
1.027294934238234600e+04,2.557655698775632924e+00
1.027294942866180645e+04,2.557655698775632924e+00
1.027294951494126872e+04,2.557655698775632924e+00
1.027294960122072916e+04,2.557655698775632924e+00
1.027294968750019143e+04,2.557655698775632924e+00
1.027294977377965188e+04,2.557655698775632924e+00
1.027294986005911414e+04,2.557655698775632924e+00
1.027294994633857459e+04,2.557655698775632924e+00
1.027295003261803686e+04,2.557655698775632924e+00
1.027295011889749730e+04,2.557655698775632924e+00
1.027295020517695957e+04,2.557655698775632924e+00
1.027295029145642002e+04,2.557655698775632924e+00
1.027295037773588047e+04,2.557655698775632924e+00
1.027295046401534273e+04,2.557655698775632924e+00
1.027295055029480318e+04,2.557655698775632924e+00
1.027295063657426545e+04,2.557655698775632924e+00
1.027295072285372589e+04,2.557655698775632924e+00
1.027295080913318816e+04,2.557655698775632924e+00
1.027295089541264861e+04,2.557655698775632924e+00
1.027295098169211087e+04,2.557655698775632924e+00
1.027295106797157132e+04,2.557655698775632924e+00
1.027295115425103359e+04,2.557655698775632924e+00
1.027295124053049403e+04,2.557655698775632924e+00
1.027295132680995630e+04,2.557655698775632924e+00
1.027295141308941675e+04,2.557655698775632924e+00
1.027295149936887719e+04,2.557655698775632924e+00
1.027295158564833946e+04,2.557655698775632924e+00
1.027295167192779991e+04,2.557655698775632924e+00
1.027295175820726217e+04,2.557655698775632924e+00
1.027295184448672262e+04,2.557655698775632924e+00
1.027295193076618489e+04,2.557655698775632924e+00
1.027295201704564533e+04,2.557655698775632924e+00
1.027295210332510760e+04,2.557655698775632924e+00
1.027295218960456805e+04,2.557655698775632924e+00
1.027295227588403031e+04,2.557655698775632924e+00
1.027295236216349076e+04,2.557655698775632924e+00
1.027295244844295121e+04,2.557655698775632924e+00
1.027295253472241347e+04,2.557655698775632924e+00
1.027295262100187392e+04,2.557655698775632924e+00
1.027295270728133619e+04,2.557655698775632924e+00
1.027295279356079664e+04,2.557655698775632924e+00
1.027295287984025890e+04,2.557655698775632924e+00
1.027295296611971935e+04,2.557655698775632924e+00
1.027295305239918162e+04,2.557655698775632924e+00
1.027295313867864206e+04,2.557655698775632924e+00
1.027295322495810433e+04,2.557655698775632924e+00
1.027295331123756478e+04,2.557655698775632924e+00
1.027295339751702522e+04,2.557655698775632924e+00
1.027295348379648749e+04,2.557655698775632924e+00
1.027295357007594794e+04,2.557655698775632924e+00
1.027295365635541020e+04,2.557655698775632924e+00
1.027295374263487065e+04,2.557655698775632924e+00
1.027295382891433292e+04,2.557655698775632924e+00
1.027295391519379336e+04,2.557655698775632924e+00
1.027295400147325563e+04,2.557655698775632924e+00
1.027295408775271608e+04,2.557655698775632924e+00
1.027295417403217834e+04,2.557655698775632924e+00
1.027295426031163879e+04,2.557655698775632924e+00
1.027295434659110106e+04,2.557655698775632924e+00
1.027295443287056150e+04,2.557655698775632924e+00
1.027295451915002195e+04,2.557655698775632924e+00
1.027295460542948422e+04,2.557655698775632924e+00
1.027295469170894467e+04,2.557655698775632924e+00
1.027295477798840693e+04,2.557655698775632924e+00
1.027295486426786738e+04,2.557655698775632924e+00
1.027295495054732964e+04,2.557655698775632924e+00
1.027295503682679009e+04,2.557655698775632924e+00
1.027295512310625236e+04,2.557655698775632924e+00
1.027295520938571281e+04,2.557655698775632924e+00
1.027295529566517507e+04,2.557655698775632924e+00
1.027295538194463552e+04,2.557655698775632924e+00
1.027295546822409597e+04,2.557655698775632924e+00
1.027295555450355823e+04,2.557655698775632924e+00
1.027295564078301868e+04,2.557655698775632924e+00
1.027295572706248095e+04,2.557655698775632924e+00
1.027295581334194139e+04,2.557655698775632924e+00
1.027295589962140366e+04,2.557655698775632924e+00
1.027295598590086411e+04,2.557655698775632924e+00
1.027295607218032637e+04,2.557655698775632924e+00
1.027295615845978682e+04,2.557655698775632924e+00
1.027295624473924909e+04,2.557655698775632924e+00
1.027295633101870953e+04,2.557655698775632924e+00
1.027295641729817180e+04,2.557655698775632924e+00
1.027295650357763225e+04,2.557655698775632924e+00
1.027295658985709269e+04,2.557655698775632924e+00
1.027295667613655496e+04,2.557655698775632924e+00
1.027295676241601541e+04,2.557655698775632924e+00
1.027295684869547767e+04,2.557655698775632924e+00
1.027295693497493812e+04,2.557655698775632924e+00
1.027295702125440039e+04,2.557655698775632924e+00
1.027295710753386084e+04,2.557655698775632924e+00
1.027295719381332310e+04,2.557655698775632924e+00
1.027295728009278355e+04,2.557655698775632924e+00
1.027295736637224582e+04,2.557655698775632924e+00
1.027295745265170626e+04,2.557655698775632924e+00
1.027295753893116671e+04,2.557655698775632924e+00
1.027295762521062898e+04,2.557655698775632924e+00
1.027295771149008942e+04,2.557655698775632924e+00
1.027295779776955169e+04,2.557655698775632924e+00
1.027295788404901214e+04,2.557655698775632924e+00
1.027295797032847440e+04,2.557655698775632924e+00
1.027295805660793485e+04,2.557655698775632924e+00
1.027295814288739712e+04,2.557655698775632924e+00
1.027295822916685756e+04,2.557655698775632924e+00
1.027295831544631983e+04,2.557655698775632924e+00
1.027295840172578028e+04,2.557655698775632924e+00
1.027295848800524072e+04,2.557655698775632924e+00
1.027295857428470299e+04,2.557655698775632924e+00
1.027295866056416344e+04,2.557655698775632924e+00
1.027295874684362570e+04,2.557655698775632924e+00
1.027295883312308615e+04,2.557655698775632924e+00
1.027295891940254842e+04,2.557655698775632924e+00
1.027295900568200886e+04,2.557655698775632924e+00
1.027295909196147113e+04,2.557655698775632924e+00
1.027295917824093158e+04,2.557655698775632924e+00
1.027295926452039384e+04,2.557655698775632924e+00
1.027295935079985429e+04,2.557655698775632924e+00
1.027295943707931656e+04,2.557655698775632924e+00
1.027295952335877701e+04,2.557655698775632924e+00
1.027295960963823745e+04,2.557655698775632924e+00
1.027295969591769972e+04,2.557655698775632924e+00
1.027295978219716017e+04,2.557655698775632924e+00
1.027295986847662243e+04,2.557655698775632924e+00
1.027295995475608288e+04,2.557655698775632924e+00
1.027296004103554515e+04,2.557655698775632924e+00
1.027296012731500559e+04,2.557655698775632924e+00
1.027296021359446786e+04,2.557655698775632924e+00
1.027296029987392831e+04,2.557655698775632924e+00
1.027296038615339057e+04,2.557655698775632924e+00
1.027296047243285102e+04,2.557655698775632924e+00
1.027296055871231147e+04,2.557655698775632924e+00
1.027296064499177373e+04,2.557655698775632924e+00
1.027296073127123418e+04,2.557655698775632924e+00
1.027296081755069645e+04,2.557655698775632924e+00
1.027296090383015689e+04,2.557655698775632924e+00
1.027296099010961916e+04,2.557655698775632924e+00
1.027296107638907961e+04,2.557655698775632924e+00
1.027296116266854187e+04,2.557655698775632924e+00
1.027296124894800232e+04,2.557655698775632924e+00
1.027296133522746459e+04,2.557655698775632924e+00
1.027296142150692503e+04,2.557655698775632924e+00
1.027296150778638730e+04,2.557655698775632924e+00
1.027296159406584775e+04,2.557655698775632924e+00
1.027296168034530820e+04,2.557655698775632924e+00
1.027296176662477046e+04,2.557655698775632924e+00
1.027296185290423091e+04,2.557655698775632924e+00
1.027296193918369318e+04,2.557655698775632924e+00
1.027296202546315362e+04,2.557655698775632924e+00
1.027296211174261589e+04,2.557655698775632924e+00
1.027296219802207634e+04,2.557655698775632924e+00
1.027296228430153860e+04,2.557655698775632924e+00
1.027296237058099905e+04,2.557655698775632924e+00
1.027296245686046132e+04,2.557655698775632924e+00
1.027296254313992176e+04,2.557655698775632924e+00
1.027296262941938221e+04,2.557655698775632924e+00
1.027296271569884448e+04,2.557655698775632924e+00
1.027296280197830492e+04,2.557655698775632924e+00
1.027296288825776719e+04,2.557655698775632924e+00
1.027296297453722764e+04,2.557655698775632924e+00
1.027296306081668990e+04,2.557655698775632924e+00
1.027296314709615035e+04,2.557655698775632924e+00
1.027296323337561262e+04,2.557655698775632924e+00
1.027296331965507306e+04,2.557655698775632924e+00
1.027296340593453533e+04,2.557655698775632924e+00
1.027296349221399578e+04,2.557655698775632924e+00
1.027296357849345623e+04,2.557655698775632924e+00
1.027296366477291849e+04,2.557655698775632924e+00
1.027296375105237894e+04,2.557655698775632924e+00
1.027296383733184121e+04,2.557655698775632924e+00
1.027296392361130165e+04,2.557655698775632924e+00
1.027296400989076392e+04,2.557655698775632924e+00
1.027296409617022437e+04,2.557655698775632924e+00
1.027296418244968663e+04,2.557655698775632924e+00
1.027296426872914708e+04,2.557655698775632924e+00
1.027296435500860935e+04,2.557655698775632924e+00
1.027296444128806979e+04,2.557655698775632924e+00
1.027296452756753206e+04,2.557655698775632924e+00
1.027296461384699251e+04,2.557655698775632924e+00
1.027296470012645295e+04,2.557655698775632924e+00
1.027296478640591522e+04,2.557655698775632924e+00
1.027296487268537567e+04,2.557655698775632924e+00
1.027296495896483793e+04,2.557655698775632924e+00
1.027296504524429838e+04,2.557655698775632924e+00
1.027296513152376065e+04,2.557655698775632924e+00
1.027296521780322109e+04,2.557655698775632924e+00
