Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.882460428240709007e+03,5.381163986560077461e+01
9.882460446256400246e+03,5.381163986560077461e+01
9.882460464272089666e+03,5.381163986560077461e+01
9.882460482287780906e+03,5.381163986560077461e+01
9.882460500303470326e+03,5.381163986560077461e+01
9.882460518319161565e+03,5.381163986560077461e+01
9.882460536334850985e+03,5.381163986560077461e+01
9.882460554350542225e+03,5.381163986560077461e+01
9.882460572366233464e+03,5.381163986560077461e+01
9.882460590381922884e+03,5.381163986560077461e+01
9.882460608397614124e+03,5.381163986560077461e+01
9.882460626413303544e+03,5.381163986560077461e+01
9.882460644428994783e+03,5.381163986560077461e+01
9.882460662444684203e+03,5.381163986560077461e+01
9.882460680460375443e+03,5.381163986560077461e+01
9.882460698476066682e+03,5.381163986560077461e+01
9.882460716491756102e+03,5.381163986560077461e+01
9.882460734507447341e+03,5.381163986560077461e+01
9.882460752523136762e+03,5.381163986560077461e+01
9.882460770538828001e+03,5.381163986560077461e+01
9.882460788554517421e+03,5.381163986560077461e+01
9.882460806570208661e+03,5.381163986560077461e+01
9.882460824585899900e+03,5.381163986560077461e+01
9.882460842601589320e+03,5.381163986560077461e+01
9.882460860617280559e+03,5.381163986560077461e+01
9.882460878632969980e+03,5.381163986560077461e+01
9.882460896648661219e+03,5.381163986560077461e+01
9.882460914664350639e+03,5.381163986560077461e+01
9.882460932680041878e+03,5.381163986560077461e+01
9.882460950695733118e+03,5.381163986560077461e+01
9.882460968711422538e+03,5.381163986560077461e+01
9.882460986727113777e+03,5.381163986560077461e+01
9.882461004742803198e+03,5.381163986560077461e+01
9.882461022758494437e+03,5.381163986560077461e+01
9.882461040774183857e+03,5.381163986560077461e+01
9.882461058789875096e+03,5.381163986560077461e+01
9.882461076805566336e+03,5.381163986560077461e+01
9.882461094821255756e+03,5.381163986560077461e+01
9.882461112836946995e+03,5.381163986560077461e+01
9.882461130852636416e+03,5.381163986560077461e+01
9.882461148868327655e+03,5.381163986560077461e+01
9.882461166884017075e+03,5.381163986560077461e+01
9.882461184899708314e+03,5.381163986560077461e+01
9.882461202915399554e+03,5.381163986560077461e+01
9.882461220931088974e+03,5.381163986560077461e+01
9.882461238946780213e+03,5.381163986560077461e+01
9.882461256962469633e+03,5.381163986560077461e+01
9.882461274978160873e+03,5.381163986560077461e+01
9.882461292993850293e+03,5.381163986560077461e+01
9.882461311009541532e+03,5.381163986560077461e+01
9.882461329025232772e+03,5.381163986560077461e+01
9.882461347040922192e+03,5.381163986560077461e+01
9.882461365056613431e+03,5.381163986560077461e+01
9.882461383072302851e+03,5.381163986560077461e+01
9.882461401087994091e+03,5.381163986560077461e+01
9.882461419103683511e+03,5.381163986560077461e+01
9.882461437119374750e+03,5.381163986560077461e+01
9.882461455135065989e+03,5.381163986560077461e+01
9.882461473150755410e+03,5.381163986560077461e+01
9.882461491166446649e+03,5.381163986560077461e+01
9.882461509182136069e+03,5.381163986560077461e+01
9.882461527197827309e+03,5.381163986560077461e+01
9.882461545213516729e+03,5.381163986560077461e+01
9.882461563229207968e+03,5.381163986560077461e+01
9.882461581244899207e+03,5.381163986560077461e+01
9.882461599260588628e+03,5.381163986560077461e+01
9.882461617276279867e+03,5.381163986560077461e+01
9.882461635291969287e+03,5.381163986560077461e+01
9.882461653307660526e+03,5.381163986560077461e+01
9.882461671323349947e+03,5.381163986560077461e+01
9.882461689339041186e+03,5.381163986560077461e+01
9.882461707354732425e+03,5.381163986560077461e+01
9.882461725370421846e+03,5.381163986560077461e+01
9.882461743386113085e+03,5.381163986560077461e+01
9.882461761401802505e+03,5.381163986560077461e+01
9.882461779417493744e+03,5.381163986560077461e+01
9.882461797433183165e+03,5.381163986560077461e+01
9.882461815448874404e+03,5.381163986560077461e+01
9.882461833464563824e+03,5.381163986560077461e+01
9.882461851480255064e+03,5.381163986560077461e+01
9.882461869495946303e+03,5.381163986560077461e+01
9.882461887511635723e+03,5.381163986560077461e+01
9.882461905527326962e+03,5.381163986560077461e+01
9.882461923543016383e+03,5.381163986560077461e+01
9.882461941558707622e+03,5.381163986560077461e+01
9.882461959574397042e+03,5.381163986560077461e+01
9.882461977590088281e+03,5.381163986560077461e+01
9.882461995605779521e+03,5.381163986560077461e+01
9.882462013621468941e+03,5.381163986560077461e+01
9.882462031637160180e+03,5.381163986560077461e+01
9.882462049652849601e+03,5.381163986560077461e+01
9.882462067668540840e+03,5.381163986560077461e+01
9.882462085684230260e+03,5.381163986560077461e+01
9.882462103699921499e+03,5.381163986560077461e+01
9.882462121715612739e+03,5.381163986560077461e+01
9.882462139731302159e+03,5.381163986560077461e+01
9.882462157746993398e+03,5.381163986560077461e+01
9.882462175762682818e+03,5.381163986560077461e+01
9.882462193778374058e+03,5.381163986560077461e+01
9.882462211794063478e+03,5.381163986560077461e+01
9.882462229809754717e+03,5.381163986560077461e+01
9.882462247825445957e+03,5.381163986560077461e+01
9.882462265841135377e+03,5.381163986560077461e+01
9.882462283856826616e+03,5.381163986560077461e+01
9.882462301872516036e+03,5.381163986560077461e+01
9.882462319888207276e+03,5.381163986560077461e+01
