Time (BJD_TBD - 2450000), F_star + F_g (mJy)
1.027127336805546656e+04,3.604088533278555495e+00
1.027127353332662278e+04,3.604088529776077632e+00
1.027127369859778082e+04,3.604088526274415116e+00
1.027127386386893704e+04,3.604088522773567949e+00
1.027127402914009326e+04,3.604088519273536129e+00
1.027127419441124948e+04,3.604088515774320101e+00
1.027127435968240752e+04,3.604088512275918532e+00
1.027127452495356374e+04,3.604088508778332756e+00
1.027127469022471996e+04,3.604088505281561883e+00
1.027127485549587800e+04,3.604088501785606802e+00
1.027127502076703422e+04,3.604088498290467069e+00
1.027127518603819044e+04,3.604088494796143127e+00
1.027127535130934666e+04,3.604088491302633646e+00
1.027127551658050470e+04,3.604088487809940400e+00
1.027127568185166092e+04,3.604088484318062946e+00
1.027127584712281714e+04,3.604088480827000396e+00
1.027127601239397518e+04,3.604088477336753638e+00
1.027127617766513140e+04,3.604088473847322227e+00
1.027127634293628762e+04,3.604088470358707497e+00
1.027127650820744384e+04,3.604088466870906782e+00
1.027127667347860188e+04,3.604088463383922747e+00
1.027127683874975810e+04,3.604088459897754060e+00
1.027127700402091432e+04,3.604088456412401165e+00
1.027127716929207236e+04,3.604088452927864061e+00
1.027127733456322858e+04,3.604088449444142750e+00
1.027127749983438480e+04,3.604088445961237674e+00
1.027127766510554284e+04,3.604088442479147059e+00
1.027127783037669906e+04,3.604088438997873567e+00
1.027127799564785528e+04,3.604088435517415867e+00
1.027127816091901150e+04,3.604088432037773515e+00
1.027127832619016954e+04,3.604088428558947399e+00
1.027127849146132576e+04,3.604088425080936631e+00
1.027127865673248198e+04,3.604088421603742098e+00
1.027127882200364002e+04,3.604088418127363802e+00
1.027127898727479624e+04,3.604088414651801298e+00
1.027127915254595246e+04,3.604088411177055473e+00
1.027127931781710868e+04,3.604088407703124552e+00
1.027127948308826672e+04,3.604088404230010756e+00
1.027127964835942294e+04,3.604088400757712307e+00
1.027127981363057916e+04,3.604088397286230094e+00
1.027127997890173719e+04,3.604088393815564562e+00
1.027128014417289342e+04,3.604088390345714821e+00
1.027128030944404964e+04,3.604088386876681316e+00
1.027128047471520586e+04,3.604088383408464491e+00
1.027128063998636389e+04,3.604088379941063902e+00
1.027128080525752011e+04,3.604088376474478217e+00
1.027128097052867633e+04,3.604088373008710100e+00
1.027128113579983437e+04,3.604088369543758219e+00
1.027128130107099059e+04,3.604088366079622574e+00
1.027128146634214681e+04,3.604088362616303165e+00
1.027128163161330303e+04,3.604088359153799992e+00
1.027128179688446107e+04,3.604088355692113943e+00
1.027128196215561729e+04,3.604088352231243242e+00
1.027128212742677351e+04,3.604088348771189665e+00
1.027128229269793155e+04,3.604088345311952768e+00
1.027128245796908777e+04,3.604088341853532551e+00
1.027128262324024399e+04,3.604088338395928570e+00
1.027128278851140021e+04,3.604088334939140825e+00
1.027128295378255825e+04,3.604088331483169316e+00
1.027128311905371447e+04,3.604088328028015376e+00
1.027128328432487069e+04,3.604088324573678115e+00
1.027128344959602873e+04,3.604088321120157090e+00
1.027128361486718495e+04,3.604088317667452301e+00
1.027128378013834117e+04,3.604088314215564637e+00
1.027128394540949739e+04,3.604088310764494096e+00
1.027128411068065543e+04,3.604088307314240236e+00
1.027128427595181165e+04,3.604088303864803056e+00
1.027128444122296787e+04,3.604088300416182555e+00
1.027128460649412591e+04,3.604088296968378735e+00
1.027128477176528213e+04,3.604088293521392039e+00
1.027128493703643835e+04,3.604088290075222467e+00
1.027128510230759457e+04,3.604088286629869131e+00
1.027128526757875261e+04,3.604088283185333363e+00
1.027128543284990883e+04,3.604088279741614276e+00
1.027128559812106505e+04,3.604088276298711868e+00
1.027128576339222309e+04,3.604088272856627029e+00
1.027128592866337931e+04,3.604088269415358869e+00
1.027128609393453553e+04,3.604088265974907834e+00
1.027128625920569357e+04,3.604088262535273923e+00
1.027128642447684979e+04,3.604088259096457136e+00
1.027128658974800601e+04,3.604088255658457918e+00
1.027128675501916223e+04,3.604088252221275379e+00
1.027128692029032027e+04,3.604088248784909965e+00
1.027128708556147649e+04,3.604088245349362118e+00
1.027128725083263271e+04,3.604088241914630508e+00
1.027128741610379075e+04,3.604088238480716910e+00
1.027128758137494697e+04,3.604088235047621325e+00
1.027128774664610319e+04,3.604088231615341975e+00
1.027128791191725941e+04,3.604088228183880194e+00
1.027128807718841745e+04,3.604088224753235536e+00
1.027128824245957367e+04,3.604088221323408892e+00
1.027128840773072989e+04,3.604088217894398483e+00
1.027128857300188793e+04,3.604088214466206974e+00
1.027128873827304415e+04,3.604088211038832146e+00
1.027128890354420037e+04,3.604088207612274886e+00
1.027128906881535659e+04,3.604088204186535194e+00
1.027128923408651463e+04,3.604088200761612626e+00
1.027128939935767085e+04,3.604088197337507626e+00
1.027128956462882707e+04,3.604088193914221083e+00
1.027128972989998510e+04,3.604088190491751220e+00
1.027128989517114132e+04,3.604088187070099369e+00
1.027129006044229754e+04,3.604088183649265087e+00
1.027129022571345376e+04,3.604088180229248373e+00
1.027129039098461180e+04,3.604088176810049227e+00
1.027129055625576802e+04,3.604088173391667649e+00
1.027129072152692424e+04,3.604088169974104527e+00
1.027129088679808228e+04,3.604088166557358974e+00
1.027129105206923850e+04,3.604088163141430545e+00
1.027129121734039472e+04,3.604088159726321017e+00
1.027129138261155094e+04,3.604088156312028168e+00
1.027129154788270898e+04,3.604088152898553332e+00
1.027129171315386520e+04,3.604088149485897397e+00
1.027129187842502142e+04,3.604088146074058141e+00
