Time (BJD_TBD - 2450000), F_star + F_g (mJy)
9.889738090277649462e+03,3.604090691094036014e+00
9.889738107156652404e+03,3.604090691513920142e+00
9.889738124035655346e+03,3.604090691933812707e+00
9.889738140914658288e+03,3.604090692353715042e+00
9.889738157793661230e+03,3.604090692773625371e+00
9.889738174672662353e+03,3.604090693193545469e+00
9.889738191551665295e+03,3.604090693613474450e+00
9.889738208430668237e+03,3.604090694033411868e+00
9.889738225309671179e+03,3.604090694453358168e+00
9.889738242188674121e+03,3.604090694873314238e+00
9.889738259067677063e+03,3.604090695293279190e+00
9.889738275946680005e+03,3.604090695713252579e+00
9.889738292825682947e+03,3.604090696133235294e+00
9.889738309704684070e+03,3.604090696553227335e+00
9.889738326583687012e+03,3.604090696973227370e+00
9.889738343462689954e+03,3.604090697393236731e+00
9.889738360341692896e+03,3.604090697813255417e+00
9.889738377220695838e+03,3.604090698233283430e+00
9.889738394099698780e+03,3.604090698653319436e+00
9.889738410978701722e+03,3.604090699073364767e+00
9.889738427857704664e+03,3.604090699493419425e+00
9.889738444736705787e+03,3.604090699913482521e+00
9.889738461615708729e+03,3.604090700333554498e+00
9.889738478494711671e+03,3.604090700753636245e+00
9.889738495373714613e+03,3.604090701173726874e+00
9.889738512252717555e+03,3.604090701593825941e+00
9.889738529131720497e+03,3.604090702013933889e+00
9.889738546010723439e+03,3.604090702434051607e+00
9.889738562889726381e+03,3.604090702854178208e+00
9.889738579768727504e+03,3.604090703274312801e+00
9.889738596647730446e+03,3.604090703694457609e+00
9.889738613526733388e+03,3.604090704114610411e+00
9.889738630405736330e+03,3.604090704534772982e+00
9.889738647284739272e+03,3.604090704954943547e+00
9.889738664163742214e+03,3.604090705375123438e+00
9.889738681042745156e+03,3.604090705795313099e+00
9.889738697921748098e+03,3.604090706215510753e+00
9.889738714800749221e+03,3.604090706635718178e+00
9.889738731679752163e+03,3.604090707055933596e+00
9.889738748558755105e+03,3.604090707476159228e+00
9.889738765437758047e+03,3.604090707896392853e+00
9.889738782316760989e+03,3.604090708316635361e+00
9.889738799195763931e+03,3.604090708736887194e+00
9.889738816074766873e+03,3.604090709157148353e+00
9.889738832953769816e+03,3.604090709577417950e+00
9.889738849832770939e+03,3.604090709997697317e+00
9.889738866711773881e+03,3.604090710417984678e+00
9.889738883590776823e+03,3.604090710838281364e+00
9.889738900469779765e+03,3.604090711258587376e+00
9.889738917348782707e+03,3.604090711678901826e+00
9.889738934227785649e+03,3.604090712099226046e+00
9.889738951106788591e+03,3.604090712519558259e+00
9.889738967985791533e+03,3.604090712939899799e+00
9.889738984864792656e+03,3.604090713360250220e+00
9.889739001743795598e+03,3.604090713780610411e+00
9.889739018622798540e+03,3.604090714200978596e+00
9.889739035501801482e+03,3.604090714621356550e+00
9.889739052380804424e+03,3.604090715041742943e+00
9.889739069259807366e+03,3.604090715462138217e+00
