Time (BJD_TBD - 2450000), F_g/F_star (ppm)
9.917309675925876945e+03,7.268322274493932866e+01
9.917309697571559809e+03,7.268383149071804894e+01
9.917309719217242673e+03,7.268444023464114423e+01
9.917309740862925537e+03,7.268504897670858611e+01
9.917309762508608401e+03,7.268565771692027511e+01
9.917309784154293084e+03,7.268626645532728503e+01
9.917309805799975948e+03,7.268687519182725509e+01
9.917309827445658811e+03,7.268748392647123069e+01
9.917309849091341675e+03,7.268809265925915497e+01
9.917309870737024539e+03,7.268870139019095689e+01
9.917309892382707403e+03,7.268931011926656538e+01
9.917309914028390267e+03,7.268991884648590940e+01
9.917309935674073131e+03,7.269052757184890368e+01
9.917309957319757814e+03,7.269113629540663624e+01
9.917309978965440678e+03,7.269174501705670366e+01
9.917310000611123542e+03,7.269235373685023660e+01
9.917310022256806405e+03,7.269296245478712137e+01
9.917310043902489269e+03,7.269357117086730113e+01
9.917310065548172133e+03,7.269417988509064799e+01
9.917310087193854997e+03,7.269478859745717614e+01
9.917310108839537861e+03,7.269539730796677190e+01
9.917310130485222544e+03,7.269600601667050910e+01
9.917310152130905408e+03,7.269661472346598430e+01
9.917310173776588272e+03,7.269722342840434237e+01
9.917310195422271136e+03,7.269783213148545542e+01
9.917310217067954000e+03,7.269844083270922397e+01
9.917310238713636863e+03,7.269904953207566223e+01
9.917310260359319727e+03,7.269965822958465651e+01
9.917310282005002591e+03,7.270026692523612155e+01
9.917310303650687274e+03,7.270087561908111695e+01
9.917310325296370138e+03,7.270148431101729614e+01
9.917310346942053002e+03,7.270209300109571871e+01
9.917310368587735866e+03,7.270270168931632782e+01
9.917310390233418730e+03,7.270331037567906662e+01
9.917310411879101594e+03,7.270391906018382144e+01
9.917310433524784457e+03,7.270452774283053543e+01
9.917310455170467321e+03,7.270513642361913753e+01
9.917310476816152004e+03,7.270574510260068735e+01
9.917310498461834868e+03,7.270635377967283830e+01
9.917310520107517732e+03,7.270696245488664999e+01
9.917310541753200596e+03,7.270757112824206558e+01
9.917310563398883460e+03,7.270817979973898559e+01
9.917310585044566324e+03,7.270878846937733897e+01
9.917310606690249188e+03,7.270939713715706887e+01
