Time (BJD_TBD - 2450000), F_star + F_g (mJy)
9.903683680555783212e+03,2.652983590021058991e+00
9.903683703452748887e+03,2.652983591669242358e+00
9.903683726349714561e+03,2.652983593317432831e+00
9.903683749246680236e+03,2.652983594965630854e+00
9.903683772143645911e+03,2.652983596613837314e+00
9.903683795040611585e+03,2.652983598262050435e+00
9.903683817937577260e+03,2.652983599910271550e+00
9.903683840834542934e+03,2.652983601558500215e+00
9.903683863731508609e+03,2.652983603206735985e+00
9.903683886628474283e+03,2.652983604854979749e+00
9.903683909525439958e+03,2.652983606503231506e+00
9.903683932422405633e+03,2.652983608151490369e+00
9.903683955319371307e+03,2.652983609799757225e+00
9.903683978216336982e+03,2.652983611448031187e+00
9.903684001113302656e+03,2.652983613096312698e+00
9.903684024010268331e+03,2.652983614744602203e+00
9.903684046907234006e+03,2.652983616392899258e+00
9.903684069804199680e+03,2.652983618041203862e+00
9.903684092701163536e+03,2.652983619689515571e+00
9.903684115598129210e+03,2.652983621337835274e+00
9.903684138495094885e+03,2.652983622986162526e+00
9.903684161392060560e+03,2.652983624634497772e+00
9.903684184289026234e+03,2.652983626282840124e+00
9.903684207185991909e+03,2.652983627931190025e+00
9.903684230082957583e+03,2.652983629579547920e+00
9.903684252979923258e+03,2.652983631227913364e+00
9.903684275876888933e+03,2.652983632876285913e+00
9.903684298773854607e+03,2.652983634524666012e+00
9.903684321670820282e+03,2.652983636173054549e+00
9.903684344567785956e+03,2.652983637821449747e+00
9.903684367464751631e+03,2.652983639469853383e+00
9.903684390361717305e+03,2.652983641118264124e+00
9.903684413258682980e+03,2.652983642766682415e+00
9.903684436155648655e+03,2.652983644415108255e+00
9.903684459052614329e+03,2.652983646063542089e+00
9.903684481949580004e+03,2.652983647711983473e+00
9.903684504846545678e+03,2.652983649360431961e+00
9.903684527743511353e+03,2.652983651008888444e+00
9.903684550640477028e+03,2.652983652657352032e+00
9.903684573537442702e+03,2.652983654305824057e+00
9.903684596434408377e+03,2.652983655954303188e+00
9.903684619331374051e+03,2.652983657602789869e+00
9.903684642228339726e+03,2.652983659251284099e+00
9.903684665125305401e+03,2.652983660899785878e+00
9.903684688022271075e+03,2.652983662548295207e+00
9.903684710919236750e+03,2.652983664196812530e+00
9.903684733816202424e+03,2.652983665845336958e+00
9.903684756713168099e+03,2.652983667493869380e+00
9.903684779610133774e+03,2.652983669142408907e+00
9.903684802507099448e+03,2.652983670790956428e+00
9.903684825404065123e+03,2.652983672439511498e+00
9.903684848301030797e+03,2.652983674088074117e+00
9.903684871197996472e+03,2.652983675736643843e+00
9.903684894094960327e+03,2.652983677385221561e+00
9.903684916991926002e+03,2.652983679033806830e+00
9.903684939888891677e+03,2.652983680682399648e+00
9.903684962785857351e+03,2.652983682331000459e+00
9.903684985682823026e+03,2.652983683979608376e+00
9.903685008579788700e+03,2.652983685628224286e+00
9.903685031476754375e+03,2.652983687276847302e+00
9.903685054373720050e+03,2.652983688925477868e+00
9.903685077270685724e+03,2.652983690574116427e+00
9.903685100167651399e+03,2.652983692222762091e+00
9.903685123064617073e+03,2.652983693871416193e+00
9.903685145961582748e+03,2.652983695520076957e+00
9.903685168858548423e+03,2.652983697168745714e+00
9.903685191755514097e+03,2.652983698817422020e+00
9.903685214652479772e+03,2.652983700466106320e+00
9.903685237549445446e+03,2.652983702114797282e+00
9.903685260446411121e+03,2.652983703763496681e+00
9.903685283343376796e+03,2.652983705412203186e+00
9.903685306240342470e+03,2.652983707060917684e+00
9.903685329137308145e+03,2.652983708709639288e+00
9.903685352034273819e+03,2.652983710358368885e+00
9.903685374931239494e+03,2.652983712007105588e+00
9.903685397828205168e+03,2.652983713655849840e+00
9.903685420725170843e+03,2.652983715304602086e+00
9.903685443622136518e+03,2.652983716953361437e+00
9.903685466519102192e+03,2.652983718602129226e+00
9.903685489416067867e+03,2.652983720250903676e+00
9.903685512313033541e+03,2.652983721899686120e+00
9.903685535209999216e+03,2.652983723548476114e+00
9.903685558106964891e+03,2.652983725197274101e+00
9.903685581003930565e+03,2.652983726846079193e+00
9.903685603900896240e+03,2.652983728494891835e+00
9.903685626797861914e+03,2.652983730143712027e+00
9.903685649694827589e+03,2.652983731792540212e+00
9.903685672591793264e+03,2.652983733441375502e+00
9.903685695488757119e+03,2.652983735090218786e+00
9.903685718385722794e+03,2.652983736739069176e+00
9.903685741282688468e+03,2.652983738387927115e+00
9.903685764179654143e+03,2.652983740036793048e+00
9.903685787076619818e+03,2.652983741685666086e+00
9.903685809973585492e+03,2.652983743334547562e+00
9.903685832870551167e+03,2.652983744983435699e+00
9.903685855767516841e+03,2.652983746632331830e+00
9.903685878664482516e+03,2.652983748281235510e+00
9.903685901561448190e+03,2.652983749930146296e+00
9.903685924458413865e+03,2.652983751579065519e+00
9.903685947355379540e+03,2.652983753227991848e+00
9.903685970252345214e+03,2.652983754876926170e+00
9.903685993149310889e+03,2.652983756525867598e+00
9.903686016046276563e+03,2.652983758174816575e+00
9.903686038943242238e+03,2.652983759823773102e+00
9.903686061840207913e+03,2.652983761472737623e+00
9.903686084737173587e+03,2.652983763121709249e+00
9.903686107634139262e+03,2.652983764770688868e+00
9.903686130531104936e+03,2.652983766419675593e+00
9.903686153428070611e+03,2.652983768068669868e+00
9.903686176325036286e+03,2.652983769717672136e+00
9.903686199222001960e+03,2.652983771366681953e+00
9.903686222118967635e+03,2.652983773015699320e+00
9.903686245015933309e+03,2.652983774664723793e+00
9.903686267912898984e+03,2.652983776313756259e+00
9.903686290809864659e+03,2.652983777962796275e+00
9.903686313706830333e+03,2.652983779611843840e+00
9.903686336603796008e+03,2.652983781260898954e+00
9.903686359500761682e+03,2.652983782909961619e+00
9.903686382397727357e+03,2.652983784559031832e+00
9.903686405294693031e+03,2.652983786208109596e+00
9.903686428191658706e+03,2.652983787857195352e+00
9.903686451088624381e+03,2.652983789506288215e+00
9.903686473985590055e+03,2.652983791155388626e+00
9.903686496882553911e+03,2.652983792804496588e+00
9.903686519779519585e+03,2.652983794453612543e+00
9.903686542676485260e+03,2.652983796102735159e+00
9.903686565573450935e+03,2.652983797751866213e+00
9.903686588470416609e+03,2.652983799401004372e+00
9.903686611367382284e+03,2.652983801050150525e+00
9.903686634264347958e+03,2.652983802699303784e+00
9.903686657161313633e+03,2.652983804348465036e+00
9.903686680058279308e+03,2.652983805997633837e+00
9.903686702955244982e+03,2.652983807646809744e+00
9.903686725852210657e+03,2.652983809295993645e+00
9.903686748749176331e+03,2.652983810945185095e+00
9.903686771646142006e+03,2.652983812594383650e+00
9.903686794543107681e+03,2.652983814243590199e+00
9.903686817440073355e+03,2.652983815892804298e+00
9.903686840337039030e+03,2.652983817542026390e+00
9.903686863234004704e+03,2.652983819191255144e+00
9.903686886130970379e+03,2.652983820840491891e+00
9.903686909027936053e+03,2.652983822489736632e+00
9.903686931924901728e+03,2.652983824138988478e+00
9.903686954821867403e+03,2.652983825788247430e+00
9.903686977718833077e+03,2.652983827437514375e+00
9.903687000615798752e+03,2.652983829086789314e+00
9.903687023512764426e+03,2.652983830736071358e+00
9.903687046409730101e+03,2.652983832385360508e+00
9.903687069306695776e+03,2.652983834034658095e+00
9.903687092203661450e+03,2.652983835683962788e+00
9.903687115100627125e+03,2.652983837333275474e+00
9.903687137997592799e+03,2.652983838982595710e+00
9.903687160894558474e+03,2.652983840631922607e+00
9.903687183791524149e+03,2.652983842281257498e+00
9.903687206688489823e+03,2.652983843930600383e+00
9.903687229585455498e+03,2.652983845579950373e+00
9.903687252482421172e+03,2.652983847229308356e+00
9.903687275379386847e+03,2.652983848878673889e+00
9.903687298276350703e+03,2.652983850528046528e+00
9.903687321173316377e+03,2.652983852177426716e+00
9.903687344070282052e+03,2.652983853826814897e+00
9.903687366967247726e+03,2.652983855476210184e+00
9.903687389864213401e+03,2.652983857125613465e+00
9.903687412761179075e+03,2.652983858775023851e+00
9.903687435658144750e+03,2.652983860424442231e+00
9.903687458555110425e+03,2.652983862073868160e+00
