Time (BJD_TBD - 2450000), F_g/F_star (ppm)
1.027127336805546656e+04,3.412240753478447353e+00
1.027127353332662278e+04,3.410602534366836913e+00
1.027127369859778082e+04,3.408964696540024875e+00
1.027127386386893704e+04,3.407327240045637584e+00
1.027127402914009326e+04,3.405690164877216652e+00
1.027127419441124948e+04,3.404053471046335932e+00
1.027127435968240752e+04,3.402417158546536147e+00
1.027127452495356374e+04,3.400781227425419218e+00
1.027127469022471996e+04,3.399145677676513433e+00
1.027127485549587800e+04,3.397510509293397707e+00
1.027127502076703422e+04,3.395875722323603352e+00
1.027127518603819044e+04,3.394241316760697735e+00
1.027127535130934666e+04,3.392607292616221848e+00
1.027127551658050470e+04,3.390973649883743057e+00
1.027127568185166092e+04,3.389340388610767363e+00
1.027127584712281714e+04,3.387707508790847921e+00
1.027127601239397518e+04,3.386075010417570308e+00
1.027127617766513140e+04,3.384442893538390340e+00
1.027127634293628762e+04,3.382811158146873609e+00
1.027127650820744384e+04,3.381179804254556664e+00
1.027127667347860188e+04,3.379548831855012203e+00
1.027127683874975810e+04,3.377918240995668953e+00
1.027127700402091432e+04,3.376288031670094281e+00
1.027127716929207236e+04,3.374658203871867546e+00
1.027127733456322858e+04,3.373028757648385945e+00
1.027127749983438480e+04,3.371399692993228392e+00
1.027127766510554284e+04,3.369771009899968917e+00
1.027127783037669906e+04,3.368142708415978515e+00
1.027127799564785528e+04,3.366514788534824554e+00
1.027127816091901150e+04,3.364887250268023600e+00
1.027127832619016954e+04,3.363260093609147905e+00
1.027127849146132576e+04,3.361633318605538268e+00
1.027127865673248198e+04,3.360006925250761167e+00
1.027127882200364002e+04,3.358380913538414614e+00
1.027127898727479624e+04,3.356755283515788779e+00
1.027127915254595246e+04,3.355130035176462133e+00
1.027127931781710868e+04,3.353505168531932590e+00
1.027127948308826672e+04,3.351880683575791942e+00
1.027127964835942294e+04,3.350256580355278846e+00
1.027127981363057916e+04,3.348632858863991757e+00
1.027127997890173719e+04,3.347009519095541563e+00
1.027128014417289342e+04,3.345386561097128286e+00
1.027128030944404964e+04,3.343763984862344163e+00
1.027128047471520586e+04,3.342141790402667567e+00
1.027128063998636389e+04,3.340519977711696509e+00
1.027128080525752011e+04,3.338898546836606585e+00
1.027128097052867633e+04,3.337277497770995360e+00
1.027128113579983437e+04,3.335656830508487047e+00
1.027128130107099059e+04,3.334036545096199067e+00
1.027128146634214681e+04,3.332416641527748524e+00
1.027128163161330303e+04,3.330797119814569829e+00
1.027128179688446107e+04,3.329177979950305399e+00
1.027128196215561729e+04,3.327559221982022031e+00
1.027128212742677351e+04,3.325940845903343046e+00
1.027128229269793155e+04,3.324322851707893101e+00
1.027128245796908777e+04,3.322705239442731440e+00
1.027128262324024399e+04,3.321088009101463623e+00
1.027128278851140021e+04,3.319471160695522727e+00
1.027128295378255825e+04,3.317854694218545841e+00
1.027128311905371447e+04,3.316238609717541586e+00
1.027128328432487069e+04,3.314622907186127954e+00
1.027128344959602873e+04,3.313007586617947364e+00
1.027128361486718495e+04,3.311392648059971577e+00
1.027128378013834117e+04,3.309778091505823472e+00
1.027128394540949739e+04,3.308163916966930795e+00
1.027128411068065543e+04,3.306550124436917759e+00
1.027128427595181165e+04,3.304936713962723260e+00
1.027128444122296787e+04,3.303323685537977283e+00
1.027128460649412591e+04,3.301711039156335570e+00
1.027128477176528213e+04,3.300098774864692608e+00
1.027128493703643835e+04,3.298486892656678382e+00
1.027128510230759457e+04,3.296875392543695771e+00
1.027128526757875261e+04,3.295264274519392966e+00
1.027128543284990883e+04,3.293653538630626709e+00
1.027128559812106505e+04,3.292043184871034089e+00
1.027128576339222309e+04,3.290433213234276177e+00
1.027128592866337931e+04,3.288823623767177740e+00
1.027128609393453553e+04,3.287214416463382083e+00
1.027128625920569357e+04,3.285605591316563601e+00
1.027128642447684979e+04,3.283997148373489772e+00
1.027128658974800601e+04,3.282389087627834989e+00
1.027128675501916223e+04,3.280781409090944400e+00
1.027128692029032027e+04,3.279174112756504833e+00
1.027128708556147649e+04,3.277567198671245574e+00
1.027128725083263271e+04,3.275960666828821921e+00
1.027128741610379075e+04,3.274354517222922034e+00
1.027128758137494697e+04,3.272748749900248999e+00
1.027128774664610319e+04,3.271143364854458557e+00
1.027128791191725941e+04,3.269538362096907846e+00
1.027128807718841745e+04,3.267933741621265487e+00
1.027128824245957367e+04,3.266329503474203033e+00
1.027128840773072989e+04,3.264725647649388662e+00
1.027128857300188793e+04,3.263122174140516751e+00
1.027128873827304415e+04,3.261519082994188246e+00
1.027128890354420037e+04,3.259916374204116618e+00
1.027128906881535659e+04,3.258314047781595058e+00
1.027128923408651463e+04,3.256712103720330820e+00
1.027128939935767085e+04,3.255110542066905754e+00
1.027128956462882707e+04,3.253509362815000916e+00
1.027128972989998510e+04,3.251908565958317343e+00
1.027128989517114132e+04,3.250308151543392032e+00
1.027129006044229754e+04,3.248708119563925578e+00
1.027129022571345376e+04,3.247108470031224048e+00
1.027129039098461180e+04,3.245509202938982263e+00
1.027129055625576802e+04,3.243910318333705245e+00
1.027129072152692424e+04,3.242311816209080710e+00
1.027129088679808228e+04,3.240713696558834567e+00
1.027129105206923850e+04,3.239115959429428315e+00
1.027129121734039472e+04,3.237518604814555445e+00
1.027129138261155094e+04,3.235921632725503372e+00
1.027129154788270898e+04,3.234325043155991786e+00
1.027129171315386520e+04,3.232728836152449770e+00
1.027129187842502142e+04,3.231133011708571257e+00
1.027129204369617946e+04,3.229537569818075937e+00
1.027129220896733568e+04,3.227942510527367581e+00
1.027129237423849190e+04,3.226347833830140566e+00
1.027129253950964812e+04,3.224753539737675201e+00
1.027129270478080616e+04,3.223159628243690733e+00
1.027129287005196238e+04,3.221566099394528315e+00
1.027129303532311860e+04,3.219972953183912967e+00
1.027129320059427664e+04,3.218380189605570596e+00
1.027129336586543286e+04,3.216787808705816154e+00
1.027129353113658908e+04,3.215195810478362670e+00
1.027129369640774712e+04,3.213604194916955148e+00
1.027129386167890334e+04,3.212012962067869903e+00
1.027129402695005956e+04,3.210422111924826183e+00
1.027129419222121578e+04,3.208831644499073654e+00
1.027129435749237382e+04,3.207241559784343998e+00
1.027129452276353004e+04,3.205651857826875339e+00
1.027129468803468626e+04,3.204062538620400691e+00
1.027129485330584430e+04,3.202473602158657506e+00
1.027129501857700052e+04,3.200885048487859486e+00
1.027129518384815674e+04,3.199296877601738753e+00
1.027129534911931296e+04,3.197709089511505454e+00
1.027129551439047100e+04,3.196121684210930347e+00
1.027129567966162722e+04,3.194534661746150306e+00
1.027129584493278344e+04,3.192948022110922324e+00
1.027129601020394148e+04,3.191361765298991404e+00
1.027129617547509770e+04,3.189775891356493975e+00
1.027129634074625392e+04,3.188190400277156389e+00
1.027129650601741014e+04,3.186605292072201667e+00
1.027129667128856818e+04,3.185020566735374370e+00
1.027129683655972440e+04,3.183436224312773621e+00
1.027129700183088062e+04,3.181852264798130658e+00
1.027129716710203866e+04,3.180268688185222903e+00
1.027129733237319488e+04,3.178685494520090860e+00
1.027129749764435110e+04,3.177102683796499072e+00
1.027129766291550732e+04,3.175520256025625709e+00
1.027129782818666536e+04,3.173938211201241533e+00
1.027129799345782158e+04,3.172356549369355516e+00
1.027129815872897780e+04,3.170775270523719325e+00
1.027129832400013584e+04,3.169194374658115265e+00
1.027129848927129206e+04,3.167613861818508791e+00
1.027129865454244828e+04,3.166033731998675549e+00
1.027129881981360450e+04,3.164453985209770170e+00
1.027129898508476253e+04,3.162874621445574519e+00
1.027129915035591875e+04,3.161295640752028735e+00
1.027129931562707498e+04,3.159717043122883595e+00
1.027129948089823301e+04,3.158138828551940946e+00
1.027129964616938923e+04,3.156560997085083198e+00
1.027129981144054545e+04,3.154983548716098873e+00
1.027129997671170167e+04,3.153406483456116849e+00
1.027130014198285971e+04,3.151829801298938971e+00
1.027130030725401593e+04,3.150253502290421448e+00
1.027130047252517215e+04,3.148677586424328378e+00
1.027130063779633019e+04,3.147102053694468271e+00
1.027130080306748641e+04,3.145526904146659142e+00
1.027130096833864263e+04,3.143952137774677524e+00
1.027130113360980067e+04,3.142377754572331927e+00
1.027130129888095689e+04,3.140803754585396401e+00
1.027130146415211311e+04,3.139230137807665688e+00
1.027130162942326933e+04,3.137656904250262446e+00
1.027130179469442737e+04,3.136084053906981861e+00
1.027130195996558359e+04,3.134511586823578444e+00
1.027130212523673981e+04,3.132939502993835390e+00
1.027130229050789785e+04,3.131367802411574086e+00
1.027130245577905407e+04,3.129796485122491312e+00
1.027130262105021029e+04,3.128225551120388914e+00
1.027130278632136651e+04,3.126655000416370012e+00
1.027130295159252455e+04,3.125084833004249329e+00
1.027130311686368077e+04,3.123515048929691673e+00
1.027130328213483699e+04,3.121945648186493560e+00
1.027130344740599503e+04,3.120376630768488813e+00
1.027130361267715125e+04,3.118807996721297382e+00
1.027130377794830747e+04,3.117239746038728221e+00
1.027130394321946369e+04,3.115671878731864908e+00
1.027130410849062173e+04,3.114104394794547481e+00
1.027130427376177795e+04,3.112537294272333277e+00
1.027130443903293417e+04,3.110970577159056116e+00
1.027130460430409221e+04,3.109404243448549821e+00
1.027130476957524843e+04,3.107838293186358847e+00
1.027130493484640465e+04,3.106272726366304582e+00
1.027130510011756087e+04,3.104707542999443959e+00
1.027130526538871891e+04,3.103142743079625010e+00
1.027130543065987513e+04,3.101578326652353113e+00
1.027130559593103135e+04,3.100014293711442992e+00
1.027130576120218939e+04,3.098450644250748454e+00
1.027130592647334561e+04,3.096887378315736239e+00
1.027130609174450183e+04,3.095324495900234396e+00
1.027130625701565805e+04,3.093761997015301191e+00
1.027130642228681609e+04,3.092199881654770444e+00
1.027130658755797231e+04,3.090638149864078255e+00
1.027130675282912853e+04,3.089076801637045122e+00
1.027130691810028657e+04,3.087515836967550609e+00
1.027130708337144279e+04,3.085955255900972638e+00
1.027130724864259901e+04,3.084395058431151693e+00
1.027130741391375523e+04,3.082835244569120281e+00
1.027130757918491327e+04,3.081275814308731320e+00
1.027130774445606949e+04,3.079716767695332091e+00
1.027130790972722571e+04,3.078158104722775512e+00
1.027130807499838374e+04,3.076599825384933151e+00
1.027130824026953997e+04,3.075041929727107881e+00
1.027130840554069619e+04,3.073484417743146402e+00
1.027130857081185241e+04,3.071927289444080333e+00
1.027130873608301044e+04,3.070370544823757708e+00
1.027130890135416666e+04,3.068814183927448092e+00
1.027130906662532288e+04,3.067258206749023497e+00
1.027130923189648092e+04,3.065702613282350164e+00
1.027130939716763714e+04,3.064147403572672346e+00
1.027130956243879336e+04,3.062592577613844291e+00
1.027130972770995140e+04,3.061038135399743343e+00
1.027130989298110762e+04,3.059484076975589328e+00
1.027131005825226384e+04,3.057930402335235609e+00
1.027131022352342006e+04,3.056377111489669396e+00
1.027131038879457810e+04,3.054824204432763590e+00
1.027131055406573432e+04,3.053271681209692723e+00
1.027131071933689054e+04,3.051719541814316372e+00
1.027131088460804858e+04,3.050167786240531864e+00
1.027131104987920480e+04,3.048616414533463104e+00
1.027131121515036102e+04,3.047065426686994982e+00
1.027131138042151724e+04,3.045514822712077851e+00
1.027131154569267528e+04,3.043964602602614811e+00
1.027131171096383150e+04,3.042414766403672921e+00
1.027131187623498772e+04,3.040865314109155726e+00
1.027131204150614576e+04,3.039316245712949005e+00
1.027131220677730198e+04,3.037767561260111826e+00
1.027131237204845820e+04,3.036219260744517090e+00
1.027131253731961442e+04,3.034671344177120922e+00
1.027131270259077246e+04,3.033123811551826865e+00
1.027131286786192868e+04,3.031576662913625153e+00
1.027131303313308490e+04,3.030029898256426435e+00
1.027131319840424294e+04,3.028483517574140915e+00
1.027131336367539916e+04,3.026937520911720192e+00
1.027131352894655538e+04,3.025391908263088236e+00
1.027131369421771160e+04,3.023846679639142554e+00
1.027131385948886964e+04,3.022301835033826656e+00
1.027131402476002586e+04,3.020757374492040626e+00
1.027131419003118208e+04,3.019213298007701329e+00
1.027131435530234012e+04,3.017669605574725633e+00
1.027131452057349634e+04,3.016126297238008291e+00
1.027131468584465256e+04,3.014583372991459065e+00
1.027131485111580878e+04,3.013040832845983896e+00
1.027131501638696682e+04,3.011498676795505425e+00
1.027131518165812304e+04,3.009956904884873552e+00
1.027131534692927926e+04,3.008415517107998927e+00
1.027131551220043730e+04,3.006874513458823728e+00
1.027131567747159352e+04,3.005333893982146343e+00
1.027131584274274974e+04,3.003793658671897404e+00
1.027131600801390596e+04,3.002253807538961983e+00
1.027131617328506400e+04,3.000714340577269823e+00
1.027131633855622022e+04,2.999175257831594887e+00
1.027131650382737644e+04,2.997636559295866032e+00
1.027131666909853448e+04,2.996098244964019663e+00
1.027131683436969070e+04,2.994560314880796881e+00
1.027131699964084692e+04,2.993022769040121212e+00
1.027131716491200496e+04,2.991485607435953931e+00
1.027131733018316118e+04,2.989948830112979294e+00
1.027131749545431740e+04,2.988412437065145699e+00
1.027131766072547362e+04,2.986876428303301356e+00
1.027131782599663165e+04,2.985340803821407540e+00
1.027131799126778787e+04,2.983805563664110316e+00
1.027131815653894409e+04,2.982270707825364742e+00
1.027131832181010213e+04,2.980736236299112552e+00
1.027131848708125835e+04,2.979202149129994037e+00
1.027131865235241457e+04,2.977668446311944717e+00
1.027131881762357079e+04,2.976135127855800366e+00
1.027131898289472883e+04,2.974602193755540469e+00
1.027131914816588505e+04,2.973069644055722272e+00
1.027131931343704127e+04,2.971537478750307493e+00
1.027131947870819931e+04,2.970005697833269842e+00
1.027131964397935553e+04,2.968474301349140809e+00
1.027131980925051175e+04,2.966943289291894992e+00
1.027131997452166797e+04,2.965412661672334416e+00
1.027132013979282601e+04,2.963882418484447445e+00
1.027132030506398223e+04,2.962352559772726046e+00
1.027132047033513845e+04,2.960823085531132381e+00
1.027132063560629649e+04,2.959293995753652595e+00
1.027132080087745271e+04,2.957765290484742238e+00
1.027132096614860893e+04,2.956236969718381680e+00
1.027132113141976515e+04,2.954709033465360957e+00
1.027132129669092319e+04,2.953181481719667545e+00
1.027132146196207941e+04,2.951654314525717471e+00
1.027132162723323563e+04,2.950127531877498654e+00
1.027132179250439367e+04,2.948601133768996796e+00
1.027132195777554989e+04,2.947075120244584845e+00
1.027132212304670611e+04,2.945549491298255607e+00
1.027132228831786233e+04,2.944024246940787126e+00
1.027132245358902037e+04,2.942499387166178426e+00
1.027132261886017659e+04,2.940974912018764265e+00
1.027132278413133281e+04,2.939450821492530785e+00
1.027132294940249085e+04,2.937927115581490778e+00
1.027132311467364707e+04,2.936403794329939476e+00
1.027132327994480329e+04,2.934880857731864356e+00
1.027132344521595951e+04,2.933358305798042576e+00
1.027132361048711755e+04,2.931836138522461610e+00
1.027132377575827377e+04,2.930314355949403815e+00
1.027132394102942999e+04,2.928792958072849562e+00
1.027132410630058803e+04,2.927271944886818300e+00
1.027132427157174425e+04,2.925751316435547977e+00
1.027132443684290047e+04,2.924231072713019408e+00
1.027132460211405851e+04,2.922711213713263589e+00
1.027132476738521473e+04,2.921191739480467842e+00
1.027132493265637095e+04,2.919672650008651171e+00
1.027132509792752717e+04,2.918153945308528119e+00
1.027132526319868521e+04,2.916635625374135454e+00
1.027132542846984143e+04,2.915117690249623195e+00
1.027132559374099765e+04,2.913600139928996580e+00
1.027132575901215569e+04,2.912082974406294156e+00
1.027132592428331191e+04,2.910566193725613982e+00
1.027132608955446813e+04,2.909049797880987498e+00
1.027132625482562435e+04,2.907533786883128357e+00
1.027132642009678239e+04,2.906018160726061783e+00
1.027132658536793861e+04,2.904502919453873400e+00
1.027132675063909483e+04,2.902988063060569335e+00
1.027132691591025286e+04,2.901473591540193464e+00
1.027132708118140908e+04,2.899959504936793664e+00
1.027132724645256530e+04,2.898445803244387609e+00
1.027132741172372153e+04,2.896932486473671187e+00
1.027132757699487956e+04,2.895419554618694491e+00
1.027132774226603578e+04,2.893907007723441005e+00
1.027132790753719200e+04,2.892394845781955492e+00
1.027132807280835004e+04,2.890883068788281385e+00
1.027132823807950626e+04,2.889371676786371079e+00
1.027132840335066248e+04,2.887860669770274669e+00
1.027132856862181870e+04,2.886350047750661396e+00
1.027132873389297674e+04,2.884839810721588904e+00
1.027132889916413296e+04,2.883329958726976727e+00
1.027132906443528918e+04,2.881820491760856306e+00
1.027132922970644722e+04,2.880311409817303936e+00
1.027132939497760344e+04,2.878802712940181863e+00
1.027132956024875966e+04,2.877294401123553058e+00
1.027132972551991588e+04,2.875786474378068558e+00
1.027132989079107392e+04,2.874278932697797551e+00
1.027133005606223014e+04,2.872771776126571197e+00
1.027133022133338636e+04,2.871265004658452025e+00
1.027133038660454440e+04,2.869758618287504337e+00
1.027133055187570062e+04,2.868252617057525988e+00
1.027133071714685684e+04,2.866747000962593717e+00
1.027133088241801306e+04,2.865241770013325695e+00
1.027133104768917110e+04,2.863736924203810652e+00
1.027133121296032732e+04,2.862232463577803365e+00
1.027133137823148354e+04,2.860728388129366362e+00
1.027133154350264158e+04,2.859224697852589259e+00
1.027133170877379780e+04,2.857721392791187309e+00
1.027133187404495402e+04,2.856218472939230590e+00
1.027133203931611024e+04,2.854715938307344381e+00
1.027133220458726828e+04,2.853213788889603642e+00
1.027133236985842450e+04,2.851712024729705863e+00
1.027133253512958072e+04,2.850210645821714905e+00
1.027133270040073876e+04,2.848709652159724826e+00
1.027133286567189498e+04,2.847209043787382488e+00
1.027133303094305120e+04,2.845708820698763741e+00
1.027133319621420924e+04,2.844208982887976411e+00
1.027133336148536546e+04,2.842709530398614959e+00
1.027133352675652168e+04,2.841210463224781879e+00
1.027133369202767790e+04,2.839711781377056710e+00
1.027133385729883594e+04,2.838213484849547719e+00
1.027133402256999216e+04,2.836715573685824499e+00
1.027133418784114838e+04,2.835218047879969117e+00
1.027133435311230642e+04,2.833720907426096058e+00
1.027133451838346264e+04,2.832224152367742942e+00
1.027133468365461886e+04,2.830727782698992279e+00
1.027133484892577508e+04,2.829231798430430267e+00
1.027133501419693312e+04,2.827736199556158958e+00
1.027133517946808934e+04,2.826240986119677778e+00
1.027133534473924556e+04,2.824746158115075456e+00
1.027133551001040360e+04,2.823251715536485129e+00
1.027133567528155982e+04,2.821757658427348936e+00
1.027133584055271604e+04,2.820263986781775145e+00
1.027133600582387226e+04,2.818770700610324642e+00
1.027133617109503029e+04,2.817277799907117686e+00
1.027133633636618652e+04,2.815785284715565329e+00
1.027133650163734274e+04,2.814293155029775395e+00
1.027133666690850077e+04,2.812801410843880578e+00
1.027133683217965699e+04,2.811310052201259957e+00
1.027133699745081321e+04,2.809819079096020911e+00
1.027133716272196943e+04,2.808328491538699456e+00
1.027133732799312747e+04,2.806838289523448271e+00
1.027133749326428369e+04,2.805348473093574935e+00
1.027133765853543991e+04,2.803859042243220134e+00
1.027133782380659795e+04,2.802369996966510346e+00
1.027133798907775417e+04,2.800881337306754038e+00
1.027133815434891039e+04,2.799393063258071912e+00
1.027133831962006661e+04,2.797905174830980446e+00
1.027133848489122465e+04,2.796417672019625655e+00
1.027133865016238087e+04,2.794930554867264938e+00
1.027133881543353709e+04,2.793443823368025658e+00
1.027133898070469513e+04,2.791957477516060049e+00
1.027133914597585135e+04,2.790471517354587316e+00
1.027133931124700757e+04,2.788985942877747259e+00
1.027133947651816379e+04,2.787500754096031041e+00
1.027133964178932183e+04,2.786015951003603774e+00
1.027133980706047805e+04,2.784531533643633150e+00
1.027133997233163427e+04,2.783047502010266072e+00
