Time (BJD_TBD - 2450000), F_g/F_star (ppm)
9.903683680555783212e+03,3.879942842848710427e+01
9.903683703452748887e+03,3.880009319693692760e+01
9.903683726349714561e+03,3.880075796845050462e+01
9.903683749246680236e+03,3.880142274302770744e+01
9.903683772143645911e+03,3.880208752066847921e+01
9.903683795040611585e+03,3.880275230137272757e+01
9.903683817937577260e+03,3.880341708514033883e+01
9.903683840834542934e+03,3.880408187197125613e+01
9.903683863731508609e+03,3.880474666186535870e+01
9.903683886628474283e+03,3.880541145482255416e+01
9.903683909525439958e+03,3.880607625084279277e+01
9.903683932422405633e+03,3.880674104992594664e+01
9.903683955319371307e+03,3.880740585207193760e+01
9.903683978216336982e+03,3.880807065728067329e+01
9.903684001113302656e+03,3.880873546555206133e+01
9.903684024010268331e+03,3.880940027688603067e+01
9.903684046907234006e+03,3.881006509128246051e+01
9.903684069804199680e+03,3.881072990874128692e+01
9.903684092701163536e+03,3.881139472920957445e+01
9.903684115598129210e+03,3.881205955279290265e+01
9.903684138495094885e+03,3.881272437943833609e+01
9.903684161392060560e+03,3.881338920914580370e+01
9.903684184289026234e+03,3.881405404191519892e+01
9.903684207185991909e+03,3.881471887774643648e+01
9.903684230082957583e+03,3.881538371663943821e+01
9.903684252979923258e+03,3.881604855859409753e+01
9.903684275876888933e+03,3.881671340361034339e+01
9.903684298773854607e+03,3.881737825168805500e+01
9.903684321670820282e+03,3.881804310282716841e+01
9.903684344567785956e+03,3.881870795702759125e+01
9.903684367464751631e+03,3.881937281428921693e+01
9.903684390361717305e+03,3.882003767461198152e+01
9.903684413258682980e+03,3.882070253799575710e+01
9.903684436155648655e+03,3.882136740444048684e+01
9.903684459052614329e+03,3.882203227394607836e+01
9.903684481949580004e+03,3.882269714651241799e+01
9.903684504846545678e+03,3.882336202213945597e+01
9.903684527743511353e+03,3.882402690082704311e+01
9.903684550640477028e+03,3.882469178257513676e+01
9.903684573537442702e+03,3.882535666738363744e+01
9.903684596434408377e+03,3.882602155525245280e+01
9.903684619331374051e+03,3.882668644618148335e+01
9.903684642228339726e+03,3.882735134017065803e+01
9.903684665125305401e+03,3.882801623721984896e+01
9.903684688022271075e+03,3.882868113732901350e+01
9.903684710919236750e+03,3.882934604049802374e+01
9.903684733816202424e+03,3.883001094672680154e+01
9.903684756713168099e+03,3.883067585601527583e+01
9.903684779610133774e+03,3.883134076836333293e+01
9.903684802507099448e+03,3.883200568377089468e+01
9.903684825404065123e+03,3.883267060223786160e+01
9.903684848301030797e+03,3.883333552376414133e+01
9.903684871197996472e+03,3.883400044834966991e+01
9.903684894094960327e+03,3.883466537594150481e+01
