Time (BJD_TBD - 2450000), L_g/L_star (ppm)
7.260000000000000000e+03,1.513618745336759375e+01
7.260003000300030180e+03,1.517122243059534625e+01
7.260006000600060361e+03,1.520628022348899222e+01
7.260009000900089632e+03,1.524136075040196125e+01
7.260012001200119812e+03,1.527646392966671485e+01
7.260015001500149992e+03,1.531158967953096628e+01
7.260018001800180173e+03,1.534673791820057787e+01
7.260021002100210353e+03,1.538190856382902716e+01
7.260024002400239624e+03,1.541710153450693532e+01
7.260027002700269804e+03,1.545231674830496971e+01
7.260030003000299985e+03,1.548755412320992875e+01
7.260033003300330165e+03,1.552281357716778842e+01
7.260036003600360345e+03,1.555809502807299438e+01
7.260039003900389616e+03,1.559339839375813241e+01
7.260042004200419797e+03,1.562872359203687189e+01
7.260045004500449977e+03,1.566407054063987836e+01
7.260048004800480157e+03,1.569943915725792216e+01
7.260051005100510338e+03,1.573482935953130912e+01
7.260054005400539609e+03,1.577024106503933254e+01
7.260057005700569789e+03,1.580567419134344398e+01
7.260060006000599969e+03,1.584112865592295805e+01
7.260063006300630150e+03,1.587660437621828002e+01
7.260066006600660330e+03,1.591210126962031346e+01
7.260069006900690511e+03,1.594761925347066800e+01
7.260072007200719781e+03,1.598315824505100657e+01
7.260075007500749962e+03,1.601871816162646311e+01
7.260078007800780142e+03,1.605429892038110395e+01
7.260081008100810323e+03,1.608990043846122830e+01
7.260084008400840503e+03,1.612552263296481669e+01
7.260087008700869774e+03,1.616116542093084618e+01
7.260090009000899954e+03,1.619682871938280400e+01
7.260093009300930134e+03,1.623251244526398196e+01
7.260096009600960315e+03,1.626821651548091907e+01
7.260099009900990495e+03,1.630394084689279666e+01
7.260102010201019766e+03,1.633968535630068786e+01
7.260105010501049946e+03,1.637544996049134127e+01
7.260108010801080127e+03,1.641123457617205972e+01
7.260111011101110307e+03,1.644703912001446611e+01
7.260114011401140488e+03,1.648286350864375649e+01
7.260117011701169758e+03,1.651870765862805257e+01
7.260120012001199939e+03,1.655457148652203259e+01
7.260123012301230119e+03,1.659045490880199480e+01
7.260126012601260300e+03,1.662635784190945287e+01
7.260129012901290480e+03,1.666228020224049544e+01
7.260132013201319751e+03,1.669822190613508184e+01
7.260135013501349931e+03,1.673418286992077242e+01
7.260138013801380112e+03,1.677016300984765707e+01
7.260141014101410292e+03,1.680616224213204646e+01
7.260144014401440472e+03,1.684218048294571446e+01
7.260147014701469743e+03,1.687821764840540695e+01
7.260150015001499924e+03,1.691427365461641585e+01
7.260153015301530104e+03,1.695034841760747923e+01
7.260156015601560284e+03,1.698644185337457557e+01
7.260159015901590465e+03,1.702255387787011998e+01
7.260162016201619736e+03,1.705868440699243394e+01
7.260165016501649916e+03,1.709483335662947212e+01
7.260168016801680096e+03,1.713100064259350219e+01
7.260171017101710277e+03,1.716718618066503765e+01
7.260174017401740457e+03,1.720338988658209090e+01
7.260177017701769728e+03,1.723961167602939426e+01
7.260180018001799908e+03,1.727585146468246080e+01
7.260183018301830089e+03,1.731210916814202250e+01
7.260186018601860269e+03,1.734838470197803417e+01
7.260189018901890449e+03,1.738467798171896561e+01
7.260192019201920630e+03,1.742098892285189393e+01
7.260195019501949901e+03,1.745731744081180992e+01
7.260198019801980081e+03,1.749366345102581022e+01
7.260201020102010261e+03,1.753002686884721939e+01
7.260204020402040442e+03,1.756640760959984604e+01
7.260207020702070622e+03,1.760280558856708666e+01
7.260210021002099893e+03,1.763922072098130300e+01
7.260213021302130073e+03,1.767565292206790417e+01
7.260216021602160254e+03,1.771210210697944021e+01
7.260219021902190434e+03,1.774856819084006432e+01
7.260222022202220614e+03,1.778505108873444485e+01
7.260225022502249885e+03,1.782155071569710714e+01
7.260228022802280066e+03,1.785806698675682469e+01
7.260231023102310246e+03,1.789459981687032553e+01
7.260234023402340426e+03,1.793114912096699598e+01
7.260237023702370607e+03,1.796771481393772163e+01
7.260240024002399878e+03,1.800429681062419007e+01
7.260243024302430058e+03,1.804089502586340998e+01
7.260246024602460238e+03,1.807750937442132866e+01
7.260249024902490419e+03,1.811413977103743633e+01
7.260252025202520599e+03,1.815078613041380962e+01
7.260255025502549870e+03,1.818744836720427926e+01
7.260258025802580050e+03,1.822412639605904516e+01
7.260261026102610231e+03,1.826082013155820505e+01
7.260264026402640411e+03,1.829752948825631975e+01
7.260267026702670591e+03,1.833425438067166624e+01
7.260270027002699862e+03,1.837099472327515315e+01
7.260273027302730043e+03,1.840775043053514892e+01
7.260276027602760223e+03,1.844452141685084712e+01
7.260279027902790403e+03,1.848130759659690270e+01
7.260282028202820584e+03,1.851810888411275613e+01
7.260285028502849855e+03,1.855492519369137128e+01
7.260288028802880035e+03,1.859175643962421631e+01
7.260291029102910215e+03,1.862860253613460770e+01
7.260294029402940396e+03,1.866546339742233585e+01
7.260297029702970576e+03,1.870233893765283995e+01
7.260300030002999847e+03,1.873922907094623014e+01
7.260303030303030027e+03,1.877613371142209076e+01
7.260306030603060208e+03,1.881305277313282431e+01
7.260309030903090388e+03,1.884998617010828070e+01
7.260312031203120569e+03,1.888693381634502089e+01
7.260315031503150749e+03,1.892389562580640927e+01
7.260318031803180020e+03,1.896087151241158963e+01
7.260321032103210200e+03,1.899786139008061525e+01
7.260324032403240381e+03,1.903486517266724576e+01
7.260327032703270561e+03,1.907188277400413767e+01
