Time (BJD_TBD - 2450000), L_g/L_star (ppm)
1.061386530092591420e+04,3.588680590909629586e+01
1.061386531688121431e+04,3.588662367739030401e+01
1.061386533283651261e+04,3.588644144498613286e+01
1.061386534879181272e+04,3.588625921184222278e+01
1.061386536474711102e+04,3.588607697800015472e+01
1.061386538070241113e+04,3.588589474341838326e+01
1.061386539665770943e+04,3.588571250813849645e+01
1.061386541261300954e+04,3.588553027211889201e+01
1.061386542856830783e+04,3.588534803540119356e+01
1.061386544452360795e+04,3.588516579794384853e+01
1.061386546047890624e+04,3.588498355978840948e+01
1.061386547643420636e+04,3.588480132089334518e+01
1.061386549238950465e+04,3.588461908130020817e+01
1.061386550834480477e+04,3.588443684096745301e+01
1.061386552430010306e+04,3.588425459993667488e+01
1.061386554025540318e+04,3.588407235816631413e+01
1.061386555621070147e+04,3.588389011569793041e+01
1.061386557216600158e+04,3.588370787248998539e+01
1.061386558812129988e+04,3.588352562858404582e+01
1.061386560407659999e+04,3.588334338393857337e+01
1.061386562003189829e+04,3.588316113859514900e+01
1.061386563598719840e+04,3.588297889251218464e+01
1.061386565194249670e+04,3.588279664573128258e+01
1.061386566789779681e+04,3.588261439821091159e+01
1.061386568385309511e+04,3.588243214999261710e+01
1.061386569980839522e+04,3.588224990103484657e+01
1.061386571576369352e+04,3.588206765137918097e+01
1.061386573171899363e+04,3.588188540098408907e+01
1.061386574767429192e+04,3.588170314989111631e+01
1.061386576362959204e+04,3.588152089805873146e+01
1.061386577958489033e+04,3.588133864552847996e+01
1.061386579554019045e+04,3.588115639225885189e+01
1.061386581149549056e+04,3.588097413827062354e+01
1.061386582745078886e+04,3.588079188358459248e+01
1.061386584340608897e+04,3.588060962815919197e+01
1.061386585936138727e+04,3.588042737203601718e+01
1.061386587531668738e+04,3.588024511517348714e+01
1.061386589127198567e+04,3.588006285761320413e+01
1.061386590722728579e+04,3.587988059931362272e+01
1.061386592318258408e+04,3.587969834031630256e+01
1.061386593913788420e+04,3.587951608057968400e+01
1.061386595509318249e+04,3.587933382014535511e+01
1.061386597104848261e+04,3.587915155897176334e+01
1.061386598700378090e+04,3.587896929710050387e+01
1.061386600295908102e+04,3.587878703448997442e+01
1.061386601891437931e+04,3.587860477118179148e+01
1.061386603486967942e+04,3.587842250713439540e+01
1.061386605082497772e+04,3.587824024238936005e+01
1.061386606678027783e+04,3.587805797690513288e+01
1.061386608273557613e+04,3.587787571072328774e+01
1.061386609869087624e+04,3.587769344380227210e+01
1.061386611464617454e+04,3.587751117618367402e+01
1.061386613060147465e+04,3.587732890782594097e+01
1.061386614655677295e+04,3.587714663877060417e+01
1.061386616251207306e+04,3.587696436897617502e+01
1.061386617846737136e+04,3.587678209848419897e+01
1.061386619442267147e+04,3.587659982725312346e+01
1.061386621037796976e+04,3.587641755532452947e+01
1.061386622633326988e+04,3.587623528265687156e+01
1.061386624228856817e+04,3.587605300929170937e+01
1.061386625824386829e+04,3.587587073518749747e+01
1.061386627419916658e+04,3.587568846038581682e+01
1.061386629015446670e+04,3.587550618484512199e+01
1.061386630610976681e+04,3.587532390858618214e+01
1.061386632206506511e+04,3.587514163162980907e+01
1.061386633802036522e+04,3.587495935393446445e+01
1.061386635397566351e+04,3.587477707554168660e+01
1.061386636993096363e+04,3.587459479640995852e+01
1.061386638588626192e+04,3.587441251658083985e+01
1.061386640184156204e+04,3.587423023601277805e+01
1.061386641779686033e+04,3.587404795474736829e+01
1.061386643375216045e+04,3.587386567274301541e+01
1.061386644970745874e+04,3.587368339004132878e+01
1.061386646566275886e+04,3.587350110660076297e+01
1.061386648161805715e+04,3.587331882246287762e+01
1.061386649757335726e+04,3.587313653758612730e+01
1.061386651352865556e+04,3.587295425201207166e+01
1.061386652948395567e+04,3.587277196569919369e+01
1.061386654543925397e+04,3.587258967868902459e+01
1.061386656139455408e+04,3.587240739094006869e+01
1.061386657734985238e+04,3.587222510249384300e+01
1.061386659330515249e+04,3.587204281330882338e+01
1.061386660926045079e+04,3.587186052342658371e+01
1.061386662521575090e+04,3.587167823280557855e+01
1.061386664117104920e+04,3.587149594148738885e+01
1.061386665712634931e+04,3.587131364943043366e+01
1.061386667308164760e+04,3.587113135667630814e+01
1.061386668903694772e+04,3.587094906318346688e+01
1.061386670499224601e+04,3.587076676899347660e+01
1.061386672094754613e+04,3.587058447406478479e+01
1.061386673690284442e+04,3.587040217843896528e+01
1.061386675285814454e+04,3.587021988207447265e+01
1.061386676881344283e+04,3.587003758501288075e+01
1.061386678476874295e+04,3.586985528721264416e+01
1.061386680072404306e+04,3.586967298869453913e+01
1.061386681667934135e+04,3.586949068947937747e+01
1.061386683263464147e+04,3.586930838952559242e+01
1.061386684858993976e+04,3.586912608887477916e+01
1.061386686454523988e+04,3.586894378748537804e+01
1.061386688050053817e+04,3.586876148539893450e+01
1.061386689645583829e+04,3.586857918257393862e+01
1.061386691241113658e+04,3.586839687905196428e+01
1.061386692836643670e+04,3.586821457479143760e+01
1.061386694432173499e+04,3.586803226983394666e+01
1.061386696027703510e+04,3.586784996413792470e+01
1.061386697623233340e+04,3.586766765774497401e+01
1.061386699218763351e+04,3.586748535061350651e+01
1.061386700814293181e+04,3.586730304278514581e+01
1.061386702409823192e+04,3.586712073421829672e+01
1.061386704005353022e+04,3.586693842495456153e+01
1.061386705600883033e+04,3.586675611495236637e+01
1.061386707196412863e+04,3.586657380425330643e+01
1.061386708791942874e+04,3.586639149281582917e+01
1.061386710387472704e+04,3.586620918068148711e+01
1.061386711983002715e+04,3.586602686780876326e+01
1.061386713578532544e+04,3.586584455423921725e+01
1.061386715174062556e+04,3.586566223993128943e+01
1.061386716769592385e+04,3.586547992492656078e+01
1.061386718365122397e+04,3.586529760918347876e+01
1.061386719960652226e+04,3.586511529274363141e+01
1.061386721556182238e+04,3.586493297556544491e+01
1.061386723151712067e+04,3.586475065769050730e+01
1.061386724747242079e+04,3.586456833907726605e+01
1.061386726342771908e+04,3.586438601976730922e+01
1.061386727938301919e+04,3.586420369971906297e+01
1.061386729533831931e+04,3.586402137895333198e+01
1.061386731129361760e+04,3.586383905749092094e+01
1.061386732724891772e+04,3.586365673529024178e+01
1.061386734320421601e+04,3.586347441239290390e+01
1.061386735915951613e+04,3.586329208875736896e+01
1.061386737511481442e+04,3.586310976442518239e+01
1.061386739107011454e+04,3.586292743935478455e+01
1.061386740702541283e+04,3.586274511358777062e+01
1.061386742298071294e+04,3.586256278708258804e+01
1.061386743893601124e+04,3.586238045988081780e+01
1.061386745489131135e+04,3.586219813194089312e+01
1.061386747084660965e+04,3.586201580330439498e+01
1.061386748680190976e+04,3.586183347392977794e+01
1.061386750275720806e+04,3.586165114385861585e+01
1.061386751871250817e+04,3.586146881304935619e+01
1.061386753466780647e+04,3.586128648154356569e+01
1.061386755062310658e+04,3.586110414929969892e+01
1.061386756657840488e+04,3.586092181635935106e+01
1.061386758253370499e+04,3.586073948268094114e+01
1.061386759848900329e+04,3.586055714830604302e+01
1.061386761444430340e+04,3.586037481319313258e+01
1.061386763039960169e+04,3.586019247738376947e+01
1.061386764635490181e+04,3.586001014083639404e+01
1.061386766231020010e+04,3.585982780359260147e+01
1.061386767826550022e+04,3.585964546561081789e+01
1.061386769422079851e+04,3.585946312693263138e+01
1.061386771017609863e+04,3.585928078751649650e+01
1.061386772613139692e+04,3.585909844740398711e+01
1.061386774208669704e+04,3.585891610655354356e+01
1.061386775804199533e+04,3.585873376500674681e+01
1.061386777399729544e+04,3.585855142272203722e+01
1.061386778995259556e+04,3.585836907972021237e+01
1.061386780590789385e+04,3.585818673602208406e+01
1.061386782186319397e+04,3.585800439158606423e+01
1.061386783781849226e+04,3.585782204645376936e+01
1.061386785377379238e+04,3.585763970058360428e+01
1.061386786972909067e+04,3.585745735401718548e+01
1.061386788568439079e+04,3.585727500671293910e+01
1.061386790163968908e+04,3.585709265871243900e+01
1.061386791759498919e+04,3.585691030997414686e+01
1.061386793355028749e+04,3.585672796053963651e+01
1.061386794950558760e+04,3.585654561036734123e+01
1.061386796546088590e+04,3.585636325949885617e+01
1.061386798141618601e+04,3.585618090789261458e+01
1.061386799737148431e+04,3.585599855559019744e+01
1.061386801332678442e+04,3.585581620255005930e+01
1.061386802928208272e+04,3.585563384881375981e+01
1.061386804523738283e+04,3.585545149433976064e+01
1.061386806119268113e+04,3.585526913916963565e+01
1.061386807714798124e+04,3.585508678326183230e+01
1.061386809310327953e+04,3.585490442665792443e+01
1.061386810905857965e+04,3.585472206931637373e+01
1.061386812501387794e+04,3.585453971127872563e+01
1.061386814096917806e+04,3.585435735250344891e+01
1.061386815692447635e+04,3.585417499303213873e+01
1.061386817287977647e+04,3.585399263282319993e+01
1.061386818883507476e+04,3.585381027191822767e+01
1.061386820479037488e+04,3.585362791027568363e+01
1.061386822074567317e+04,3.585344554793713456e+01
1.061386823670097328e+04,3.585326318486102792e+01
1.061386825265627158e+04,3.585308082108893046e+01
1.061386826861157169e+04,3.585289845657927543e+01
1.061386828456687181e+04,3.585271609135291015e+01
1.061386830052217010e+04,3.585253372543059669e+01
1.061386831647747022e+04,3.585235135877078250e+01
1.061386833243276851e+04,3.585216899141504143e+01
1.061386834838806863e+04,3.585198662332182096e+01
1.061386836434336692e+04,3.585180425453271624e+01
1.061386838029866703e+04,3.585162188500615343e+01
1.061386839625396533e+04,3.585143951478372060e+01
1.061386841220926544e+04,3.585125714382384388e+01
1.061386842816456374e+04,3.585107477216813976e+01
1.061386844411986385e+04,3.585089239977500597e+01
1.061386846007516215e+04,3.585071002668608031e+01
1.061386847603046226e+04,3.585052765285974630e+01
1.061386849198576056e+04,3.585034527833760620e+01
1.061386850794106067e+04,3.585016290307812881e+01
1.061386852389635897e+04,3.584998052712286665e+01
1.061386853985165908e+04,3.584979815043027429e+01
1.061386855580695737e+04,3.584961577304191849e+01
1.061386857176225749e+04,3.584943339491626801e+01
1.061386858771755578e+04,3.584925101609490383e+01
1.061386860367285590e+04,3.584906863653623077e+01
1.061386861962815419e+04,3.584888625628184400e+01
1.061386863558345431e+04,3.584870387529021940e+01
1.061386865153875260e+04,3.584852149360290952e+01
1.061386866749405272e+04,3.584833911117835470e+01
1.061386868344935101e+04,3.584815672805815012e+01
1.061386869940465112e+04,3.584797434420072193e+01
1.061386871535994942e+04,3.584779195964767240e+01
1.061386873131524953e+04,3.584760957435743478e+01
1.061386874727054783e+04,3.584742718837159714e+01
