Time (BJD_TBD - 2450000), F_star + F_g (mJy)
9.880038437500130385e+03,2.557620250895241920e+00
9.880038456059855889e+03,2.557620250895241920e+00
9.880038474619583212e+03,2.557620250895241920e+00
9.880038493179308716e+03,2.557620250895241920e+00
9.880038511739036039e+03,2.557620250895241920e+00
9.880038530298761543e+03,2.557620250895241920e+00
9.880038548858488866e+03,2.557620250895241920e+00
9.880038567418214370e+03,2.557620250895241920e+00
9.880038585977941693e+03,2.557620250895241920e+00
9.880038604537667197e+03,2.557620250895241920e+00
9.880038623097394520e+03,2.557620250895241920e+00
9.880038641657120024e+03,2.557620250895241920e+00
9.880038660216847347e+03,2.557620250895241920e+00
9.880038678776572851e+03,2.557620250895241920e+00
9.880038697336298355e+03,2.557620250895241920e+00
9.880038715896025678e+03,2.557620250895241920e+00
9.880038734455751182e+03,2.557620250895241920e+00
9.880038753015478505e+03,2.557620250895241920e+00
9.880038771575204009e+03,2.557620250895241920e+00
9.880038790134931332e+03,2.557620250895241920e+00
9.880038808694656836e+03,2.557620250895241920e+00
9.880038827254384159e+03,2.557620250895241920e+00
9.880038845814109663e+03,2.557620250895241920e+00
9.880038864373836986e+03,2.557620250895241920e+00
9.880038882933562491e+03,2.557620250895241920e+00
9.880038901493289814e+03,2.557620250895241920e+00
9.880038920053015318e+03,2.557620250895241920e+00
9.880038938612740822e+03,2.557620250895241920e+00
9.880038957172468145e+03,2.557620250895241920e+00
9.880038975732193649e+03,2.557620250895241920e+00
9.880038994291920972e+03,2.557620250895241920e+00
9.880039012851646476e+03,2.557620250895241920e+00
9.880039031411373799e+03,2.557620250895241920e+00
9.880039049971099303e+03,2.557620250895241920e+00
9.880039068530826626e+03,2.557620250895241920e+00
9.880039087090552130e+03,2.557620250895241920e+00
9.880039105650279453e+03,2.557620250895241920e+00
9.880039124210004957e+03,2.557620250895241920e+00
9.880039142769732280e+03,2.557620250895241920e+00
9.880039161329457784e+03,2.557620250895241920e+00
9.880039179889183288e+03,2.557620250895241920e+00
9.880039198448910611e+03,2.557620250895241920e+00
9.880039217008636115e+03,2.557620250895241920e+00
9.880039235568363438e+03,2.557620250895241920e+00
9.880039254128088942e+03,2.557620250895241920e+00
9.880039272687816265e+03,2.557620250895241920e+00
9.880039291247541769e+03,2.557620250895241920e+00
9.880039309807269092e+03,2.557620250895241920e+00
9.880039328366994596e+03,2.557620250895241920e+00
9.880039346926721919e+03,2.557620250895241920e+00
9.880039365486447423e+03,2.557620250895241920e+00
9.880039384046174746e+03,2.557620250895241920e+00
9.880039402605900250e+03,2.557620250895241920e+00
9.880039421165625754e+03,2.557620250895241920e+00
9.880039439725353077e+03,2.557620250895241920e+00
9.880039458285078581e+03,2.557620250895241920e+00
9.880039476844805904e+03,2.557620250895241920e+00
9.880039495404531408e+03,2.557620250895241920e+00
9.880039513964258731e+03,2.557620250895241920e+00
9.880039532523984235e+03,2.557620250895241920e+00
9.880039551083711558e+03,2.557620250895241920e+00
9.880039569643437062e+03,2.557620250895241920e+00
9.880039588203164385e+03,2.557620250895241920e+00
9.880039606762889889e+03,2.557620250895241920e+00
9.880039625322617212e+03,2.557620250895241920e+00
9.880039643882342716e+03,2.557620250895241920e+00
9.880039662442068220e+03,2.557620250895241920e+00
9.880039681001795543e+03,2.557620250895241920e+00
9.880039699561521047e+03,2.557620250895241920e+00
9.880039718121248370e+03,2.557620250895241920e+00
9.880039736680973874e+03,2.557620250895241920e+00
9.880039755240701197e+03,2.557620250895241920e+00
9.880039773800426701e+03,2.557620250895241920e+00
9.880039792360154024e+03,2.557620250895241920e+00
9.880039810919879528e+03,2.557620250895241920e+00
9.880039829479606851e+03,2.557620250895241920e+00
9.880039848039332355e+03,2.557620250895241920e+00
9.880039866599059678e+03,2.557620250895241920e+00
9.880039885158785182e+03,2.557620250895241920e+00
9.880039903718510686e+03,2.557620250895241920e+00
9.880039922278238009e+03,2.557620250895241920e+00
9.880039940837963513e+03,2.557620250895241920e+00
9.880039959397690836e+03,2.557620250895241920e+00
9.880039977957416340e+03,2.557620250895241920e+00
9.880039996517143663e+03,2.557620250895241920e+00
9.880040015076869167e+03,2.557620250895241920e+00
9.880040033636596490e+03,2.557620250895241920e+00
9.880040052196321994e+03,2.557620250895241920e+00
9.880040070756049317e+03,2.557620250895241920e+00
9.880040089315774821e+03,2.557620250895241920e+00
9.880040107875502144e+03,2.557620250895241920e+00
9.880040126435227648e+03,2.557620250895241920e+00
9.880040144994953152e+03,2.557620250895241920e+00
9.880040163554680475e+03,2.557620250895241920e+00
9.880040182114405980e+03,2.557620250895241920e+00
9.880040200674133303e+03,2.557620250895241920e+00
9.880040219233858807e+03,2.557620250895241920e+00
9.880040237793586130e+03,2.557620250895241920e+00
9.880040256353311634e+03,2.557620250895241920e+00
9.880040274913038957e+03,2.557620250895241920e+00
9.880040293472764461e+03,2.557620250895241920e+00
9.880040312032491784e+03,2.557620250895241920e+00
9.880040330592217288e+03,2.557620250895241920e+00
9.880040349151944611e+03,2.557620250895241920e+00
9.880040367711670115e+03,2.557620250895241920e+00
9.880040386271395619e+03,2.557620250895241920e+00
9.880040404831122942e+03,2.557620250895241920e+00
9.880040423390848446e+03,2.557620250895241920e+00
9.880040441950575769e+03,2.557620250895241920e+00
9.880040460510301273e+03,2.557620250895241920e+00
9.880040479070028596e+03,2.557620250895241920e+00
