Time (BJD_TBD - 2450000), F_g/F_star (ppm)
1.013184277777792886e+04,3.995137403061648484e+01
1.013184279854968190e+04,3.995137403061648484e+01
1.013184281932143494e+04,3.995137403061648484e+01
1.013184284009318799e+04,3.995137403061648484e+01
1.013184286086494103e+04,3.995137403061648484e+01
1.013184288163669407e+04,3.995137403061648484e+01
1.013184290240844712e+04,3.995137403061648484e+01
1.013184292318020016e+04,3.995137403061648484e+01
1.013184294395195320e+04,3.995137403061648484e+01
1.013184296472370625e+04,3.995137403061648484e+01
1.013184298549545929e+04,3.995137403061648484e+01
1.013184300626721233e+04,3.995137403061648484e+01
1.013184302703896537e+04,3.995137403061648484e+01
1.013184304781071842e+04,3.995137403061648484e+01
1.013184306858247146e+04,3.995137403061648484e+01
1.013184308935422450e+04,3.995137403061648484e+01
1.013184311012597936e+04,3.995137403061648484e+01
1.013184313089773241e+04,3.995137403061648484e+01
1.013184315166948545e+04,3.995137403061648484e+01
1.013184317244123849e+04,3.995137403061648484e+01
1.013184319321299154e+04,3.995137403061648484e+01
1.013184321398474458e+04,3.995137403061648484e+01
1.013184323475649762e+04,3.995137403061648484e+01
1.013184325552825067e+04,3.995137403061648484e+01
1.013184327630000371e+04,3.995137403061648484e+01
1.013184329707175675e+04,3.995137403061648484e+01
1.013184331784350979e+04,3.995137403061648484e+01
1.013184333861526284e+04,3.995137403061648484e+01
1.013184335938701588e+04,3.995137403061648484e+01
1.013184338015876892e+04,3.995137403061648484e+01
1.013184340093052197e+04,3.995137403061648484e+01
1.013184342170227501e+04,3.995137403061648484e+01
1.013184344247402805e+04,3.995137403061648484e+01
1.013184346324578109e+04,3.995137403061648484e+01
1.013184348401753414e+04,3.995137403061648484e+01
1.013184350478928718e+04,3.995137403061648484e+01
1.013184352556104022e+04,3.995137403061648484e+01
1.013184354633279327e+04,3.995137403061648484e+01
1.013184356710454631e+04,3.995137403061648484e+01
1.013184358787629935e+04,3.995137403061648484e+01
1.013184360864805240e+04,3.995137403061648484e+01
1.013184362941980544e+04,3.995137403061648484e+01
1.013184365019155848e+04,3.995137403061648484e+01
1.013184367096331152e+04,3.995137403061648484e+01
1.013184369173506457e+04,3.995137403061648484e+01
1.013184371250681761e+04,3.995137403061648484e+01
1.013184373327857065e+04,3.995137403061648484e+01
1.013184375405032551e+04,3.995137403061648484e+01
1.013184377482207856e+04,3.995137403061648484e+01
1.013184379559383160e+04,3.995137403061648484e+01
1.013184381636558464e+04,3.995137403061648484e+01
1.013184383713733769e+04,3.995137403061648484e+01
1.013184385790909073e+04,3.995137403061648484e+01
1.013184387868084377e+04,3.995137403061648484e+01
1.013184389945259682e+04,3.995137403061648484e+01
1.013184392022434986e+04,3.995137403061648484e+01
1.013184394099610290e+04,3.995137403061648484e+01
1.013184396176785594e+04,3.995137403061648484e+01
1.013184398253960899e+04,3.995137403061648484e+01
1.013184400331136203e+04,3.995137403061648484e+01
1.013184402408311507e+04,3.995137403061648484e+01
