Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.880038437500130385e+03,3.647623159647790825e+00
9.880038456059855889e+03,3.647664388207401576e+00
9.880038474619583212e+03,3.647705616933633266e+00
9.880038493179308716e+03,3.647746845818404360e+00
9.880038511739036039e+03,3.647788074869792840e+00
9.880038530298761543e+03,3.647829304079714507e+00
9.880038548858488866e+03,3.647870533456250897e+00
9.880038567418214370e+03,3.647911762991320472e+00
9.880038585977941693e+03,3.647952992692999441e+00
9.880038604537667197e+03,3.647994222553208932e+00
9.880038623097394520e+03,3.648035452580026927e+00
9.880038641657120024e+03,3.648076682765367451e+00
9.880038660216847347e+03,3.648117913117316036e+00
9.880038678776572851e+03,3.648159143627784484e+00
9.880038697336298355e+03,3.648200374300815341e+00
9.880038715896025678e+03,3.648241605140445376e+00
9.880038734455751182e+03,3.648282836138593499e+00
9.880038753015478505e+03,3.648324067303339913e+00
9.880038771575204009e+03,3.648365298626597752e+00
9.880038790134931332e+03,3.648406530116451219e+00
9.880038808694656836e+03,3.648447761764815223e+00
9.880038827254384159e+03,3.648488993579769524e+00
9.880038845814109663e+03,3.648530225553233475e+00
9.880038864373836986e+03,3.648571457693283282e+00
9.880038882933562491e+03,3.648612689991836522e+00
9.880038901493289814e+03,3.648653922456977394e+00
9.880038920053015318e+03,3.648695155080616814e+00
9.880038938612740822e+03,3.648736387866797770e+00
9.880038957172468145e+03,3.648777620819557033e+00
9.880038975732193649e+03,3.648818853930814399e+00
9.880038994291920972e+03,3.648860087208649183e+00
9.880039012851646476e+03,3.648901320644974966e+00
9.880039031411373799e+03,3.648942554247874615e+00
9.880039049971099303e+03,3.648983788009265261e+00
9.880039068530826626e+03,3.649025021937225333e+00
9.880039087090552130e+03,3.649066256023673294e+00
9.880039105650279453e+03,3.649107490276688015e+00
9.880039124210004957e+03,3.649148724688184853e+00
9.880039142769732280e+03,3.649189959266246230e+00
9.880039161329457784e+03,3.649231194002788836e+00
9.880039179889183288e+03,3.649272428901851217e+00
9.880039198448910611e+03,3.649313663967473698e+00
9.880039217008636115e+03,3.649354899191569856e+00
