Time (BJD_TBD - 2450000), F_star + F_h (mJy)
9.913946643518749624e+03,3.604081896330132206e+00
9.913946661622412648e+03,3.604081896292054665e+00
9.913946679726073853e+03,3.604081896253978012e+00
9.913946697829736877e+03,3.604081896215902692e+00
9.913946715933398082e+03,3.604081896177828703e+00
9.913946734037061105e+03,3.604081896139755159e+00
9.913946752140722310e+03,3.604081896101682947e+00
9.913946770244385334e+03,3.604081896063612067e+00
9.913946788348046539e+03,3.604081896025541631e+00
9.913946806451709563e+03,3.604081895987472972e+00
9.913946824555372586e+03,3.604081895949405201e+00
9.913946842659033791e+03,3.604081895911338762e+00
9.913946860762696815e+03,3.604081895873272767e+00
9.913946878866358020e+03,3.604081895835208549e+00
9.913946896970021044e+03,3.604081895797144774e+00
9.913946915073682248e+03,3.604081895759082332e+00
9.913946933177345272e+03,3.604081895721021667e+00
9.913946951281006477e+03,3.604081895682961001e+00
9.913946969384669501e+03,3.604081895644902112e+00
9.913946987488332525e+03,3.604081895606844554e+00
9.913947005591993729e+03,3.604081895568786997e+00
9.913947023695656753e+03,3.604081895530731217e+00
9.913947041799317958e+03,3.604081895492676768e+00
9.913947059902980982e+03,3.604081895454623652e+00
9.913947078006642187e+03,3.604081895416570980e+00
9.913947096110305210e+03,3.604081895378518752e+00
9.913947114213966415e+03,3.604081895340468744e+00
9.913947132317629439e+03,3.604081895302420069e+00
9.913947150421292463e+03,3.604081895264371393e+00
9.913947168524953668e+03,3.604081895226324050e+00
9.913947186628616691e+03,3.604081895188278484e+00
9.913947204732277896e+03,3.604081895150233361e+00
9.913947222835940920e+03,3.604081895112189127e+00
9.913947240939602125e+03,3.604081895074147113e+00
9.913947259043265149e+03,3.604081895036105543e+00
9.913947277146926353e+03,3.604081894998064861e+00
9.913947295250589377e+03,3.604081894960025068e+00
9.913947313354252401e+03,3.604081894921986606e+00
9.913947331457913606e+03,3.604081894883949033e+00
9.913947349561576630e+03,3.604081894845913236e+00
9.913947367665237834e+03,3.604081894807878328e+00
9.913947385768900858e+03,3.604081894769843863e+00
9.913947403872562063e+03,3.604081894731811175e+00
9.913947421976225087e+03,3.604081894693779375e+00
9.913947440079888111e+03,3.604081894655748464e+00
9.913947458183549315e+03,3.604081894617718884e+00
9.913947476287212339e+03,3.604081894579690193e+00
9.913947494390873544e+03,3.604081894541663278e+00
9.913947512494536568e+03,3.604081894503636807e+00
9.913947530598197773e+03,3.604081894465611224e+00
9.913947548701860796e+03,3.604081894427586530e+00
9.913947566805522001e+03,3.604081894389563612e+00
9.913947584909185025e+03,3.604081894351542026e+00
9.913947603012848049e+03,3.604081894313520440e+00
9.913947621116509254e+03,3.604081894275500630e+00
9.913947639220172277e+03,3.604081894237482597e+00
9.913947657323833482e+03,3.604081894199464120e+00
9.913947675427496506e+03,3.604081894161448307e+00
9.913947693531157711e+03,3.604081894123432495e+00
9.913947711634820735e+03,3.604081894085418014e+00
9.913947729738481939e+03,3.604081894047404866e+00
9.913947747842144963e+03,3.604081894009393050e+00
9.913947765945807987e+03,3.604081893971380790e+00
9.913947784049469192e+03,3.604081893933371639e+00
9.913947802153132216e+03,3.604081893895362043e+00
9.913947820256793420e+03,3.604081893857354224e+00
9.913947838360456444e+03,3.604081893819347737e+00
9.913947856464117649e+03,3.604081893781341694e+00
9.913947874567780673e+03,3.604081893743337872e+00
9.913947892671441878e+03,3.604081893705334050e+00
9.913947910775104901e+03,3.604081893667331560e+00
9.913947928878767925e+03,3.604081893629329958e+00
9.913947946982429130e+03,3.604081893591329244e+00
9.913947965086092154e+03,3.604081893553330307e+00
9.913947983189753359e+03,3.604081893515332702e+00
9.913948001293416382e+03,3.604081893477335541e+00
9.913948019397077587e+03,3.604081893439339712e+00
9.913948037500740611e+03,3.604081893401344328e+00
