Time (BJD_TBD - 2450000), F_star + F_h (mJy)
1.013335255787055939e+04,2.557575360577119206e+00
1.013335257878931770e+04,2.557575360358488759e+00
1.013335259970807601e+04,2.557575360139857423e+00
1.013335262062683432e+04,2.557575359921224312e+00
1.013335264154559445e+04,2.557575359702591200e+00
1.013335266246435276e+04,2.557575359483956312e+00
1.013335268338311107e+04,2.557575359265320536e+00
1.013335270430186938e+04,2.557575359046684760e+00
1.013335272522062769e+04,2.557575358828046763e+00
1.013335274613938600e+04,2.557575358609408323e+00
1.013335276705814431e+04,2.557575358390768994e+00
1.013335278797690262e+04,2.557575358172128777e+00
1.013335280889566275e+04,2.557575357953486783e+00
1.013335282981442106e+04,2.557575357734844346e+00
1.013335285073317937e+04,2.557575357516201020e+00
1.013335287165193768e+04,2.557575357297556806e+00
1.013335289257069599e+04,2.557575357078911260e+00
1.013335291348945429e+04,2.557575356860264826e+00
1.013335293440821260e+04,2.557575356641617503e+00
1.013335295532697091e+04,2.557575356422969293e+00
1.013335297624573104e+04,2.557575356204320194e+00
1.013335299716448935e+04,2.557575355985669763e+00
1.013335301808324766e+04,2.557575355767018443e+00
1.013335303900200597e+04,2.557575355548365792e+00
1.013335305992076428e+04,2.557575355329712696e+00
1.013335308083952259e+04,2.557575355111058268e+00
1.013335310175828090e+04,2.557575354892402952e+00
1.013335312267703921e+04,2.557575354673746748e+00
1.013335314359579934e+04,2.557575354455089656e+00
1.013335316451455765e+04,2.557575354236431231e+00
1.013335318543331596e+04,2.557575354017771918e+00
1.013335320635207427e+04,2.557575353799112161e+00
1.013335322727083258e+04,2.557575353580450184e+00
1.013335324818959089e+04,2.557575353361788206e+00
1.013335326910834920e+04,2.557575353143125341e+00
1.013335329002710751e+04,2.557575352924460699e+00
1.013335331094586763e+04,2.557575352705795613e+00
1.013335333186462594e+04,2.557575352487129638e+00
1.013335335278338425e+04,2.557575352268462776e+00
1.013335337370214256e+04,2.557575352049794581e+00
1.013335339462090087e+04,2.557575351831125055e+00
1.013335341553965918e+04,2.557575351612455528e+00
1.013335343645841749e+04,2.557575351393784224e+00
1.013335345737717762e+04,2.557575351175112033e+00
1.013335347829593593e+04,2.557575350956439397e+00
1.013335349921469424e+04,2.557575350737764985e+00
1.013335352013345255e+04,2.557575350519089685e+00
1.013335354105221086e+04,2.557575350300413941e+00
1.013335356197096917e+04,2.557575350081736865e+00
1.013335358288972748e+04,2.557575349863059344e+00
1.013335360380848579e+04,2.557575349644380047e+00
1.013335362472724591e+04,2.557575349425700306e+00
1.013335364564600422e+04,2.557575349207019233e+00
1.013335366656476253e+04,2.557575348988336827e+00
1.013335368748352084e+04,2.557575348769654422e+00
1.013335370840227915e+04,2.557575348550970684e+00
1.013335372932103746e+04,2.557575348332285614e+00
1.013335375023979577e+04,2.557575348113599212e+00
1.013335377115855408e+04,2.557575347894912809e+00
1.013335379207731421e+04,2.557575347676225075e+00
1.013335381299607252e+04,2.557575347457536008e+00
1.013335383391483083e+04,2.557575347238846053e+00
1.013335385483358914e+04,2.557575347020155210e+00
1.013335387575234745e+04,2.557575346801463478e+00
1.013335389667110576e+04,2.557575346582770415e+00
1.013335391758986407e+04,2.557575346364076907e+00
1.013335393850862238e+04,2.557575346145382067e+00
1.013335395942738251e+04,2.557575345926686339e+00
1.013335398034614082e+04,2.557575345707989722e+00
1.013335400126489913e+04,2.557575345489291774e+00
1.013335402218365743e+04,2.557575345270593381e+00
