Time (BJD_TBD - 2450000), F_star + F_h (mJy)
1.014846018518507481e+04,2.652963469875344149e+00
1.014846020605984813e+04,2.652963469936039598e+00
1.014846022693461964e+04,2.652963469996733270e+00
1.014846024780939297e+04,2.652963470057425610e+00
1.014846026868416629e+04,2.652963470118115730e+00
1.014846028955893780e+04,2.652963470178803629e+00
1.014846031043371113e+04,2.652963470239490196e+00
1.014846033130848264e+04,2.652963470300174542e+00
1.014846035218325596e+04,2.652963470360857556e+00
1.014846037305802929e+04,2.652963470421538350e+00
1.014846039393280080e+04,2.652963470482217367e+00
1.014846041480757413e+04,2.652963470542894608e+00
1.014846043568234745e+04,2.652963470603570073e+00
1.014846045655711896e+04,2.652963470664243317e+00
1.014846047743189229e+04,2.652963470724915229e+00
1.014846049830666561e+04,2.652963470785584477e+00
1.014846051918143712e+04,2.652963470846252836e+00
1.014846054005621045e+04,2.652963470906918975e+00
1.014846056093098196e+04,2.652963470967583337e+00
1.014846058180575528e+04,2.652963471028245923e+00
1.014846060268052861e+04,2.652963471088906733e+00
1.014846062355530012e+04,2.652963471149565766e+00
1.014846064443007344e+04,2.652963471210222579e+00
1.014846066530484677e+04,2.652963471270877616e+00
1.014846068617961828e+04,2.652963471331531320e+00
1.014846070705439161e+04,2.652963471392182804e+00
1.014846072792916493e+04,2.652963471452832067e+00
1.014846074880393644e+04,2.652963471513479998e+00
1.014846076967870977e+04,2.652963471574126153e+00
1.014846079055348127e+04,2.652963471634770087e+00
1.014846081142825460e+04,2.652963471695412689e+00
1.014846083230302793e+04,2.652963471756053515e+00
1.014846085317779944e+04,2.652963471816691676e+00
1.014846087405257276e+04,2.652963471877328949e+00
1.014846089492734609e+04,2.652963471937963558e+00
1.014846091580211760e+04,2.652963471998596834e+00
1.014846093667689092e+04,2.652963472059227890e+00
1.014846095755166243e+04,2.652963472119857613e+00
1.014846097842643576e+04,2.652963472180485560e+00
1.014846099930120909e+04,2.652963472241111287e+00
1.014846102017598059e+04,2.652963472301735681e+00
1.014846104105075392e+04,2.652963472362357411e+00
1.014846106192552725e+04,2.652963472422978253e+00
1.014846108280029875e+04,2.652963472483596430e+00
1.014846110367507208e+04,2.652963472544212831e+00
1.014846112454984541e+04,2.652963472604827899e+00
1.014846114542461692e+04,2.652963472665440747e+00
1.014846116629939024e+04,2.652963472726052263e+00
1.014846118717416175e+04,2.652963472786661558e+00
1.014846120804893508e+04,2.652963472847269522e+00
1.014846122892370840e+04,2.652963472907874820e+00
1.014846124979847991e+04,2.652963472968478786e+00
1.014846127067325324e+04,2.652963473029080532e+00
1.014846129154802657e+04,2.652963473089680946e+00
1.014846131242279807e+04,2.652963473150279139e+00
1.014846133329757140e+04,2.652963473210875556e+00
1.014846135417234473e+04,2.652963473271470196e+00
