Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.062594821759266779e+04,2.425399367609021084e+00
1.062594823627046208e+04,2.425349117091164519e+00
1.062594825494825454e+04,2.425298867051345564e+00
1.062594827362604883e+04,2.425248617479777824e+00
1.062594829230384312e+04,2.425198368381353387e+00
1.062594831098163559e+04,2.425148119760978105e+00
1.062594832965942987e+04,2.425097871608855815e+00
1.062594834833722416e+04,2.425047623929889706e+00
1.062594836701501663e+04,2.424997376728969645e+00
1.062594838569281092e+04,2.424947129996315009e+00
1.062594840437060520e+04,2.424896883736820108e+00
1.062594842304839767e+04,2.424846637955377471e+00
1.062594844172619196e+04,2.424796392642202036e+00
1.062594846040398625e+04,2.424746147802194329e+00
1.062594847908178053e+04,2.424695903435354349e+00
1.062594849775957300e+04,2.424645659546576404e+00
1.062594851643736729e+04,2.424595416126075431e+00
1.062594853511516158e+04,2.424545173178748403e+00
1.062594855379295404e+04,2.424494930709486962e+00
1.062594857247074833e+04,2.424444688708506934e+00
1.062594859114854262e+04,2.424394447180709289e+00
1.062594860982633509e+04,2.424344206130983448e+00
1.062594862850412937e+04,2.424293965549550123e+00
1.062594864718192366e+04,2.424243725441299180e+00
1.062594866585971613e+04,2.424193485811126703e+00
1.062594868453751042e+04,2.424143246649252070e+00
1.062594870321530470e+04,2.424093007960564261e+00
1.062594872189309717e+04,2.424042769749964243e+00
1.062594874057089146e+04,2.423992532007665179e+00
1.062594875924868575e+04,2.423942294738564929e+00
1.062594877792647821e+04,2.423892057947552026e+00
1.062594879660427250e+04,2.423841821624846737e+00
1.062594881528206679e+04,2.423791585775349589e+00
1.062594883395985926e+04,2.423741350403943340e+00
1.062594885263765354e+04,2.423691115500849591e+00
1.062594887131544783e+04,2.423640881070967090e+00
1.062594888999324030e+04,2.423590647119185260e+00
1.062594890867103459e+04,2.423540413635725699e+00
1.062594892734882887e+04,2.423490180625475165e+00
1.062594894602662316e+04,2.423439948088449203e+00
1.062594896470441563e+04,2.423389716029524354e+00
1.062594898338220992e+04,2.423339484438932434e+00
1.062594900206000420e+04,2.423289253321561088e+00
1.062594902073779667e+04,2.423239022682305510e+00
1.062594903941559096e+04,2.423188792511384637e+00
1.062594905809338525e+04,2.423138562813687891e+00
1.062594907677117772e+04,2.423088333594114907e+00
1.062594909544897200e+04,2.423038104842882401e+00
1.062594911412676629e+04,2.422987876564884235e+00
1.062594913280455876e+04,2.422937648765012941e+00
1.062594915148235305e+04,2.422887421433487454e+00
